Phase,Count,Frequency
0000-0001,1,1.0068465565847765e-4
0001-0303,5,5.034232782923883e-4
0002-0010,3,3.0205396697543293e-4
0003-0010,2,2.013693113169553e-4
0010,90,0.009061619009262988
0010-0011,10,0.0010068465565847766
0010-0011-0300-0301,1,1.0068465565847765e-4
0010-0012,7,7.047925896093435e-4
0010-0012-0302,2,2.013693113169553e-4
0010-0013,14,0.001409585179218687
0010-0013-0300-0303,2,2.013693113169553e-4
0010-0013-0303,23,0.002315747080144986
0010-0013-0313,1,1.0068465565847765e-4
0010-0100-0303,4,4.027386226339106e-4
0010-0110,1,1.0068465565847765e-4
0010-0111,1,1.0068465565847765e-4
0010-0112-0302,1,1.0068465565847765e-4
0010-0113-0303,1,1.0068465565847765e-4
0010-0200,1,1.0068465565847765e-4
0010-0202,1,1.0068465565847765e-4
0010-0210,1,1.0068465565847765e-4
0010-0300,16,0.0016109544905356424
0010-0300-0302,1,1.0068465565847765e-4
0010-0300-0303,38,0.0038260169150221507
0010-0302,7,7.047925896093435e-4
0010-0303,287,0.028896496173983086
0010-0310,1,1.0068465565847765e-4
0010-0312,2,2.013693113169553e-4
0010-0313,18,0.0018123238018525976
0011-0012-0301-0302,1,1.0068465565847765e-4
0011-0013,1,1.0068465565847765e-4
0011-0013-0301-0303,2,2.013693113169553e-4
0011-0013-0303,5,5.034232782923883e-4
0011-0301-0303,4,4.027386226339106e-4
0011-0303,15,0.0015102698348771646
0011-0312,1,1.0068465565847765e-4
0012-0102,1,1.0068465565847765e-4
0013,1,1.0068465565847765e-4
0013-0303,4,4.027386226339106e-4
0013-0303-1010,1,1.0068465565847765e-4
0100,1,1.0068465565847765e-4
0100-0101,1,1.0068465565847765e-4
0100-0302,1,1.0068465565847765e-4
0100-0303,7,7.047925896093435e-4
0101-0303,4,4.027386226339106e-4
0102-1010,3,3.0205396697543293e-4
0103-1010,7,7.047925896093435e-4
0110,3,3.0205396697543293e-4
0110-0112-0302-1010-1012,1,1.0068465565847765e-4
0110-0113-0303,1,1.0068465565847765e-4
0110-0300,1,1.0068465565847765e-4
0110-0300-0302,1,1.0068465565847765e-4
0110-0300-0303,5,5.034232782923883e-4
0110-0300-0303-1010,9,9.061619009262988e-4
0110-0300-1010,2,2.013693113169553e-4
0110-0302-1010-1012,1,1.0068465565847765e-4
0110-0303,20,0.002013693113169553
