parIndex,nStates,Phase,State,DSGRNPhase,nStatesRAC,basin,GRHL2,ZEB,miR200,SLUG,basinDiscret
1,1,0303,0303,0100-0203,1,1,7.678,12.457,6.091,166.808,1
2,1,1010,1010,1010,1,1,97.21,0.001,176.415,1.41,1
3,1,0112,0112,0010-0103,1,0.6666666666666666,25.654,1.147,124.208,40.72,0.6666666666666666
4,1,1010,1010,1010,1,0.25,36.651,0.001,11.814,0.443,0.25
5,1,1010,1010,1010,1,0.2,35.891,0.005,47.902,0.355,0.2
6,1,1010,1010,1010,1,0.16666666666666666,90.013,0.004,210.859,0.174,0.16666666666666666
7,1,1013,1013,0303-1003-1010,1,1.5,130.384,0.083,34.922,176.843,1.5
8,1,1010,1010,0203-1003-1010,1,3,92.897,0.001,51.468,31.229,3
9,1,0010,0010,0010,1,0.3333333333333333,67.158,0.084,193.737,1.208,0.3333333333333333
10,1,1010,1010,1010-1011,1,0.5,82.918,0,203.59,6.461,0.5
11,1,0303,0303,0203-1003,1,0.4,2.951,30.525,5.439,248.194,0.4
12,1,1013,1013,1003-1010,1,0.3333333333333333,53.714,0.113,8.685,144.243,0.3333333333333333
13,1,0012,0012,0010-0303,1,1,41.275,0.294,98.193,46.166,1
14,1,1011,1011,1010-1011,1,2,100.353,0.012,55.674,8.888,2
15,1,1010,1010,0200-1010,1,0.6666666666666666,137.954,0.007,159.673,0.238,0.6666666666666666
16,1,0303,0303,0403-1010-1103,1,0.75,5.17,65.409,0.17,190.936,0.75
17,1,1013,1013,0303-1003-1010,1,0.6,211.749,0.003,74.827,74.996,0.6
18,1,0302,0302,0010-0303,1,0.3333333333333333,0.237,35.532,5.778,37.25,0.3333333333333333
19,1,0302,0302,0403-1010-1103,1,1.5,6.854,55.992,7.381,72.512,1.5
20,1,0303,0303,1003-1010,1,2,25.017,22.853,0.204,291.498,2
21,1,0303,0303,0203-1003-1010,1,1,1.564,43.74,3.85,249.917,1
22,1,0303,0303,0200-0303,1,0.5,2.201,148.556,0.059,196.989,0.5
23,1,1010,1010,1010-1011,1,0.4,458.983,0.001,93.579,21.999,0.4
24,1,0303,0303,1010-1100-1103,1,0.5,26.986,26.377,2.107,78.523,0.5
25,1,0302,0302,1003-1010,1,1,38.358,39.905,5.747,8.031,1
26,1,1013,1013,0113-1011-1013,1,3,176.304,0.023,78.894,131.641,3
27,1,1100,1100,1010-1103,1,0.6666666666666666,237.342,0.446,9.027,9.224,0.6666666666666666
28,1,1010,1010,1010,1,0.25,160.54,0.004,142.49,4.479,0.25
29,1,1010,1010,1010,1,0.2,80.294,0.02,252.452,1.469,0.2
30,1,0303,0303,0101-0403-1001,1,0.5,4.796,53.096,3.261,142.116,0.5
31,1,0301,0301,1010-1011,1,1,13.123,35.893,3.095,45.194,1
32,1,1012,1012,0203-1003-1010,1,3,127.606,0.016,37.718,47.167,3
33,1,1011,1011,0200-0303-1010,1,1,276.864,0.03,124.84,22.067,1
34,1,1010,1010,1010,1,0.25,428.389,0,127.499,0.597,0.25
35,1,1013,1013,1003-1010,1,0.4,397.381,0.01,4.802,186.707,0.4
36,1,1010,1010,1002-1010,1,0.3333333333333333,91.7,0.063,33.221,24.926,0.3333333333333333
37,1,1003,1003,1003-1010,1,1,107.82,0.23,9.157,525.328,1
38,1,0303,0303,0010-0203,1,2,1.365,146.408,1.038,355.797,2
39,1,0303,0303,1203,1,0.3333333333333333,20.521,41.297,0.363,250.93,0.3333333333333333
40,1,1003,1003,1003-1010,1,0.5,102.439,0.033,15.154,64.001,0.5
41,1,0010,0010,0010,1,0.2,8.428,0.005,64.447,0.432,0.2
42,1,1010,1010,1010,1,0.16666666666666666,117.838,0.02,47.776,0.327,0.16666666666666666
43,1,1011,1011,1003-1010,1,1,89.699,0.114,27.181,29.335,1
44,1,1003,1003,1001-1003,1,2,93.525,0.036,6.809,84.776,2
45,1,0301,0301,0403-1000-1103,1,1,11.637,48.115,0.122,43.407,1
46,1,1011,1011,0303-1003-1010,1,0.75,105.351,0.004,55.38,60.167,0.75
47,1,0300,0300,1010-1200,1,0.4,7.341,59.608,6.254,7.071,0.4
48,1,0303,0303,1010-1103,1,0.3333333333333333,13.221,21.914,5.705,172.296,0.3333333333333333
49,1,0303,0303,0303,1,0.5,8.501,33.107,9.65,117.909,0.5
50,1,1011,1011,0303-1003-1010,2,0.3333333333333333,138.75,0.001,76.132,64.466,2.3333333333333335
50,1,1011,1011,0303-1003-1010,2,2,138.75,0.001,76.126,64.475,2.3333333333333335
51,1,0310,0310,0010-0112,1,0.5,10.902,7.083,54.771,20.272,0.5
52,1,0303,0303,0100-0203,2,0.16666666666666666,1.059,66.879,0.121,243.455,0.3666666666666667
52,1,0303,0303,0100-0203,2,0.2,1.059,66.879,0.121,243.452,0.3666666666666667
53,1,1010,1010,1010,1,0.5,92.542,0.005,71.561,0.661,0.5
54,1,0303,0303,0300-0403-1010,3,0.3333333333333333,3.487,231.852,0.126,269.812,1.5833333333333333
54,1,0303,0303,0300-0403-1010,3,0.25,3.487,231.853,0.126,269.813,1.5833333333333333
54,1,0303,0303,0300-0403-1010,3,1,3.487,231.849,0.126,269.808,1.5833333333333333
55,1,1011,1011,0303-1003-1010,2,0.16666666666666666,144.051,0.038,108.279,27.806,0.5666666666666667
55,1,1011,1011,0303-1003-1010,2,0.4,144.05,0.038,108.279,27.806,0.5666666666666667
56,1,0303,0303,0403-1010-1103,1,1.5,43.169,278.716,0.467,56.956,1.5
57,1,0300,0300,1000-1001,1,2,8.995,30.088,3.044,31.374,2
58,1,1000,1000,1000,1,0.3333333333333333,157.61,0.004,28.407,0.387,0.3333333333333333
59,1,1303,1303,0403-1010-1103,1,0.75,7.142,17.856,1.408,35.129,0.75
60,1,0303,0303,1010-1203,1,0.4,5.722,117.95,0.901,146.835,0.4
61,1,0303,0303,0303-1010,1,0.3333333333333333,3.477,64.6,3.951,200.374,0.3333333333333333
62,1,0302,0302,1002-1010,1,1,6.17,96.567,2.218,53.083,1
63,1,1103,1103,1001-1103,1,2,110.147,1.613,0.835,245.117,2
64,1,1010,1010,1010,1,0.3333333333333333,191.565,0.009,217.849,0.052,0.3333333333333333
66,1,0010,0010,0010,1,0.25,54.921,0.021,126.268,0.055,0.25
67,1,0300,0300,0010-0200-0202,1,0.6,1.263,25.902,2.651,11.614,0.6
68,1,0010,0010,0002-0010,1,0.3333333333333333,10.631,0.504,56.635,16.726,0.3333333333333333
69,1,1010,1010,1010,1,0.5,252.204,0.001,57.44,3.33,0.5
70,1,0303,0303,0010-0303,1,2,7.09,16.967,4.288,140.439,2
71,1,1010,1010,1010,1,0.3333333333333333,147.421,0.004,162.872,4.884,0.3333333333333333
72,1,1302,1302,0403-1000-1103,2,0.4,95.453,17.201,0.487,74.59,0.65
72,1,1302,1302,0403-1000-1103,2,0.25,95.452,17.201,0.487,74.59,0.65
73,1,0303,0303,1010-1103,1,0.3333333333333333,52.883,13.72,2.105,100.675,0.3333333333333333
74,1,1010,1010,1010,1,0.5,391.347,0.002,75.461,1.67,0.5
75,1,1011,1011,1010-1013,1,2,14.364,0.04,36.165,25.515,2
76,1,1302,1302,0403-1000-1103,1,1,73.743,20.628,0.39,75.312,1
77,1,1010,1010,1010-1012,1,0.5,71.064,0.029,72.185,28.71,0.5
78,1,0303,0303,0010-0403,1,0.4,1.709,345.921,0.036,180.746,0.4
79,1,0300,0300,0010-0200,1,0.3333333333333333,1.45,103.804,15.977,17.361,0.3333333333333333
80,1,0010,0010,0010-0200,2,0.5,11.791,0.148,323.614,3.829,1.5
80,1,0010,0010,0010-0200,2,1,11.791,0.148,323.618,3.829,1.5
81,1,1010,1010,1003-1010,2,0.25,255.323,0.027,66.714,18.384,0.5833333333333333
81,1,1010,1010,1003-1010,2,0.3333333333333333,255.323,0.027,66.714,18.383,0.5833333333333333
82,2,1012-1302,1302,0301-0303-1003-1011,3,0.2,24.084,14.924,9.215,66.282,0.2
82,2,1012-1302,1012,0301-0303-1003-1011,3,0.3333333333333333,115.876,0.131,44.946,66.282,0.8333333333333333
82,2,1012-1302,1012,0301-0303-1003-1011,3,0.5,115.877,0.131,44.946,66.282,0.8333333333333333
83,1,0010,0010,0010,1,1,20.44,0.01,175.498,0.37,1
84,1,0303,0303,1010-1103,1,0.6666666666666666,13.394,68.377,2.198,359.756,0.6666666666666666
85,1,0303,0303,0403-1010-1103,2,0.4,5.919,209.483,1.023,74.112,0.65
85,1,0303,0303,0403-1010-1103,2,0.25,5.919,209.482,1.023,74.112,0.65
86,1,0303,0303,0010-0403,1,0.3333333333333333,0.407,28.252,4.86,79.053,0.3333333333333333
87,1,0303,0303,0100-0403,2,0.5,0.192,161.012,0.058,200.251,1.5
87,1,0303,0303,0100-0403,2,1,0.192,161.015,0.058,200.251,1.5
88,1,0300,0300,1000,1,0.3333333333333333,12.877,26.882,3.87,1.316,0.3333333333333333
89,1,1010,1010,1010,1,0.25,409.238,0.003,123.684,1.097,0.25
90,1,0303,0303,1000-1003,1,0.4,13.805,15.354,0.199,97.587,0.4
91,1,1010,1010,1010,1,0.16666666666666666,72.929,0.111,126.902,0.677,0.16666666666666666
92,1,1010,1010,1010,1,0.5,60.837,0,254.287,0.75,0.5
93,1,0303,0303,0010-0403,2,0.3333333333333333,0.687,424.016,0.349,202.035,1.3333333333333333
93,1,0303,0303,0010-0403,2,1,0.687,424.011,0.349,202.03,1.3333333333333333
94,1,1010,1010,1010,1,0.25,90.903,0.232,24.664,1.902,0.25
95,1,0010,0010,0010,1,0.2,40.018,0.012,111.578,1.131,0.2
96,1,1012,1012,1003-1010,2,0.16666666666666666,191.564,0.01,15.986,44.332,0.6666666666666666
96,1,1012,1012,1003-1010,2,0.5,191.564,0.01,15.987,44.33,0.6666666666666666
97,1,0302,0302,0001-0303,1,2,3.472,5.504,0.049,56.993,2
98,1,0303,0303,0403-1003-1010,1,1,17.204,35.392,4.162,127.217,1
99,1,0302,0302,0403-1010-1103,1,0.75,9.643,41.411,2.455,72.265,0.75
100,1,1112,1112,1010-1012,1,0.4,51.814,2.331,40.671,46.096,0.4
101,1,0303,0303,0403-1010-1103,1,0.5,21.43,232.249,1.471,92.974,0.5
102,1,1012,1012,1011-1012,1,1,72.671,0.027,197.114,41.047,1
103,1,1010,1010,1010,1,1,59.21,0.006,97.193,1.421,1
104,1,1002,1002,1010-1203,2,0.3333333333333333,372.989,0.297,17.875,44.331,0.5833333333333333
104,1,1002,1002,1010-1203,2,0.25,372.991,0.297,17.875,44.331,0.5833333333333333
105,1,1100,1100,0400-1100,1,0.4,142.791,2.447,0.509,1.794,0.4
106,1,1010,1010,0300-1010,1,0.3333333333333333,62.232,0.02,85.462,1.206,0.3333333333333333
107,1,0303,0303,1003,1,0.5,9.011,51.978,0.182,450.183,0.5
108,1,0301,0301,0010-0403,1,2,1.201,63.408,11.198,36.76,2
109,1,0302,0302,1010-1012-1202,1,1,10.08,172.704,2.488,59.326,1
110,1,1010,1010,1010,1,0.25,48.235,0.004,101.982,0.306,0.25
111,1,0303,0303,1000-1003,1,0.4,29.113,8.394,0.423,119.922,0.4
112,1,0312,0312,0010-0403,2,0.16666666666666666,2.829,118.356,9.958,68.253,0.6666666666666666
112,1,0312,0312,0010-0403,2,0.5,2.829,118.36,9.958,68.253,0.6666666666666666
113,1,1010,1010,1010,1,1,60.541,0.013,98.143,1.015,1
114,1,0303,0303,0301-0303-1011,1,1,1.132,244.901,0.55,318.135,1
115,1,0111,0111,0010-0403,1,0.5,33.291,1.992,53.252,52.504,0.5
116,1,1010,1010,1010-1012,1,0.4,126.808,0.115,49.496,27.311,0.4
117,1,0303,0303,0303-1010-1103,1,0.5,12.175,31.043,0.539,82.441,0.5
118,1,1000,1000,1010,1,0.5,64.622,0.033,27.051,12.361,0.5
119,1,1010,1010,1010,1,1,197.966,0.015,359.515,6.993,1
120,1,0303,0303,1000-1003,1,0.6666666666666666,2.638,132.851,0.089,55.662,0.6666666666666666
121,1,1013,1013,0303,1,0.25,246.082,0.044,137.365,78.243,0.25
122,1,1012,1012,0203-1010,1,0.4,103.611,0.005,39.373,82.451,0.4
123,1,1000,1000,0100-1000,1,0.3333333333333333,126.224,0.028,4.446,2.924,0.3333333333333333
124,1,0303,0303,0303-1003-1010,1,1.5,30.185,47.721,0.962,86.238,1.5
125,1,1013,1013,0203-1010-1013,1,3,97.548,0.004,90.312,403.741,3
126,1,1011,1011,1010,1,0.3333333333333333,97.603,0.002,49.47,21.403,0.3333333333333333
127,1,0302,0302,0300-0303,1,0.5,3.741,66.458,2.621,63.236,0.5
128,2,0300-1010,0300,0200-0302-1010-1012,2,0.2,8.696,24.814,3.16,20.381,0.2
128,2,0300-1010,1010,0200-0302-1010-1012,2,0.5,99.664,0.039,53.828,20.381,0.5
129,1,0312,0312,0312-1010-1012,2,0.5,3.634,72.525,55.154,49.838,2.5
129,1,0312,0312,0312-1010-1012,2,2,3.634,72.53,55.153,49.838,2.5
130,1,0303,0303,0010-0303,1,0.6666666666666666,1.332,16.014,18.263,106.006,0.6666666666666666
131,1,1010,1010,0303-1003-1010,1,0.75,76.053,0.005,129.293,17.424,0.75
132,1,0003,0003,0010-0103,1,0.4,10.861,0.091,14.258,322.143,0.4
133,1,0301,0301,0303-1000-1003,1,0.5,10.082,83.714,0.221,58.167,0.5
134,1,0303,0303,0300-0303-1000-1003,1,2,5.05,31.844,0.196,162.933,2
135,1,1012,1012,0303-1003-1010,1,3,133.428,0.258,34.076,49.502,3
136,1,0200,0200,0100,1,0.3333333333333333,16.517,4.531,0.912,0.055,0.3333333333333333
137,1,1012,1012,0112-0302-1010-1012,1,1,98.947,0.025,382.324,11.517,1
138,1,0302,0302,1010-1103,1,0.4,8.167,236.134,0.291,58.446,0.4
139,1,0303,0303,0300-0303,2,0.5,0.383,478.015,0.623,346.663,0.6666666666666666
139,1,0303,0303,0300-0303,2,0.16666666666666666,0.383,478.014,0.623,346.662,0.6666666666666666
140,1,0311,0311,1010,1,1,17.817,54.616,83.953,5.872,1
141,1,1013,1013,1003-1010,1,0.6666666666666666,112.216,0.025,39.474,144.13,0.6666666666666666
142,1,0303,0303,0203,1,0.25,7.777,52.662,1.176,216.504,0.25
143,1,0301,0301,0301-0303-1011-1101-1103,1,1,13.596,35.532,1.243,27.601,1
144,1,0313,0313,0203-1003-1010,1,0.5,5.577,6.14,2.39,80.7,0.5
