ParIndex,GRHL2,ZEB,miR200,SLUG,Count
1,0.81,1386.421,0.027,57.123,1
1,36.258,0,50.628,0.654,1
2,3.641,24.098,1.862,0.812,1
2,3.641,665.231,0.036,40.632,1
2,66.984,0.005,126.95,0.812,1
3,8.615,13.576,0.016,102.29,1
3,82.429,0.004,110.171,3.969,1
4,191.011,0,55.235,0.301,1
5,8.615,13.576,0.016,102.29,1
5,82.429,0.004,110.171,3.969,1
6,2.835,505.783,0.001,144.652,1
6,75.591,0.001,6.368,2.161,1
7,0.142,1099.996,1.202,50.456,1
7,7.691,0.019,173.784,3.332,1
8,0.453,277.352,0.141,168.96,1
8,26.485,0.063,10.903,168.96,2
9,169.226,0.004,160.635,36.578,1
10,1.41,1609.659,0.136,156.551,2
10,105.621,0,90.159,2.964,1
11,161.27,0,55.235,0.097,1
12,1.067,789.401,0.005,138.642,1
12,67.403,0,36.258,2.292,3
13,5.972,224.005,0.007,110,1
13,105.795,0,7.691,1.568,1
14,272.784,0,8.979,0.588,1
15,1.824,92.785,1.007,8.062,1
15,1.824,3155.303,0.017,301.514,2
15,50.367,0.021,83.431,8.062,1
16,11.973,0.465,1.392,81.47,1
16,144.652,0,84.172,1.044,1
17,2.896,2315.871,0.099,47.369,2
17,265.755,0,167.783,0.488,2
19,4.452,998.142,0.021,127.773,2
19,283.879,0,91.522,1.304,1
20,0.167,839.856,0.028,50.367,1
21,1.832,896.789,0.038,256.864,1
21,162.642,0,43.383,4.397,1
21,162.642,0.176,0.548,256.864,1
22,263.587,0,254.153,4.754,1
22,263.587,0.013,19.557,263.324,1
23,2.208,1126.544,0.048,154.142,2
23,98.882,0,124.036,24.57,1
24,135.773,0,19.737,125.844,1
25,26.091,12.459,0.004,94.659,1
25,377.85,0.001,11.885,2.772,1
26,1.729,138.559,0.027,112.349,1
26,135.773,0.033,1.094,112.349,1
27,1.284,1350.527,0.081,85.075,1
27,66.007,0.001,368.163,1.43,1
27,66.007,0.626,0.081,85.075,1
28,8.94,513.276,0.014,175.919,1
28,103.141,0,36.859,2.779,2
29,19.774,22.924,0.033,159.362,1
29,95.176,0.015,117.454,7.567,1
30,10.596,1257.623,0.079,154.142,1
30,73.115,0,491.373,1.896,2
30,73.115,0.004,6.87,154.142,2
31,0.946,1845.109,0.043,23.967,1
31,0.946,1845.109,0.043,457.137,1
31,66.364,0.031,4.198,23.967,1
31,66.364,0.031,4.198,457.137,1
32,244.51,0.001,97.231,2.364,1
32,244.51,0.015,1.954,79.861,1
33,11.775,220.044,1.68,6.163,1
33,11.775,1603.044,0.023,158.836,1
33,112.654,0.006,154.129,6.163,1
34,8.751,63.677,0.016,222.847,1
34,133.733,0.001,1.492,222.847,2
35,152.424,0,209.328,0.1,1
36,145.577,0,20.729,244.141,1
36,145.577,0,451.396,5.312,1
37,0.043,13.973,9.793,1.289,1
37,0.043,4513.96,0.109,66.248,1
38,0.869,509.048,0.169,64.671,1
38,79.812,0.012,508.857,19.216,1
38,79.812,0.013,9.648,64.671,1
39,0.591,36.723,2.012,3.628,1
39,0.591,897.026,0.033,155.426,1
39,41.917,0.001,80.192,3.628,1
40,152.424,0.004,209.328,1.136,1
41,167.783,0,145.062,0.492,1
41,167.783,0.001,2.486,44.385,1
42,0.521,1754.624,0.374,58.156,1
42,32.944,0,150.641,2.487,1
42,32.944,0.014,13.288,58.156,1
43,597.521,0.003,148.502,0.534,1
44,20.908,1854.388,0.094,118.676,1
44,219.331,0.017,118.167,1.264,1
45,2.571,855.198,0.013,325.139,1
46,35.762,0,170.903,1.051,1
46,35.762,0.015,35.481,76.685,1
47,3.367,19.062,0.648,3.543,1
47,3.367,1054.299,0.11,92.481,1
47,251.716,0,62.435,3.543,2
48,6.091,720.378,0.033,80.621,1
48,315.621,0,66.234,0.883,1
48,315.621,0.004,2.265,80.621,1
49,103.276,0,181.527,0.947,1
49,103.276,0.003,5.002,61.741,1
50,8.077,162.419,0.186,427.953,1
51,0.093,2483.859,0.027,42.973,1
51,6.775,0.006,149.588,0.436,1
52,0.264,1490.62,0.514,380.962,1
52,24.308,0.025,86.461,5.294,1
53,0.388,2088.605,0.031,245.68,1
53,23.707,0.002,114.45,3.67,1
53,23.707,0.017,2.759,245.68,1
54,7.937,5.355,0.141,152.424,1
54,120.197,0.002,151.997,1.653,1
54,120.197,0.045,2.798,152.424,1
55,1.886,1117.044,0.276,72.898,1
55,73.758,0,337.86,1.754,2
56,166.564,0.419,0.48,217.292,1
56,304.619,0,237.808,2.495,1
56,304.619,0.005,22.838,217.292,1
57,3.266,71.739,1.055,0.707,1
57,3.266,5662.485,0.018,61.448,1
57,111.127,0,72.831,0.707,1
58,2.512,385.165,0.054,152.424,1
58,120.197,0.001,151.997,7.317,1
59,12.365,0,114.312,0.77,1
59,12.365,0.055,3.108,56.842,2
60,1.03,1519.97,0.132,138.412,2
60,38.517,0,152.424,2.102,1
60,38.517,0.004,12.214,138.412,1
61,7.956,0.323,2.161,2.645,1
61,7.956,65.286,0.028,90.331,1
62,2.412,1276.451,0.113,242.06,2
63,2.399,175.963,0.035,191.423,1
63,68.827,0,41.866,2.008,1
63,68.827,0.001,3.056,191.423,2
64,0.889,90.305,0.858,0.693,1
64,0.889,1941.869,0.035,56.602,1
64,83.047,0.001,60.982,0.693,1
65,10.544,21.691,0.032,104.914,1
66,3.004,467.199,0.02,298.702,1
66,102.735,0.001,25.422,9.49,1
66,102.735,0.094,0.325,298.702,1
67,0.607,657.857,0.014,98.074,2
67,46.917,0.002,27.639,1.197,1
68,1.65,6461.415,0.551,138.412,1
68,136.752,0.035,10.96,138.412,2
69,12.529,0.012,242.27,0.486,1
70,2.162,1.104,2.175,712.322,1
71,0.397,1519.97,0.024,78.236,1
72,0.496,2300.087,0.118,149.476,2
72,24.594,0.008,28.891,4.76,1
73,2.444,874.951,0.109,110.757,1
73,196.44,0,100.73,3.182,1
73,196.44,0.004,2.894,110.757,2
74,161.97,0,108.869,1.499,1
75,83.649,0,50.737,0.499,2
76,0.849,1738.053,0.032,103.95,1
76,53.818,0.005,153.84,1.671,1
77,1.296,52.096,0.017,4.861,1
77,1.296,1478.177,0.017,77.015,1
78,1.556,250.257,0.037,332.642,1
79,6.123,1080.918,1.205,33.129,1
79,86.782,0,457.993,0.535,1
79,86.782,0.009,113.227,33.129,1
80,375.582,0.001,3.706,3.391,1
80,375.582,0.001,3.706,161.136,1
81,5.785,543.343,0.011,304.658,1
81,380.961,0.17,0.342,16.195,1
82,3.089,2737,0.022,86.963,1
82,104.101,0.002,124.004,0.968,1
83,107.53,0,118.749,2.888,2
84,0.401,3867.373,0.126,53.308,1
84,28.804,0.002,57.175,1.193,1
84,28.804,0.045,5.417,53.308,1
85,0.764,1756.032,0.011,96.924,1
85,60.673,0.045,0.885,12.203,1
86,242.713,0,37.313,5.021,1
86,242.713,0.002,1.157,257.059,1
87,11.005,0,91.186,1.009,1
88,21.831,14.931,0.089,140.769,1
88,192.119,0,90.112,1.913,1
89,84.955,0,60.712,6.211,1
89,84.955,0.019,0.616,177.326,1
90,663.611,0,308.045,0.519,1
91,1.091,982.219,0.243,63.387,1
91,85.113,0.001,106.016,0.795,2
92,0.895,103.895,0.253,99.947,1
92,49.536,0.001,23.768,1,1
92,49.536,0.051,13.096,99.947,1
93,3.633,786.213,0.01,48.525,1
93,204.743,0,82.52,0.673,1
93,204.743,0.11,0.892,48.525,1
94,1.638,41.871,15.248,8.619,1
94,1.638,428.024,0.186,356.249,1
94,60.376,0.026,80.58,8.619,1
95,16.146,1316.115,0.261,650.469,1
95,329.159,0.003,114.503,7.201,2
96,159.373,0.002,123.627,0.264,2
97,4.999,2325.974,0.017,113.947,1
97,333.143,0,31.21,1.162,1
98,202.336,0,90.744,0.088,1
98,202.336,0,90.744,6.183,1
99,2.077,1017.076,1.831,5.987,1
99,2.077,5960.492,0.024,443.767,1
99,117.227,0.002,44.227,5.987,2
100,1.284,112.001,0.562,1.291,2
100,1.284,2435.511,0.036,28.11,1
101,1,893.305,0.28,162.32,1
101,37.736,0,220.951,1.885,1
101,37.736,0.003,6.151,162.32,1
102,106.039,0,168.977,2.362,1
102,106.039,0.024,2.937,49.587,1
103,107.073,0.012,8.015,79.146,1
104,18.71,182.509,0.154,75.243,1
104,86.547,0.001,142.366,1.216,1
105,1.106,556.43,0.403,20.697,1
105,109.023,0,15.912,0.312,1
105,109.023,0.002,15.912,20.697,1
106,5.238,1626.303,0.033,14.576,1
106,5.238,1626.303,0.033,246.001,1
106,165.531,0.932,0.187,14.576,1
106,165.531,0.932,0.187,246.001,1
107,0.601,1081.289,0.017,120.043,1
107,43.42,0,78.407,5.98,1
108,336.393,0.001,25.931,0.184,2
109,8.638,3650.171,0.233,53.195,2
109,264.703,0.032,112.961,9.531,1
110,0.493,168.619,1.083,0.45,1
110,0.493,168.619,1.083,26.485,1
110,44.101,0.001,84.805,26.485,2
110,44.101,0.001,84.849,0.45,2
112,49.014,0.006,562.103,0.745,1
113,0.797,2372.654,0.078,406.881,1
113,74.85,0.008,1.823,406.881,1
114,10.855,0.163,5.626,158.374,1
114,325.693,0,163.18,2.176,2
115,3.854,123.924,0.966,0.401,1
115,3.854,5462.559,0.916,30.051,1
115,217.916,0.002,17.449,0.401,1
115,217.916,0.095,16.543,30.051,1
116,122.552,0,127.602,0.2,1
117,3.52,1145.953,0.02,144.158,1
117,140.434,0,57.076,3.252,1
117,140.434,0.007,1.612,144.158,2
118,89.475,0,26.466,0.308,1
119,441.379,0,55.492,1.593,1
119,441.379,0.003,1.878,96.71,2
120,0.639,40.3,1.014,11.927,1
120,0.639,1422.283,0.03,229.301,2
121,0.442,1239.327,0.158,206.9,1
121,37.636,0,12.538,10.069,1
121,37.636,0.017,12.538,206.9,1
122,3.407,1254.377,0.454,202.597,1
122,56.755,0.028,26.524,202.597,2
123,1.019,770.9,0.347,132.851,1
123,65.607,0,247.184,2.948,1
123,65.607,0.004,32.026,132.851,1
124,1.144,38.346,0.071,129.089,2
124,65.018,0.13,3.325,129.089,1
125,264.98,0,98.723,0.63,1
126,0.486,1563.589,1.188,161.485,1
126,15.228,0.001,88.056,4.99,2
127,3.861,484.138,0.004,240.527,3
128,1.078,1833.385,0.008,82.34,1
128,74.894,0.001,44.313,3.4,2
129,1.44,2504.588,0.852,221.218,1
129,61.526,0,504.423,3.553,2
130,101.889,0,44.673,0.085,1
131,0.36,226.785,0.609,2.567,1
131,0.36,1279.543,0.01,110.784,1
131,27.66,0.001,48.247,2.567,1
132,0.606,48.763,0.481,4.175,1
132,0.606,3549.629,0.436,97.144,1
132,59.805,0.001,33.192,4.175,2
133,5.223,995.039,0.156,112.209,1
133,180.013,0.008,3.12,112.209,2
134,65.398,0,184.397,0.428,2
135,105.52,0.002,530.447,0.171,1
135,105.52,0.041,530.447,10.825,1
136,3.255,638.827,0.002,43.194,1
136,170.775,0,5.496,0.492,1
136,170.775,0.114,0.116,43.194,1
137,0.044,886.56,0.034,175.755,1
137,2.057,0.164,136.468,2.862,1
138,1.281,33.622,0.193,44.555,1
138,98.342,0.001,15.373,0.967,1
139,51.29,24.33,0.186,64.341,1
139,90.35,0,111.045,2.686,1
140,2.201,2360.764,0.049,94.91,1
140,15.572,0.018,94.729,1.351,1
141,3.337,255.637,0.011,47.335,2
141,133.688,0,75.745,0.545,1
142,31.501,147.476,0.269,440.208,1
142,464.069,0.073,121.742,25.764,1
143,3.382,337.714,0.007,64.591,1
143,165.959,0,16.641,0.671,1
144,4.843,370.752,0.01,114.387,1
144,118.854,0,63.011,1.325,1
144,118.854,0.015,0.741,114.387,2
145,1.568,134.983,0.013,70.787,1
145,125.097,0,44.289,2.247,2
146,127.813,0,131.343,0.736,1
147,3.746,1252.876,0.003,182.496,1
147,89.743,0,19.499,1.863,1
148,28.266,0,162.326,33.621,2
148,28.266,0,162.329,0.352,1
149,62.866,0,38.236,0.792,2
149,62.866,0.002,0.411,27.865,2
150,11.625,857.918,0.151,79.409,1
150,125.141,0.001,132.763,2.56,2
150,125.141,0.003,5.699,79.409,1
151,324.45,0,140.936,4.376,1
151,324.45,0.002,8.359,62.645,1
152,4.332,2734.224,0.024,317.286,1
153,3.556,23.007,0.039,8.363,1
153,10.711,0.003,1.703,8.363,1
154,1.419,95.954,4.857,5.547,1
154,1.419,2038.892,0.07,526.643,2
154,86.634,0.034,93.617,5.547,1
155,1.337,77.126,0.006,71.231,1
155,102.584,0.01,26.879,0.963,2
156,0.293,460.003,0.392,43.326,1
156,13.95,0.001,42.415,1.709,1
156,13.95,0.601,0.399,43.326,1
157,2.876,5.758,0.039,171.608,1
157,160.509,0.006,168.502,3.249,1
157,160.509,0.283,2.168,171.608,1
158,2,1770.884,0.041,39.587,2
158,28.952,0.002,51.789,0.655,1
159,6.789,719.563,0.138,85.105,1
159,61.754,0.002,6.828,85.105,2
160,438.517,0.007,2.347,79.601,1
160,438.517,0.007,34.76,15.165,1
161,2.08,1803.477,2.309,106.412,1
161,120.832,0.001,219.824,2.581,1
161,120.832,0.839,2.309,106.412,1
162,10.051,16.803,1.954,1.58,1
162,10.051,939.286,0.188,57.697,2
162,548.556,0.006,44.88,1.58,1
163,408.983,0.002,19.073,0.63,1
163,408.983,0.002,19.073,24.08,1
164,1.47,31.221,0.037,68.034,1
164,65.324,0,89.101,0.99,1
164,65.324,0.001,1.91,68.034,2
165,2.592,0.843,0.248,116.826,1
165,2.592,0.843,16.645,7.982,1
166,0.826,0.367,59.653,8.881,1
166,0.826,1662.103,0.026,376.281,1
166,7.9,0.004,59.711,8.881,1
167,0.507,720.323,0.977,263.22,1
167,40.196,0,77.533,3.238,1
168,98.363,0.002,4.197,212.787,1
169,112.172,0,11.982,0.15,1
170,9.657,215.303,1.407,20.048,1
170,232.311,0.001,83.868,0.317,2
171,1.713,67.86,0.04,3.422,1
171,1.713,2671.099,0.001,327.946,1
171,138.7,0.008,3.81,3.422,1
172,121.812,0,258.872,0.396,2
173,0.068,3073.691,0.071,221.034,1
173,6.624,0,109.495,6.86,2
174,0.561,1644.958,0.014,80.703,1
174,45.01,0,82.502,0.89,1
174,45.01,0.004,1.254,80.703,1
174,45.01,0.355,0.021,80.703,1
175,0.926,161.648,1.18,385.667,1
175,80.721,0.017,2.758,385.667,1
176,43.965,0,465.388,0.709,1
176,43.965,0.001,217.803,49.656,2
177,83.104,0.005,1.269,12.64,1
177,83.104,0.388,1.269,292.933,1
178,3.893,799.916,0.014,152.654,1
178,321.595,0,24.423,14.419,1
179,465.388,0,259.296,1.416,1
179,465.388,0.003,3.72,47.837,2
180,0.996,1790.449,0.014,111.673,1
180,73.122,0,98.603,2.417,1
181,13.033,155.917,0.029,433.714,1
181,273.909,0.003,174.371,4.915,2
182,1.452,2373.668,0.062,54.16,1
182,34.774,0,165.93,3.338,2
183,2.135,785.765,0.181,53.919,1
183,2.471,0.263,17.755,53.919,1
183,117.19,0,184.661,0.784,1
183,117.19,0.004,17.755,53.919,1
184,1.967,3975.499,0.047,235.691,2
184,25.823,0,155.742,11.298,1
184,25.823,0.014,4.198,235.691,1
185,3.582,366.841,0.042,247.593,1
185,147.286,0.001,1.568,247.593,1
185,147.286,0.001,116.455,2.893,2
186,0.969,43.719,0.574,6.873,1
186,0.969,3158.981,0.008,55.838,1
186,36.808,0,13.391,6.873,2
187,2.532,118.26,1.186,6.052,1
187,2.532,3768.988,0.036,484.475,1
188,8.463,501.454,0.111,208.57,1
188,354.982,0.07,0.668,208.57,1
189,84.159,0.001,72.298,0.459,1
189,84.159,0.001,72.298,18.706,1
190,0.993,1331.177,0.359,71.298,2
190,44.555,0,211.133,4.977,1
191,12.472,685.835,0.037,189.495,3
192,0.334,143.454,0.273,68.53,1
192,28.971,0,43.024,0.732,1
192,28.971,0.034,2.89,68.53,1
193,199.221,0,42.002,109.115,1
194,0.547,172.802,0.007,135.943,2
194,43.735,0,14.368,4.024,1
195,1.038,307.007,0.064,86.463,1
195,52.458,0,184.125,1.062,1
195,52.458,0.004,4.047,86.463,1
196,1.668,1015.646,0.092,72.3,2
196,32.806,0.002,205.379,2.318,1
196,32.806,0.101,5.846,72.3,1
197,2.851,341.366,0.028,245.362,1
197,144.366,0.001,2.355,245.362,2
198,3.207,19.228,1.799,0.762,1
198,3.207,1554.888,0.035,46.239,1
198,105.645,0,23.085,0.762,1
199,155.994,0,24.335,1.269,1
199,155.994,0.618,0.279,54.024,1
200,0.854,0.188,0.782,270,1
200,0.854,522.1,0.022,270,1
200,54.446,0,60.11,4.367,2
201,0.349,23.616,3.32,141.397,1
201,25.507,0.004,227.534,2.164,1
202,20.516,26.08,0.849,1.595,1
202,20.516,2490.166,0.011,65.544,1
202,601.092,0.001,74.299,1.595,1
203,10.144,644.448,2.914,76.682,1
203,157.909,0.017,268.6,1.296,1
203,157.909,0.052,4.111,76.682,1
204,3.315,1295.251,0.016,608.094,1
204,3.315,1295.251,1.314,20.677,1
204,159.513,0.004,29.552,20.677,1
204,159.513,0.184,0.368,608.094,1
205,3.799,195.34,0.004,309.22,1
205,42.744,0,15.415,4.802,2
206,0.883,735.951,0.005,49.154,1
206,42.977,0,17.148,1.325,1
206,42.977,0.141,0.185,49.154,1
207,54.843,0,108.299,1.677,1
208,101.174,0,22.527,1.126,1
208,101.174,0.147,0.459,93.004,1
209,2.015,3891.942,0.671,132.838,1
