parIndex,nStates,Phase,State,DSGRNPhase,nStatesRAC,basin,GRHL2,ZEB,miR200,SLUG,basinDiscret
1,1,1010,1010,1010,1,1,4.971276,-10.888731,7.881948,-1.125406,1
2,4,0300-0303-1003-1010,1003,0403-1010,4,0.14,5.797945,-2.820186,-0.175355,5.943576,0.14
2,4,0300-0303-1003-1010,1010,0403-1010,4,0.45,5.797945,-14.632476,5.985928,0.75232,0.45
2,4,0300-0303-1003-1010,0300,0403-1010,4,0.29,0.74381,2.536717,0.022291,0.752321,0.29
2,4,0300-0303-1003-1010,0303,0403-1010,4,0.12,0.743809,8.333512,-6.138992,5.943576,0.12
3,3,0300-0303-1010,1010,0400-0403-1110,3,0.12,5.583613,-7.171991,6.702561,1.801084,0.12
3,3,0300-0303-1010,0300,0400-0403-1110,3,0.37,0.930982,7.648288,0.150611,1.801084,0.37
3,3,0300-0303-1010,0303,0400-0403-1110,3,0.51,0.930982,10.503523,-5.294765,7.637011,0.51
4,3,0303-1010-1013,0303,0403-1010-1013,3,0.04,1.13023,8.399304,-2.697956,6.454105,0.04
4,3,0303-1010-1013,1010,0403-1010-1013,3,0.75,6.167991,-13.113515,7.279875,0.262254,0.75
4,3,0303-1010-1013,1013,0403-1010-1013,3,0.21,6.167991,-9.996134,1.756398,6.454105,0.21
5,3,0010-0300-0303,0300,0400-0403,3,0.41,-0.20241,6.438661,-1.740631,2.117778,0.41
5,3,0010-0300-0303,0303,0400-0403,3,0.38,-0.20241,9.880331,-8.351327,6.701625,0.38
5,3,0010-0300-0303,0010,0400-0403,3,0.21,3.733989,-5.417834,4.550106,2.117778,0.21
6,5,0300-0303-1010-1013-1200,0303,0403-1010-1200-1303,5,0.41,0.301981,7.872034,-3.067929,7.955826,0.41
6,5,0300-0303-1010-1013-1200,1200,0403-1010-1200-1303,5,0.04,6.558403,-2.504635,0.772243,1.549634,0.04
6,5,0300-0303-1010-1013-1200,0300,0403-1010-1200-1303,5,0.14,0.301981,3.285181,0.772243,1.549634,0.14
6,5,0300-0303-1010-1013-1200,1013,0403-1010-1200-1303,5,0.06,6.558403,-7.791307,2.861454,7.955826,0.06
6,5,0300-0303-1010-1013-1200,1010,0403-1010-1200-1303,5,0.35,6.558403,-12.37816,6.701625,1.549634,0.35
7,3,0300-0303-1010,0303,0300-0403,3,0.5,1.127595,10.143469,-5.166926,7.264777,0.5
7,3,0300-0303-1010,1010,0300-0403,3,0.21,7.426181,-6.234346,3.653747,2.300744,0.21
7,3,0300-0303-1010,0300,0300-0403,3,0.29,1.127595,4.513705,-1.230528,2.300744,0.29
8,1,1010,1010,1110,1,1,5.264196,-9.436924,5.797945,-0.042552,1
9,4,0303-0310-1010-1013,0310,0403-1010-1013,4,0.16,0.912226,1.150023,-0.642917,1.027764,0.16
9,4,0303-0310-1010-1013,1010,0403-1010-1013,4,0.5,6.435703,-12.122396,5.796694,1.027764,0.5
9,4,0303-0310-1010-1013,1013,0403-1010-1013,4,0.23,6.435703,-7.778722,1.321963,7.042582,0.23
9,4,0303-0310-1010-1013,0303,0403-1010-1013,4,0.11,0.912226,8.458282,-5.117647,7.042582,0.11
10,4,0112-0113-0302-0303,0112,0402-0403,4,0.04,-1.130951,-3.162548,2.921252,5.179625,0.04
10,4,0112-0113-0302-0303,0113,0402-0403,4,0.34,-1.130951,-3.162548,2.921244,6.557764,0.34
10,4,0112-0113-0302-0303,0303,0402-0403,4,0.47,-1.147538,7.045206,-3.377344,6.557764,0.47
10,4,0112-0113-0302-0303,0302,0402-0403,4,0.15,-1.147538,7.045206,-3.377335,5.179625,0.15
11,3,1003-1010-1303,1003,1010-1203,3,0.16,5.701447,-2.486056,0.136715,6.840651,0.16
11,3,1003-1010-1303,1303,1010-1203,3,0.08,1.304487,3.169072,-5.089835,6.840651,0.08
11,3,1003-1010-1303,1010,1010-1203,3,0.76,5.701452,-12.610209,6.103944,0.290766,0.76
12,3,0303-1010-1013,1013,0403-1010-1013,3,0.45,6.435703,-10.383572,-0.484027,7.042582,0.45
12,3,0303-1010-1013,0303,0403-1010-1013,3,0.17,0.18062,8.458282,-6.208114,7.042582,0.17
12,3,0303-1010-1013,1010,0403-1010-1013,3,0.38,6.435703,-16.164095,5.796694,1.081327,0.38
13,4,0300-0303-1010-1013,0300,0300-0403-1010,4,0.19,-1.009505,3.50119,-0.682874,-0.723966,0.19
13,4,0300-0303-1010-1013,1010,0300-0403-1010,4,0.38,5.281232,-13.483137,5.136354,-0.723966,0.38
13,4,0300-0303-1010-1013,1013,0300-0403-1010,4,0.16,5.281232,-7.226714,0.550665,5.796694,0.16
13,4,0300-0303-1010-1013,0303,0300-0403-1010,4,0.27,-1.009505,9.757631,-5.268386,5.796694,0.27
14,4,0303-0310-1010-1013,0310,0403-1010,4,0.48,-1.465171,0.33749,0.560464,-0.126582,0.48
14,4,0303-0310-1010-1013,1013,0403-1010,4,0.01,4.79118,-4.919781,2.631031,6.279611,0.01
14,4,0303-0310-1010-1013,0303,0403-1010,4,0.14,-1.465243,10.743561,-3.279707,6.279611,0.14
14,4,0303-0310-1010-1013,1010,0403-1010,4,0.37,4.79118,-9.50303,6.489847,-0.126582,0.37
15,1,1010,1010,1010,1,1,7.257609,-9.638486,7.23828,-1.041209,1
16,3,0303-1010-1013,1013,0210-0403-1010,3,0.03,5.489077,-3.997998,3.064508,5.264184,0.03
