Phase,Count,Frequency
0001-0303,2,2.0185708518368994e-4
0010,51,0.005147355672184093
0010-0011,7,7.064997981429148e-4
0010-0012,5,5.046427129592249e-4
0010-0012-0302,2,2.0185708518368994e-4
0010-0013,14,0.0014129995962858296
0010-0013-0300-0303,1,1.0092854259184497e-4
0010-0013-0303,44,0.0044408558740411785
0010-0013-0313,1,1.0092854259184497e-4
0010-0103,1,1.0092854259184497e-4
0010-0113,3,3.027856277755349e-4
0010-0113-0303,1,1.0092854259184497e-4
0010-0300,11,0.0011102139685102946
0010-0300-0302,2,2.0185708518368994e-4
0010-0300-0303,31,0.003128784820347194
0010-0302,5,5.046427129592249e-4
0010-0303,239,0.024121921679450948
0010-0310,2,2.0185708518368994e-4
0010-0312,5,5.046427129592249e-4
0010-0313,12,0.0012111425111021397
0011-0013-0301-0303,1,1.0092854259184497e-4
0011-0013-0303,7,7.064997981429148e-4
0011-0301-0303,3,3.027856277755349e-4
0011-0303,13,0.0013120710536939847
0012-0302,1,1.0092854259184497e-4
0013-0303,7,7.064997981429148e-4
0100-0303,13,0.0013120710536939847
0101-0102,1,1.0092854259184497e-4
0101-0303,3,3.027856277755349e-4
0101-0303-1001,3,3.027856277755349e-4
0102-1010,2,2.0185708518368994e-4
0103-1010,4,4.037141703673799e-4
0103-1010-1013,1,1.0092854259184497e-4
0110,5,5.046427129592249e-4
0110-0111,1,1.0092854259184497e-4
0110-0113-0303,2,2.0185708518368994e-4
0110-0113-0303-1010-1013,1,1.0092854259184497e-4
0110-0300-0302,1,1.0092854259184497e-4
0110-0300-0303,7,7.064997981429148e-4
0110-0300-0303-1010,2,2.0185708518368994e-4
0110-0300-1010,5,5.046427129592249e-4
0110-0302,1,1.0092854259184497e-4
0110-0303,40,0.004037141703673799
0110-0303-1010,23,0.0023213564796124345
0110-0303-1010-1013,1,1.0092854259184497e-4
0110-0310,2,2.0185708518368994e-4
0110-0312-1010,1,1.0092854259184497e-4
0110-0313,2,2.0185708518368994e-4
0110-0313-1010,1,1.0092854259184497e-4
0110-1010,3,3.027856277755349e-4
0111-0112,1,1.0092854259184497e-4
0111-0301-0303,1,1.0092854259184497e-4
0111-0301-0303-1011,1,1.0092854259184497e-4
0111-0303,9,9.083568833266048e-4
0111-0303-1011,1,1.0092854259184497e-4
0111-0303-1011-1013,1,1.0092854259184497e-4
0111-1010-1011,1,1.0092854259184497e-4
0112-0113-0302-0303,1,1.0092854259184497e-4
0112-0300-0302-1010,1,1.0092854259184497e-4
0112-0302-1010,2,2.0185708518368994e-4
0112-0302-1010-1012,1,1.0092854259184497e-4
0112-1010,8,8.074283407347598e-4
0112-1010-1012,2,2.0185708518368994e-4
0113,2,2.0185708518368994e-4
0113-0300-0303-1010,2,2.0185708518368994e-4
0113-0303,11,0.0011102139685102946
0113-0303-1010,43,0.004339927331449334
0113-0303-1010-1013,8,8.074283407347598e-4
0113-0303-1011,3,3.027856277755349e-4
0113-0303-1013,3,3.027856277755349e-4
0113-1010,4,4.037141703673799e-4
0113-1010-1013,2,2.0185708518368994e-4
0113-1011,2,2.0185708518368994e-4
0113-1011-1013,1,1.0092854259184497e-4
0200,2,2.0185708518368994e-4
0200-0201,3,3.027856277755349e-4
0200-0201-1010-1011,1,1.0092854259184497e-4
0200-0202-1010-1012,1,1.0092854259184497e-4
0200-0301-1010-1011,1,1.0092854259184497e-4
0200-0302-1010,1,1.0092854259184497e-4
0200-0302-1010-1012,1,1.0092854259184497e-4
0200-0303,9,9.083568833266048e-4
0200-0303-1010,34,0.003431570448122729
0200-0303-1010-1013,1,1.0092854259184497e-4
0200-1010,7,7.064997981429148e-4
0201-0303,3,3.027856277755349e-4
0201-0303-1001,1,1.0092854259184497e-4
0201-0303-1011,2,2.0185708518368994e-4
0202-1010,1,1.0092854259184497e-4
0202-1012,1,1.0092854259184497e-4
0203,1,1.0092854259184497e-4
0203-1010,4,4.037141703673799e-4
0203-1010-1013,5,5.046427129592249e-4
0203-1011-1013,1,1.0092854259184497e-4
0203-1013,1,1.0092854259184497e-4
0210,2,2.0185708518368994e-4
0210-0300,1,1.0092854259184497e-4
0210-0303,8,8.074283407347598e-4
0210-0303-1010,3,3.027856277755349e-4
0210-0303-1010-1013,1,1.0092854259184497e-4
0210-0313,1,1.0092854259184497e-4
0210-1010,2,2.0185708518368994e-4
0211-0303,4,4.037141703673799e-4
0211-0303-1011-1013,1,1.0092854259184497e-4
0212-1010,1,1.0092854259184497e-4
0213,1,1.0092854259184497e-4
0213-1010,3,3.027856277755349e-4
0213-1010-1013,2,2.0185708518368994e-4
0213-1011,1,1.0092854259184497e-4
0300,28,0.002825999192571659
0300-0301,3,3.027856277755349e-4
0300-0301-1010-1011,19,0.0019176423092450545
0300-0302,3,3.027856277755349e-4
0300-0302-1002-1010,5,5.046427129592249e-4
0300-0302-1010,21,0.0021194993944287444
0300-0302-1010-1012,6,6.055712555510698e-4
0300-0302-1010-1112,1,1.0092854259184497e-4
0300-0303,101,0.010193782801776342
0300-0303-1000-1003,1,1.0092854259184497e-4
0300-0303-1003-1010,26,0.0026241421073879695
0300-0303-1010,447,0.0451150585385547
0300-0303-1010-1013,69,0.006964069438837303
0300-0303-1010-1100,11,0.0011102139685102946
0300-0303-1010-1103,1,1.0092854259184497e-4
0300-0303-1010-1113,1,1.0092854259184497e-4
0300-0303-1100,5,5.046427129592249e-4
0300-0303-1100-1103,2,2.0185708518368994e-4
0300-1000,2,2.0185708518368994e-4
0300-1010,152,0.015341138473960436
0300-1010-1100,4,4.037141703673799e-4
0300-1100,2,2.0185708518368994e-4
0301,4,4.037141703673799e-4
0301-0302,1,1.0092854259184497e-4
0301-0302-1001-1002,1,1.0092854259184497e-4
0301-0303,111,0.011203068227694792
0301-0303-1001,13,0.0013120710536939847
0301-0303-1001-1003,5,5.046427129592249e-4
0301-0303-1001-1103,1,1.0092854259184497e-4
0301-0303-1003-1011,13,0.0013120710536939847
0301-0303-1011,54,0.005450141299959629
0301-0303-1011-1013,47,0.004743641501816714
0301-0303-1011-1101,1,1.0092854259184497e-4
0301-0303-1011-1103,2,2.0185708518368994e-4
0301-0303-1101,4,4.037141703673799e-4
0301-0303-1101-1103,1,1.0092854259184497e-4
0301-1001,1,1.0092854259184497e-4
0301-1011,3,3.027856277755349e-4
0302,1,1.0092854259184497e-4
0302-0303,33,0.0033306419055308843
0302-0303-1002-1003,4,4.037141703673799e-4
0302-0303-1003-1012,1,1.0092854259184497e-4
0302-0303-1012-1013,16,0.0016148566814695195
0302-0303-1102-1103,2,2.0185708518368994e-4
0302-0310,1,1.0092854259184497e-4
0302-0310-1010,1,1.0092854259184497e-4
0302-0310-1210,1,1.0092854259184497e-4
0302-1002-1010,6,6.055712555510698e-4
0302-1010,14,0.0014129995962858296
0302-1010-1012,44,0.0044408558740411785
0302-1010-1012-1102,1,1.0092854259184497e-4
0302-1010-1102,1,1.0092854259184497e-4
0302-1012,2,2.0185708518368994e-4
