parIndex,nStates,Phase,State,DSGRNPhase,nStatesRAC,basin,GRHL2,ZEB,miR200,SLUG,basinDiscret
1,2,0303-1010,0303,0110-0403-1010,2,0.35,-0.213695,9.384798,-3.094311,6.932863,0.35
1,2,0303-1010,1010,0110-0403-1010,2,0.65,6.193381,-14.134135,6.614336,0.525787,0.65
2,3,0110-0300-1010,0110,0400,3,0.19,1.560746,-2.226841,6.957722,-4.118266,0.19
2,3,0110-0300-1010,0300,0400,3,0.59,1.560746,8.543984,0.840856,-4.118266,0.59
2,3,0110-0300-1010,1010,0400,3,0.22,7.269003,-8.339043,6.957722,-4.118266,0.22
3,4,0101-0301-0303-1001,0303,0301-0403,4,0.3,0.967359,8.856056,-4.133177,7.537245,0.3
3,4,0101-0301-0303-1001,1001,0301-0403,4,0.28,7.559213,-8.444418,-1.579549,2.346675,0.28
3,4,0101-0301-0303-1001,0101,0301-0403,4,0.16,0.96736,-3.336188,-1.579549,2.346675,0.16
3,4,0101-0301-0303-1001,0301,0301-0403,4,0.26,0.967359,3.139205,-4.133177,2.346675,0.26
4,3,0010-0013-0303,0013,0010-0403,3,0.02,2.328034,-3.202256,-0.324856,6.099949,0.02
4,3,0010-0013-0303,0303,0010-0403,3,0.05,-4.290224,8.457015,-6.468898,6.099949,0.05
4,3,0010-0013-0303,0010,0010-0403,3,0.93,2.328034,-8.769663,4.757129,-0.215821,0.93
5,3,0303-1010-1013,1013,0210-0403-1010,3,0.01,6.249868,-7.805393,1.878865,6.048779,0.01
5,3,0303-1010-1013,0303,0210-0403-1010,3,0.12,0.671996,9.773141,-3.72008,6.048779,0.12
5,3,0303-1010-1013,1010,0210-0403-1010,3,0.87,6.249868,-13.608395,7.456736,-0.380947,0.87
6,2,0300-1010,0300,1010,2,0.19,0.770932,1.972727,-0.019411,-1.451598,0.19
6,2,0300-1010,1010,1010,2,0.81,6.204967,-12.264738,5.135087,-1.451598,0.81
7,3,0303-0310-1010,0303,0310-0403,3,0.84,0.863949,10.846591,-3.956688,6.468631,0.84
7,3,0303-0310-1010,1010,0310-0403,3,0.03,6.382232,-5.081725,6.834441,-0.122416,0.03
7,3,0303-0310-1010,0310,0310-0403,3,0.13,0.863949,2.625238,0.93337,-0.122416,0.13
8,4,0300-0303-1003-1010,0303,0403-1010-1203,4,0.2,3.071835,7.498358,-5.894077,7.585786,0.2
8,4,0300-0303-1003-1010,1010,0403-1010-1203,4,0.38,6.606667,-10.4237,5.71163,1.318842,0.38
8,4,0300-0303-1003-1010,1003,0403-1010-1203,4,0.22,6.606667,-2.561665,-0.545401,7.585786,0.22
8,4,0300-0303-1003-1010,0300,0403-1010-1203,4,0.2,3.071835,2.90974,0.362953,1.318843,0.2
9,4,0300-0303-1003-1010,0300,0403-1010-1103,4,0.13,1.057386,4.957925,-0.958611,-1.173987,0.13
9,4,0300-0303-1003-1010,1010,0403-1010-1103,4,0.14,6.492936,-12.57298,5.156452,-1.173987,0.14
9,4,0300-0303-1003-1010,1003,0403-1010-1103,4,0.41,6.492936,-0.849544,-0.535261,5.06397,0.41
9,4,0300-0303-1003-1010,0303,0403-1010-1103,4,0.32,1.057386,10.603202,-6.650324,5.06397,0.32
10,2,0300-1010,1010,1010,2,0.65,6.943695,-12.657054,5.673958,-2.014726,0.65
10,2,0300-1010,0300,1010,2,0.35,1.538906,3.866358,-0.946522,-2.014726,0.35
11,1,0303,0303,0403-1203,1,1,0.888297,9.676221,-5.269799,7.323637,1
12,3,0300-0303-1010,0300,0400-0403-1010,3,0.53,-0.399975,5.182401,-1.59417,0.629553,0.53
12,3,0300-0303-1010,0303,0400-0403-1010,3,0.34,-0.399978,9.756825,-7.124472,6.170504,0.34
12,3,0300-0303-1010,1010,0400-0403-1010,3,0.13,5.501092,-8.447436,4.964735,0.629552,0.13
13,1,1010,1010,1010,1,1,4.94036,-14.952082,6.444904,-0.295329,1
14,3,0303-1010-1013,1010,0403-1010,3,0.34,6.412491,-12.000645,6.224574,2.471708,0.34
14,3,0303-1010-1013,0303,0403-1010,3,0.27,-0.208639,9.424548,-4.902499,7.107929,0.27
14,3,0303-1010-1013,1013,0403-1010,3,0.39,6.412491,-7.206961,0.081219,7.107929,0.39
15,5,0300-0303-0310-1010-1013,0310,0400-0403-1010-1113,5,0.1,-0.987354,0.685885,2.001557,-0.575488,0.1
15,5,0300-0303-0310-1010-1013,0303,0400-0403-1010-1113,5,0.12,-0.987354,10.881306,-2.829014,5.511735,0.12
15,5,0300-0303-0310-1010-1013,0300,0400-0403-1010-1113,5,0.52,-0.987354,7.134661,1.24162,-0.575488,0.52
15,5,0300-0303-0310-1010-1013,1013,0400-0403-1010-1113,5,0.01,5.183022,-7.632359,3.523784,5.511735,0.01
