Phase,RACIPE,DSGRN,JSD,Parameter,nState
0010,2.5510204081632655e-4,0,0.9223254977647142,Phase,3
0010-0012-0200-0302,2.5510204081632655e-4,0,0.9223254977647142,Phase,3
0010-0013,2.5510204081632655e-4,0,0.9223254977647142,Phase,3
0010-0013-0100-0300-0303,5.102040816326531e-4,0,0.9223254977647142,Phase,3
0010-0013-0110-0303,2.5510204081632655e-4,0,0.9223254977647142,Phase,3
0010-0013-0300-0303,0.002551020408163265,0,0.9223254977647142,Phase,3
0010-0013-0303,0.007653061224489796,0,0.9223254977647142,Phase,3
0010-0013-0303-0310,2.5510204081632655e-4,0,0.9223254977647142,Phase,3
0010-0100-0300-0302,2.5510204081632655e-4,0,0.9223254977647142,Phase,3
0010-0100-0300-0303,2.5510204081632655e-4,0,0.9223254977647142,Phase,3
0010-0110-0300,2.5510204081632655e-4,0,0.9223254977647142,Phase,3
0010-0110-0303,2.5510204081632655e-4,0,0.9223254977647142,Phase,3
0010-0113-0300-0303,2.5510204081632655e-4,0,0.9223254977647142,Phase,3
0010-0113-0303,0.0012755102040816326,0,0.9223254977647142,Phase,3
0010-0113-0403,0,0.0068877551020408165,0.9223254977647142,Phase,3
0010-0200-0402,0,5.102040816326531e-4,0.9223254977647142,Phase,3
0010-0200-0403,0,0.002295918367346939,0.9223254977647142,Phase,3
0010-0210-0300,2.5510204081632655e-4,0,0.9223254977647142,Phase,3
0010-0210-0300-0303,7.653061224489796e-4,0,0.9223254977647142,Phase,3
0010-0210-0303,0.0012755102040816326,0,0.9223254977647142,Phase,3
0010-0213-0403,0,0.003826530612244898,0.9223254977647142,Phase,3
0010-0300,2.5510204081632655e-4,0,0.9223254977647142,Phase,3
0010-0300-0302,2.5510204081632655e-4,0,0.9223254977647142,Phase,3
0010-0300-0303,0.010459183673469388,0,0.9223254977647142,Phase,3
0010-0300-0403,0,0.004336734693877551,0.9223254977647142,Phase,3
0010-0303,0.001530612244897959,0,0.9223254977647142,Phase,3
0010-0303-0310,0.002295918367346939,0,0.9223254977647142,Phase,3
0010-0310,2.5510204081632655e-4,0,0.9223254977647142,Phase,3
0010-0400-0403,0,0.0017857142857142857,0.9223254977647142,Phase,3
0011-0013-0301-0303,0.001530612244897959,0,0.9223254977647142,Phase,3
0011-0013-0303-0311,5.102040816326531e-4,0,0.9223254977647142,Phase,3
0011-0201-0403,0,7.653061224489796e-4,0.9223254977647142,Phase,3
0011-0213-0403,0,5.102040816326531e-4,0.9223254977647142,Phase,3
0011-0301-0303,7.653061224489796e-4,0,0.9223254977647142,Phase,3
0011-0301-0403,0,5.102040816326531e-4,0.9223254977647142,Phase,3
0011-0303,2.5510204081632655e-4,0,0.9223254977647142,Phase,3
0011-0401-0403,0,2.5510204081632655e-4,0.9223254977647142,Phase,3
0101-0301-0303-1001,2.5510204081632655e-4,0,0.9223254977647142,Phase,3
0101-0301-0303-1001-1003,2.5510204081632655e-4,0,0.9223254977647142,Phase,3
0103-0303-1010-1013,2.5510204081632655e-4,0,0.9223254977647142,Phase,3
0110-0113-0303-0310-1010-1013,2.5510204081632655e-4,0,0.9223254977647142,Phase,3
0110-0113-0403,0,0.0012755102040816326,0.9223254977647142,Phase,3
0110-0213-0403,0,0.004846938775510204,0.9223254977647142,Phase,3
0110-0300-0303,0.002551020408163265,0,0.9223254977647142,Phase,3
0110-0300-0303-1010,0.0020408163265306124,0,0.9223254977647142,Phase,3
0110-0300-0403,0,0.001530612244897959,0.9223254977647142,Phase,3
0110-0300-1010,5.102040816326531e-4,0.0017857142857142857,0.9223254977647142,Phase,3
