Phase,RACIPE,DSGRN,JSD,Parameter,nState
0110-0112-0302-1010-1012,0,0.008620689655172414,0.9999999999999999,Phase,5
0110-0213-0400-0403-1010,0,0.008620689655172414,0.9999999999999999,Phase,5
0110-0213-0403-1010-1013,0,0.09482758620689655,0.9999999999999999,Phase,5
0110-0300-0302-1002-1010,0,0.008620689655172414,0.9999999999999999,Phase,5
0110-0300-0403-1010-1013,0,0.034482758620689655,0.9999999999999999,Phase,5
0110-0313-0403-1010-1013,0,0.008620689655172414,0.9999999999999999,Phase,5
0110-0400-0403-1010-1013,0,0.008620689655172414,0.9999999999999999,Phase,5
0111-0401-0403-1011-1013,0,0.017241379310344827,0.9999999999999999,Phase,5
0113-0300-0303-1010,0.017241379310344827,0,0.9999999999999999,Phase,5
0113-0303-1010-1013,0.034482758620689655,0,0.9999999999999999,Phase,5
0113-0303-1013,0.008620689655172414,0,0.9999999999999999,Phase,5
0200-0303-1010-1013,0.008620689655172414,0,0.9999999999999999,Phase,5
0203-1010-1013,0.008620689655172414,0,0.9999999999999999,Phase,5
0210-0212-0402-1010-1012,0,0.017241379310344827,0.9999999999999999,Phase,5
0210-0213-0400-0403-1010,0,0.034482758620689655,0.9999999999999999,Phase,5
0210-0213-0403-1010-1013,0,0.1810344827586207,0.9999999999999999,Phase,5
0210-0313-0400-0403-1010,0,0.02586206896551724,0.9999999999999999,Phase,5
0210-0313-0403-1010-1013,0,0.04310344827586207,0.9999999999999999,Phase,5
0210-0400-0402-1010-1012,0,0.008620689655172414,0.9999999999999999,Phase,5
0210-0400-0403-1010-1013,0,0.008620689655172414,0.9999999999999999,Phase,5
0211-0213-0403-1011-1013,0,0.04310344827586207,0.9999999999999999,Phase,5
0300-0302-1002-1010,0.017241379310344827,0,0.9999999999999999,Phase,5
0300-0302-1010,0.008620689655172414,0,0.9999999999999999,Phase,5
0300-0302-1010-1012,0.017241379310344827,0,0.9999999999999999,Phase,5
0300-0303-1003-1010,0.05172413793103448,0,0.9999999999999999,Phase,5
0300-0303-1010,0.13793103448275862,0,0.9999999999999999,Phase,5
0300-0303-1010-1013,0.07758620689655173,0,0.9999999999999999,Phase,5
0300-0303-1010-1013-1100,0,0.008620689655172414,0.9999999999999999,Phase,5
0300-0303-1010-1103,0.05172413793103448,0,0.9999999999999999,Phase,5
0300-0403-1010-1013-1100,0,0.034482758620689655,0.9999999999999999,Phase,5
0301-0303-1003-1011,0.017241379310344827,0,0.9999999999999999,Phase,5
0301-0303-1011,0.02586206896551724,0,0.9999999999999999,Phase,5
0301-0303-1011-1013,0.034482758620689655,0,0.9999999999999999,Phase,5
0301-0403-1011-1013-1101,0,0.008620689655172414,0.9999999999999999,Phase,5
