Phase,RACIPE,DSGRN,JSD,Parameter,nState
0002-0010-0300-0302,8.002133902373967e-4,0,0.9272681407231304,Phase,3
0010,5.334755934915977e-4,0,0.9272681407231304,Phase,3
0010-0012-0202,0,2.6673779674579886e-4,0.9272681407231304,Phase,3
0010-0012-0300-0302,2.6673779674579886e-4,0,0.9272681407231304,Phase,3
0010-0012-0302,5.334755934915977e-4,2.6673779674579886e-4,0.9272681407231304,Phase,3
0010-0013-0300-0303,0.0037343291544411844,0,0.9272681407231304,Phase,3
0010-0013-0303,0.004534542544678581,0,0.9272681407231304,Phase,3
0010-0013-0303-0310,0.0010669511869831954,0,0.9272681407231304,Phase,3
0010-0112-0300,2.6673779674579886e-4,0,0.9272681407231304,Phase,3
0010-0113-0300-0303,5.334755934915977e-4,0,0.9272681407231304,Phase,3
0010-0113-0303,5.334755934915977e-4,0,0.9272681407231304,Phase,3
0010-0113-0303-0310,5.334755934915977e-4,0,0.9272681407231304,Phase,3
0010-0113-0403,0,0.00480128034142438,0.9272681407231304,Phase,3
0010-0200-0202,0,2.6673779674579886e-4,0.9272681407231304,Phase,3
0010-0200-0303,0,2.6673779674579886e-4,0.9272681407231304,Phase,3
0010-0200-0403,0,0.0010669511869831954,0.9272681407231304,Phase,3
0010-0210-0300-0303,2.6673779674579886e-4,0,0.9272681407231304,Phase,3
0010-0210-0303,5.334755934915977e-4,0,0.9272681407231304,Phase,3
0010-0213-0403,0,0.004267804747932782,0.9272681407231304,Phase,3
0010-0300,2.6673779674579886e-4,0,0.9272681407231304,Phase,3
0010-0300-0302,5.334755934915977e-4,5.334755934915977e-4,0.9272681407231304,Phase,3
0010-0300-0303,0.01440384102427314,0,0.9272681407231304,Phase,3
0010-0300-0303-0310,2.6673779674579886e-4,0,0.9272681407231304,Phase,3
0010-0300-0402,0,2.6673779674579886e-4,0.9272681407231304,Phase,3
0010-0300-0403,0,0.005868231528407575,0.9272681407231304,Phase,3
0010-0303,0.002667377967457989,0,0.9272681407231304,Phase,3
0010-0303-0310,2.6673779674579886e-4,0,0.9272681407231304,Phase,3
0010-0400-0403,0,0.002667377967457989,0.9272681407231304,Phase,3
0011-0013-0301-0303,0.0010669511869831954,0,0.9272681407231304,Phase,3
0011-0013-0303-0311,5.334755934915977e-4,0,0.9272681407231304,Phase,3
0011-0113-0301-0303,2.6673779674579886e-4,0,0.9272681407231304,Phase,3
0011-0113-0403,0,5.334755934915977e-4,0.9272681407231304,Phase,3
0011-0201-0403,0,2.6673779674579886e-4,0.9272681407231304,Phase,3
0011-0213-0403,0,2.6673779674579886e-4,0.9272681407231304,Phase,3
0011-0301-0303,0.0010669511869831954,0,0.9272681407231304,Phase,3
0011-0313-0403,0,2.6673779674579886e-4,0.9272681407231304,Phase,3
0012-0110-0212-0300-0302,2.6673779674579886e-4,0,0.9272681407231304,Phase,3
0013-0303,2.6673779674579886e-4,0,0.9272681407231304,Phase,3
0013-0303-1010-1013,2.6673779674579886e-4,0,0.9272681407231304,Phase,3
0101-0301-0303-1001,2.6673779674579886e-4,0,0.9272681407231304,Phase,3
0102-0302-1002-1010,2.6673779674579886e-4,0,0.9272681407231304,Phase,3
0110-0112-0302,0,2.6673779674579886e-4,0.9272681407231304,Phase,3
0110-0113-0303-0310-1010-1013,0.0013336889837289945,0,0.9272681407231304,Phase,3
0110-0113-0403,0,0.0016004267804747934,0.9272681407231304,Phase,3
0110-0202-1010,0,8.002133902373967e-4,0.9272681407231304,Phase,3
0110-0212-1010,0,5.334755934915977e-4,0.9272681407231304,Phase,3
0110-0213-0403,0,0.002133902373966391,0.9272681407231304,Phase,3
0110-0213-1010,0,0.0010669511869831954,0.9272681407231304,Phase,3
0110-0300-0302,2.6673779674579886e-4,0,0.9272681407231304,Phase,3
0110-0300-0303,0.0010669511869831954,0,0.9272681407231304,Phase,3
0110-0300-0303-1010,0.00240064017071219,0,0.9272681407231304,Phase,3
0110-0300-0303-1010-1013,5.334755934915977e-4,0,0.9272681407231304,Phase,3
0110-0300-0402,0,5.334755934915977e-4,0.9272681407231304,Phase,3
