parIndex,nStates,Phase,State,DSGRNPhase,nStatesRAC,basin,GRHL2,ZEB,miR200,SLUG,basinDiscret
1,2,0303-1013,0303,0300-0403-1010,2,1,7.885,328.548,0.177,112.321,1
1,2,0303-1013,1013,0300-0403-1010,2,1,102.355,0.03,15.197,112.321,1
2,2,0010-0013,0010,0010-0203,2,0.3333333333333333,34.503,0,92.613,1.378,0.3333333333333333
2,2,0010-0013,0013,0010-0203,2,0.25,34.503,0.015,40.097,61.637,0.25
3,1,1010,1010,1010,1,0.2,91.867,0,110.537,2.339,0.2
4,3,0303-1010-1013,1010,0213-0403-1010-1013,3,1,101.744,0,95.502,3.619,1
4,3,0303-1010-1013,1013,0213-0403-1010-1013,3,1,101.744,0.008,36.924,111.097,1
4,3,0303-1010-1013,0303,0213-0403-1010-1013,3,0.16666666666666666,1.932,783.139,0.655,111.097,0.16666666666666666
5,3,0303-1010-1013,0303,0403-1010-1013,3,0.3333333333333333,1.869,511.307,0.759,305.981,0.3333333333333333
5,3,0303-1010-1013,1010,0403-1010-1013,3,0.25,128.942,0,106.127,7.601,0.25
5,3,0303-1010-1013,1013,0403-1010-1013,3,0.2,128.942,0.007,4.557,305.981,0.2
6,3,0303-1010-1013,1013,0403-1010-1013,3,0.5,18.941,0.032,15.13,92.307,0.5
6,3,0303-1010-1013,0303,0403-1010-1013,3,0.16666666666666666,0.199,521.295,0.155,92.307,0.16666666666666666
6,3,0303-1010-1013,1010,0403-1010-1013,3,1,18.941,0,78.315,1.405,1
7,2,0300-1000,1000,0300-0403-1000,2,0.5,35.538,0.048,3.485,1.196,0.5
7,2,0300-1000,0300,0300-0403-1000,2,0.3333333333333333,0.664,67.348,0.187,1.196,0.3333333333333333
8,1,0010,0010,0010,1,0.2,6.75,0.091,94.045,0.244,0.2
9,2,0303-1010,1010,0403-1010,2,1,63.666,0.01,240.158,0.784,1
9,2,0303-1010,0303,0403-1010,2,0.16666666666666666,0.688,2061.168,0.086,40.032,0.16666666666666666
10,1,1010,1010,0110-1010,1,1,108.069,0.001,177.542,0.402,1
11,2,1010-1012,1012,0312-1010-1012,2,0.5,150.557,0.018,22.785,35.901,0.5
11,2,1010-1012,1010,0312-1010-1012,2,0.3333333333333333,150.557,0,26.509,0.563,0.3333333333333333
12,1,1010,1010,1010,1,0.2,147.63,0.002,112.965,0.115,0.2
14,2,0303-1003,1003,0403-1010-1103,2,2,71.387,0.494,2.18,93.206,2
14,2,0303-1003,0303,0403-1010-1103,2,0.16666666666666666,0.781,1133.047,0.059,93.206,0.16666666666666666
15,2,0303-1013,0303,0403-1013,2,0.5,3.434,890.2,0.03,240.522,0.5
15,2,0303-1013,1013,0403-1013,2,0.3333333333333333,303.598,0.018,2.916,240.522,0.3333333333333333
16,1,1010,1010,1010,1,0.25,142.54,0,71.821,1.828,0.25
17,2,1010-1013,1013,1010-1113,2,0.16666666666666666,66.93,0.002,70.009,59.901,0.16666666666666666
17,2,1010-1013,1010,1010-1113,2,0.2,66.93,0,189.41,1.54,0.2
18,2,0303-1003,1003,0403-1010,2,0.5,73.657,1.191,0.197,105.256,0.5
18,2,0303-1003,0303,0403-1010,2,1,1.546,497.489,0.008,105.256,1
19,2,0303-1003,1003,0403-1101-1103,2,0.5,252.244,0.114,0.737,81.892,0.5
19,2,0303-1003,0303,0403-1101-1103,2,0.3333333333333333,7.413,561.572,0.01,81.892,0.3333333333333333
20,2,0303-1013,1013,0403-1013,2,0.16666666666666666,78.315,0.018,2.241,151.782,0.16666666666666666
20,2,0303-1013,0303,0403-1013,2,0.2,2.362,955.054,0.042,151.782,0.2
21,2,1010-1012,1012,1010-1012,2,0.5,96.555,0.001,71.535,43.5,0.5
21,2,1010-1012,1010,1010-1012,2,1,96.555,0,227.804,0.775,1
22,2,0303-1010,1010,0300-0403-1010-1100,2,0.75,102.316,0,66.318,1.324,0.75
22,2,0303-1010,0303,0300-0403-1010-1100,2,0.3333333333333333,1.951,817.262,0.308,67.468,0.3333333333333333
