ParIndex,GRHL2,ZEB,miR200,SLUG,Count
1,4.975,310.736,0.012,153.006,1
1,231.188,0,20.119,2.406,1
1,231.188,0.064,0.993,153.006,1
2,3.179,1306.457,0.037,137.672,1
2,99.424,0.169,0.099,137.672,2
3,1.355,599.245,0.001,111.223,1
3,94.168,0.004,2.26,2.494,2
4,1.482,145.477,2.625,69.298,1
4,103.835,0,37.838,3.482,1
4,103.835,0.008,5.049,69.298,1
5,0.692,0.28,93.082,0.109,1
6,0.872,364.368,20.801,1.765,2
7,0.985,632.83,0.145,143.004,2
7,76.763,0.019,1.42,143.004,2
8,4.099,368.524,1.762,3.943,1
8,4.099,1978.254,0.061,124.759,1
8,69.765,0.002,153.116,3.943,2
8,69.765,0.007,5.279,124.759,2
9,1.793,15.518,4.639,42.515,2
9,141.294,1.035,166.479,0.691,1
10,1.031,25.299,1.697,2.631,1
10,1.031,1115.117,0.057,97.72,1
11,69.217,0,87.105,1.279,1
11,69.217,0.002,64.983,48.958,1
12,155.372,0.001,106.428,0.052,1
13,108.523,0.002,35.116,0.393,1
14,0.212,46.72,2.369,0.824,1
14,14.88,0.001,105.666,0.824,2
15,0.981,265.066,0.016,19.428,1
15,87.046,0,142.478,1.213,1
15,87.046,0.075,1.479,19.428,1
16,1.669,1503.194,0.271,32.338,1
16,153.116,0,110.672,3.494,1
16,153.116,0.007,21.401,32.338,1
17,7.137,354.462,0.013,92.485,2
17,176.565,0,15.153,1.728,1
18,82.053,0,11.889,0.847,1
19,0.299,1414.686,0.035,68.545,1
19,20.956,0.034,14.88,2.771,1
20,10.425,0.332,0.409,0.479,2
21,1.007,18.045,0.78,5.008,1
21,1.007,726.469,0.009,69.998,1
21,50.452,0.002,71.489,5.008,1
22,1.434,151.532,0.106,55.76,1
22,35.475,1.039,0.176,55.76,1
22,35.484,0.001,92.56,1.041,1
23,5.669,1683.265,0.142,124.069,1
23,185.846,0.001,58.28,6.858,2
24,102.91,139.808,0.157,110.672,1
24,197.93,0.003,150.322,1.514,1
25,32.266,0.008,6.097,0.057,2
26,217.11,0,23.273,0.829,1
26,217.11,0.008,0.379,17.244,1
27,2.154,147.772,0.789,4.643,1
27,2.154,767.632,0.061,241.137,2
27,162.581,0.002,63.222,4.643,1
28,39.292,0.001,69.217,1.221,1
29,0.839,425.318,3.222,1.684,2
29,3.842,0.27,123.274,1.684,1
29,69.235,0.004,123.287,1.684,1
30,0.927,2444.306,0.383,101.322,1
30,38.318,0,306.581,2.658,1
30,38.318,0.028,15.485,101.322,1
31,94.299,0,75.09,0.182,1
32,114.088,67.802,0.061,151.74,1
32,166.805,0.011,70.143,4.085,2
33,5.142,131.889,0.003,103.834,1
33,378.921,0,28.232,13.481,1
33,378.921,0.049,0.319,103.834,1
34,2.184,1140.999,0.098,57.79,1
34,94.643,0.002,123.365,0.581,1
35,11.497,3582.797,0.036,176.565,1
36,1.243,52.683,2.235,0.98,1
36,1.243,2286.043,0.258,80.785,1
36,55.086,0.007,64.997,0.98,1
37,30.927,0.001,168.153,3.088,2
38,132.4,0,124.848,1.206,1
39,419.47,0.001,378.921,0.174,1
40,1.051,401.668,0.008,180.968,1
40,80.048,0,43.578,2.636,1
41,103.949,0,155.455,3.156,1
41,103.949,0.002,3.719,87.046,1
42,2.426,89.267,3.118,104.213,1
42,41.295,0.006,419.47,1.376,2
43,1.276,1135.471,0.098,77.596,1
