Parameter,nState,Avg,Std,HillRange
monoMulti,1,0,0,1-10
monoMulti,2,0.26070454953786093,0.0015488272970983121,1-10
monoMulti,3,0.11115889146298621,0.0062289585271794205,1-10
monoMulti,4,0.10249731703812179,0.0053136682186839465,1-10
monoMulti,5,0.09102649719335953,0.011789554751131874,1-10
monoMulti,6,0.13808345297970492,0.05966488519809669,1-10
nState,1,0,0,1-10
nState,2,0.26070454953786093,0.0015488272970983121,1-10
nState,3,0.5738207118567428,0.010505258515951223,1-10
nState,4,0.880839455065687,0.017427111514661663,1-10
nState,5,1,0,1-10
nState,6,1,0,1-10
Phase,1,0.14113120584771552,0.009226506191962299,1-10
Phase,2,0.6288938039835352,6.298768679094031e-4,1-10
Phase,3,0.892335742469555,0.002419009148185294,1-10
Phase,4,0.9670340646649509,0.0017211562360985179,1-10
Phase,5,0.9999999999999998,2.220446049250313e-16,1-10
Phase,6,0.9999999999999999,1.3597399555105182e-16,1-10
monoMulti,1,0,0,11-20
monoMulti,2,0.10851735867396224,0.0019612391833124703,11-20
monoMulti,3,0.021924646811039065,0.0011453511880697093,11-20
monoMulti,4,0.020113359659409535,0.0026623454908890165,11-20
monoMulti,5,0.012029553901736153,0.011117618392197853,11-20
monoMulti,6,0.029323012375998866,0.0289640645745466,11-20
nState,1,0,0,11-20
nState,2,0.10851735867396224,0.0019612391833124703,11-20
nState,3,0.33598979150617975,0.01385546011611164,11-20
nState,4,0.7352995126968782,0.014155223330626805,11-20
nState,5,0.9703163217808316,0.027564910550561948,11-20
nState,6,0.9711690715390308,0.04993663292378224,11-20
Phase,1,0.28716812792029056,0.007132810465809131,11-20
Phase,2,0.6809440576449862,0.0036952478109113555,11-20
Phase,3,0.9249787701533805,0.002035193188700652,11-20
Phase,4,0.9636692983028204,0.002240519909858447,11-20
Phase,5,0.9999999999999998,2.220446049250313e-16,11-20
Phase,6,1,0,11-20
monoMulti,1,0,0,21-30
monoMulti,2,0.0860667835808975,0.0018901940060799401,21-30
monoMulti,3,0.013367512384532116,0.0017420501076214892,21-30
monoMulti,4,0.01087073205241015,9.613449869238115e-4,21-30
monoMulti,5,0.00555166634817633,0.003744962014793902,21-30
monoMulti,6,0.00454901703582493,0.00787912863054515,21-30
nState,1,0,0,21-30
nState,2,0.0860667835808975,0.0018901940060799401,21-30
nState,3,0.30881995561628506,0.009364873283389544,21-30
nState,4,0.6818307286240601,0.01354025853957878,21-30
nState,5,0.9710031549870971,9.523293007319277e-4,21-30
nState,6,0.8254903602398697,0.05411771357877802,21-30
Phase,1,0.3509443334671662,0.01490745428686469,21-30
Phase,2,0.6853145383047812,0.007454189864500236,21-30
Phase,3,0.928158037242658,0.002664285614241458,21-30
Phase,4,0.959860450935883,0.00619434668315556,21-30
Phase,5,0.9924318769304579,0.0017877801608581693,21-30
Phase,6,0.9698096580035309,0.03230236791415947,21-30
monoMulti,1,0,0,31-40
monoMulti,2,0.07494681320366552,0.002532618253081971,31-40
monoMulti,3,0.01101929220596566,7.525010119496222e-4,31-40
monoMulti,4,0.008573882741408497,0.0015413480371977387,31-40
monoMulti,5,0.00256660073559091,0.002242192414644979,31-40
monoMulti,6,0.009682362788609943,0.009112651537078471,31-40
nState,1,0,0,31-40
nState,2,0.07494681320366552,0.002532618253081971,31-40
nState,3,0.2919103274639812,0.007133476640905605,31-40
nState,4,0.6534127020832611,0.0013382995545364745,31-40
nState,5,0.9585715593254157,0.047750632426489345,31-40
nState,6,0.9565422099420547,0.07527110036502287,31-40
Phase,1,0.36444991191375764,0.016999227923616703,31-40
Phase,2,0.6910147490553172,0.015962074187908848,31-40
Phase,3,0.9293494344267024,0.0012997664308269858,31-40
Phase,4,0.9661694022711758,0.00846450216792499,31-40
Phase,5,0.9976359338061463,0.004094682760209637,31-40
Phase,6,0.9999999999999998,0,31-40
monoMulti,1,0,0,41-50
monoMulti,2,0.06941621057446663,0.00359268962806536,41-50
monoMulti,3,0.00894807889768523,7.810675805476037e-4,41-50
monoMulti,4,0.005560746838339676,0.002758535664705407,41-50
monoMulti,5,0.00131607766849616,0.002279513388542139,41-50
monoMulti,6,0.016974968625794815,0.01470075405838213,41-50
nState,1,0,0,41-50
nState,2,0.06941621057446663,0.00359268962806536,41-50
nState,3,0.291343452449431,0.006196213131016731,41-50
nState,4,0.6397319165223377,0.007112299758337974,41-50
nState,5,0.9325056750581688,0.03670598973217537,41-50
nState,6,0.9516658001616106,0.08371728986327777,41-50
Phase,1,0.3743307179139614,0.017149581465201427,41-50
Phase,2,0.6838626015529523,0.010526517512849266,41-50
Phase,3,0.931915386008307,0.00590764925411341,41-50
Phase,4,0.9723773027220625,4.176045608895179e-5,41-50
Phase,5,0.9999999999999999,1.3597399555105182e-16,41-50
Phase,6,1,0,41-50
