Parameter,nState,Avg,Std,HillRange
monoMulti,1,0.17808095672385466,0.0032570432075215002,1-10
monoMulti,2,0.16196396192817392,0.0033501799056858414,1-10
monoMulti,3,0.09665195819273789,0.005271154490047172,1-10
monoMulti,4,0.08284073100285298,0.003301096774856934,1-10
monoMulti,5,0.08194837956352036,0.011394825432087068,1-10
monoMulti,6,0.07090053029350366,0.011422490611605,1-10
nState,1,0.17808095672385466,0.0032570432075215002,1-10
nState,2,0.3976711024923016,0.004710436131782381,1-10
nState,3,0.44576625206839277,0.006504771735242633,1-10
nState,4,0.6108065689248243,0.0021520376104439587,1-10
nState,5,0.8965950548379927,0.07405866609691972,1-10
nState,6,1,0,1-10
Phase,1,0.28607982084151007,0.004388728488103114,1-10
Phase,2,0.7357330659938526,0.0022190419207965945,1-10
Phase,3,0.8718868636092973,0.007170635955803262,1-10
Phase,4,0.9060387185118628,0.006887088581040841,1-10
Phase,5,0.9925696594427244,0.006464586073628775,1-10
Phase,6,0.9999999999999999,1.3597399555105182e-16,1-10
monoMulti,1,0.2639121795661917,0.011041820916120298,11-20
monoMulti,2,0.05404184239759217,0.003970773076216674,11-20
monoMulti,3,0.016850931207301804,0.001438439927687174,11-20
monoMulti,4,0.013504519290579371,0.002954389301088937,11-20
monoMulti,5,0.009567496070935136,0.00828784471329745,11-20
monoMulti,6,0,0,11-20
nState,1,0.2639121795661917,0.011041820916120298,11-20
nState,2,0.4265187723796362,0.007232188583269615,11-20
nState,3,0.32373869552896745,0.005120589402342063,11-20
nState,4,0.3688428908109489,0.008983277135180165,11-20
nState,5,0.8646748975935544,0.01667997110938474,11-20
nState,6,0.9711690715390308,0.04993663292378224,11-20
Phase,1,0.4665279976127603,0.007557969267476547,11-20
Phase,2,0.7958956467677613,9.202825209222746e-4,11-20
Phase,3,0.918493508027407,9.43547417281191e-4,11-20
Phase,4,0.9329402966370103,0.004651006926447626,11-20
Phase,5,0.9976019184652275,0.004153599058918466,11-20
Phase,6,0.9999999999999999,1.3597399555105182e-16,11-20
