Parameter,nState,Avg,Std,HillRange
monoMulti,1,0,0,2-11
monoMulti,2,0.20719812644790117,0.0019227605229312089,2-11
monoMulti,3,0.07945260026119909,0.003322679480284833,2-11
monoMulti,4,0.0737595268577206,0.0038262033410582518,2-11
monoMulti,5,0.039557679041754716,0.008609473546271172,2-11
monoMulti,6,0.07259268220581577,0.0263985802095501,2-11
nState,1,0,0,2-11
nState,2,0.20719812644790117,0.0019227605229312089,2-11
nState,3,0.4928041677615674,0.010861038848896411,2-11
nState,4,0.8503328413390221,0.011319137972130116,2-11
nState,5,0.9714623665464015,0.024894754935303232,2-11
nState,6,1,0,2-11
Phase,1,0.1764524218803564,0.017599280865030813,2-11
Phase,2,0.6275289969031695,0.012575130359510725,2-11
Phase,3,0.9041149464357627,0.0051056166570110206,2-11
Phase,4,0.9582747815524957,0.010979098732908393,2-11
Phase,5,1,0,2-11
Phase,6,1,2.220446049250313e-16,2-11
monoMulti,1,0,0,7-16
monoMulti,2,0.12822270981635167,0.006877426778642674,7-16
monoMulti,3,0.03171505671714242,0.0025353636883081814,7-16
monoMulti,4,0.029019961729392408,5.223454391062228e-4,7-16
monoMulti,5,0.021880763009183717,0.01538452169421656,7-16
monoMulti,6,0.03142717288961333,0.014839656979805873,7-16
nState,1,0,0,7-16
nState,2,0.12822270981635167,0.006877426778642674,7-16
nState,3,0.3680881490534134,0.010675137309754772,7-16
nState,4,0.7574741992612654,0.01378406568004818,7-16
nState,5,0.9772895364809471,0.019723931407634055,7-16
nState,6,0.9542480430905227,0.07924471391291665,7-16
Phase,1,0.25444183944437776,0.013975146629339047,7-16
Phase,2,0.6561968407950588,0.007483468304564714,7-16
Phase,3,0.923656209921361,0.0010481380130949155,7-16
Phase,4,0.9643466875992366,0.0055292406391622365,7-16
Phase,5,0.9999999999999999,3.4219371797089426e-16,7-16
Phase,6,0.9922480620155038,0.013426750446270326,7-16
monoMulti,1,0,0,12-21
monoMulti,2,0.1038049963940828,0.004206172065715136,12-21
monoMulti,3,0.020747203359467295,0.0021667619052587236,12-21
monoMulti,4,0.01791503759258825,0.001387864049723077,12-21
monoMulti,5,0.012021160819977533,0.0038848132875444683,12-21
monoMulti,6,0.013619634540789016,0.013419157528730347,12-21
nState,1,0,0,12-21
nState,2,0.1038049963940828,0.004206172065715136,12-21
nState,3,0.33138078088737005,0.0099549719555477,12-21
nState,4,0.7008514515842811,0.008766449691104542,12-21
nState,5,0.9773028516077825,0.01969645569830244,12-21
nState,6,0.9476669191716065,0.09064355491138629,12-21
Phase,1,0.28939410866700443,0.011712819714950407,12-21
Phase,2,0.6701578270449015,9.178429806430672e-4,12-21
Phase,3,0.9289638162393453,0.003432427051611571,12-21
Phase,4,0.9628684981812053,0.0047665780338806,12-21
Phase,5,0.9945911619147726,0.004698105852096787,12-21
Phase,6,0.9999999999999999,1.3597399555105182e-16,12-21
monoMulti,1,0,0,17-26
monoMulti,2,0.09420169936145963,0.004675814109279767,17-26
monoMulti,3,0.016453391305955307,0.002026472785431352,17-26
monoMulti,4,0.015064611334617806,0.0024182014879273422,17-26
monoMulti,5,0.009696332874615366,0.004821502615921974,17-26
monoMulti,6,0.033866914572383305,0.014637807770461458,17-26
nState,1,0,0,17-26
nState,2,0.09420169936145963,0.004675814109279767,17-26
nState,3,0.31655177324162254,0.0054392005134953555,17-26
nState,4,0.6901350858265773,0.006992850344168137,17-26
nState,5,0.9410158666446616,0.020130517322365985,17-26
nState,6,0.9353874276143965,0.05725737836904951,17-26
Phase,1,0.3155487469110236,0.005513448590368913,17-26
Phase,2,0.6837272028928449,0.01707570977149763,17-26
Phase,3,0.9274451630985788,0.007388131421133885,17-26
Phase,4,0.9643012503321056,0.0027412514129797677,17-26
Phase,5,0.997126436781609,0.0049771574930139615,17-26
Phase,6,0.9999999999999999,1.3597399555105182e-16,17-26
monoMulti,1,0,0,22-31
monoMulti,2,0.08711391739855914,8.877253629387038e-4,22-31
monoMulti,3,0.014313774097397683,0.0015427472480054275,22-31
monoMulti,4,0.009187456865400673,4.2038121963398515e-4,22-31
monoMulti,5,0.006955505916719273,0.002513427174050903,22-31
monoMulti,6,0.0162792546203396,0.01652205451394872,22-31
nState,1,0,0,22-31
nState,2,0.08711391739855914,8.877253629387038e-4,22-31
nState,3,0.30815189913304347,0.00899369605498501,22-31
nState,4,0.6821564633374174,0.02088819386606989,22-31
nState,5,0.9565414023226149,0.015287546117345787,22-31
nState,6,0.9318124253696375,0.059065733345115314,22-31
Phase,1,0.35437176278658944,0.01213329573147769,22-31
Phase,2,0.6842147656468084,0.010797736628137343,22-31
Phase,3,0.926901730402251,5.247402355321014e-4,22-31
Phase,4,0.9682032608334221,0.002990114930663619,22-31
Phase,5,0.995372255802004,0.00801548807536125,22-31
Phase,6,0.9825531586137821,0.03021881571252492,22-31
monoMulti,1,0,0,27-36
monoMulti,2,0.08072305872737484,0.0015233456267065148,27-36
monoMulti,3,0.01151356940681432,0.001126196318158243,27-36
monoMulti,4,0.008077962973635961,8.240407244943422e-4,27-36
monoMulti,5,0.001228752212021,0.0021282612611330173,27-36
monoMulti,6,0,0,27-36
nState,1,0,0,27-36
nState,2,0.08072305872737484,0.0015233456267065148,27-36
nState,3,0.3026150561108663,0.008482898577601905,27-36
nState,4,0.6553450858401731,0.015587788156852144,27-36
nState,5,0.9683936162819308,0.030532320588155314,27-36
nState,6,0.8195195338524471,0.06332608582026862,27-36
Phase,1,0.356872486468956,0.008939957663868998,27-36
Phase,2,0.6927463176932152,0.00717846002227429,27-36
Phase,3,0.9322550516167862,0.0042086513207161575,27-36
Phase,4,0.9661869365366164,0.0012807632505827161,27-36
Phase,5,0.9999999999999997,1.3597399555105182e-16,27-36
Phase,6,0.9735839583213138,0.045753926322341106,27-36
monoMulti,1,0,0,32-41
monoMulti,2,0.0750880480512431,0.0031533664584457227,32-41
monoMulti,3,0.011049539984818453,0.001177212986807712,32-41
monoMulti,4,0.008470477328963739,0.001549765893442579,32-41
monoMulti,5,0.0013057666940837099,0.002261654256984233,32-41
monoMulti,6,0.0178256350044229,0.0031603825534645973,32-41
nState,1,0,0,32-41
nState,2,0.0750880480512431,0.0031533664584457227,32-41
nState,3,0.29450858683661957,0.0030494889620847525,32-41
nState,4,0.6305500944225146,0.011666893834644362,32-41
nState,5,0.978139848212796,0.018932622661998216,32-41
nState,6,0.9636478792554255,0.06296372009248166,32-41
Phase,1,0.3563689358366012,0.011123397302087366,32-41
Phase,2,0.6903965104127946,0.005808712902500272,32-41
Phase,3,0.9305516100003869,0.001801394849124691,32-41
Phase,4,0.9674873374414563,0.005188985208463015,32-41
Phase,5,0.9974358974358974,0.004441155916843516,32-41
Phase,6,0.9999999999999999,1.3597399555105182e-16,32-41
monoMulti,1,0,0,37-46
monoMulti,2,0.07517222651619898,4.618492297729974e-4,37-46
monoMulti,3,0.008987147645215682,0.0012922083524793883,37-46
monoMulti,4,0.0070172938558903065,0.0012769937780531418,37-46
monoMulti,5,0,0,37-46
monoMulti,6,0.013442223433827553,0.012790648047080511,37-46
nState,1,0,0,37-46
nState,2,0.07517222651619898,4.618492297729974e-4,37-46
nState,3,0.2922345468839231,0.00456661104449321,37-46
nState,4,0.6479916238844867,0.0024795180290066647,37-46
nState,5,0.9389105608635522,0.023267281031250833,37-46
nState,6,0.9032019239568326,0.09813483674865586,37-46
Phase,1,0.39233377663978736,0.007315478131094176,37-46
Phase,2,0.696821480940571,0.008223832871368257,37-46
Phase,3,0.9295139603606529,5.580257943970974e-4,37-46
Phase,4,0.962125388041568,0.007117790777705468,37-46
Phase,5,0.9962053891154772,0.006572458846947274,37-46
Phase,6,0.9718546354076523,0.048749201471496376,37-46
monoMulti,1,0,0,42-51
monoMulti,2,0.06809161857996145,0.0032412525921320986,42-51
monoMulti,3,0.008087279828638034,9.229197906414948e-4,42-51
monoMulti,4,0.007998016761234503,0.0020997335802634904,42-51
monoMulti,5,0.005646694640793957,0.006702203842884668,42-51
monoMulti,6,0.01021311204019616,0.008844814478506591,42-51
nState,1,0,0,42-51
nState,2,0.06809161857996145,0.0032412525921320986,42-51
nState,3,0.2908791297001763,0.004440081139115807,42-51
nState,4,0.6316236945604571,0.030265075291622763,42-51
nState,5,0.9572200203780038,0.014769947536196695,42-51
nState,6,0.9626457676125794,0.06469942837274749,42-51
Phase,1,0.3597491380225967,0.008929974932728752,42-51
Phase,2,0.691021051507902,0.007783573890238034,42-51
Phase,3,0.9326413822879561,0.008628838930816635,42-51
Phase,4,0.9627399247095758,0.004159994996296406,42-51
Phase,5,0.9951483326956495,0.008403334272556046,42-51
Phase,6,0.9999999999999997,1.3597399555105182e-16,42-51
monoMulti,1,0,0,47-56
monoMulti,2,0.0680053124192872,0.0017185766466952153,47-56
monoMulti,3,0.008031975958971318,7.744760006692346e-4,47-56
monoMulti,4,0.006158268154606767,0.0014795574163155708,47-56
monoMulti,5,0.0033917872617036334,0.0058747478657356095,47-56
monoMulti,6,0,0,47-56
nState,1,0,0,47-56
nState,2,0.0680053124192872,0.0017185766466952153,47-56
nState,3,0.27591105456000925,0.005959681315553746,47-56
nState,4,0.6029543143657768,0.004102412398357758,47-56
nState,5,0.9578748476379645,0.03743453939561303,47-56
nState,6,1,0,47-56
Phase,1,0.37477661733790996,0.00787780868431973,47-56
Phase,2,0.6884285871606124,0.014267068663021293,47-56
Phase,3,0.9293987260631081,0.002046892512988511,47-56
Phase,4,0.9668605678310535,0.00968005701766559,47-56
Phase,5,0.9966329966329965,0.005831820900905477,47-56
Phase,6,1,0,47-56
