Parameter,nState,Avg,Std,HillRange
monoMulti,1,0.20233584872313035,0.013791233485356413,2-11
monoMulti,2,0.11860872020642375,0.004934220268539214,2-11
monoMulti,3,0.06723071715503229,0.004317087190328393,2-11
monoMulti,4,0.05315487309598086,0.0010502416188357122,2-11
monoMulti,5,0.032727712526637726,0.004942136070997957,2-11
monoMulti,6,0.025398061575421786,0.02373503487478196,2-11
nState,1,0.20233584872313035,0.013791233485356415,2-11
nState,2,0.4073915857982588,0.009762588623489572,2-11
nState,3,0.3976222725585132,0.010873249975902777,2-11
nState,4,0.5119473219340913,0.005344858377294111,2-11
nState,5,0.9058866956221552,0.041898791065077295,2-11
nState,6,1,0,2-11
Phase,1,0.3374432944141389,0.02111142978058202,2-11
Phase,2,0.7452927204951268,0.005696737579436659,2-11
Phase,3,0.8891218888867635,0.004532877161766828,2-11
Phase,4,0.8990774592549461,0.014434224393438026,2-11
Phase,5,0.9954985498330662,0.007796740396868841,2-11
Phase,6,0.9999999999999999,1.3597399555105182e-16,2-11
monoMulti,1,0.2502638267141323,0.007176371607695741,7-16
monoMulti,2,0.06148037124440245,9.609285171927098e-4,7-16
monoMulti,3,0.02533292725712039,0.0015352300570609558,7-16
monoMulti,4,0.02088515254950757,0.002614719224898281,7-16
monoMulti,5,0.01606893535786393,0.020359118665493996,7-16
monoMulti,6,0.003908862934858477,0.006770349202997676,7-16
nState,1,0.2502638267141323,0.007176371607695741,7-16
nState,2,0.4232701729949831,0.009737761880644874,7-16
nState,3,0.33730012221706673,0.018258411243792964,7-16
nState,4,0.3839577483701296,0.0058541727462949195,7-16
nState,5,0.8516713623499654,0.025843049406921673,7-16
nState,6,0.9480151304785241,0.04506860638979993,7-16
Phase,1,0.43710650036929527,0.01649196688755449,7-16
Phase,2,0.7773251000367143,0.01352276129133818,7-16
Phase,3,0.9154201602811382,0.004978698722246717,7-16
Phase,4,0.9344028783106672,0.014397362383297842,7-16
Phase,5,0.9999999999999999,3.4219371797089426e-16,7-16
Phase,6,0.9922480620155038,0.013426750446270326,7-16
monoMulti,1,0.2518308876444459,0.00981594406051607,12-21
monoMulti,2,0.048130167334743956,0.003048311709587562,12-21
monoMulti,3,0.01529918714303509,0.0020420172492944984,12-21
monoMulti,4,0.012581573524794163,6.562626742405886e-4,12-21
monoMulti,5,0.00540092380417844,0.004696645897301728,12-21
monoMulti,6,0.004428150227790843,0.007669781178081438,12-21
nState,1,0.2518308876444459,0.00981594406051607,12-21
nState,2,0.4194996315667468,0.0071222423848453335,12-21
nState,3,0.32653758746552264,0.0029243510243796324,12-21
nState,4,0.35913601246194343,0.017389567579697722,12-21
nState,5,0.8161095921937972,0.02567396533541583,12-21
nState,6,0.9476669191716065,0.09064355491138636,12-21
Phase,1,0.4589131179675853,0.005103859928745163,12-21
Phase,2,0.7890148098745999,0.008772452701059776,12-21
Phase,3,0.9205557555032723,0.004163868818427595,12-21
Phase,4,0.931923072130916,9.574422159976181e-4,12-21
Phase,5,1,4.710277376051325e-16,12-21
Phase,6,1,2.220446049250313e-16,12-21
monoMulti,1,0.2557221481155748,0.010267173597441469,17-26
monoMulti,2,0.042965760914229024,0.0021485483326920893,17-26
monoMulti,3,0.012385240551554074,7.349436263303889e-4,17-26
monoMulti,4,0.0105671355676706,0.002263097856956961,17-26
monoMulti,5,0.005147315838790437,0.005604632174991834,17-26
monoMulti,6,0,0,17-26
nState,1,0.2557221481155748,0.010267173597441469,17-26
nState,2,0.4280993130973163,0.011664318355747468,17-26
nState,3,0.32512294040044915,0.004427805592600599,17-26
nState,4,0.3379455857468583,0.00412795210870407,17-26
nState,5,0.7727971092190113,0.031438667187048325,17-26
nState,6,0.8832001059338878,0.02523819194160255,17-26
Phase,1,0.4859071268466568,0.01189452840570868,17-26
Phase,2,0.7993865696394359,0.016545116298508473,17-26
Phase,3,0.9226898393388312,0.0024961262831699103,17-26
Phase,4,0.9381476416870679,0.009284924707115016,17-26
Phase,5,0.9999999999999998,6.329245045284193e-16,17-26
Phase,6,0.9999999999999999,1.3597399555105182e-16,17-26
monoMulti,1,0.26848094347112367,0.003767132965381053,22-31
monoMulti,2,0.0396391008364805,0.0026805226503337064,22-31
monoMulti,3,0.009676092669659981,0.0014782245799986565,22-31
monoMulti,4,0.006281196089034327,6.029581710140688e-4,22-31
monoMulti,5,0.005662687119260157,0.0028821821080649694,22-31
monoMulti,6,0,0,22-31
nState,1,0.26848094347112367,0.003767132965381053,22-31
nState,2,0.432026218166889,0.011834343023541936,22-31
nState,3,0.32072423398595556,0.003433034038322773,22-31
nState,4,0.33573090615763257,0.0021421358078749907,22-31
nState,5,0.7930783898298968,0.09139812776146619,22-31
nState,6,0.8364278665247942,0.0767880158596423,22-31
Phase,1,0.5236084090038914,0.008429909825482482,22-31
Phase,2,0.8010526494258311,0.007980654777741741,22-31
Phase,3,0.9231940605414207,0.0033484842765152934,22-31
Phase,4,0.9429556260346272,0.003555316754589747,22-31
Phase,5,0.9880457378634254,0.012249442297317479,22-31
Phase,6,0.9825531586137821,0.03021881571252492,22-31
monoMulti,1,0.2746992904676143,0.01584746795375396,27-36
monoMulti,2,0.03644680569002479,0.002255545253011836,27-36
monoMulti,3,0.008235430761476903,0.0010196955584078405,27-36
monoMulti,4,0.00513270604166676,0.0010621924544383613,27-36
monoMulti,5,0.001228752212021,0.0021282612611330173,27-36
monoMulti,6,0,0,27-36
nState,1,0.2746992904676144,0.015847467953753948,27-36
nState,2,0.4293273444796931,0.002141503702008549,27-36
nState,3,0.31482242629467627,0.007346397721729728,27-36
nState,4,0.31870275812464,0.00423642158381446,27-36
nState,5,0.7998105527343637,0.0913486162036926,27-36
nState,6,0.92824028062355,0.06216188758627133,27-36
Phase,1,0.5319529017141517,0.016116199449497517,27-36
Phase,2,0.8102999917166795,0.011020498630277098,27-36
Phase,3,0.9256449275412079,0.005430635813637965,27-36
Phase,4,0.941200874404088,0.005039709626221587,27-36
Phase,5,0.9999999999999997,1.3597399555105182e-16,27-36
Phase,6,0.9888888888888888,0.01924500897298752,27-36
monoMulti,1,0.27342731833680545,0.010237777570268829,32-41
monoMulti,2,0.03429902702051635,0.0034315432065154996,32-41
monoMulti,3,0.007506229165467183,5.434334784310974e-4,32-41
monoMulti,4,0.00609552947583732,0.0013663394956656152,32-41
monoMulti,5,0.0025784407621788734,0.004465990404400429,32-41
monoMulti,6,0.004954739120930147,0.00858185989570017,32-41
nState,1,0.27342731833680545,0.010237777570268846,32-41
nState,2,0.4391101731273652,0.008198436239542759,32-41
nState,3,0.31345384445838104,0.009434744724752038,32-41
nState,4,0.3154060865233405,0.005459645324605335,32-41
nState,5,0.7203069245955964,0.04563061747448012,32-41
nState,6,0.9090225682288975,0.08342041809821077,32-41
Phase,1,0.523539809510244,0.0183899535632709,32-41
Phase,2,0.8072593846379624,0.002598189341504096,32-41
Phase,3,0.928868471562999,9.115339016662679e-4,32-41
Phase,4,0.9429951805234861,0.0038630584766359455,32-41
Phase,5,0.9948317307692308,0.0044762558772926675,32-41
Phase,6,0.9999999999999999,1.3597399555105182e-16,32-41
monoMulti,1,0.26154966646123956,0.008235177023179798,37-46
monoMulti,2,0.03226276330141273,0.0023208071527281997,37-46
monoMulti,3,0.0065346683603241,0.0011283936252718108,37-46
monoMulti,4,0.005155495101617787,8.6018853810132e-4,37-46
monoMulti,5,0,0,37-46
monoMulti,6,0,0,37-46
nState,1,0.2615496664612395,0.008235177023179769,37-46
nState,2,0.4259117423822378,0.007055572129997718,37-46
nState,3,0.3159974940969696,0.001042677252889554,37-46
nState,4,0.3174521051641455,0.003770674982641072,37-46
nState,5,0.7789905421118573,0.07603814928106406,37-46
nState,6,0.8338602220803012,0.07286372290392264,37-46
Phase,1,0.543365921918677,0.011297247517819891,37-46
Phase,2,0.805402935315534,0.006483277759855033,37-46
Phase,3,0.9252264737727347,0.003183177775280101,37-46
Phase,4,0.9419743299159471,0.00404209373628042,37-46
Phase,5,0.9957876337887407,0.007296032297987221,37-46
Phase,6,0.9718546354076523,0.048749201471496376,37-46
monoMulti,1,0.2660135684863329,0.012769475247123671,42-51
monoMulti,2,0.03005925853226231,7.573019142941721e-4,42-51
