Parameter,nState,Avg,Std,HillRange
monoMulti,1,0,0,1
monoMulti,2,0.9693970488488463,0.003117118361718619,1
monoMulti,3,0.9235943678803559,0.00821298740125619,1
monoMulti,4,0.8463681676886751,0.02469021964865915,1
monoMulti,5,0.7972417520553999,0.09268302835438527,1
monoMulti,6,0.6553785567620362,0.3443612333748215,1
nState,1,0,0,1
nState,2,0.9693970488488463,0.003117118361718619,1
nState,3,1,0,1
nState,4,1,0,1
nState,5,1,0,1
nState,6,1,0,1
Phase,1,0.09516442142683179,0.012499481249926992,1
Phase,2,0.9947162077981756,6.02655747164651e-4,1
Phase,3,1,6.521083742145178e-16,1
Phase,4,0.9999999999999999,8.81212206892831e-16,1
Phase,5,1,1.5700924586837752e-16,1
Phase,6,1,0,1
monoMulti,1,0,0,1-3
monoMulti,2,0.49259738471509684,0.00593765908114275,1-3
monoMulti,3,0.34605158607975717,0.003616959816263443,1-3
monoMulti,4,0.31738828567807165,0.010480514413807542,1-3
monoMulti,5,0.24641648241253267,0.0476638719163915,1-3
monoMulti,6,0.25865539388423625,0.0726423347330021,1-3
nState,1,0,0,1-3
nState,2,0.49259738471509684,0.00593765908114275,1-3
nState,3,0.8609298734938035,0.0052340721756651415,1-3
nState,4,0.9821479614904255,0.009115076122243894,1-3
nState,5,1,0,1-3
nState,6,1,0,1-3
Phase,1,0.09630537487618625,0.007761472601296316,1-3
Phase,2,0.7079012588841099,0.01090624165210845,1-3
Phase,3,0.9336537935628846,0.0019998834744636685,1-3
Phase,4,0.9933636896756602,0.0021305590266737276,1-3
Phase,5,0.9999999999999999,2.603703785810335e-16,1-3
Phase,6,0.9999999999999999,1.3597399555105182e-16,1-3
monoMulti,1,0,0,2-3
monoMulti,2,0.406078695350972,0.004528186765139148,2-3
monoMulti,3,0.2537617314090306,0.006326439188223067,2-3
monoMulti,4,0.22259238519273425,0.008408823322074346,2-3
monoMulti,5,0.19617565172332221,0.022065805232725735,2-3
monoMulti,6,0.1279495283284655,0.07214702258758218,2-3
nState,1,0,0,2-3
nState,2,0.406078695350972,0.004528186765139148,2-3
nState,3,0.7550106900915419,0.007594671544960962,2-3
nState,4,0.9532259762035891,0.005857667553385173,2-3
nState,5,1,0,2-3
nState,6,1,0,2-3
Phase,1,0.09928084643962316,0.0064520879127389795,2-3
Phase,2,0.6525319017106538,0.005078689907313086,2-3
Phase,3,0.9019343799854802,0.00314822359014777,2-3
Phase,4,0.976266230220343,0.0026692411583895,2-3
Phase,5,0.9999999999999999,2.603703785810335e-16,2-3
Phase,6,0.9999999999999999,1.3597399555105182e-16,2-3
monoMulti,1,0,0,2-4
monoMulti,2,0.34401897872298165,0.006281005043547748,2-4
monoMulti,3,0.19705735947272648,0.005781501417067104,2-4
monoMulti,4,0.17497891302444246,0.005208532958793768,2-4
monoMulti,5,0.13785611158765815,0.029691959017116774,2-4
monoMulti,6,0.07940562867676114,0.025581146758858454,2-4
nState,1,0,0,2-4
nState,2,0.34401897872298165,0.006281005043547748,2-4
nState,3,0.7068056618586566,0.006092731707673592,2-4
nState,4,0.9312293328511536,0.017356276362114512,2-4
nState,5,1,0,2-4
nState,6,1,0,2-4
Phase,1,0.12398252475915224,0.01185483418340996,2-4
Phase,2,0.6412628127133962,0.006996144251404406,2-4
Phase,3,0.9000710690198488,0.007114565658679699,2-4
Phase,4,0.9739388660124962,0.00914071130911332,2-4
Phase,5,0.9999999999999999,5.147892387644517e-16,2-4
Phase,6,0.9999999999999999,1.3597399555105182e-16,2-4
monoMulti,1,0,0,3-5
monoMulti,2,0.26601094957952975,0.00690818640050137,3-5
monoMulti,3,0.11863102183663045,0.0017986806237276938,3-5
monoMulti,4,0.11251854088442866,0.004942951991347026,3-5
monoMulti,5,0.08097468032069566,0.02087045890327962,3-5
monoMulti,6,0.05199254575331709,0.02528205557593836,3-5
nState,1,0,0,3-5
nState,2,0.26601094957952975,0.00690818640050137,3-5
nState,3,0.5784374766194181,0.005655776050418648,3-5
nState,4,0.8828446146445893,0.010074067115828856,3-5
nState,5,1,0,3-5
nState,6,1,0,3-5
Phase,1,0.1574472030593546,0.005612854068077647,3-5
Phase,2,0.6333415306891726,0.004157984454950976,3-5
Phase,3,0.8958239718431457,0.0070002062003159645,3-5
Phase,4,0.9619436225690126,0.0016743173794676396,3-5
Phase,5,1,2.220446049250313e-16,3-5
Phase,6,1,0,3-5
monoMulti,1,0,0,4-6
monoMulti,2,0.22092755871722594,0.007703589030487286,4-6
monoMulti,3,0.0833255613043066,0.00414690163300584,4-6
monoMulti,4,0.07987631481008078,0.004940277573660925,4-6
monoMulti,5,0.05280669532238297,0.009339550600025838,4-6
monoMulti,6,0.08965293316463471,0.032476604661998316,4-6
nState,1,0,0,4-6
nState,2,0.22092755871722594,0.007703589030487286,4-6
nState,3,0.5011630850012871,0.003946902056554292,4-6
nState,4,0.8621876458292551,0.013998459171861653,4-6
nState,5,0.9772362092222543,0.03942804219992348,4-6
nState,6,1,0,4-6
Phase,1,0.18923945028438138,0.010312840646346057,4-6
Phase,2,0.6425612289298182,0.00531496475306589,4-6
Phase,3,0.8976989626609635,0.004684015806322858,4-6
Phase,4,0.9659885076540327,0.0017923691500559235,4-6
Phase,5,1.0000000000000002,3.8459253727671276e-16,4-6
Phase,6,1,0,4-6
monoMulti,1,0,0,5-7
monoMulti,2,0.18800475316986884,0.00694800300412511,5-7
monoMulti,3,0.06261486614090817,0.00266507345547395,5-7
monoMulti,4,0.05258020876433089,0.004262440362161522,5-7
monoMulti,5,0.04232137479950625,0.01078762460079324,5-7
monoMulti,6,0.029776137469526818,0.010453176394739746,5-7
nState,1,0,0,5-7
nState,2,0.18800475316986884,0.00694800300412511,5-7
nState,3,0.46936506431182184,0.0065591879471502395,5-7
nState,4,0.8348640201783087,0.012635035575823206,5-7
nState,5,1,0,5-7
nState,6,1,0,5-7
Phase,1,0.20076543840232397,0.00273839529269946,5-7
Phase,2,0.6496349174498404,0.008373959263323693,5-7
Phase,3,0.9120654369995213,0.0030920876193019364,5-7
Phase,4,0.9661824280407116,0.00153790358756893,5-7
Phase,5,0.9999999999999998,2.220446049250313e-16,5-7
Phase,6,1,1.5700924586837752e-16,5-7
monoMulti,1,0,0,6-8
monoMulti,2,0.1715303410987903,0.00473384837423615,6-8
monoMulti,3,0.04728867570006104,7.236779085586876e-4,6-8
monoMulti,4,0.04763785079098395,0.0045309771058952356,6-8
monoMulti,5,0.026718384482430916,0.0025496776005943128,6-8
monoMulti,6,0.05920533390326838,0.014173325149551795,6-8
nState,1,0,0,6-8
nState,2,0.1715303410987903,0.00473384837423615,6-8
nState,3,0.4256002372488503,0.0010990897130910386,6-8
nState,4,0.7941237499235839,0.010891814265116049,6-8
nState,5,0.9887810202956951,0.019431842856940003,6-8
nState,6,1,0,6-8
Phase,1,0.22317983474431718,0.012537146864092958,6-8
Phase,2,0.6557100849198888,0.003632555292778023,6-8
Phase,3,0.9189394117706283,0.00806178671280581,6-8
Phase,4,0.9535250772339763,0.0034162898531153903,6-8
Phase,5,1,1.5700924586837752e-16,6-8
Phase,6,0.9999999999999999,1.3597399555105182e-16,6-8
monoMulti,1,0,0,7-9
monoMulti,2,0.15877509296051587,0.00431199574441205,7-9
monoMulti,3,0.0419394437657913,0.0013727292663858975,7-9
monoMulti,4,0.04141378358787171,0.004822935848573354,7-9
monoMulti,5,0.023592889662181607,0.00925362843929423,7-9
monoMulti,6,0.0320468846646748,0.02012144023663656,7-9
nState,1,0,0,7-9
nState,2,0.15877509296051587,0.00431199574441205,7-9
nState,3,0.41124957863479744,0.005394857039399705,7-9
nState,4,0.7887145031942491,0.02251688898561692,7-9
nState,5,0.9689399189901047,0.02945971014985256,7-9
nState,6,0.9329419789019631,0.058688271449880425,7-9
Phase,1,0.23829140240616783,0.00795463987149271,7-9
Phase,2,0.6608556454349279,0.01627242563155474,7-9
Phase,3,0.9178373830556659,0.004073262546027037,7-9
Phase,4,0.9695121262429861,0.008685429369670712,7-9
Phase,5,0.9962053891154771,0.006572458846947082,7-9
Phase,6,0.9872458911936876,0.022090764457794548,7-9
monoMulti,1,0,0,8-10
monoMulti,2,0.14744543804843627,0.0017346497129787492,8-10
monoMulti,3,0.03585829852892503,0.002651239896293106,8-10
monoMulti,4,0.03364111632628081,0.002664805469811548,8-10
monoMulti,5,0.02793921596195705,0.004918216926968631,8-10
monoMulti,6,0.013522717650374477,0.01204681192403538,8-10
nState,1,0,0,8-10
nState,2,0.14744543804843627,0.0017346497129787492,8-10
nState,3,0.4003710438964419,0.004765892982844515,8-10
nState,4,0.7638966245793444,0.006801250200128344,8-10
nState,5,0.9889277627559908,0.01917767746008025,8-10
nState,6,0.9636478792554255,0.0629637200924816,8-10
Phase,1,0.2671134224119558,0.00491201521929257,8-10
Phase,2,0.6749563926320269,0.008397409850345044,8-10
Phase,3,0.9251817764864425,0.009143319605886031,8-10
Phase,4,0.9664968092544691,0.007712505652191279,8-10
Phase,5,1.0000000000000002,5.20740757162067e-16,8-10
Phase,6,0.9792549398020871,0.0359314982688598,8-10
monoMulti,1,0,0,9-11
monoMulti,2,0.13312518358835396,0.0027749371732146756,9-11
monoMulti,3,0.034456240323451855,0.0020305501282198196,9-11
monoMulti,4,0.031816013142194795,0.0035955196315228337,9-11
monoMulti,5,0.024369216088591862,0.004754963618319878,9-11
monoMulti,6,0.0336342375511174,0.012225503332992757,9-11
nState,1,0,0,9-11
nState,2,0.13312518358835396,0.0027749371732146756,9-11
nState,3,0.38584783773902953,0.010326878074112282,9-11
nState,4,0.7496689435298522,0.006346775733361275,9-11
nState,5,0.987142453834554,0.022269923219214845,9-11
nState,6,1,0,9-11
Phase,1,0.2794306816054954,0.007086430617993225,9-11
Phase,2,0.6798772381488165,0.0061303185815332695,9-11
Phase,3,0.9258226133893203,0.0053284089104294885,9-11
Phase,4,0.9642385073102654,0.0049587556197438504,9-11
Phase,5,1.0000000000000002,2.7194799110210365e-16,9-11
Phase,6,1,0,9-11
monoMulti,1,0,0,10-12
monoMulti,2,0.1251138170713981,0.0021677679589816486,10-12
monoMulti,3,0.029858167208619803,0.0022836649856065364,10-12
monoMulti,4,0.02535963268709563,0.0012094565450078655,10-12
monoMulti,5,0.018871623700361752,0.002574762464258073,10-12
monoMulti,6,0.022901764640155996,0.01086551725829063,10-12
nState,1,0,0,10-12
nState,2,0.1251138170713981,0.0021677679589816486,10-12
nState,3,0.3667199000788288,0.013256099596642652,10-12
nState,4,0.7474405283269294,0.011772923011957325,10-12
nState,5,0.9901958464601599,0.016981292056209376,10-12
nState,6,0.9742575531711584,0.044587225818693975,10-12
Phase,1,0.29503359294481735,0.010806674516019566,10-12
Phase,2,0.6749492710661583,0.006196553963500397,10-12
Phase,3,0.9360427203500933,0.0034294246757599458,10-12
Phase,4,0.9652577038667954,0.005390184708944946,10-12
Phase,5,0.9999999999999998,2.220446049250313e-16,10-12
Phase,6,1,0,10-12
