Phase,RACIPE,DSGRN,JSD,Parameter,nState
-1,0,0.03168114460909555,0.1445860946299993,Phase,2
0001-0301,0.001021972406745018,0.001021972406745018,0.1445860946299993,Phase,2
0002-0010,0,5.10986203372509e-4,0.1445860946299993,Phase,2
0003-0303,5.10986203372509e-4,5.10986203372509e-4,0.1445860946299993,Phase,2
0010,0.005620848237097598,0,0.1445860946299993,Phase,2
0010-0011,0.0030659172202350538,0.005109862033725089,0.1445860946299993,Phase,2
0010-0011-0311,0.001021972406745018,0,0.1445860946299993,Phase,2
0010-0012,5.10986203372509e-4,5.10986203372509e-4,0.1445860946299993,Phase,2
0010-0013-0303,0.0025549310168625446,0,0.1445860946299993,Phase,2
0010-0102-0302,5.10986203372509e-4,0,0.1445860946299993,Phase,2
0010-0110,0,0.0030659172202350538,0.1445860946299993,Phase,2
0010-0113-0303,5.10986203372509e-4,0,0.1445860946299993,Phase,2
0010-0113-0313,5.10986203372509e-4,0,0.1445860946299993,Phase,2
0010-0210,0.0025549310168625446,0.0025549310168625446,0.1445860946299993,Phase,2
0010-0210-0303,5.10986203372509e-4,0,0.1445860946299993,Phase,2
0010-0300,0.022994379151762903,0.02350536535513541,0.1445860946299993,Phase,2
0010-0300-0303,0.0030659172202350538,0,0.1445860946299993,Phase,2
0010-0302,0,5.10986203372509e-4,0.1445860946299993,Phase,2
0010-0303,0.02912621359223301,0.04394481349003577,0.1445860946299993,Phase,2
0010-0303-0310,0.004087889626980072,0,0.1445860946299993,Phase,2
0010-0310,0.006642820643842616,0.006642820643842616,0.1445860946299993,Phase,2
0010-0312,5.10986203372509e-4,0,0.1445860946299993,Phase,2
0010-0313,0.001021972406745018,0.001021972406745018,0.1445860946299993,Phase,2
0011-0301,5.10986203372509e-4,0.001021972406745018,0.1445860946299993,Phase,2
0012-0302,5.10986203372509e-4,5.10986203372509e-4,0.1445860946299993,Phase,2
0013-0303,0.005620848237097598,0.008686765457332652,0.1445860946299993,Phase,2
0013-0313,5.10986203372509e-4,5.10986203372509e-4,0.1445860946299993,Phase,2
0101-0303,5.10986203372509e-4,5.10986203372509e-4,0.1445860946299993,Phase,2
0110,0.0015329586101175269,0,0.1445860946299993,Phase,2
0110-0300-0303,5.10986203372509e-4,0,0.1445860946299993,Phase,2
0110-0303,0,5.10986203372509e-4,0.1445860946299993,Phase,2
0110-0303-0310,0.001021972406745018,0,0.1445860946299993,Phase,2
0110-0310,0.001021972406745018,0.0015329586101175269,0.1445860946299993,Phase,2
0111-0301-0303-1011,5.10986203372509e-4,0,0.1445860946299993,Phase,2
0111-0311-1010-1011,5.10986203372509e-4,0,0.1445860946299993,Phase,2
0112-0302-0303-1012,5.10986203372509e-4,0,0.1445860946299993,Phase,2
0113-0303,0,5.10986203372509e-4,0.1445860946299993,Phase,2
0113-0303-1010-1013,5.10986203372509e-4,0,0.1445860946299993,Phase,2
0113-0303-1013,5.10986203372509e-4,0,0.1445860946299993,Phase,2
0113-0313,5.10986203372509e-4,5.10986203372509e-4,0.1445860946299993,Phase,2
0200-1000,5.10986203372509e-4,5.10986203372509e-4,0.1445860946299993,Phase,2
0202-1002,0,5.10986203372509e-4,0.1445860946299993,Phase,2
0210-0300-1010,5.10986203372509e-4,0,0.1445860946299993,Phase,2
0210-0303-0310-1010,5.10986203372509e-4,0,0.1445860946299993,Phase,2
0210-0303-1010-1013,0.001021972406745018,0,0.1445860946299993,Phase,2
0210-0310-1010,0.001021972406745018,0,0.1445860946299993,Phase,2
0210-1010,0.004598875830352581,0.0061318344404701075,0.1445860946299993,Phase,2
0211-0301-1011,5.10986203372509e-4,0,0.1445860946299993,Phase,2
