Phase,Count,Frequency
0000,12,0.0012
0000-0001,1,1e-4
0000-0001-0300-0301,1,1e-4
0000-0003-0303,1,1e-4
0000-0200,1,1e-4
0000-0300,7,7e-4
0000-0300-0302,1,1e-4
0000-0300-0303,3,3e-4
0000-0302,2,2e-4
0000-0303,2,2e-4
0001,2,2e-4
0001-0201,1,1e-4
0001-0301,1,1e-4
0001-0301-0303,1,1e-4
0001-0302,1,1e-4
0001-0303,2,2e-4
0002,1,1e-4
0002-0302,2,2e-4
0003,6,6e-4
0003-0010,3,3e-4
0003-0010-0303,5,5e-4
0003-0011-0303,1,1e-4
0003-0103,1,1e-4
0003-0303,14,0.0014
0010,490,0.049
0010-0011,3,3e-4
0010-0011-0111,1,1e-4
0010-0011-0300-0301,1,1e-4
0010-0011-0301,2,2e-4
0010-0012,1,1e-4
0010-0012-0302,5,5e-4
0010-0012-0312,2,2e-4
0010-0013,10,0.001
0010-0013-0213-0303,1,1e-4
0010-0013-0300-0303,1,1e-4
0010-0013-0303,31,0.0031
0010-0013-0313,3,3e-4
0010-0110,2,2e-4
0010-0110-0303,1,1e-4
0010-0113,1,1e-4
0010-0113-0303,1,1e-4
0010-0200,1,1e-4
0010-0200-0303,2,2e-4
0010-0210,2,2e-4
0010-0210-0300,1,1e-4
0010-0210-0310,1,1e-4
0010-0300,84,0.0084
0010-0300-0301,1,1e-4
0010-0300-0302,3,3e-4
0010-0300-0303,42,0.0042
0010-0301,1,1e-4
0010-0302,12,0.0012
0010-0303,104,0.0104
0010-0303-0310,4,4e-4
0010-0310,14,0.0014
0010-0311,2,2e-4
0010-0312,1,1e-4
0010-0313,6,6e-4
0011,25,0.0025
0011-0111,1,1e-4
0011-0301,18,0.0018
0011-0301-0303,1,1e-4
0011-0303,6,6e-4
0011-0311,2,2e-4
0012,9,9e-4
0012-0212,1,1e-4
0012-0302,22,0.0022
0012-0312,4,4e-4
0013,20,0.002
0013-0113-0303,1,1e-4
0013-0203,1,1e-4
0013-0213,1,1e-4
0013-0303,79,0.0079
0013-0303-1010,1,1e-4
0013-0313,12,0.0012
0100,4,4e-4
0100-0303,1,1e-4
0100-1000,1,1e-4
0110,12,0.0012
0110-0300,6,6e-4
0110-0300-0303,1,1e-4
0110-0300-0303-1010,1,1e-4
0110-0302,1,1e-4
0110-0303,3,3e-4
0110-0310,1,1e-4
0111,1,1e-4
0111-0301-0303,1,1e-4
0111-0303,1,1e-4
0111-0311,1,1e-4
0112-0302,1,1e-4
0112-0302-1012,1,1e-4
0112-1010-1012,1,1e-4
0113,3,3e-4
0113-0303,3,3e-4
0113-0313,2,2e-4
0200,2,2e-4
0200-0303,2,2e-4
0200-0303-1000,1,1e-4
0200-1000,2,2e-4
0200-1010,1,1e-4
0201,2,2e-4
0201-1011,1,1e-4
0202-1000,1,1e-4
0203,2,2e-4
0203-1003-1010,1,1e-4
0210,3,3e-4
0210-0300,1,1e-4
0210-0300-0303-1010,1,1e-4
0210-0310-1010,1,1e-4
0210-0311,1,1e-4
0210-1010,4,4e-4
0211,1,1e-4
0211-0301-0303-1011-1013,1,1e-4
0212,1,1e-4
0213,1,1e-4
0213-0303-1010-1013,1,1e-4
0213-0303-1013,2,2e-4
0213-0313,2,2e-4
0213-1013,1,1e-4
0300,130,0.013
0300-0301,4,4e-4
0300-0301-1010,5,5e-4
0300-0301-1010-1011,3,3e-4
0300-0302,6,6e-4
0300-0302-1000,2,2e-4
0300-0302-1000-1002,1,1e-4
0300-0302-1010,5,5e-4
0300-0302-1010-1012,5,5e-4
0300-0302-1010-1110,1,1e-4
0300-0303,45,0.0045
0300-0303-1000,12,0.0012
0300-0303-1000-1003,3,3e-4
0300-0303-1003-1010,12,0.0012
0300-0303-1010,89,0.0089
0300-0303-1010-1013,26,0.0026
0300-0303-1010-1110,2,2e-4
0300-0303-1100,1,1e-4
0300-0303-1110,2,2e-4
0300-0310,1,1e-4
0300-1000,24,0.0024
0300-1010,356,0.0356
0300-1010-1110,1,1e-4
0300-1010-1210,1,1e-4
