parIndex,Phase,DSGRNPhase,nStateRac,nStateDSGRN,Compare
1,0303-1010-1013,0303-1010-1013,3,3,1
2,1010-1013-1203-1300-1303,1010-1013-1203-1300-1303,5,5,1
3,0303-0310-1010,0303-0310-1010-1013-1103,3,5,1
4,0300-0302-1010-1012,0300-0302-1010-1012,4,4,1
5,0303,0303-1103,1,2,1
6,0300-0303-1010-1013-1103,0300-0303-1010-1013-1103,5,5,1
7,0303-1010-1013,0303-1010-1013,3,3,1
8,0011-0013-0301-0303,0011-0013-0301-0303,4,4,1
9,0303-0310-1010,0303-0310-1010,3,3,1
10,0300-0303-1010,0300-0303-1010-1013,3,4,1
11,0300-0303-1003-1010,0300-0303-1003-1010,4,4,1
12,0302-0303-1002-1003,0302-0303-1002-1003,4,4,1
13,0303-1010,0303-1010,2,2,1
14,0303-1013,0303-1010-1013,2,3,1
15,0300-1010,0300-1010,2,2,1
16,0300-0303-1010,0300-0303-1010,3,3,1
17,1010-1013-1303,1010-1013-1303,3,3,1
18,0200-0300-0303-1010,0200-0300-0303-1010,4,4,1
19,0200-0300-0303-1010,0200-0300-0303-1010,4,4,1
20,0303-1010-1013-1113,-1,4,2,0
21,0303-0310-1010,0303-0310-1010,3,3,1
22,0310-1010-1013,0310-0313-1010-1013,3,4,1
23,0303-0310-1010,0303-1010,3,2,0.6666666666666666
24,0300-0303-1003-1010,0200-0300-0303-1003-1010,4,5,1
25,1010-1200-1300,1010-1200-1300,3,3,1
26,0303-0310-1010-1013,0303-1010-1013,4,3,0.75
27,0303-0310-1010-1013,0303-0310-1010-1013,4,4,1
28,0300-0303-1003-1010,0300-0303-1003-1010,4,4,1
29,0303,0303,1,1,1
30,1010,1010,1,1,1
31,0303-1003,0303-1003,2,2,1
32,0303,0300-0303-1010,1,3,1
33,0303-1003-1010,0303-1003-1010,3,3,1
34,0210-0302-1010-1112,0210-0212-0302-1010-1012,4,5,0.75
35,0010-0013-0303-0310,0010-0013-0303-0310,4,4,1
36,0303-1010-1113,0113-0303-0310-1010,3,4,0.6666666666666666
37,0303-1010-1013,0303-1010-1013,3,3,1
38,0300-0303-1010-1013,0300-0303-1010-1013,4,4,1
39,0300-0302-1002-1010,0300-0302-1002-1010,4,4,1
40,0010-0310,0010-0310,2,2,1
41,1010-1303,1010-1303,2,2,1
42,1010-1011,1010-1011,2,2,1
43,0303-1010-1013,0303-1010-1013,3,3,1
44,1003-1010-1303,1003-1010-1303,3,3,1
45,0301-0303-1011,0301-0303-1011,3,3,1
46,0300-0303-1010,0300-0303-1010,3,3,1
47,1010-1313,1010-1110-1313,2,3,1
48,1010,1010,1,1,1
49,0110-0303,0010-0013-0110-0303,2,4,1
50,0303-1003,0303-1003,2,2,1
51,0301-0303-1011-1013,0301-0303-1011-1013,4,4,1
52,0300-0303-1010-1013,0300-0303-1010-1013,4,4,1
53,0303-1010-1013,0303-1010-1013,3,3,1
54,0303-0310-1010,0303-0310-1010,3,3,1
55,1010,1010,1,1,1
56,0303-1010-1013,0303-1010-1013,3,3,1
57,1010-1013-1303,1010-1013-1303,3,3,1
58,0300-1010,0300-1010,2,2,1
59,0300-0303-1010,0300-0303-1003-1010-1200,3,5,1
60,0303-1010-1013,0303-1010-1013,3,3,1
61,0300-0303-1010,0300-0303-1010,3,3,1
62,0313-1010-1013,0313-1010-1013,3,3,1
63,0303-1010-1013,0303-1010-1013,3,3,1
64,1010-1013-1303,1010-1013-1303,3,3,1
65,0303-1010-1013,0303-1010-1013,3,3,1
66,0303-0310-1010-1013,0303-0310-1010-1013,4,4,1
67,0303-1010-1013,0203-0303-1010-1013,3,4,1
68,1010,1010,1,1,1
69,1010,1010,1,1,1
70,0300-0303-1010-1103,0300-0303-1010-1103,4,4,1
71,0300-0303-1010-1013,0300-0303-1010-1013,4,4,1
72,0300-1010,0300-0301-1010-1011,2,4,1
73,0310-1010,0303-0310-1003-1010,2,4,1
74,0303-1010-1013,0303-1010-1013,3,3,1
75,0303-1010-1013,0303-1010-1013,3,3,1
76,1010,1010,1,1,1
77,0303-1010-1013,0210-0303-1010-1013,3,4,1
78,0300-0303-1010,0300-0303-1010,3,3,1
79,1010,1010,1,1,1
80,0300-0303-1010-1200,0300-0303-1010-1200,4,4,1
81,0010-0013-0303,0010-0013-0303,3,3,1
82,0301-0303-1011,0111-0301-0303-1011,3,4,1
83,0303-0310-1010-1013,0303-0310-1010-1013-1103,4,5,1
84,1010-1303,1010-1303,2,2,1
85,0110-0111-0300-0301-1010,0110-0111-0300-0301-1010-1011,5,6,1
86,0300-0303-1110,0300-0303-1010-1110,3,4,1
87,0303-1010-1013,0303-1010-1013,3,3,1
88,0300-0303-1010,0300-0303-1010,3,3,1
89,0303,0303,1,1,1
90,0300-0303-1010-1100,0300-0303-1010-1100,4,4,1
91,0303-1010-1013,0303-1010-1013,3,3,1
92,0310-1010,0210-1010,2,2,0.5
93,0301-0303-1011,0301-0303-1011-1013,3,4,1
94,0013-0313,0013-0313,2,2,1
95,0300-0303-1000,0300-0303-1000,3,3,1
96,0310-1010,1010,2,1,0.5
97,0303-0311-1011-1013,0303-0311-1011-1013,4,4,1
98,0300-1010,0300-1010,2,2,1
99,0303-0310,0303-0310,2,2,1
100,0300-0303-1010-1013,0113-0300-0303-1010-1013,4,5,1
101,0303-1013,0303-1013,2,2,1
102,0303-1010-1013,0303-1010-1013,3,3,1
103,0303-1013,0213-0303-1013,2,3,1
104,0210-0303-1010-1013,0210-0303-1010-1013,4,4,1
105,1010,0303-1010-1013,1,3,1
106,0110-0303-1010,0110-0303-1010,3,3,1
107,1010,1010,1,1,1
108,0303-0310-1010-1013,0303-0310-1010-1013,4,4,1
109,0210-0310-1010,0210-1010,3,2,0.6666666666666666
110,0303-1013,0303-1013,2,2,1
111,0300-0303-1010,0300-0303-1010,3,3,1
112,0300-0303-1010,0300-0303-1010-1103,3,4,1
113,0303-1010-1013-1103,0303-1010-1013-1103,4,4,1
114,0302-0310-1010-1012,0302-0310-1010-1012,4,4,1
115,0300-0303-1010,0300-0303-1010,3,3,1
116,1010,1010,1,1,1
117,0310-0312-1010-1012,0212-0310-0312-1010-1012,4,5,1
118,1013-1303,1013-1303,2,2,1
119,0010-0013-0303,0010-0013-0303,3,3,1
120,1013-1313,1011-1013-1311-1313,2,4,1
121,0303-1010-1013,0303-1010-1013,3,3,1
122,1010-1011,1010-1011,2,2,1
123,0302-1010-1012,0302-1010-1012,3,3,1
124,0303-1013,0303-1013,2,2,1
125,0300-0303-1003-1010,0300-0303-1003-1010,4,4,1
126,0210-1010,0210-1010,2,2,1
127,0300-1010,0300-1010,2,2,1
128,0303-1010-1013,0303-1010-1013,3,3,1
129,0300-0303-1003-1010,0300-0303-1003-1010,4,4,1
130,0300-0303-1010-1013,0300-0303-1010-1013-1103,4,5,1
