parIndex,nStates,Phase,State,DSGRNPhase,nStatesRAC,basin,GRHL2,ZEB,miR200,SLUG,basinDiscret
1,2,0303-1013,0303,0300-0303-1003-1010,2,0.6666666666666666,1.508,361.022,0.082,88.992,0.6666666666666666
1,2,0303-1013,1013,0300-0303-1003-1010,2,2,114.453,0.015,4.907,88.992,2
2,1,0303,0303,0010-0300-0303,1,1.5,0.03,549.958,0.067,219.454,1.5
3,1,0303,0303,0300-0303-1010,1,0.75,2.45,361.298,0.004,87.385,0.75
4,2,0300-1010,1010,0300-1010,2,0.2,23.228,0,80.474,0.146,0.2
4,2,0300-1010,0300,0300-1010,2,0.16666666666666666,1.045,51.679,3.004,0.146,0.16666666666666666
5,2,0303-1010,1010,0303-1003-1010,2,1,19.108,0.001,105.659,2.135,1
5,2,0303-1010,0303,0303-1003-1010,2,0.6666666666666666,1.37,790.67,0.204,116.43,0.6666666666666666
6,2,0303-1003,1003,0303-1003-1010,2,0.5,96.748,0.007,2.753,143.357,0.5
6,2,0303-1003,0303,0303-1003-1010,2,0.5,2.575,35.811,0.041,143.357,0.5
7,2,0010-0300,0300,0010-0300,2,0.16666666666666666,0.202,34.829,0.607,0.364,0.16666666666666666
7,2,0010-0300,0010,0010-0300,2,0.2,15.334,0.035,36.126,0.364,0.2
8,2,0302-1102,1102,0300-0302-1000-1002,2,2,31.346,1.397,0.003,51.806,2
8,2,0302-1102,0302,0300-0302-1000-1002,2,0.6666666666666666,1.776,514.888,0.001,51.806,0.6666666666666666
9,3,0303-1010-1013,0303,0303-1010-1013,3,0.5,3.234,915.041,0.415,181.465,0.5
9,3,0303-1010-1013,1010,0303-1010-1013,3,0.25,201.035,0.004,70.808,8.898,0.25
9,3,0303-1010-1013,1013,0303-1010-1013,3,0.16666666666666666,201.035,0.025,5.838,181.465,0.16666666666666666
10,3,0303-1010-1013,1010,0303-1010-1013,3,0.3333333333333333,28.272,0,27.75,3.266,0.3333333333333333
10,3,0303-1010-1013,0303,0303-1010-1013,3,0.2,1.098,153.397,0.03,217.149,0.2
10,3,0303-1010-1013,1013,0303-1010-1013,3,1,28.272,0.005,1.501,217.149,1
11,3,0303-1010-1103,0303,0303-1010-1103,3,0.5,1.452,105.951,0.012,204.258,0.5
11,3,0303-1010-1103,1010,0303-1010-1103,3,0.16666666666666666,108.332,0.003,14,3.584,0.16666666666666666
11,3,0303-1010-1103,1103,0303-1010-1103,3,0.25,105.343,3.14,0.021,204.258,0.25
12,1,0010,0010,0010,1,0.2,47.985,0.002,100.498,0.113,0.2
13,2,0010-0303,0303,0010-0303,2,0.3333333333333333,0.155,1646.796,0.039,119.922,0.3333333333333333
13,2,0010-0303,0010,0010-0303,2,1,5.409,0.385,147.436,1.852,1
14,2,0310-1010,1010,0302-0310-1010-1012,2,0.5,33.665,0.012,180.093,1.199,0.5
14,2,0310-1010,0310,0302-0310-1010-1012,2,1,1.356,6.632,59.504,1.199,1
15,3,0300-0303-1010,0300,0300-0303-1003-1010,3,0.16666666666666666,1.54,36.531,0.484,2.858,0.16666666666666666
15,3,0300-0303-1010,0303,0300-0303-1003-1010,3,0.4,1.54,962.23,0.008,110.734,0.4
15,3,0300-0303-1010,1010,0300-0303-1003-1010,3,0.3333333333333333,128.854,0.001,17.431,2.858,0.3333333333333333
16,4,0300-0303-1010-1013,0300,0300-0303-1003-1010,4,0.5,7.3,13.535,0.728,2.797,0.5
16,4,0300-0303-1010-1013,1010,0300-0303-1003-1010,4,0.16666666666666666,231.207,0,67.384,2.797,0.16666666666666666
16,4,0300-0303-1010-1013,1013,0300-0303-1003-1010,4,0.25,231.179,0.021,7.598,65.529,0.25
16,4,0300-0303-1010-1013,0303,0300-0303-1003-1010,4,1,2.697,819.254,0.079,65.529,1
17,3,0313-1010-1013,1013,0113-0210-0303-1010-1013,3,0.3333333333333333,73.204,0.324,1.062,228.759,0.3333333333333333
17,3,0313-1010-1013,0313,0113-0210-0303-1010-1013,3,0.4,0.937,606.89,0.087,228.759,0.4
17,3,0313-1010-1013,1010,0113-0210-0303-1010-1013,3,2,73.208,0.037,17.191,3.231,2
18,2,0310-1010,0310,0303-1010-1013,2,1,3.489,90.337,2.349,3.756,1
18,2,0310-1010,1010,0303-1010-1013,2,0.25,165.926,0.077,149.951,3.756,0.25
19,2,0303-1013,1013,0300-0303-1003-1010,2,0.4,160.685,0.535,7.614,83.685,0.4
19,2,0303-1013,0303,0300-0303-1003-1010,2,0.3333333333333333,2.029,1184.039,0.084,83.685,0.3333333333333333
20,1,0010,0010,0010,1,0.3333333333333333,16.19,0.004,238.984,0.911,0.3333333333333333
21,4,0300-0303-1010-1013,0303,0300-0303-1003-1010,4,1,1.701,485.966,0.099,89.383,1
21,4,0300-0303-1010-1013,1010,0300-0303-1003-1010,4,0.16666666666666666,50.905,0.001,74.74,5.067,0.16666666666666666
21,4,0300-0303-1010-1013,1013,0300-0303-1003-1010,4,0.25,50.904,0.023,7.799,89.383,0.25
21,4,0300-0303-1010-1013,0300,0300-0303-1003-1010,4,0.5,1.716,12.99,4.145,5.067,0.5
22,4,0300-0303-1010-1013,1010,0300-0303-1003-1010,4,1,19.108,0.001,105.659,1.8,1
