Phase,Count,Frequency
0000,1,1.0066438494060802e-4
0000-0300,1,1.0066438494060802e-4
0000-0300-0303,4,4.026575397624321e-4
0000-0303,1,1.0066438494060802e-4
0001,1,1.0066438494060802e-4
0001-0301-0303,1,1.0066438494060802e-4
0002-0010-0300-0302,2,2.0132876988121604e-4
0003-0010-0303,3,3.0199315482182406e-4
0003-0303,3,3.0199315482182406e-4
0010,154,0.015502315280853635
0010-0011,7,7.046506945842561e-4
0010-0011-0300-0301,4,4.026575397624321e-4
0010-0011-0301,2,2.0132876988121604e-4
0010-0011-0310-0311,1,1.0066438494060802e-4
0010-0011-0311,1,1.0066438494060802e-4
0010-0012,2,2.0132876988121604e-4
0010-0012-0200-0302,1,1.0066438494060802e-4
0010-0012-0300-0302,3,3.0199315482182406e-4
0010-0012-0302,9,9.059794644654722e-4
0010-0012-0312,2,2.0132876988121604e-4
0010-0013,2,2.0132876988121604e-4
0010-0013-0113,1,1.0066438494060802e-4
0010-0013-0210-0303,1,1.0066438494060802e-4
0010-0013-0213,1,1.0066438494060802e-4
0010-0013-0300-0303,13,0.0013086370042279041
0010-0013-0303,76,0.007650493255486209
0010-0013-0303-0310,1,1.0066438494060802e-4
0010-0013-0313,11,0.001107308234346688
0010-0100-0300,6,6.039863096436481e-4
0010-0100-0300-0302,1,1.0066438494060802e-4
0010-0100-0300-0303,5,5.033219247030401e-4
0010-0102-0300-0302,1,1.0066438494060802e-4
0010-0102-0302,1,1.0066438494060802e-4
0010-0103-0303,2,2.0132876988121604e-4
0010-0110,3,3.0199315482182406e-4
0010-0110-0300,2,2.0132876988121604e-4
0010-0110-0300-0303,5,5.033219247030401e-4
0010-0110-0303,9,9.059794644654722e-4
0010-0110-0310,1,1.0066438494060802e-4
0010-0110-0313,1,1.0066438494060802e-4
0010-0111,1,1.0066438494060802e-4
0010-0113-0300-0303,1,1.0066438494060802e-4
0010-0113-0303,5,5.033219247030401e-4
0010-0113-0303-0310,1,1.0066438494060802e-4
0010-0200,1,1.0066438494060802e-4
0010-0200-0300-0303,1,1.0066438494060802e-4
0010-0200-0303,1,1.0066438494060802e-4
0010-0210,4,4.026575397624321e-4
0010-0210-0300,4,4.026575397624321e-4
0010-0210-0300-0302,1,1.0066438494060802e-4
0010-0210-0300-0303,2,2.0132876988121604e-4
0010-0210-0303,1,1.0066438494060802e-4
0010-0210-0312,1,1.0066438494060802e-4
0010-0211-0300-0301,1,1.0066438494060802e-4
0010-0300,131,0.01318703442721965
0010-0300-0301,1,1.0066438494060802e-4
0010-0300-0302,9,9.059794644654722e-4
0010-0300-0303,174,0.017515602979665795
0010-0302,6,6.039863096436481e-4
0010-0303,149,0.014998993356150594
0010-0303-0310,9,9.059794644654722e-4
0010-0310,10,0.0010066438494060802
0010-0310-0311,1,1.0066438494060802e-4
0010-0310-0313,1,1.0066438494060802e-4
