Phase,Count,Frequency
0000,11,0.0011059722501508143
0000-0001,1,1.0054293183189222e-4
0000-0200,1,1.0054293183189222e-4
0000-0300,4,4.021717273275689e-4
0000-0300-0303,3,3.016287954956767e-4
0000-0302,1,1.0054293183189222e-4
0000-0303,8,8.043434546551378e-4
0001,1,1.0054293183189222e-4
0001-0303,1,1.0054293183189222e-4
0002,1,1.0054293183189222e-4
0003,1,1.0054293183189222e-4
0003-0010-0303,3,3.016287954956767e-4
0003-0303,3,3.016287954956767e-4
0010,441,0.044339432937864465
0010-0011,11,0.0011059722501508143
0010-0011-0301,1,1.0054293183189222e-4
0010-0012,3,3.016287954956767e-4
0010-0012-0300-0302,2,2.0108586366378444e-4
0010-0012-0302,4,4.021717273275689e-4
0010-0012-0312,3,3.016287954956767e-4
0010-0013,9,9.048863864870299e-4
0010-0013-0303,27,0.00271465915946109
0010-0013-0313,2,2.0108586366378444e-4
0010-0100-0300-0303,1,1.0054293183189222e-4
0010-0110,2,2.0108586366378444e-4
0010-0110-0300,2,2.0108586366378444e-4
0010-0110-0313,1,1.0054293183189222e-4
0010-0112,1,1.0054293183189222e-4
0010-0200,1,1.0054293183189222e-4
0010-0212,1,1.0054293183189222e-4
0010-0300,108,0.01085863663784436
0010-0300-0301,1,1.0054293183189222e-4
0010-0300-0302,9,9.048863864870299e-4
0010-0300-0303,67,0.006736376432736778
0010-0302,16,0.0016086869093102755
0010-0302-0310,1,1.0054293183189222e-4
0010-0303,171,0.01719284134325357
0010-0303-0310,3,3.016287954956767e-4
0010-0310,5,5.027146591594611e-4
0010-0312,1,1.0054293183189222e-4
0010-0313,4,4.021717273275689e-4
0011,12,0.0012065151819827067
0011-0013-0301-0303,2,2.0108586366378444e-4
0011-0013-0313,1,1.0054293183189222e-4
0011-0112-0302,1,1.0054293183189222e-4
0011-0301,6,6.032575909913533e-4
0011-0301-0303,5,5.027146591594611e-4
0011-0303,2,2.0108586366378444e-4
0011-0311,1,1.0054293183189222e-4
0012,6,6.032575909913533e-4
0012-0212,1,1.0054293183189222e-4
0012-0302,16,0.0016086869093102755
0012-0302-1010,1,1.0054293183189222e-4
0013,8,8.043434546551378e-4
0013-0113,1,1.0054293183189222e-4
0013-0113-0303,2,2.0108586366378444e-4
0013-0113-0313,1,1.0054293183189222e-4
0013-0213,2,2.0108586366378444e-4
0013-0303,64,0.006434747637241102
0013-0313,5,5.027146591594611e-4
0013-0313-1010,1,1.0054293183189222e-4
0100,1,1.0054293183189222e-4
0100-0300-0302,1,1.0054293183189222e-4
0100-0303,1,1.0054293183189222e-4
0101-0301-0303,1,1.0054293183189222e-4
0101-0303,1,1.0054293183189222e-4
0103-0303-1003,1,1.0054293183189222e-4
0110,4,4.021717273275689e-4
0110-0300-0301,1,1.0054293183189222e-4
0110-0303,1,1.0054293183189222e-4
0111-0301,1,1.0054293183189222e-4
0111-0311,1,1.0054293183189222e-4
0112-0302,1,1.0054293183189222e-4
0112-0302-1012,1,1.0054293183189222e-4
0113,1,1.0054293183189222e-4
0113-0301-0303-1011,1,1.0054293183189222e-4
0113-0303,2,2.0108586366378444e-4
0113-0303-1010,1,1.0054293183189222e-4
0200-1000,1,1.0054293183189222e-4
0210,1,1.0054293183189222e-4
0210-0300,1,1.0054293183189222e-4
0210-0300-1110,1,1.0054293183189222e-4
0210-0303,2,2.0108586366378444e-4
0210-1010,4,4.021717273275689e-4
0211-0301-1010-1011,1,1.0054293183189222e-4
0211-1011,1,1.0054293183189222e-4
0212,1,1.0054293183189222e-4
0213-0303-1013,1,1.0054293183189222e-4
0213-1013,1,1.0054293183189222e-4
0300,29,0.0029157450231248744
0300-0301,3,3.016287954956767e-4
0300-0301-1010,1,1.0054293183189222e-4
0300-0301-1010-1011,14,0.001407601045646491
0300-0302,2,2.0108586366378444e-4
0300-0302-1002-1010,2,2.0108586366378444e-4
0300-0302-1010,13,0.0013070581138145989
0300-0302-1010-1012,15,0.0015081439774783834
0300-0303,30,0.0030162879549567667
0300-0303-1000,20,0.0020108586366378444
0300-0303-1000-1003,4,4.021717273275689e-4
0300-0303-1003-1010,38,0.0038206314096119044
0300-0303-1010,182,0.018298813593404385
0300-0303-1010-1013,40,0.004021717273275689
0300-0303-1010-1103,1,1.0054293183189222e-4
0300-0303-1010-1110,1,1.0054293183189222e-4
0300-0303-1110,1,1.0054293183189222e-4
0300-1000,39,0.003921174341443796
0300-1000-1100,1,1.0054293183189222e-4
0300-1010,483,0.04856223607480394
0300-1010-1110,1,1.0054293183189222e-4
0300-1010-1200,1,1.0054293183189222e-4
0300-1110,1,1.0054293183189222e-4
0300-1200,1,1.0054293183189222e-4
0301,18,0.0018097727729740598
0301-0302,1,1.0054293183189222e-4
0301-0302-1002-1011,1,1.0054293183189222e-4
0301-0303,8,8.043434546551378e-4
0301-0303-1001,1,1.0054293183189222e-4
0301-0303-1001-1003,1,1.0054293183189222e-4
0301-0303-1003-1011,7,7.038005228232455e-4
0301-0303-1011,18,0.0018097727729740598
0301-0303-1011-1013,6,6.032575909913533e-4
0301-1000-1001,1,1.0054293183189222e-4
0301-1001,5,5.027146591594611e-4
0301-1010,2,2.0108586366378444e-4
0301-1010-1011,20,0.0020108586366378444
0301-1011,83,0.008345063342047054
0301-1011-1111,1,1.0054293183189222e-4
0302,47,0.004725517796098934
0302-0303,1,1.0054293183189222e-4
0302-0303-1012-1013,1,1.0054293183189222e-4
0302-1000,1,1.0054293183189222e-4
0302-1000-1002,1,1.0054293183189222e-4
0302-1002,9,9.048863864870299e-4
0302-1002-1010,5,5.027146591594611e-4
0302-1002-1302,1,1.0054293183189222e-4
0302-1010,21,0.0021114015684697367
0302-1010-1012,89,0.008948320933038408
0302-1010-1102,1,1.0054293183189222e-4
0302-1010-1112,1,1.0054293183189222e-4
0302-1011-1012,2,2.0108586366378444e-4
0302-1012,86,0.00864669213754273
0302-1012-1112,1,1.0054293183189222e-4
0302-1012-1202,1,1.0054293183189222e-4
0302-1202,1,1.0054293183189222e-4
0303,1491,0.1499095113613513
0303-0310,4,4.021717273275689e-4
0303-0310-1010,2,2.0108586366378444e-4
0303-0310-1010-1013,4,4.021717273275689e-4
0303-0311-1011,4,4.021717273275689e-4
0303-0311-1011-1013,2,2.0108586366378444e-4
0303-0313,1,1.0054293183189222e-4
0303-1000,16,0.0016086869093102755
0303-1000-1003,19,0.0019103157048059522
0303-1000-1103,1,1.0054293183189222e-4
0303-1001,2,2.0108586366378444e-4
0303-1001-1003,3,3.016287954956767e-4
0303-1003,469,0.04715463502915745
0303-1003-1010,205,0.020611301025537904
0303-1003-1010-1103,4,4.021717273275689e-4
0303-1003-1010-1203,2,2.0108586366378444e-4
0303-1003-1011,9,9.048863864870299e-4
0303-1003-1011-1103,1,1.0054293183189222e-4
0303-1003-1103,5,5.027146591594611e-4
0303-1003-1203,2,2.0108586366378444e-4
0303-1010,389,0.03911120048260607
0303-1010-1013,434,0.043635632415041224
0303-1010-1013-1113,1,1.0054293183189222e-4
0303-1010-1013-1203,1,1.0054293183189222e-4
0303-1010-1103,5,5.027146591594611e-4
0303-1010-1113,3,3.016287954956767e-4
0303-1010-1300,1,1.0054293183189222e-4
0303-1011,7,7.038005228232455e-4
0303-1011-1013,7,7.038005228232455e-4
0303-1011-1111,1,1.0054293183189222e-4
0303-1013,739,0.07430122662376835
0303-1013-1103,1,1.0054293183189222e-4
0303-1013-1113,3,3.016287954956767e-4
0303-1013-1203,1,1.0054293183189222e-4
0303-1013-1213,1,1.0054293183189222e-4
0303-1103,9,9.048863864870299e-4
0303-1110,3,3.016287954956767e-4
0303-1113,9,9.048863864870299e-4
0303-1203,7,7.038005228232455e-4
0310,4,4.021717273275689e-4
0310-1010,13,0.0013070581138145989
0310-1210,1,1.0054293183189222e-4
0311,1,1.0054293183189222e-4
0311-1010-1011,1,1.0054293183189222e-4
0311-1011,6,6.032575909913533e-4
0311-1011-1111,1,1.0054293183189222e-4
0311-1111,1,1.0054293183189222e-4
0312,1,1.0054293183189222e-4
0312-1010,4,4.021717273275689e-4
0312-1010-1012,10,0.0010054293183189222
0312-1012,8,8.043434546551378e-4
0313,16,0.0016086869093102755
0313-1010,5,5.027146591594611e-4
0313-1010-1013,23,0.002312487432133521
0313-1010-1013-1113,1,1.0054293183189222e-4
0313-1011,1,1.0054293183189222e-4
0313-1011-1013,1,1.0054293183189222e-4
0313-1013,37,0.003720088477780012
1000,72,0.007239091091896239
1000-1001,1,1.0054293183189222e-4
1000-1003,3,3.016287954956767e-4
1000-1300,1,1.0054293183189222e-4
1000-1303,1,1.0054293183189222e-4
1001,12,0.0012065151819827067
1001-1010,2,2.0108586366378444e-4
1002,8,8.043434546551378e-4
1002-1010,8,8.043434546551378e-4
1002-1302,1,1.0054293183189222e-4
1003,80,0.008043434546551377
1003-1010,37,0.003720088477780012
1003-1010-1103,1,1.0054293183189222e-4
1003-1010-1303,13,0.0013070581138145989
1003-1011,1,1.0054293183189222e-4
1003-1011-1303,1,1.0054293183189222e-4
1003-1203,2,2.0108586366378444e-4
1003-1303,26,0.0026141162276291977
1010,2519,0.2532676452845365
1010-1011,66,0.006635833500904886
1010-1011-1301,1,1.0054293183189222e-4
1010-1012,58,0.005831490046249749
1010-1012-1202,1,1.0054293183189222e-4
1010-1012-1302,2,2.0108586366378444e-4
1010-1013,109,0.010959179569676252
1010-1013-1113,1,1.0054293183189222e-4
1010-1013-1213,1,1.0054293183189222e-4
1010-1013-1303,26,0.0026141162276291977
1010-1013-1313,1,1.0054293183189222e-4
1010-1102,1,1.0054293183189222e-4
1010-1103,1,1.0054293183189222e-4
1010-1103-1303,1,1.0054293183189222e-4
1010-1110,1,1.0054293183189222e-4
1010-1112,1,1.0054293183189222e-4
1010-1113-1303,2,2.0108586366378444e-4
1010-1200,4,4.021717273275689e-4
1010-1203,1,1.0054293183189222e-4
1010-1300,5,5.027146591594611e-4
1010-1300-1303,3,3.016287954956767e-4
1010-1302,3,3.016287954956767e-4
1010-1303,29,0.0029157450231248744
1011,84,0.008445606273878947
1011-1012,3,3.016287954956767e-4
1011-1013,5,5.027146591594611e-4
1011-1111,1,1.0054293183189222e-4
1011-1301,1,1.0054293183189222e-4
1011-1303,3,3.016287954956767e-4
1012,39,0.003921174341443796
1012-1312,1,1.0054293183189222e-4
1013,104,0.01045646491051679
1013-1113,2,2.0108586366378444e-4
1013-1203,2,2.0108586366378444e-4
1013-1303,37,0.003720088477780012
1102,1,1.0054293183189222e-4
1103,2,2.0108586366378444e-4
1103-1303,2,2.0108586366378444e-4
1110,1,1.0054293183189222e-4
1113-1303,1,1.0054293183189222e-4
1203,1,1.0054293183189222e-4
1213-1303,1,1.0054293183189222e-4
1300,1,1.0054293183189222e-4
1300-1302,1,1.0054293183189222e-4
1300-1303,2,2.0108586366378444e-4
1301,2,2.0108586366378444e-4
1302,1,1.0054293183189222e-4
1303,62,0.006233661773577317
