Phase,RACIPE,DSGRN,JSD,Parameter,nState
0010,0.0010851871947911015,0,0.02933827910568923,Phase,2
0010-0011,5.425935973955507e-4,0.0010851871947911015,0.02933827910568923,Phase,2
0010-0110,5.425935973955507e-4,5.425935973955507e-4,0.02933827910568923,Phase,2
0010-0210,5.425935973955507e-4,5.425935973955507e-4,0.02933827910568923,Phase,2
0010-0300,0.010309278350515464,0.010309278350515464,0.02933827910568923,Phase,2
0010-0303,0.030385241454150842,0.032013022246337494,0.02933827910568923,Phase,2
0010-0310,0.0048833423765599565,0.0048833423765599565,0.02933827910568923,Phase,2
0010-0312,5.425935973955507e-4,5.425935973955507e-4,0.02933827910568923,Phase,2
0010-0313,0.0032555615843733042,0.0027129679869777536,0.02933827910568923,Phase,2
0012-0302,5.425935973955507e-4,5.425935973955507e-4,0.02933827910568923,Phase,2
0013-0303,0.005425935973955507,0.00705371676614216,0.02933827910568923,Phase,2
0110-0300,0,5.425935973955507e-4,0.02933827910568923,Phase,2
0110-0303,0.0016277807921866521,0.002170374389582203,0.02933827910568923,Phase,2
0110-0310,0.0010851871947911015,0.0010851871947911015,0.02933827910568923,Phase,2
0110-1010,5.425935973955507e-4,0.0010851871947911015,0.02933827910568923,Phase,2
0113-0303,0.0010851871947911015,0.0016277807921866521,0.02933827910568923,Phase,2
0210-0300,5.425935973955507e-4,5.425935973955507e-4,0.02933827910568923,Phase,2
0210-0303,5.425935973955507e-4,0,0.02933827910568923,Phase,2
0210-1010,0.0075963103635377106,0.009766684753119913,0.02933827910568923,Phase,2
0213-0313,5.425935973955507e-4,5.425935973955507e-4,0.02933827910568923,Phase,2
0300,0.0016277807921866521,0,0.02933827910568923,Phase,2
0300-0301,5.425935973955507e-4,5.425935973955507e-4,0.02933827910568923,Phase,2
0300-0302,0.0010851871947911015,0.0016277807921866521,0.02933827910568923,Phase,2
0300-0303,0.010851871947911014,0.012479652740097666,0.02933827910568923,Phase,2
0300-1000,0.0010851871947911015,0.0010851871947911015,0.02933827910568923,Phase,2
0300-1010,0.16874660879001627,0.16983179598480738,0.02933827910568923,Phase,2
0301-0302,5.425935973955507e-4,5.425935973955507e-4,0.02933827910568923,Phase,2
0301-0303,0.016277807921866522,0.017905588714053174,0.02933827910568923,Phase,2
0301-1001,5.425935973955507e-4,5.425935973955507e-4,0.02933827910568923,Phase,2
0301-1011,0.0065111231687466084,0.0065111231687466084,0.02933827910568923,Phase,2
0302-0303,0.010309278350515464,0.01410743353228432,0.02933827910568923,Phase,2
0302-0310,5.425935973955507e-4,5.425935973955507e-4,0.02933827910568923,Phase,2
0302-1002,5.425935973955507e-4,5.425935973955507e-4,0.02933827910568923,Phase,2
0302-1012,0.0010851871947911015,0.0016277807921866521,0.02933827910568923,Phase,2
0303,0.019533369506239826,0,0.02933827910568923,Phase,2
0303-0310,0.008681497558328812,0.008681497558328812,0.02933827910568923,Phase,2
0303-0311,0.005968529571351058,0.005968529571351058,0.02933827910568923,Phase,2
0303-1003,0.05860010851871948,0.062398263700488336,0.02933827910568923,Phase,2
0303-1010,0.09983722192078133,0.10417797069994574,0.02933827910568923,Phase,2
0303-1013,0.14595767769940315,0.14921323928377644,0.02933827910568923,Phase,2
0303-1103,0.008138903960933261,0.008681497558328812,0.02933827910568923,Phase,2
0303-1113,0.0010851871947911015,0.0010851871947911015,0.02933827910568923,Phase,2
0310,5.425935973955507e-4,0,0.02933827910568923,Phase,2
0310-0311,5.425935973955507e-4,5.425935973955507e-4,0.02933827910568923,Phase,2
0310-0313,5.425935973955507e-4,0.0010851871947911015,0.02933827910568923,Phase,2
0310-1010,0.08138903960933261,0.08410200759631037,0.02933827910568923,Phase,2
0310-1110,5.425935973955507e-4,5.425935973955507e-4,0.02933827910568923,Phase,2
0311-0313,0.002170374389582203,0.002170374389582203,0.02933827910568923,Phase,2
0311-1011,0.0027129679869777536,0.0027129679869777536,0.02933827910568923,Phase,2
0312-0313,0.0010851871947911015,0.0010851871947911015,0.02933827910568923,Phase,2
0312-1010,0.0010851871947911015,0.0010851871947911015,0.02933827910568923,Phase,2
0312-1012,0.0010851871947911015,5.425935973955507e-4,0.02933827910568923,Phase,2
0313-1010,0.0010851871947911015,0.0010851871947911015,0.02933827910568923,Phase,2
0313-1011,5.425935973955507e-4,5.425935973955507e-4,0.02933827910568923,Phase,2
0313-1013,0.01465002712967987,0.01465002712967987,0.02933827910568923,Phase,2
0313-1113,0.0010851871947911015,0.0010851871947911015,0.02933827910568923,Phase,2
1000-1300,5.425935973955507e-4,5.425935973955507e-4,0.02933827910568923,Phase,2
1001-1303,0.0027129679869777536,0.0027129679869777536,0.02933827910568923,Phase,2
1002-1003,5.425935973955507e-4,5.425935973955507e-4,0.02933827910568923,Phase,2
1002-1010,0.004340748779164406,0.0048833423765599565,0.02933827910568923,Phase,2
1003-1010,0.002170374389582203,0.002170374389582203,0.02933827910568923,Phase,2
1003-1303,0.011394465545306565,0.013022246337493217,0.02933827910568923,Phase,2
1010,0.021161150298426478,0,0.02933827910568923,Phase,2
1010-1011,0.041237113402061855,0.049918610960390665,0.02933827910568923,Phase,2
1010-1012,0.01465002712967987,0.016277807921866522,0.02933827910568923,Phase,2
1010-1013,0.02170374389582203,0.02170374389582203,0.02933827910568923,Phase,2
1010-1110,0.002170374389582203,0.0032555615843733042,0.02933827910568923,Phase,2
1010-1200,0.0010851871947911015,0.0010851871947911015,0.02933827910568923,Phase,2
1010-1300,0.009224091155724362,0.010309278350515464,0.02933827910568923,Phase,2
1010-1303,0.06511123168746609,0.06728160607704829,0.02933827910568923,Phase,2
1010-1310,5.425935973955507e-4,5.425935973955507e-4,0.02933827910568923,Phase,2
1010-1313,5.425935973955507e-4,5.425935973955507e-4,0.02933827910568923,Phase,2
1011,0.0010851871947911015,0,0.02933827910568923,Phase,2
1011-1013,0.0016277807921866521,0.0016277807921866521,0.02933827910568923,Phase,2
1011-1301,5.425935973955507e-4,5.425935973955507e-4,0.02933827910568923,Phase,2
1011-1303,5.425935973955507e-4,5.425935973955507e-4,0.02933827910568923,Phase,2
1013,5.425935973955507e-4,0,0.02933827910568923,Phase,2
1013-1113,0.0010851871947911015,0.0016277807921866521,0.02933827910568923,Phase,2
1013-1303,0.02333152468800868,0.02387411828540423,0.02933827910568923,Phase,2
1013-1313,5.425935973955507e-4,5.425935973955507e-4,0.02933827910568923,Phase,2
1100-1300,5.425935973955507e-4,5.425935973955507e-4,0.02933827910568923,Phase,2
1101-1303,5.425935973955507e-4,5.425935973955507e-4,0.02933827910568923,Phase,2
1103-1303,0.0037981551817688553,0.005425935973955507,0.02933827910568923,Phase,2
1113-1303,0.0016277807921866521,0.0016277807921866521,0.02933827910568923,Phase,2
1203-1303,0.0010851871947911015,0.0027129679869777536,0.02933827910568923,Phase,2
1213-1303,0.0010851871947911015,0.0010851871947911015,0.02933827910568923,Phase,2
1300,5.425935973955507e-4,0,0.02933827910568923,Phase,2
1300-1302,0,5.425935973955507e-4,0.02933827910568923,Phase,2
1301-1303,0.0016277807921866521,0.0016277807921866521,0.02933827910568923,Phase,2
1302-1303,0.002170374389582203,0.0027129679869777536,0.02933827910568923,Phase,2
1303,0.00705371676614216,0,0.02933827910568923,Phase,2
1303-1310,0.002170374389582203,0.002170374389582203,0.02933827910568923,Phase,2
1312-1313,5.425935973955507e-4,5.425935973955507e-4,0.02933827910568923,Phase,2
Monostable,0.05317417254476397,0,0.027110979688384666,monoMulti,2
Multistable,0.946825827455236,1,0.027110979688384666,monoMulti,2
1,0.05317417254476397,0,0.027110979688384666,nState,2
2,0.946825827455236,1,0.027110979688384666,nState,2
0001-0301-0303,5.538631957906397e-4,8.307947936859596e-4,0.041988719682203766,Phase,3
0010,8.307947936859596e-4,0,0.041988719682203766,Phase,3
0010-0012-0302,5.538631957906397e-4,0.0011077263915812794,0.041988719682203766,Phase,3
0010-0012-0312,5.538631957906397e-4,5.538631957906397e-4,0.041988719682203766,Phase,3
0010-0013-0213,2.7693159789531985e-4,2.7693159789531985e-4,0.041988719682203766,Phase,3
0010-0013-0303,0.01689282747161451,0.01744669066740515,0.041988719682203766,Phase,3
0010-0013-0313,0.0027693159789531985,0.0027693159789531985,0.041988719682203766,Phase,3
0010-0100-0300,0,2.7693159789531985e-4,0.041988719682203766,Phase,3
0010-0102-0302,0,2.7693159789531985e-4,0.041988719682203766,Phase,3
0010-0103-0303,2.7693159789531985e-4,2.7693159789531985e-4,0.041988719682203766,Phase,3
0010-0110-0300,2.7693159789531985e-4,2.7693159789531985e-4,0.041988719682203766,Phase,3
0010-0110-0303,0.002215452783162559,0.0030462475768485184,0.041988719682203766,Phase,3
0010-0110-0312,2.7693159789531985e-4,2.7693159789531985e-4,0.041988719682203766,Phase,3
0010-0110-0313,2.7693159789531985e-4,0,0.041988719682203766,Phase,3
0010-0113-0303,0.001661589587371919,0.0024923843810578787,0.041988719682203766,Phase,3
0010-0113-0313,5.538631957906397e-4,8.307947936859596e-4,0.041988719682203766,Phase,3
0010-0200-0300,2.7693159789531985e-4,2.7693159789531985e-4,0.041988719682203766,Phase,3
0010-0210-0300,0,2.7693159789531985e-4,0.041988719682203766,Phase,3
0010-0210-0303,0.003877042370534478,0.004707837164220438,0.041988719682203766,Phase,3
0010-0210-0312,2.7693159789531985e-4,2.7693159789531985e-4,0.041988719682203766,Phase,3
0010-0300,0.001938521185267239,0,0.041988719682203766,Phase,3
0010-0300-0302,5.538631957906397e-4,8.307947936859596e-4,0.041988719682203766,Phase,3
0010-0300-0303,0.028523954583217947,0.030739407366380506,0.041988719682203766,Phase,3
0010-0303,0.002215452783162559,0,0.041988719682203766,Phase,3
0010-0303-0310,0.009415674328440876,0.010800332317917475,0.041988719682203766,Phase,3
0010-0310,5.538631957906397e-4,0,0.041988719682203766,Phase,3
0010-0310-0312,5.538631957906397e-4,5.538631957906397e-4,0.041988719682203766,Phase,3
0010-0310-0313,0.0011077263915812794,0.0013846579894765993,0.041988719682203766,Phase,3
0010-0313,2.7693159789531985e-4,0,0.041988719682203766,Phase,3
0011-0013-0303,2.7693159789531985e-4,2.7693159789531985e-4,0.041988719682203766,Phase,3
0011-0301-0303,0.0030462475768485184,0.0027693159789531985,0.041988719682203766,Phase,3
0011-0303-0311,2.7693159789531985e-4,2.7693159789531985e-4,0.041988719682203766,Phase,3
0101-0301-0303,0,2.7693159789531985e-4,0.041988719682203766,Phase,3
0101-0303-1001,2.7693159789531985e-4,2.7693159789531985e-4,0.041988719682203766,Phase,3
0103-0303-1003,0,2.7693159789531985e-4,0.041988719682203766,Phase,3
0110-0210-0303,2.7693159789531985e-4,2.7693159789531985e-4,0.041988719682203766,Phase,3
0110-0300-0302,2.7693159789531985e-4,2.7693159789531985e-4,0.041988719682203766,Phase,3
0110-0300-0303,5.538631957906397e-4,5.538631957906397e-4,0.041988719682203766,Phase,3
0110-0300-1010,0.001938521185267239,0.001938521185267239,0.041988719682203766,Phase,3
0110-0303-0310,0.001661589587371919,0.001938521185267239,0.041988719682203766,Phase,3
0110-0303-1010,0.001661589587371919,0.001938521185267239,0.041988719682203766,Phase,3
0110-0310-0313,2.7693159789531985e-4,2.7693159789531985e-4,0.041988719682203766,Phase,3
0110-0310-1010,0.0013846579894765993,0.001938521185267239,0.041988719682203766,Phase,3
0111-0303-0311,2.7693159789531985e-4,2.7693159789531985e-4,0.041988719682203766,Phase,3
0113-0303-1010,5.538631957906397e-4,5.538631957906397e-4,0.041988719682203766,Phase,3
0113-0303-1013,0.005261700360011078,0.007200221545278316,0.041988719682203766,Phase,3
0113-0313-1013,5.538631957906397e-4,8.307947936859596e-4,0.041988719682203766,Phase,3
0200-0300-1010,0.001661589587371919,0.003323179174743838,0.041988719682203766,Phase,3
0203-0303-1003,2.7693159789531985e-4,8.307947936859596e-4,0.041988719682203766,Phase,3
0203-0303-1013,2.7693159789531985e-4,8.307947936859596e-4,0.041988719682203766,Phase,3
0210-0300-1010,0.001938521185267239,0.0027693159789531985,0.041988719682203766,Phase,3
