Phase,RACIPE,DSGRN,JSD,Parameter,nState
0000-0300,9.244992295839754e-4,0,0.3824991501930376,Phase,3
0000-0300-0303,0.0012326656394453005,0.0036979969183359015,0.3824991501930376,Phase,3
0001-0003-0303,0,3.081664098613251e-4,0.3824991501930376,Phase,3
0001-0101-0303,0,3.081664098613251e-4,0.3824991501930376,Phase,3
0001-0201-0303,3.081664098613251e-4,6.163328197226503e-4,0.3824991501930376,Phase,3
0001-0203-0303,0,3.081664098613251e-4,0.3824991501930376,Phase,3
0001-0301,3.081664098613251e-4,0,0.3824991501930376,Phase,3
0001-0301-0303,3.081664098613251e-4,0.004314329738058551,0.3824991501930376,Phase,3
0002-0010-0202,0,6.163328197226503e-4,0.3824991501930376,Phase,3
0002-0010-0302,0,0.0018489984591679508,0.3824991501930376,Phase,3
0002-0302,3.081664098613251e-4,0,0.3824991501930376,Phase,3
0003-0010-0303,0.0015408320493066256,0.008628659476117103,0.3824991501930376,Phase,3
0003-0011,3.081664098613251e-4,0,0.3824991501930376,Phase,3
0003-0011-0303,3.081664098613251e-4,3.081664098613251e-4,0.3824991501930376,Phase,3
0010,0.017257318952234205,0,0.3824991501930376,Phase,3
0010-0012-0302,0.0018489984591679508,0.003389830508474576,0.3824991501930376,Phase,3
0010-0012-0312,0.0015408320493066256,0.002465331278890601,0.3824991501930376,Phase,3
0010-0013,3.081664098613251e-4,0,0.3824991501930376,Phase,3
0010-0013-0303,0.012634822804314329,0.027426810477657937,0.3824991501930376,Phase,3
0010-0013-0313,0.0018489984591679508,0.002465331278890601,0.3824991501930376,Phase,3
0010-0100-0300,0,0.0021571648690292757,0.3824991501930376,Phase,3
0010-0100-0302,0,3.081664098613251e-4,0.3824991501930376,Phase,3
0010-0100-0303,0,3.081664098613251e-4,0.3824991501930376,Phase,3
0010-0103-0303,6.163328197226503e-4,0.0036979969183359015,0.3824991501930376,Phase,3
0010-0110,9.244992295839754e-4,0,0.3824991501930376,Phase,3
0010-0110-0300,3.081664098613251e-4,0.0012326656394453005,0.3824991501930376,Phase,3
0010-0110-0303,9.244992295839754e-4,0.002773497688751926,0.3824991501930376,Phase,3
0010-0110-0313,0,3.081664098613251e-4,0.3824991501930376,Phase,3
0010-0112-0312,0,3.081664098613251e-4,0.3824991501930376,Phase,3
0010-0113-0303,3.081664098613251e-4,0.0018489984591679508,0.3824991501930376,Phase,3
0010-0200-0300,0,6.163328197226503e-4,0.3824991501930376,Phase,3
0010-0200-0303,3.081664098613251e-4,0.002773497688751926,0.3824991501930376,Phase,3
0010-0203-0303,0,0.0015408320493066256,0.3824991501930376,Phase,3
0010-0210-0300,0,3.081664098613251e-4,0.3824991501930376,Phase,3
0010-0210-0303,3.081664098613251e-4,0.0018489984591679508,0.3824991501930376,Phase,3
0010-0210-0313,0,3.081664098613251e-4,0.3824991501930376,Phase,3
0010-0300,0.01386748844375963,0,0.3824991501930376,Phase,3
0010-0300-0302,9.244992295839754e-4,0.0021571648690292757,0.3824991501930376,Phase,3
0010-0300-0303,0.047149460708782745,0.09892141756548536,0.3824991501930376,Phase,3
0010-0302,0.0012326656394453005,0,0.3824991501930376,Phase,3
0010-0303,0.029583975346687212,0,0.3824991501930376,Phase,3
0010-0303-0310,9.244992295839754e-4,0.0015408320493066256,0.3824991501930376,Phase,3
0010-0310,3.081664098613251e-4,0,0.3824991501930376,Phase,3
0010-0310-0313,3.081664098613251e-4,6.163328197226503e-4,0.3824991501930376,Phase,3
0010-0312,6.163328197226503e-4,0,0.3824991501930376,Phase,3
0010-0313,9.244992295839754e-4,0,0.3824991501930376,Phase,3
0011-0013-0303,3.081664098613251e-4,0.0015408320493066256,0.3824991501930376,Phase,3
0011-0013-0313,3.081664098613251e-4,3.081664098613251e-4,0.3824991501930376,Phase,3
0011-0211-0303,0,3.081664098613251e-4,0.3824991501930376,Phase,3
0011-0301,3.081664098613251e-4,0,0.3824991501930376,Phase,3
0011-0301-0303,0.0030816640986132513,0.007087827426810477,0.3824991501930376,Phase,3
0011-0303,9.244992295839754e-4,0,0.3824991501930376,Phase,3
0011-0303-0311,9.244992295839754e-4,0.0012326656394453005,0.3824991501930376,Phase,3
0012-0302,6.163328197226503e-4,0,0.3824991501930376,Phase,3
0013-0103-0303,0,3.081664098613251e-4,0.3824991501930376,Phase,3
0013-0113-0303,0,6.163328197226503e-4,0.3824991501930376,Phase,3
0013-0303,0.0030816640986132513,0,0.3824991501930376,Phase,3
0013-0313,3.081664098613251e-4,0,0.3824991501930376,Phase,3
0100-0300-0302,0,3.081664098613251e-4,0.3824991501930376,Phase,3
0100-0300-0303,0,6.163328197226503e-4,0.3824991501930376,Phase,3
0100-0300-1000,0,3.081664098613251e-4,0.3824991501930376,Phase,3
0101-0301-0303,0,9.244992295839754e-4,0.3824991501930376,Phase,3
0101-0301-1001,0,3.081664098613251e-4,0.3824991501930376,Phase,3
0101-0303,3.081664098613251e-4,0,0.3824991501930376,Phase,3
0103-0303,3.081664098613251e-4,0,0.3824991501930376,Phase,3
0103-0303-1003,0,0.0036979969183359015,0.3824991501930376,Phase,3
0110,3.081664098613251e-4,0,0.3824991501930376,Phase,3
0110-0210-0303,0,3.081664098613251e-4,0.3824991501930376,Phase,3
0110-0300,6.163328197226503e-4,0,0.3824991501930376,Phase,3
0110-0300-0302,0,6.163328197226503e-4,0.3824991501930376,Phase,3
0110-0300-0303,9.244992295839754e-4,9.244992295839754e-4,0.3824991501930376,Phase,3
0110-0300-1010,3.081664098613251e-4,0.0021571648690292757,0.3824991501930376,Phase,3
0110-0303-0310,0,6.163328197226503e-4,0.3824991501930376,Phase,3
0110-0303-1010,0,3.081664098613251e-4,0.3824991501930376,Phase,3
0111-0301-0303,0,9.244992295839754e-4,0.3824991501930376,Phase,3
0113-0303,3.081664098613251e-4,0,0.3824991501930376,Phase,3
0113-0303-1013,3.081664098613251e-4,0.0012326656394453005,0.3824991501930376,Phase,3
0200-0300-1000,0,6.163328197226503e-4,0.3824991501930376,Phase,3
0200-0300-1010,0,0.004622496147919877,0.3824991501930376,Phase,3
0201-0303-1001,0,3.081664098613251e-4,0.3824991501930376,Phase,3
0202-1002-1010,0,6.163328197226503e-4,0.3824991501930376,Phase,3
0203-0303-1003,0,0.0021571648690292757,0.3824991501930376,Phase,3
0203-0303-1013,0,9.244992295839754e-4,0.3824991501930376,Phase,3
0210-0300-1010,0.0012326656394453005,0.004622496147919877,0.3824991501930376,Phase,3
0210-0303-1010,6.163328197226503e-4,0.002465331278890601,0.3824991501930376,Phase,3
0210-0310-1010,3.081664098613251e-4,0,0.3824991501930376,Phase,3
0210-0312,3.081664098613251e-4,0,0.3824991501930376,Phase,3
0211-0301-1011,3.081664098613251e-4,3.081664098613251e-4,0.3824991501930376,Phase,3
0211-0311-1011,0,3.081664098613251e-4,0.3824991501930376,Phase,3
