parIndex,nStates,Phase,State,DSGRNPhase,nStatesRAC,basin,GRHL2,ZEB,miR200,SLUG,basinDiscret
1,3,0113-0303-1013,0113,0113-0303-1013,3,0.02,1.716865,-1.410408,4.814642,5.413859,0.02
1,3,0113-0303-1013,0303,0113-0303-1013,3,0.51,1.716822,9.730647,-1.064361,5.413859,0.51
1,3,0113-0303-1013,1013,0113-0303-1013,3,0.47,7.027886,-6.732523,4.814642,5.413859,0.47
2,3,1010-1013-1303,1013,1010-1013-1303,3,0.11,6.569904,-7.082237,0.679643,6.606527,0.11
2,3,1010-1013-1303,1303,1010-1013-1303,3,0.1,0.619927,5.122504,-3.639995,6.606527,0.1
2,3,1010-1013-1303,1010,1010-1013-1303,3,0.79,6.569904,-10.056035,6.640661,0.811627,0.79
3,3,0303-1010-1013,1013,0303-1010-1013,3,0.19,7.064038,-8.776447,1.209919,5.943707,0.19
3,3,0303-1010-1013,0303,0303-1010-1013,3,0.06,1.269138,4.42157,-3.560964,5.943707,0.06
3,3,0303-1010-1013,1010,0303-1010-1013,3,0.75,7.064038,-15.387701,5.600491,0.643418,0.75
4,2,0303-1010,0303,0303-1010,2,0.53,0.97099,6.675491,-4.968736,6.187786,0.53
4,2,0303-1010,1010,0303-1010,2,0.47,6.608217,-11.356733,7.573573,2.707531,0.47
5,3,0303-0310-1010,0303,0303-1010,3,0.33,-0.408646,9.712201,-5.265828,6.514387,0.33
5,3,0303-0310-1010,0310,0303-1010,3,0.4,-0.408646,2.244965,1.227082,1.63972,0.4
5,3,0303-0310-1010,1010,0303-1010,3,0.27,5.967402,-11.610284,6.791259,1.63972,0.27
6,1,1010,1010,1010,1,1,6.595275,-11.502237,7.08243,-2.018227,1
7,3,0300-0303-1010,1010,0300-0303-1010,3,0.18,5.428604,-9.788975,3.353563,3.197632,0.18
7,3,0300-0303-1010,0303,0300-0303-1010,3,0.51,2.023081,9.930145,-8.10819,7.573573,0.51
7,3,0300-0303-1010,0300,0300-0303-1010,3,0.31,2.023081,8.134446,-1.552426,3.197632,0.31
8,3,0010-0113-0303,0303,0010-0113-0303-0310,3,0.15,-3.830758,11.22321,-4.063716,6.61591,0.15
8,3,0010-0113-0303,0113,0010-0113-0303-0310,3,0.12,-3.830758,-1.941919,1.692826,6.61591,0.12
8,3,0010-0113-0303,0010,0010-0113-0303-0310,3,0.73,0.667318,-7.352941,6.042613,0.004641,0.73
9,3,0301-0303-1111,0303,0301-0303-1011-1111,3,0.61,-2.100666,10.134742,-5.635111,7.027886,0.61
9,3,0301-0303-1111,1111,0301-0303-1011-1111,3,0.06,4.510603,-1.678835,5.870596,1.473031,0.06
9,3,0301-0303-1111,0301,0301-0303-1011-1111,3,0.33,-2.100666,10.134741,0.548348,1.473031,0.33
10,2,1010-1012,1010,1010-1012,2,0.78,6.760377,-15.449842,7.320019,-1.506492,0.78
10,2,1010-1012,1012,1010-1012,2,0.22,6.760377,-10.138779,7.320019,4.746649,0.22
