Phase,RACIPE,DSGRN,JSD,Parameter,nState
0001-0301-0303,8.673026886383347e-4,8.673026886383347e-4,0.08193507663733018,Phase,3
0010,2.891008962127783e-4,0,0.08193507663733018,Phase,3
0010-0012,2.891008962127783e-4,0,0.08193507663733018,Phase,3
0010-0012-0302,2.891008962127783e-4,5.782017924255566e-4,0.08193507663733018,Phase,3
0010-0012-0312,5.782017924255566e-4,8.673026886383347e-4,0.08193507663733018,Phase,3
0010-0013-0303,0.013587742122000578,0.014455044810638912,0.08193507663733018,Phase,3
0010-0013-0303-0310,2.891008962127783e-4,0,0.08193507663733018,Phase,3
0010-0013-0313,0.0023128071697022263,0.002023706273489448,0.08193507663733018,Phase,3
0010-0100-0300,5.782017924255566e-4,0.0011564035848511131,0.08193507663733018,Phase,3
0010-0110-0300,0,2.891008962127783e-4,0.08193507663733018,Phase,3
0010-0110-0303,0,0.0026019080659150044,0.08193507663733018,Phase,3
0010-0110-0313,0,5.782017924255566e-4,0.08193507663733018,Phase,3
0010-0113-0303,0.0023128071697022263,0.0023128071697022263,0.08193507663733018,Phase,3
0010-0113-0313,8.673026886383347e-4,8.673026886383347e-4,0.08193507663733018,Phase,3
0010-0210-0300,2.891008962127783e-4,2.891008962127783e-4,0.08193507663733018,Phase,3
0010-0210-0303,0.003180109858340561,0.004047412546978896,0.08193507663733018,Phase,3
0010-0210-0303-0310,2.891008962127783e-4,0,0.08193507663733018,Phase,3
0010-0213-0313,5.782017924255566e-4,5.782017924255566e-4,0.08193507663733018,Phase,3
0010-0300,0.0011564035848511131,0,0.08193507663733018,Phase,3
0010-0300-0302,2.891008962127783e-4,5.782017924255566e-4,0.08193507663733018,Phase,3
0010-0300-0303,0.029488291413703384,0.030355594102341718,0.08193507663733018,Phase,3
0010-0300-0303-0310,2.891008962127783e-4,0,0.08193507663733018,Phase,3
0010-0303,0.0017346053772766695,0,0.08193507663733018,Phase,3
0010-0303-0310,0.010985834056085574,0.011274934952298352,0.08193507663733018,Phase,3
0010-0310-0312,2.891008962127783e-4,2.891008962127783e-4,0.08193507663733018,Phase,3
0010-0310-0313,8.673026886383347e-4,8.673026886383347e-4,0.08193507663733018,Phase,3
0010-0313,2.891008962127783e-4,0,0.08193507663733018,Phase,3
0011-0013-0303,2.891008962127783e-4,2.891008962127783e-4,0.08193507663733018,Phase,3
0011-0301-0303,0.0026019080659150044,0.0028910089621277824,0.08193507663733018,Phase,3
0011-0303-0311,2.891008962127783e-4,2.891008962127783e-4,0.08193507663733018,Phase,3
0013-0303-1010-1013,2.891008962127783e-4,0,0.08193507663733018,Phase,3
0101-0301-0303,5.782017924255566e-4,8.673026886383347e-4,0.08193507663733018,Phase,3
0103-0303-1003,2.891008962127783e-4,5.782017924255566e-4,0.08193507663733018,Phase,3
0110-0300-0303,0.0011564035848511131,0.0011564035848511131,0.08193507663733018,Phase,3
0110-0300-1010,0.0014455044810638912,0.0014455044810638912,0.08193507663733018,Phase,3
0110-0303,0.0014455044810638912,0,0.08193507663733018,Phase,3
0110-0303-0310,0.0028910089621277824,0.0026019080659150044,0.08193507663733018,Phase,3
0110-0303-1010,2.891008962127783e-4,2.891008962127783e-4,0.08193507663733018,Phase,3
0110-0310,2.891008962127783e-4,0,0.08193507663733018,Phase,3
0110-0310-0313,2.891008962127783e-4,2.891008962127783e-4,0.08193507663733018,Phase,3
0110-0310-1010,0.002023706273489448,0.0023128071697022263,0.08193507663733018,Phase,3
0110-0313,2.891008962127783e-4,0,0.08193507663733018,Phase,3
0111-0301-1011,2.891008962127783e-4,2.891008962127783e-4,0.08193507663733018,Phase,3
