parIndex,Phase,DSGRNPhase,nStateRac,nStateDSGRN,Compare
1,0303-1003-1010,0303-1003-1010,3,3,1
2,0213-0303-1013,0213-0303-1010-1013,3,4,1
3,0303-1013,0113-0303-1013,2,3,1
4,0303-1010-1013,0303-1010-1013,3,3,1
5,0303-1010-1013,0203-0303-1010-1013,3,4,1
6,0300-0303-1010,0110-0300-0303-1010,3,4,1
7,0303-1003,0300-0303-1003-1010,2,4,1
8,0303-0310-1010-1013-1103,0303-0310-1010-1013-1103,5,5,1
9,0300-0301-1010-1011,0300-0301-1010-1011,4,4,1
10,0303-1010-1013,0303-1010-1013,3,3,1
11,0303-0310-1010,0303-1003-1010,3,3,0.6666666666666666
12,0300-0303-1003-1010,0300-0303-1003-1010,4,4,1
13,0300-0303-1010-1013,0300-0303-1010-1013,4,4,1
14,0303-1010,0303-1003-1010,2,3,1
15,0303-1003,0300-0303-1003-1010-1103,2,5,1
16,0303-1010-1013,0303-1010-1013,3,3,1
17,0303-0310-1010-1013,0303-0310-1010-1013,4,4,1
18,0303-1010,0303-1010-1013,2,3,1
19,0300-0303-1010,0200-0300-0303-1010,3,4,1
20,0300-0303-1003-1010,0300-0303-1003-1010,4,4,1
21,0300-0303-1010-1013-1103,0300-0303-1010-1013-1103,5,5,1
22,0300-0303-1003-1010,0300-0303-1003-1010,4,4,1
23,0300-0303-1010,0200-0300-0303-1010,3,4,1
24,0303-1010-1013,0303-1010-1013,3,3,1
25,0303-1013,0303-1010-1013,2,3,1
26,0300-1010,0300-0303-1003-1010,2,4,1
27,1010,1010,1,1,1
28,1010,1010,1,1,1
29,0300-0303-1003-1010,0300-0303-1003-1010,4,4,1
30,0300-0303-1003-1010,0303-1003-1010,4,3,0.75
31,0303-0311-1003-1011,0111-0303-0311-1003-1011,4,5,1
32,0300-1010,0300-1010,2,2,1
33,0010-0303,0010-0013-0303,2,3,1
34,1010,1010,1,1,1
35,1010-1011,1010-1011,2,2,1
36,0300-1010,0300-0303-1003-1010,2,4,1
37,0303-1010-1013,0303-1010-1013,3,3,1
38,0303-1003-1010,0303-1003-1010,3,3,1
39,0300-0303-1010,0300-0303-1010,3,3,1
40,0010-0300,0010-0300,2,2,1
41,0300-1010,-1,2,2,0
42,1010,1010,1,1,1
43,0303-1003,0303-1003,2,2,1
44,0012-0302,0010-0012-0302,2,3,1
45,0300-0303-1003-1010,0300-0303-1003-1010,4,4,1
46,0303-0311-1011-1013,0303-0311-1011-1013,4,4,1
47,0300-0303-1010,0300-0303-1010,3,3,1
48,0303-1003,0303-1003,2,2,1
49,0300-0301-1010-1011,0300-0303-1010-1013-1200,4,5,0.5
50,0300-1010,0300-1010,2,2,1
51,1010,1010,1,1,1
52,0303-1010-1013,0303-1010-1013,3,3,1
53,0313-1010-1013,0303-1010-1013,3,3,0.6666666666666666
54,0010,0010-0312,1,2,1
55,0303-0310-1010-1110,0303-0310-1010-1110,4,4,1
56,1010,1010,1,1,1
57,0300-0303-1010,0300-0303-1010,3,3,1
58,1010,1010,1,1,1
59,0303-1010,0303-1010,2,2,1
60,1013-1303,1011-1013-1301-1303,2,4,1
61,0300-1010,0300-1010,2,2,1
62,0300-0303-1010,0300-0303-1010,3,3,1
63,0301-0303-1011,0301-0303-1001-1103,3,4,0.6666666666666666
64,1010,0113-0303-1010-1013,1,4,1
65,0300-1010,0300-0303-1010,2,3,1
66,1010,0300-1010,1,2,1
67,0303-1010-1013,0303-1010-1013,3,3,1
68,0300-0303-1010-1013,0300-0303-1010-1013,4,4,1
69,0300-1010,0300-1010,2,2,1
70,1010,1010,1,1,1
71,1010,1010,1,1,1
72,0303-1010,0113-0303-1010-1013,2,4,1
73,1010,0300-1010,1,2,1
74,1010,0303-1010-1013,1,3,1
75,1010-1103-1303,1010-1103-1303,3,3,1
76,0303,0300-0303-1010,1,3,1
77,1010-1013-1213-1303,1010-1013-1213-1303,4,4,1
78,0010-0300-0303,0010-0300-0303,3,3,1
79,1010,0303-1010-1103,1,3,1
80,0300,0300-0303,1,2,1
81,0300-0303-1003-1010,0300-0303-1003-1010,4,4,1
82,1010,1010,1,1,1
83,0303-0310-1010-1013,0303-1010-1013,4,3,0.75
84,0010,0010,1,1,1
85,0210-0300-0303-1010,0210-0300-0303-1003-1010,4,5,1
86,1010-1013-1303,1010-1013-1303,3,3,1
87,0300-0303-1010,0300-0303-1010,3,3,1
88,1010,1010,1,1,1
89,0303-1003-1010,0303-1003-1010,3,3,1
90,0300-0303-1010-1103,0300-0303-1010-1103-1200,4,5,1
91,0303-1010-1013,0303-1010-1013,3,3,1
92,0310-1010,0310-0311-1010-1011,2,4,1
93,1010,0300-1010,1,2,1
94,0300-0303-1010,0300-0303-1003-1010,3,4,1
95,1010,1010,1,1,1
96,1010,1010,1,1,1
97,0303-1003,0303-1003,2,2,1
98,0300-1010,0300-1010-1200,2,3,1
99,0300-1000,0300-0301-1000-1001,2,4,1
100,0303,0300-0303,1,2,1
101,0300-1010,0300-0303-1003-1010,2,4,1
102,0303-1013,0303-1013,2,2,1
103,0300-0303-1010-1013,0300-0303-1010-1013,4,4,1
104,1010,1010,1,1,1
105,0303-1010-1013,0303-1010-1013,3,3,1
106,0300-0303-1010,0300-0303-1010,3,3,1
107,0303,0300-0303-1003-1010,1,4,1
108,0303-0311-1011-1013,0303-0311-1011-1013,4,4,1
109,0010-0012-0302-0310,0010-0012-0202-0302-0310,4,5,1
110,0303,0300-0303-1003-1010,1,4,1
111,0300-0303-1003-1010,0300-0303-1003-1010,4,4,1
112,0303-1013,0303-1013,2,2,1
113,0303-1010-1013,0303-1010-1013,3,3,1
114,0300-0303-1010,0300-0303-1010,3,3,1
115,1010-1103-1303,1010-1103-1303,3,3,1
116,0303-1010-1013,0303-1010-1013,3,3,1
117,0311-0313-1011-1013,0311-0313-1011-1013,4,4,1
118,0303-1010-1013,0303-1010-1013-1103,3,4,1
119,0303,0110-0303-0310-1010,1,4,1
120,0301-0303,0301-0303-1001,2,3,1
121,0301-1011,0301-1011,2,2,1
122,0010,0010,1,1,1
123,0300-0303-1010,0300-0303-1010,3,3,1
124,0303-1013,0303-1013,2,2,1
125,1010-1013-1303,1003-1010-1303,3,3,0.6666666666666666
126,0300-0303-1010-1013,0300-0303-1010,4,3,0.75
127,0010-0300-0303,0010-0300-0303,3,3,1
128,1010,1010-1011,1,2,1
129,0303-1010-1013,0303-1010-1013,3,3,1
130,1010,1010,1,1,1
131,0303-1010-1013,0303-1010-1013,3,3,1
132,0303-1003-1010,0303-1003-1010,3,3,1
133,0303-1013,0203-0303-1010-1013,2,4,1
134,1010,1010,1,1,1
135,0300-0303-1010,0300-0303-1003-1010,3,4,1
136,0300-0303-1010,0300-0303-1003-1010,3,4,1
137,0303-1010-1013,0303-1010-1013,3,3,1
138,1010,1010,1,1,1
139,0303-1010-1013,0303-1010-1013,3,3,1
140,0300-0303-1003-1010,0300-0303-1003-1010,4,4,1
141,0303,0303,1,1,1
142,0303-1010-1013,0303-1010-1013,3,3,1
143,0300-0303-1000,0100-0300-0303-1000,3,4,1
144,1010,0303-1010-1013-1203,1,4,1
145,0300-1010,0300-1010,2,2,1
146,0300-0303-1010-1013,0300-0303-1010-1013,4,4,1
147,1010,0300-0303-1003-1010,1,4,1
148,0313-1010-1013,0313-1010-1013-1113,3,4,1
149,0303-1013,0303-1013,2,2,1
150,1010-1210,1010-1210,2,2,1
151,0303,0300-0303-1003-1010,1,4,1
152,0300-0303-1010-1013,0300-0303-1010-1013,4,4,1
153,1011-1301-1303,1003-1011-1301-1303,3,4,1
154,0300-1010,0300-1010,2,2,1
155,0303-1010-1013,0303-1010-1013,3,3,1
156,0301-0303-1011-1013,0301-0303-1011-1013,4,4,1
157,0010,0010,1,1,1
158,0010-0300,0010-0300,2,2,1
159,0303-1003,0303-1003,2,2,1
160,0303,0303,1,1,1
161,0300-0303-1010-1013,0300-0303-1010-1013,4,4,1
162,0300-1010,0300-1010,2,2,1
163,0300-0303-1010,0300-0303-1010,3,3,1
164,0303-1010-1013,0303-1010-1013,3,3,1
165,0300-0303-1010,0300-0303-1003-1010,3,4,1
166,1010,0302-1010-1012,1,3,1
167,0303-1010-1013,0303-1010-1013,3,3,1
168,1010,0303-1010,1,2,1
169,0303-0310,0303-0310-1010,2,3,1
170,0301-0303-1011,0301-0303-1003-1011,3,4,1
171,0303-1010-1013,0303-1010-1103,3,3,0.6666666666666666
172,0313,0310-0313-1010,1,3,1
173,0300-0303-1010-1013,0300-0303-1010-1013,4,4,1
174,0303-1003-1010,0303-1003-1010,3,3,1
175,1010,1010,1,1,1
176,0300-1010,0200-0300-0303-1010,2,4,1
