ParIndex,GRHL2,ZEB,miR200,SLUG,Count
1,4.647,12.234,1.038,0.196,1
1,99.508,0,79.236,0.196,1
2,1.149,27.848,0.92,1.027,3
2,74.831,0.001,71.27,1.027,1
3,0.752,456.743,0.159,37.026,1
3,24.895,0.005,48.694,0.875,1
4,1.958,26.037,0.02,2.751,1
4,30.52,0.441,0.705,2.751,1
5,3.552,244.083,0.058,95.754,1
5,142.504,0,75.361,1.822,1
5,142.504,0.044,0.789,95.754,1
6,0.629,3.996,2.76,1.733,1
6,0.629,130.506,0.039,144.422,1
6,6.157,0.001,74.595,1.733,1
7,4.954,792.361,0.003,135.037,1
7,106.111,0.094,0.192,135.037,1
8,0.165,1375.332,0.097,113.4,1
8,16.481,0,116.187,1.902,1
8,16.481,0.006,5.803,113.4,1
9,0.052,13.77,4.638,2.478,2
9,0.052,952.606,1.086,40.981,1
10,1.272,41.344,0.273,1.19,1
10,1.272,2474.129,0.011,67.001,2
10,26.769,0.004,24.895,1.19,1
11,4.026,0.093,55.556,0.117,1
12,2.522,49.008,0.025,134.312,1
12,229.585,0,95.312,2.981,1
12,229.585,0.015,2.247,134.312,1
13,1.414,72.338,0.722,10.931,1
13,1.414,2464.227,0.019,53.265,1
13,87.559,0.003,24.605,10.931,1
14,0.432,109.387,0.689,77.134,1
14,14.85,0,44.887,1.048,1
14,14.85,0.034,5.065,77.134,1
15,2.365,25.563,0.396,0.682,2
15,213.976,0,24.895,0.682,1
16,1.564,372.498,3.112,3.317,1
16,1.564,2125.391,0.052,244.195,2
16,113.493,0.001,204.191,3.317,1
17,4.206,81.27,3.174,0.199,2
17,66.041,0.002,117.973,0.199,1
18,0.519,11.662,0.787,1.012,1
18,49.404,0.002,26.346,1.012,1
19,0.124,24.829,2.127,3.237,2
19,11.81,0.004,71.674,3.237,1
20,0.425,27.479,1.807,2.767,1
20,0.425,377.743,0.025,222.512,2
20,40.466,0.002,97.412,2.767,1
21,122.379,0,93.327,1.109,2
22,1.574,171.225,3.405,0.864,1
22,1.574,2184.37,0.2,86.163,1
22,94.153,0.052,191.411,0.864,1
22,94.153,0.122,11.238,86.163,1
23,15.601,55.154,0.26,106.27,1
23,270.148,0.002,122.379,2.66,1
23,270.148,0.311,4.624,106.27,1
24,38.211,6.067,0.005,72.338,1
24,369.218,0.538,0.182,72.338,1
24,369.219,0.004,6.597,1.69,1
25,3.455,290.032,0.005,247.405,1
25,254.37,0,26.769,4.134,1
25,254.37,0.035,0.339,247.405,1
26,1.856,31.043,0.278,6.011,1
26,1.856,2822.66,0.013,254.362,1
26,146.368,0.603,0.013,254.362,1
26,146.452,0,16.685,6.011,1
27,3.798,2382.314,1.124,202.895,1
27,276.286,0.002,193.227,3.61,1
28,8.384,290.023,0.005,247.378,2
28,254.37,0,26.768,11.771,1
28,254.37,0.003,0.447,247.378,1
29,0.198,1565.764,0.23,47.445,2
29,13.424,2.742,49.255,0.562,1
29,14.612,0.154,260.755,0.562,1
30,14.308,423.694,0.004,254.368,1
30,14.355,6.737,0.18,2.811,1
30,67.203,0,16.685,2.811,1
30,67.203,0.084,0.347,254.368,1
31,2.129,20.313,0.024,74.969,1
31,107.29,0.005,5.884,1.172,1
32,7.445,25.313,2.975,49.012,1
32,150.523,0.002,66.2,0.518,1
32,150.523,0.098,5.863,49.012,1
33,112.724,0.001,83.834,0.477,1
34,2.018,600.99,0.254,4.121,1
34,2.018,2822.668,0.004,254.337,1
34,146.357,0.615,0.004,254.337,1
34,146.452,0.002,16.685,4.121,1
35,1.234,29.931,3.038,3.297,1
35,1.234,1925.352,0.099,115.95,1
35,74.287,0.001,104.5,3.297,1
35,74.287,0.283,3.397,115.95,1
37,3.366,565.422,0.033,282.27,1
37,163.383,0,146.451,3.054,2
37,163.383,0.112,1.99,282.27,1
38,12.576,23.724,0.107,4.174,1
38,12.576,1175.611,0.002,384.012,1
38,144.36,0.002,3.234,4.174,1
38,144.36,0.389,0.052,384.012,1
39,1.805,764.534,0.119,236.666,1
39,127.292,0,58.402,2.485,1
39,127.292,0.128,1.152,236.666,1
40,56.86,0.002,282.27,0.266,1
41,0.206,235.471,1.936,0.709,1
41,3.234,0.052,71.948,0.709,2
42,42.745,6.01,0.029,282.27,1
42,163.383,0.072,2.446,282.27,1
43,117.148,0.001,10.794,23.524,1
43,117.148,0.001,13.173,0.376,1
44,7.505,59.045,0.056,2.469,1
44,7.505,1715.115,0.024,96.031,2
44,83.09,0.004,3.344,2.469,2
45,56.86,0,282.27,0.321,1
46,1.959,8.829,0.224,4.327,1
46,49.9,0,13.652,4.327,1
47,85.415,0,381.124,0.492,1
47,85.415,0.003,223.651,44.596,1
48,1.717,30.483,5.603,0.299,1
48,76.888,0.188,271.518,0.299,1
49,0.204,8.103,0.28,0.904,2
49,6.597,0.004,24.17,0.904,1
51,17.444,341.244,0.069,205.476,1
51,260.674,0.064,2.951,205.476,2
52,5.022,0.002,46.135,5.357,1
53,0.722,62.068,0.074,50.972,1
53,0.894,5.963,0.885,1.43,1
53,67.898,0,37.255,1.43,1
53,67.898,0.047,3.125,50.972,2
54,2.979,11.78,0.087,22.044,1
54,32.794,0,4.835,22.044,1
54,32.794,0,82.641,0.709,1
55,30.536,45.23,0.005,150.443,1
55,292.378,0.002,27.699,2.134,1
56,0.192,612.834,0.034,38.841,1
56,0.213,7.784,0.345,1.398,1
56,3.901,0.002,25.544,1.398,1
57,16.464,0.002,47.928,0.887,4
58,3.075,91.791,2.472,164.42,1
58,85.102,0,458.701,2.564,1
58,85.102,0.005,46.828,164.42,1
59,1.863,281.7,0.08,68.309,1
59,1.895,5.721,1.961,1.52,1
59,87.411,0,104.31,1.52,1
59,87.411,0.08,4.428,68.309,1
60,2.1,178.305,1.046,1.95,1
60,2.1,1194.283,0.062,115.612,2
60,206.656,0.021,45.944,1.95,1
60,206.656,0.52,2.72,115.612,1
61,13.801,727.652,0.012,155.465,1
61,14.19,10.359,1.001,3.116,1
61,176.102,0,70.61,3.116,1
61,176.102,0.355,0.949,155.465,1
62,6.555,10.164,0.777,150.697,1
62,307.312,0.003,268.8,1.91,1
62,307.312,0.074,21.176,150.697,1
63,56.776,0,126.469,0.459,3
64,0.67,2066.558,0.103,86.517,2
64,47.057,0.002,119.475,8.163,1
65,44.597,0.004,165.515,2.832,4
66,0.393,788.871,0.12,103.07,2
66,27.583,0.001,99.968,1.584,1
67,0.971,1365.529,0.484,136.813,3
67,46.572,0.129,4.537,136.813,2
68,4.725,626.403,0.014,323.42,2
68,79.231,0.125,0.362,323.42,2
69,2.318,36.911,2.217,1.238,1
69,2.318,2088.596,0.131,51.799,1
69,160.114,0.029,126.792,1.238,1
70,3.847,1011.783,0.06,243.815,1
70,97.326,0,109.498,2.528,1
70,97.326,0.412,1.216,243.815,1
71,1.291,985.209,0.052,136.163,1
71,1.628,5.142,3.709,1.582,1
71,119.857,0.001,142.68,1.582,1
71,119.857,0.023,1.984,136.163,1
72,114.121,0.001,18.038,0.493,1
73,15.559,54.367,1.014,0.039,1
73,131.865,0.001,93.766,0.039,2
74,1.637,118.191,0.075,74.379,1
