parIndex,nStates,Phase,State,DSGRNPhase,nStatesRAC,basin,GRHL2,ZEB,miR200,SLUG,basinDiscret
1,3,0303-1010-1013,0303,0303-1010-1013,3,0.17,1.93826,9.388306,-4.337074,8.529373,0.17
1,3,0303-1010-1013,1010,0303-1010-1013,3,0.44,6.264216,-15.848621,7.334876,2.142437,0.44
1,3,0303-1010-1013,1013,0303-1010-1013,3,0.39,6.264216,-9.390943,1.769069,8.529373,0.39
2,4,0110-0300-0303-1010,0110,0110-0300-0303-1010,4,0.2,1.372016,-2.574668,2.90057,0.011934,0.2
2,4,0110-0300-0303-1010,0300,0110-0300-0303-1010,4,0.43,1.372016,5.136062,-1.548389,0.011935,0.43
2,4,0110-0300-0303-1010,0303,0110-0300-0303-1010,4,0.12,1.372016,9.283861,-7.5348560000000004,6.417029,0.12
2,4,0110-0300-0303-1010,1010,0110-0300-0303-1010,4,0.25,5.621692,-8.190497,2.90057,0.011934,0.25
3,3,0303-1010-1013,0303,0303-1010-1013,3,0.13,-3.647998,8.270989,-5.841255,5.872804,0.13
3,3,0303-1010-1013,1010,0303-1010-1013,3,0.81,2.893654,-14.139673,7.177517,0.651157,0.81
3,3,0303-1010-1013,1013,0303-1010-1013,3,0.06,2.893654,-8.038473,0.635069,5.872804,0.06
4,4,0301-0303-1003-1011,0301,0301-0303-1003-1011,4,0.12,2.270946,8.343224,0.792814,3.034231,0.12
4,4,0301-0303-1003-1011,1011,0301-0303-1003-1011,4,0.22,7.309334,-7.204789,7.168308,3.034231,0.22
4,4,0301-0303-1003-1011,0303,0301-0303-1003-1011,4,0.24,2.270946,8.343224,-5.747342,7.234485,0.24
4,4,0301-0303-1003-1011,1003,0301-0303-1003-1011,4,0.42,7.309334,-2.383979,0.628152,7.234485,0.42
5,1,1110,1110,1010-1110,1,1,7.765592,-3.073158,7.435821,-2.301523,1
6,4,0301-0303-1001-1003,1001,0301-0303-1001-1003,4,0.1,7.784812,-6.526065,-1.594839,4.494999,0.1
6,4,0301-0303-1001-1003,0303,0301-0303-1001-1003,4,0.3,2.641044,8.554978,-6.878538,9.637039,0.3
6,4,0301-0303-1001-1003,0301,0301-0303-1001-1003,4,0.02,2.641044,3.987073,-6.878538,4.494999,0.02
6,4,0301-0303-1001-1003,1003,0301-0303-1001-1003,4,0.58,7.784812,-1.95816,-1.594839,9.637039,0.58
7,3,1010-1103-1303,1303,1010-1103-1303,3,0.18,2.094328,5.626193,0.86184,5.337823,0.18
7,3,1010-1103-1303,1103,1010-1103-1303,3,0.1,7.78885,-0.395946,0.86184,5.337823,0.1
7,3,1010-1103-1303,1010,1010-1103-1303,3,0.72,7.78885,-7.161912,7.693977,-0.684342,0.72
8,3,0303-0310-1010,0303,0303-0310-1010,3,0.23,3.508005,10.379784,-4.480666,5.937166,0.23
8,3,0303-0310-1010,1010,0303-0310-1010,3,0.14,8.397772,-2.645754,6.13197,-0.69859,0.14
8,3,0303-0310-1010,0310,0303-0310-1010,3,0.63,3.508006,2.653724,0.391255,-0.69859,0.63
9,4,0010-0013-0303-0310,0303,0010-0013-0303-0310,4,0.55,-2.274503,8.519678,-4.10061,9.127846,0.55
9,4,0010-0013-0303-0310,0310,0010-0013-0303-0310,4,0.21,-2.274503,1.99619,1.496928,3.611253,0.21
9,4,0010-0013-0303-0310,0010,0010-0013-0303-0310,4,0.08,3.520679,-3.916692,6.768651,3.611253,0.08
9,4,0010-0013-0303-0310,0013,0010-0013-0303-0310,4,0.16,3.520679,-3.910063,1.171113,9.127846,0.16
10,3,1010-1013-1303,1303,1010-1013-1303,3,0.09,2.889989,3.842405,-1.579028,7.292102,0.09
10,3,1010-1013-1303,1013,1010-1013-1303,3,0.51,7.416395,-8.883082,3.682839,7.292102,0.51
10,3,1010-1013-1303,1010,1010-1013-1303,3,0.4,7.416395,-14.639691,7.406758,1.161391,0.4
11,2,0300-1010,1010,0300-1010,2,0.56,6.493855,-9.597396,1.209037,-1.441488,0.56
11,2,0300-1010,0300,0300-1010,2,0.44,1.185571,7.088732,-5.032371,-1.441488,0.44
12,3,0300-0303-1010,1010,0300-0303-1010,3,0.35,7.926941,-11.294066,6.71417,1.037595,0.35
12,3,0300-0303-1010,0303,0300-0303-1010,3,0.49,3.129819,5.962387,-6.101087,6.935548,0.49
12,3,0300-0303-1010,0300,0300-0303-1010,3,0.16,3.129819,0.079677,0.514836,1.037595,0.16
13,2,0010-0310,0310,0010-0310,2,0.58,-3.013633,1.927208,2.256459,-0.4657,0.58
13,2,0010-0310,0010,0010-0310,2,0.42,2.795866,-3.517909,6.824364,-0.4657,0.42
14,2,0310-1010,1010,0310-1010,2,0.42,6.101922,-9.335861,6.196828,-0.657331,0.42
14,2,0310-1010,0310,0310-1010,2,0.58,1.19333,0.542023,-0.079315,-0.657331,0.58
15,4,0300-0301-1010-1011,0300,0300-0301-1010-1011,4,0.36,-0.011981,3.826331,-1.151269,-2.494302,0.36
15,4,0300-0301-1010-1011,1011,0300-0301-1010-1011,4,0.05,5.405474,-13.05546,4.784963,3.419806,0.05
15,4,0300-0301-1010-1011,0301,0300-0301-1010-1011,4,0.09,-0.011981,3.826331,-1.151271,3.419806,0.09
15,4,0300-0301-1010-1011,1010,0300-0301-1010-1011,4,0.5,5.405474,-13.05546,4.784963,-2.494305,0.5
16,3,1010-1013-1303,1010,1010-1013-1303,3,0.46,7.096581,-14.358371,4.314786,0.972398,0.46
16,3,1010-1013-1303,1303,1010-1013-1303,3,0.2,2.963037,3.240366,-7.00133,4.400507,0.2
16,3,1010-1013-1303,1013,1010-1013-1303,3,0.34,7.096581,-6.749359,-1.20667,4.400507,0.34
17,4,0110-0303-0310-1010,1010,0110-0303-0310-1010,4,0.01,4.934517,-6.5631640000000004,5.008474,3.709904,0.01
17,4,0110-0303-0310-1010,0110,0110-0303-0310-1010,4,0.07,2.92074,-1.821245,5.008474,3.709904,0.07
17,4,0110-0303-0310-1010,0310,0110-0303-0310-1010,4,0.44,2.92074,3.633481,1.543368,3.709904,0.44
17,4,0110-0303-0310-1010,0303,0110-0303-0310-1010,4,0.48,2.92074,10.303926,-3.608545,6.096204,0.48
18,1,1010,1010,1010,1,1,4.862725,-12.285468,7.469818,-0.975245,1
19,5,0300-0302-1010-1012-1200,0300,0300-0302-1010-1012-1200,5,0.2,1.216872,4.73727,-0.63924,-2.19742,0.2
19,5,0300-0302-1010-1012-1200,1010,0300-0302-1010-1012-1200,5,0.51,6.145736,-9.823588,5.693303,-2.197408,0.51
19,5,0300-0302-1010-1012-1200,0302,0300-0302-1010-1012-1200,5,0.15,1.216872,10.206173,-0.63924,4.268589,0.15
19,5,0300-0302-1010-1012-1200,1200,0300-0302-1010-1012-1200,5,0.04,6.143084,0.010084,-0.63924,-2.197415,0.04
19,5,0300-0302-1010-1012-1200,1012,0300-0302-1010-1012-1200,5,0.1,6.145736,-4.354742,5.693303,4.268589,0.1
20,3,0300-0303-1010,0300,0300-0303-1010,3,0.28,0.055972,2.334338,0.060747,1.442708,0.28
20,3,0300-0303-1010,0303,0300-0303-1010,3,0.51,0.055972,8.602819,-6.528448,7.791334,0.51
20,3,0300-0303-1010,1010,0300-0303-1010,3,0.21,5.847479,-11.002505,6.115824,1.442706,0.21
21,4,0310-0312-1010-1012,0312,0310-0312-1010-1012,4,0.29,0.465006,4.865171,1.611053,4.55906,0.29
21,4,0310-0312-1010-1012,1010,0310-0312-1010-1012,4,0.21,6.99656,-9.945498,6.269535,-2.055173,0.21
21,4,0310-0312-1010-1012,0310,0310-0312-1010-1012,4,0.3,0.465006,0.557596,1.611053,-2.055173,0.3
21,4,0310-0312-1010-1012,1012,0310-0312-1010-1012,4,0.2,6.99656,-5.637973,6.269535,4.55906,0.2
