Parameter	Minimum_value	Maximum_Value	Regulation_type
Prod_of_GRHL2	1.000000	100.000000	0
Prod_of_ZEB	10.000000	1000.000000	0
Prod_of_miR200	1.000000	100.000000	0
Prod_of_SLUG	1.000000	100.000000	0
Deg_of_GRHL2	0.100000	1.000000	0
Deg_of_ZEB	0.100000	1.000000	0
Deg_of_miR200	0.100000	1.000000	0
Deg_of_SLUG	0.100000	1.000000	0
Trd_of_ZEBToGRHL2	0.029407	2.911295	0
Num_of_ZEBToGRHL2	7.000000	16.000000	0
Inh_of_ZEBToGRHL2	1.000000	100.000000	2
Trd_of_GRHL2ToZEB	0.386194	38.233179	0
Num_of_GRHL2ToZEB	7.000000	16.000000	0
Inh_of_GRHL2ToZEB	1.000000	100.000000	2
Trd_of_miR200ToZEB	0.048302	4.781897	0
Num_of_miR200ToZEB	7.000000	16.000000	0
Inh_of_miR200ToZEB	1.000000	100.000000	2
Trd_of_SLUGToZEB	0.574918	56.916927	0
Num_of_SLUGToZEB	7.000000	16.000000	0
Act_of_SLUGToZEB	1.000000	100.000000	1
Trd_of_ZEBToZEB	0.029407	2.911295	0
Num_of_ZEBToZEB	7.000000	16.000000	0
Act_of_ZEBToZEB	1.000000	100.000000	1
Trd_of_ZEBTomiR200	0.029407	2.911295	0
Num_of_ZEBTomiR200	7.000000	16.000000	0
Inh_of_ZEBTomiR200	1.000000	100.000000	2
Trd_of_SLUGTomiR200	0.574918	56.916927	0
Num_of_SLUGTomiR200	7.000000	16.000000	0
Inh_of_SLUGTomiR200	1.000000	100.000000	2
Trd_of_SLUGToSLUG	0.574918	56.916927	0
Num_of_SLUGToSLUG	7.000000	16.000000	0
Act_of_SLUGToSLUG	1.000000	100.000000	1
