parIndex,nStates,Phase,State,DSGRNPhase,nStatesRAC,basin,GRHL2,ZEB,miR200,SLUG,basinDiscret
1,2,0300-1010,0300,0300-1010,2,0.5,2.174,9.694,1.887,0.188,0.5
1,2,0300-1010,1010,0300-1010,2,1,93.906,0,54.001,0.188,1
2,3,0303-1010-1013,0303,0303-1010-1013,3,0.3333333333333333,0.167,852.047,0.01,109.209,0.3333333333333333
2,3,0303-1010-1013,1010,0303-1010-1013,3,0.25,16.459,0.002,20.355,4.22,0.25
2,3,0303-1010-1013,1013,0303-1010-1013,3,0.2,16.459,0.173,0.927,109.209,0.2
3,3,1010-1013-1303,1013,1010-1013-1303,3,1,155.639,0.005,0.942,92.463,1
3,3,1010-1013-1303,1303,1010-1013-1303,3,0.16666666666666666,58.716,6.394,0.01,92.463,0.16666666666666666
3,3,1010-1013-1303,1010,1010-1013-1303,3,0.5,155.639,0,75.691,3.825,0.5
4,3,0300-0303-1010,0300,0300-0303-1010,3,0.3333333333333333,2.141,17.713,0.265,1.039,0.3333333333333333
4,3,0300-0303-1010,0303,0300-0303-1010,3,0.25,2.141,755.484,0.004,98.943,0.25
4,3,0300-0303-1010,1010,0300-0303-1010,3,0.2,92.6,0.003,25.545,1.039,0.2
5,3,0300-0303-1010,0300,0300-0303-1010,3,0.16666666666666666,2.601,114.941,1.601,1.004,0.16666666666666666
5,3,0300-0303-1010,0303,0300-0303-1010,3,0.5,2.601,1458.051,0.046,96.115,0.5
5,3,0300-0303-1010,1010,0300-0303-1010,3,1,157.756,0,106.559,1.004,1
6,2,0303-1013,1013,0303-0311-1011-1013,2,0.5,89.169,0.023,0.986,104.45,0.5
6,2,0303-1013,0303,0303-0311-1011-1013,2,0.6666666666666666,0.974,712.124,0.017,104.45,0.6666666666666666
7,2,0303-1010,1010,0303-1010,2,0.16666666666666666,27.332,0.001,31.514,2.044,0.16666666666666666
7,2,0303-1010,0303,0303-1010,2,0.2,0.283,1053.552,0.102,83.199,0.2
8,5,0010-0013-0210-0300-0303,0210,0010-0013-0210-0300-0303,5,0.3333333333333333,0.187,2.345,105.57,1.23,0.3333333333333333
8,5,0010-0013-0210-0300-0303,0300,0010-0013-0210-0300-0303,5,0.5,0.165,64.706,2.211,1.23,0.5
8,5,0010-0013-0210-0300-0303,0010,0010-0013-0210-0300-0303,5,0.25,10.923,0.026,197.96,1.23,0.25
8,5,0010-0013-0210-0300-0303,0013,0010-0013-0210-0300-0303,5,0.2,10.923,0.247,35.053,95.799,0.2
8,5,0010-0013-0210-0300-0303,0303,0010-0013-0210-0300-0303,5,1,0.165,646.625,0.392,95.799,1
