ParIndex,GRHL2,ZEB,miR200,SLUG,Count
1,2.174,9.694,1.887,0.188,1
1,93.906,0,54.001,0.188,1
2,0.167,852.047,0.01,109.209,1
2,16.459,0.002,20.355,4.22,1
2,16.459,0.173,0.927,109.209,1
3,58.716,6.394,0.01,92.463,1
3,155.639,0,75.691,3.825,1
3,155.639,0.005,0.942,92.463,1
4,2.141,17.713,0.265,1.039,1
4,2.141,755.484,0.004,98.943,1
4,92.6,0.003,25.545,1.039,1
5,2.601,114.941,1.601,1.004,1
5,2.601,1458.051,0.046,96.115,1
5,157.756,0,106.559,1.004,1
6,0.974,712.124,0.017,104.45,2
6,89.169,0.023,0.986,104.45,2
7,0.283,1053.552,0.102,83.199,1
7,27.332,0.001,31.514,2.044,1
8,0.165,64.706,2.211,1.23,1
8,0.165,646.625,0.392,95.799,1
8,0.187,2.345,105.57,1.23,1
8,10.923,0.026,197.96,1.23,1
8,10.923,0.247,35.053,95.799,1
10,0.172,1073.94,0.005,132.118,2
12,1.817,67.332,0.146,1.011,1
12,1.817,2713.852,0.002,72.778,1
12,151.734,0.001,12.81,1.011,1
13,0.709,5.593,0.942,0.512,1
13,61.316,0.001,86.488,0.512,1
14,27.709,0,256.36,0.752,1
15,1.07,73.406,2.822,23.856,1
15,1.07,102.398,0.083,338.817,1
15,1.101,1.174,1.136,338.817,1
15,16.68,0.019,40.083,23.856,1
16,3.806,39.146,0.266,31.513,2
16,27.32,0.003,105.385,1.157,1
17,2.193,775.591,0.052,143.733,1
17,97.549,0.001,50.841,4.216,1
17,97.549,0.054,0.738,143.733,1
18,56.471,0.001,188.828,0.055,1
19,6.262,480.532,0.074,38.756,1
19,6.263,2.417,4.089,0.629,1
19,28.955,0.063,200.021,0.629,1
20,56.471,0.001,188.828,0.055,1
21,1.558,163.962,0.598,278.916,1
21,54.001,0,208.34,10.76,1
21,54.001,0.002,5.759,278.916,1
22,17.219,0,61.316,0.427,1
23,0.365,315.245,0.021,63.512,1
24,1.369,23.534,1.302,1.891,1
24,1.369,2099.457,0.016,68.701,1
24,77.465,0.001,93.906,1.891,1
24,77.465,0.647,0.016,68.701,1
25,2.002,16.519,0.012,95.499,1
25,82.968,0,58.772,1.066,1
25,82.968,0.022,0.617,95.499,1
26,13.587,10.027,0.933,1.239,1
26,13.587,273.155,0.029,105.385,1
26,273.803,0,27.282,1.239,1
26,273.803,0.394,0.841,105.385,1
27,1.276,18.68,3.849,0.548,1
27,1.276,975.486,0.107,46.277,1
27,103.013,0.001,77.563,0.548,1
28,0.285,5.248,0.906,6.75,1
28,0.285,446.259,0.017,396.166,1
28,8.146,0.01,69.219,6.75,1
29,2.943,177.764,0.001,128.13,1
29,50.766,0.112,0.06,128.13,1
30,1.162,1026.709,0.716,82.284,1
30,47.942,0,134.407,2.494,1
30,47.942,0.005,5.262,82.284,1
30,47.942,0.295,0.716,82.284,1
31,0.385,0.891,181.563,0.349,1
31,0.385,36.278,4.46,0.349,3
31,10.795,0.004,181.563,0.349,1
32,11.792,17.729,0.023,225.571,1
32,214.076,0,51.627,4.414,1
32,214.076,0.429,1.733,225.571,1
33,2.693,14.109,0.008,7.264,1
33,2.693,651.392,0.007,96.826,1
33,229.125,0.003,0.409,7.264,1
34,2.546,27.307,0.658,43.812,1
34,26.119,0.014,36.037,0.516,1
35,2.724,37.037,0.501,1.291,2
35,88.53,0,26.434,1.291,2
36,0.21,25.245,0.509,0.292,1
36,17.219,0.082,42.798,0.292,1
37,4.724,57.218,1.514,0.946,1
37,32.026,0.001,78.866,0.946,1
