Parameter,nState,Avg,Std,HillRange
monoMulti,1,0,0,1-10
monoMulti,2,0.22837880033234842,0.012682965286421278,1-10
monoMulti,3,0.1200659746459914,0.0055186319174668486,1-10
monoMulti,4,0.08201510367135513,0.00796402534165795,1-10
monoMulti,5,0.07358309885007973,0.00374009441927965,1-10
monoMulti,6,0.056549166753893744,0.02090868982457446,1-10
monoMulti,7,NA,NA,1-10
monoMulti,8,NA,NA,1-10
nState,1,0,0,1-10
nState,2,0.22837880033234842,0.012682965286421278,1-10
nState,3,0.36326770236176753,0.007732008801372447,1-10
nState,4,0.6046371797742158,0.011755030549815889,1-10
nState,5,0.8836020597555955,0.021637395483952857,1-10
nState,6,0.8302032501389218,0.05917718089538475,1-10
nState,7,NA,NA,1-10
nState,8,NA,NA,1-10
Phase,1,0.0027828860732332533,0.001450319068310268,1-10
Phase,2,0.25350473674643303,0.011854509124829033,1-10
Phase,3,0.40193048927875913,0.01009083265397657,1-10
Phase,4,0.6489604980478209,0.011062269464474899,1-10
Phase,5,0.9235079627190508,0.012594490157745919,1-10
Phase,6,0.9219198086255783,0.039334428045476134,1-10
Phase,7,NA,NA,1-10
Phase,8,NA,NA,1-10
monoMulti,1,0,0,11-20
monoMulti,2,0.053212060065556066,0.0017935005553536244,11-20
monoMulti,3,0.025772589180137678,0.0021739989173081256,11-20
monoMulti,4,0.010291113345540543,0.0014914570609516789,11-20
monoMulti,5,0.00569633022822711,0.0035631489126580766,11-20
monoMulti,6,0,0,11-20
monoMulti,8,NA,NA,11-20
nState,1,0,0,11-20
nState,2,0.053212060065556066,0.0017935005553536244,11-20
nState,3,0.09060495954859592,0.0026976495447868986,11-20
nState,4,0.18347268446268492,0.005429214871442953,11-20
nState,5,0.4188454645461511,0.0028577985978006024,11-20
nState,6,0.5073635310425882,0.04387374066313639,11-20
nState,8,NA,NA,11-20
Phase,1,3.0019677375178397e-4,5.19956064406349e-4,11-20
Phase,2,0.059884982657605584,0.0017537003689575283,11-20
Phase,3,0.1020563201884801,0.0036418018578217347,11-20
Phase,4,0.20430156050149703,0.006871275078268027,11-20
Phase,5,0.4914340157672586,0.010744864664541049,11-20
Phase,6,0.6626614108641047,0.046252229418556196,11-20
Phase,8,NA,NA,11-20
monoMulti,1,0,0,21-30
monoMulti,2,0.03187017096553262,0.0023564814680803806,21-30
monoMulti,3,0.01573520353484307,9.660152471512771e-4,21-30
monoMulti,4,0.004792714914482193,9.60982299830312e-4,21-30
monoMulti,5,0.0010078151674762102,0.0010333466552408742,21-30
monoMulti,6,0.0016238167999152167,0.002812533199637061,21-30
monoMulti,7,0,0,21-30
monoMulti,8,NA,NA,21-30
nState,1,0,0,21-30
nState,2,0.03187017096553262,0.0023564814680803806,21-30
nState,3,0.05451274547342345,0.0025872839148995096,21-30
nState,4,0.1180505531688029,0.005584283702350608,21-30
nState,5,0.27739068440984466,0.010507894966550467,21-30
nState,6,0.34572816759069713,0.06713133405716674,21-30
nState,7,0.43709270815304424,0.5117342885742113,21-30
nState,8,NA,NA,21-30
Phase,1,0,0,21-30
Phase,2,0.03593542550839881,0.0021861816219867613,21-30
Phase,3,0.060443566898080336,0.0018143067409134815,21-30
Phase,4,0.13075964711674107,0.005985706456324637,21-30
Phase,5,0.32462612079647934,0.010675763402177523,21-30
Phase,6,0.4554521643705229,0.06692105314532779,21-30
Phase,7,0.5,0.5,21-30
Phase,8,NA,NA,21-30
monoMulti,1,0,0,31-40
monoMulti,2,0.02561565788133733,0.004608830835239327,31-40
monoMulti,3,0.01154023290046182,5.128598315877207e-4,31-40
monoMulti,4,0.0032545475522639702,4.017709363563143e-4,31-40
monoMulti,5,7.136293745809367e-4,6.181071867818566e-4,31-40
monoMulti,6,0,0,31-40
monoMulti,7,NA,NA,31-40
monoMulti,8,NA,NA,31-40
nState,1,0,0,31-40
nState,2,0.02561565788133733,0.004608830835239327,31-40
nState,3,0.04220570099413399,7.109280185280758e-4,31-40
nState,4,0.08761630922163419,0.0022364358723629715,31-40
nState,5,0.22035216033593127,0.01867147304749697,31-40
nState,6,0.26288851878358355,0.00496532636871784,31-40
nState,7,NA,NA,31-40
nState,8,NA,NA,31-40
Phase,1,0,0,31-40
Phase,2,0.02852030113228203,0.004686222292488651,31-40
Phase,3,0.04709345112474994,7.017468347931254e-4,31-40
Phase,4,0.09654863428590577,0.003268269452724435,31-40
Phase,5,0.2589354395764991,0.020157281275455477,31-40
Phase,6,0.3626282593964354,0.01992650448189299,31-40
Phase,7,NA,NA,31-40
Phase,8,NA,NA,31-40
monoMulti,1,0,0,41-50
monoMulti,2,0.020546534217742052,0.0016424928191002613,41-50
monoMulti,3,0.007651177454030534,9.336492305662856e-4,41-50
monoMulti,4,0.00256912742116669,4.803333042963145e-4,41-50
monoMulti,5,3.4389842777242337e-4,5.956495495448931e-4,41-50
monoMulti,6,0.0018802910700393468,0.003256759666326199,41-50
monoMulti,7,NA,NA,41-50
monoMulti,8,NA,NA,41-50
nState,1,0,0,41-50
nState,2,0.020546534217742052,0.0016424928191002613,41-50
nState,3,0.033618927145727645,0.0012546245611637923,41-50
nState,4,0.07166243913212886,0.0033707273792674664,41-50
nState,5,0.18522456667469173,0.013236366569660856,41-50
nState,6,0.19976669129567592,0.028329674531268306,41-50
nState,7,NA,NA,41-50
nState,8,NA,NA,41-50
Phase,1,0,0,41-50
Phase,2,0.022398447201181306,0.0019679176955636505,41-50
Phase,3,0.03759754097424612,0.0013691260573655876,41-50
Phase,4,0.07953890978442595,0.003113604375844218,41-50
Phase,5,0.21776005845887653,0.019186785321912293,41-50
Phase,6,0.2831894910553723,0.031632049001497665,41-50
Phase,7,NA,NA,41-50
Phase,8,NA,NA,41-50
