Parameter,nState,Avg,Std,HillRange
monoMulti,1,0.03201230525220015,0.00948828392062486,1-10
monoMulti,2,0.21283155142415708,0.011020994587447479,1-10
monoMulti,3,0.12075625275567195,0.005469892949682793,1-10
monoMulti,4,0.08249246853820548,0.008237549600615382,1-10
monoMulti,5,0.07407322485825621,0.004556605073127314,1-10
monoMulti,6,0.05919374958212651,0.017715029736908767,1-10
monoMulti,7,NA,NA,1-10
monoMulti,8,NA,NA,1-10
nState,1,0.03201230525220015,0.00948828392062486,1-10
nState,2,0.2708759504017035,0.012331912430005126,1-10
nState,3,0.395281164984048,0.0024170498839335215,1-10
nState,4,0.5885667755009331,0.016434919199062023,1-10
nState,5,0.8618317797866801,0.0320232435886396,1-10
nState,6,0.8394630963192816,0.047680699945868286,1-10
nState,7,NA,NA,1-10
nState,8,NA,NA,1-10
Phase,1,0.034393714746178174,0.008495588620100242,1-10
Phase,2,0.33111943752221296,0.009098206035580984,1-10
Phase,3,0.4391459906158902,0.005384755957586536,1-10
Phase,4,0.6463087676297615,0.013051922485379492,1-10
Phase,5,0.9218092575702237,0.022709824031146027,1-10
Phase,6,0.9287727626110596,0.03300693523982743,1-10
Phase,7,NA,NA,1-10
Phase,8,NA,NA,1-10
monoMulti,1,0.02675846069047163,0.003960885924022233,11-20
monoMulti,2,0.05567724219519538,0.0031029315464639095,11-20
monoMulti,3,0.026066809303017524,0.002054133468597068,11-20
monoMulti,4,0.010400468006668764,0.0014861835118682688,11-20
monoMulti,5,0.00569633022822711,0.0035631489126580766,11-20
monoMulti,6,0.00174266789208858,0.003018389329816378,11-20
monoMulti,8,NA,NA,11-20
nState,1,0.02675846069047163,0.003960885924022233,11-20
nState,2,0.11199132279433663,0.006429856089681346,11-20
nState,3,0.12626814871288938,0.003199218170080274,11-20
nState,4,0.2286939455296581,0.00822272299415209,11-20
nState,5,0.5467507186546015,0.015532909326889959,11-20
nState,6,0.7019299641744178,0.06034348111498114,11-20
