Parameter,nState,Avg,Std,HillRange
monoMulti,1,0,0,2-11
monoMulti,2,0.15973666536283923,0.007777001943188293,2-11
monoMulti,3,0.08551322665194226,0.0037970804075007796,2-11
monoMulti,4,0.05076347115348712,0.0010203354075806657,2-11
monoMulti,5,0.048206610214470834,0.007995849474789058,2-11
monoMulti,6,0.026832131420723323,0.02027650197903144,2-11
monoMulti,7,NA,NA,2-11
monoMulti,8,NA,NA,2-11
nState,1,0,0,2-11
nState,2,0.15973666536283923,0.007777001943188293,2-11
nState,3,0.26439780950411385,0.012253312863908713,2-11
nState,4,0.4686859946639675,0.003597254445105179,2-11
nState,5,0.8154383315726598,0.032476819679437705,2-11
nState,6,0.8710637622369547,0.11247713542255407,2-11
nState,7,NA,NA,2-11
nState,8,NA,NA,2-11
Phase,1,0.0012685830301928647,8.216849390164277e-4,2-11
Phase,2,0.17788481690379634,0.007677243393336606,2-11
Phase,3,0.2934249339163812,0.013897304615256473,2-11
Phase,4,0.5071307755967946,0.006218064750471922,2-11
Phase,5,0.8730863807519317,0.01858128748746635,2-11
Phase,6,0.9408795363824377,0.05373660934982983,2-11
Phase,7,NA,NA,2-11
Phase,8,NA,NA,2-11
monoMulti,1,0,0,7-16
monoMulti,2,0.06819774940495096,0.0035316645896802273,7-16
monoMulti,3,0.037456276087606204,0.002551916691414797,7-16
monoMulti,4,0.015571392122877337,0.0014344656703178733,7-16
monoMulti,5,0.00767387128221582,0.0010220324731459911,7-16
monoMulti,6,0.012440413721191923,0.008629591841939096,7-16
nState,1,0,0,7-16
nState,2,0.06819774940495096,0.0035316645896802273,7-16
nState,3,0.11992209440133951,0.0028987450093104386,7-16
nState,4,0.2397842209984482,0.006254132054258732,7-16
nState,5,0.5636749022928467,0.025818039262870348,7-16
nState,6,0.5676790775162031,0.02257937530543833,7-16
Phase,1,6.179634033937939e-4,5.821571970227919e-4,7-16
Phase,2,0.07617349293883972,0.004076385987138114,7-16
Phase,3,0.13488708841472682,0.0021835831644947384,7-16
