Parameter,nState,Avg,Std,HillRange
monoMulti,1,0.023951116163660326,0.0020130030156984445,2-11
monoMulti,2,0.15332085158967707,0.006816868447226887,2-11
monoMulti,3,0.08608511546867571,0.0034600858191916038,2-11
monoMulti,4,0.0508772244483812,0.001532721468433859,2-11
monoMulti,5,0.048206610214470834,0.007995849474789058,2-11
monoMulti,6,0.026832131420723323,0.02027650197903144,2-11
monoMulti,7,NA,NA,2-11
monoMulti,8,NA,NA,2-11
nState,1,0.023951116163660326,0.0020130030156984445,2-11
nState,2,0.2060958553685175,0.008716185627497531,2-11
nState,3,0.29794569113187486,0.012141370921729622,2-11
nState,4,0.4672018991748732,0.006843582650511958,2-11
nState,5,0.8243039669796118,0.03716803384948391,2-11
nState,6,0.935748416087002,0.05610350367039692,2-11
nState,7,NA,NA,2-11
nState,8,NA,NA,2-11
Phase,1,0.025943722796433272,0.002425338540199498,2-11
Phase,2,0.24490799103941305,0.012115573012839144,2-11
Phase,3,0.3286805772779945,0.013351498793899104,2-11
Phase,4,0.5143471380255581,0.007716810882031257,2-11
Phase,5,0.8858328967652311,0.023453940119126007,2-11
Phase,6,0.9704251861053727,0.026542571693252807,2-11
Phase,7,NA,NA,2-11
Phase,8,NA,NA,2-11
monoMulti,1,0.027474016739764715,8.823827777580243e-4,7-16
monoMulti,2,0.06581162422110945,0.003663507358649386,7-16
monoMulti,3,0.03755724951088266,0.0026972075819069415,7-16
monoMulti,4,0.016003242336589993,0.0011279204966157827,7-16
monoMulti,5,0.008045178074841517,0.0016629593543566535,7-16
monoMulti,6,0.012440413721191923,0.008629591841939096,7-16
nState,1,0.027474016739764715,8.823827777580243e-4,7-16
nState,2,0.11527854563224497,0.004305806468813559,7-16
nState,3,0.1592194648197941,0.005866918453892114,7-16
nState,4,0.27030395819450564,0.008727685231631376,7-16
nState,5,0.6382215235321911,0.019536920516894464,7-16
nState,6,0.6996596942191855,0.021094291183009827,7-16
Phase,1,0.02913921869519023,0.001442788936606683,7-16
Phase,2,0.1453479305534369,0.00831142706384435,7-16
Phase,3,0.17922824588303038,0.00556294583176205,7-16
Phase,4,0.3092249285813144,0.007385037408319877,7-16
Phase,5,0.7154926076151348,0.009543476247022925,7-16
Phase,6,0.8189021874925927,0.01021468791911536,7-16
monoMulti,1,0.01888860217866448,0.003560373087236981,12-21
monoMulti,2,0.04772698971218849,0.0030090130449474508,12-21
monoMulti,3,0.02380014274973535,0.0017972825515602945,12-21
monoMulti,4,0.009081612943597933,5.071580600241044e-4,12-21
monoMulti,5,0.00363963895903685,0.0027116613841889894,12-21
monoMulti,6,0.00455683093430273,0.004534215898670268,12-21
monoMulti,7,NA,NA,12-21
monoMulti,8,NA,NA,12-21
nState,1,0.01888860217866448,0.003560373087236981,12-21
nState,2,0.09066624397758336,0.003481489859626556,12-21
nState,3,0.12238335993027012,0.004137159735308833,12-21
nState,4,0.22400595788458924,0.0025142542980865204,12-21
nState,5,0.5274025318488816,0.010369117260376141,12-21
nState,6,0.6669857301570138,0.0565544250379179,12-21
nState,7,NA,NA,12-21
nState,8,NA,NA,12-21
Phase,1,0.01938248959781189,0.0038603281981673377,12-21
Phase,2,0.11938892503121183,0.006116632686260242,12-21
Phase,3,0.13765511389946034,0.004262191239304447,12-21
Phase,4,0.2627518800831908,0.005498479388820915,12-21
Phase,5,0.601483811846748,0.015209382508294934,12-21
Phase,6,0.7833640786935417,0.05018486951445216,12-21
Phase,7,NA,NA,12-21
Phase,8,NA,NA,12-21
monoMulti,1,0.02053920788423543,8.304717515655285e-4,17-26
monoMulti,2,0.040914141227412756,6.175452661753119e-4,17-26
monoMulti,3,0.018861416700143924,0.0011708048324356349,17-26
monoMulti,4,0.007229944126315787,0.00169074346816548,17-26
monoMulti,5,0.00439783624996296,0.0018360290746302756,17-26
monoMulti,6,0,0,17-26
monoMulti,7,NA,NA,17-26
monoMulti,8,0,0,17-26
nState,1,0.02053920788423543,8.304717515655285e-4,17-26
nState,2,0.07827585827563856,0.00501652002275937,17-26
nState,3,0.10186142538931423,0.00500557332453016,17-26
nState,4,0.19543570669242005,0.003740654790426065,17-26
nState,5,0.4980029950328308,0.028608338112295992,17-26
nState,6,0.5973959589009017,0.10727329685795324,17-26
nState,7,NA,NA,17-26
nState,8,1,0,17-26
Phase,1,0.020803151385519154,8.300698484988886e-4,17-26
Phase,2,0.10243845630151746,0.0050022322602634155,17-26
Phase,3,0.11615463325774013,0.0065630463721559175,17-26
Phase,4,0.23472062974670138,0.004800136139372297,17-26
Phase,5,0.5815312115243536,0.026920777757787798,17-26
Phase,6,0.7191784824775923,0.09193611611329,17-26
Phase,7,NA,NA,17-26
Phase,8,1,0,17-26
monoMulti,1,0.015039211799681616,0.002757046058451328,22-31
monoMulti,2,0.036762009535126115,0.002794557501072199,22-31
monoMulti,3,0.015096917134418186,0.002073123586386714,22-31
monoMulti,4,0.004097667404738393,0.0011131141981634677,22-31
monoMulti,5,0.0013327248691136332,0.0011543465137420013,22-31
monoMulti,6,0,0,22-31
monoMulti,7,NA,NA,22-31
nState,1,0.015039211799681616,0.002757046058451328,22-31
nState,2,0.07048868918732186,0.004135185660131849,22-31
nState,3,0.09286331375363366,0.007265537981735195,22-31
nState,4,0.1781894572489693,0.0054495600343456175,22-31
nState,5,0.4857305872075545,0.018114592058674165,22-31
nState,6,0.5794468061745675,0.042565678963741194,22-31
nState,7,NA,NA,22-31
Phase,1,0.01511145015571296,0.002789163717763875,22-31
Phase,2,0.09610171632843521,0.00458674240863957,22-31
Phase,3,0.10725298388909951,0.009132663480672504,22-31
Phase,4,0.21684266588846868,0.003947454150647794,22-31
Phase,5,0.564642365270759,0.017090089882888897,22-31
Phase,6,0.7166070766025658,0.037284138730203725,22-31
Phase,7,NA,NA,22-31
monoMulti,1,0.014442344336726387,0.0010984910503102207,27-36
monoMulti,2,0.028570624154674,0.0016599391525842031,27-36
monoMulti,3,0.01246322574800885,7.879859440759961e-4,27-36
monoMulti,4,0.004527032954193794,9.577099483963651e-4,27-36
monoMulti,5,0.00270694020280481,0.0014812830569888818,27-36
monoMulti,6,0.00201681090344985,0.0034932189540340295,27-36
monoMulti,7,NA,NA,27-36
nState,1,0.014442344336726387,0.0010984910503102207,27-36
nState,2,0.0622071088754571,0.0027756765155931397,27-36
nState,3,0.08021470536854565,0.003325831975022477,27-36
nState,4,0.17215358639214323,0.002306411089151989,27-36
nState,5,0.4616850710488509,0.006733345357028078,27-36
nState,6,0.6013100598733967,0.04243444069247268,27-36
nState,7,NA,NA,27-36
Phase,1,0.01465810182757067,0.0010119083725717952,27-36
Phase,2,0.0880633784346445,0.004039654217485486,27-36
Phase,3,0.09473491477180977,0.003513132754478992,27-36
Phase,4,0.21060279548252483,0.002690964545000335,27-36
Phase,5,0.5455126663210785,0.020059833203798203,27-36
Phase,6,0.7331863573140225,0.0583960203346895,27-36
Phase,7,NA,NA,27-36
monoMulti,1,0.00793192151934374,0.0021627720121805707,32-41
monoMulti,2,0.030145401768190132,0.002112227805766451,32-41
monoMulti,3,0.010432827474803202,4.184216947200246e-4,32-41
monoMulti,4,0.004445987526509167,9.396460977797366e-4,32-41
monoMulti,5,0.0024085473809224633,6.598536843454669e-4,32-41
monoMulti,6,0,0,32-41
monoMulti,8,NA,NA,32-41
nState,1,0.00793192151934374,0.0021627720121805707,32-41
