Parameter,nState,Avg,Std,HillRange
monoMulti,1,0,0,1
monoMulti,2,0.9767760254620315,0.003583563912308776,1
monoMulti,3,0.9362048641237152,0.005611082606148699,1
monoMulti,4,0.9202253857014396,0.001963252042649924,1
monoMulti,5,0.9153638324266583,0.01745047628853931,1
monoMulti,6,0.8932194989325927,0.12329793870346105,1
monoMulti,7,NA,NA,1
nState,1,0,0,1
nState,2,0.9767760254620315,0.003583563912308776,1
nState,3,1,0,1
nState,4,1,0,1
nState,5,1,0,1
nState,6,1,0,1
nState,7,NA,NA,1
Phase,1,0.047751475276887466,0.003918800876382701,1
Phase,2,0.9892799878455218,7.112011764284755e-4,1
Phase,3,1,4.440892098500626e-16,1
Phase,4,1,3.510833468576701e-16,1
Phase,5,0.9999999999999999,8.81212206892831e-16,1
Phase,6,0.9999999999999999,3.4219371797089426e-16,1
Phase,7,NA,NA,1
monoMulti,1,0,0,1-3
monoMulti,2,0.5189692356124865,0.006241535749018657,1-3
monoMulti,3,0.32105788207239955,0.0057359945228319395,1-3
monoMulti,4,0.30060337505818197,0.005781523956910065,1-3
monoMulti,5,0.2919630614930463,0.03216901775058638,1-3
monoMulti,6,0.32772340598316124,0.07140074170065294,1-3
nState,1,0,0,1-3
nState,2,0.5189692356124865,0.006241535749018657,1-3
nState,3,0.755226895381504,0.0069781527337302515,1-3
nState,4,0.9426789826008203,0.004574098160275671,1-3
nState,5,1,0,1-3
nState,6,0.9800847743642246,0.03449418264536128,1-3
Phase,1,0.010947354907929066,0.005386338579021595,1-3
Phase,2,0.5809595269972015,0.0049419200640228676,1-3
Phase,3,0.7995503140390163,0.0058948861994913915,1-3
Phase,4,0.956554719564275,0.002995108954372361,1-3
Phase,5,1.0000000000000004,4.710277376051325e-16,1-3
Phase,6,0.9925943884350442,0.012826895491622761,1-3
monoMulti,1,0,0,2-3
monoMulti,2,0.40613543244589867,0.005382324558611465,2-3
monoMulti,3,0.23524111080071333,0.003044733125449297,2-3
monoMulti,4,0.21333976542934585,0.005373804095201206,2-3
monoMulti,5,0.18386367880412965,0.009306518973285436,2-3
monoMulti,6,0.19091310680667098,0.11623551883444948,2-3
monoMulti,7,NA,NA,2-3
nState,1,0,0,2-3
nState,2,0.40613543244589867,0.005382324558611465,2-3
nState,3,0.5996904462017618,0.00476344456770069,2-3
nState,4,0.8582443365824431,0.00917769736323569,2-3
nState,5,0.995760155002429,0.007343626952009811,2-3
nState,6,1,0,2-3
nState,7,NA,NA,2-3
Phase,1,0.00280278619538708,0.0014764336162878147,2-3
Phase,2,0.45208155296006586,0.0073034022607411705,2-3
Phase,3,0.6522365044450179,0.002356844809517532,2-3
Phase,4,0.8852715902486707,0.006449613735541261,2-3
Phase,5,0.9988405355630625,0.0020082513143454776,2-3
Phase,6,1,1.5700924586837752e-16,2-3
Phase,7,NA,NA,2-3
monoMulti,1,0,0,2-4
monoMulti,2,0.33025973328222247,0.006004396364477787,2-4
monoMulti,3,0.1933639270961152,0.0016979177492357036,2-4
monoMulti,4,0.1624094295281017,0.006544859620881169,2-4
monoMulti,5,0.14455186389735056,0.003633196121266304,2-4
monoMulti,6,0.09934522623058378,0.019764559943558635,2-4
monoMulti,7,0.0636248348737032,0.1102014466244341,2-4
monoMulti,8,NA,NA,2-4
nState,1,0,0,2-4
nState,2,0.33025973328222247,0.006004396364477787,2-4
nState,3,0.5106816618729035,0.007958881270519462,2-4
nState,4,0.7825678878278822,0.00995789852503979,2-4
nState,5,0.9808387004915885,0.006552826014731921,2-4
nState,6,0.9590390444303497,0.03587079385587435,2-4
nState,7,1,0,2-4
nState,8,NA,NA,2-4
Phase,1,0.004049973846074266,0.0028798604540208887,2-4
Phase,2,0.36843359391173125,0.009598624670277476,2-4
Phase,3,0.5610481758544614,0.008443613169047974,2-4
Phase,4,0.8172136205544355,0.0055287426773307285,2-4
Phase,5,0.9959097037738326,5.714530206373604e-4,2-4
Phase,6,0.9888520361157176,0.00982015771319034,2-4
Phase,7,1,0,2-4
Phase,8,NA,NA,2-4
monoMulti,1,0,0,3-5
