Parameter,nState,Avg,Std,HillRange
monoMulti,1,0.17808095672385466,0.0032570432075215,1-10
monoMulti,2,0.16196396192817392,0.00335017990568584,1-10
monoMulti,3,0.09665195819273788,0.00527115449004717,1-10
monoMulti,4,0.08284073100285298,0.00330109677485693,1-10
monoMulti,5,0.08194837956352036,0.01139482543208706,1-10
monoMulti,6,0.07090053029350366,0.011422490611605,1-10
nState,1,0.17808095672385466,0.0032570432075215,1-10
nState,2,0.3976711024923016,0.00471043613178238,1-10
nState,3,0.4457662520683928,0.00650477173524263,1-10
nState,4,0.6108065689248243,0.00215203761044395,1-10
nState,5,0.8965950548379927,0.07405866609691972,1-10
nState,6,1,0,1-10
Phase,1,0.28607982084151007,0.00438872848810311,1-10
Phase,2,0.7357330659938526,0.00221904192079659,1-10
Phase,3,0.8718868636092973,0.00717063595580326,1-10
Phase,4,0.9060387185118628,0.00688708858104084,1-10
Phase,5,0.9925696594427244,0.00646458607362877,1-10
Phase,6,1,1.3597399555105182e-16,1-10
monoMulti,1,0.2639121795661917,0.01104182091612029,11-20
monoMulti,2,0.05404184239759217,0.00397077307621667,11-20
monoMulti,3,0.0168509312073018,0.00143843992768717,11-20
monoMulti,4,0.01350451929057937,0.00295438930108893,11-20
monoMulti,5,0.00956749607093513,0.00828784471329745,11-20
monoMulti,6,0,0,11-20
nState,1,0.2639121795661917,0.01104182091612029,11-20
nState,2,0.4265187723796362,0.00723218858326961,11-20
nState,3,0.32373869552896745,0.00512058940234206,11-20
nState,4,0.3688428908109489,0.00898327713518016,11-20
nState,5,0.8646748975935544,0.01667997110938474,11-20
nState,6,0.9711690715390308,0.04993663292378224,11-20
Phase,1,0.4665279976127603,0.00755796926747654,11-20
Phase,2,0.7958956467677613,9.202825209222746e-4,11-20
Phase,3,0.918493508027407,9.43547417281191e-4,11-20
Phase,4,0.9329402966370104,0.00465100692644762,11-20
Phase,5,0.9976019184652276,0.00415359905891846,11-20
Phase,6,1,1.3597399555105182e-16,11-20
monoMulti,1,0.26119193118108863,0.00429244403020323,21-30
monoMulti,2,0.03925998731690033,0.00273794623688484,21-30
monoMulti,3,0.00923586660064962,8.299244687160865e-4,21-30
monoMulti,4,0.0077665052584738,7.774796561478589e-4,21-30
monoMulti,5,0.00665928256888462,0.00566281310675281,21-30
monoMulti,6,0,0,21-30
nState,1,0.26119193118108863,0.00429244403020323,21-30
nState,2,0.4385863806392494,0.00474640629303513,21-30
nState,3,0.32163292513014774,0.00745174994273858,21-30
nState,4,0.336444115523617,0.01906608409814967,21-30
nState,5,0.7832842257956717,0.04896328089105248,21-30
nState,6,0.7536905374578259,0.05492961291415038,21-30
Phase,1,0.5172441464129782,0.01590401889831109,21-30
Phase,2,0.8072752998305589,0.00498790589612697,21-30
Phase,3,0.9245880678345652,4.581116251087072e-4,21-30
Phase,4,0.9294405416031823,0.01192589452074403,21-30
Phase,5,0.9944581730744012,0.00959872580188982,21-30
Phase,6,0.9698096580035308,0.03230236791415947,21-30
monoMulti,1,0.2786020330113409,0.0116801635406452,31-40
monoMulti,2,0.03377764993843241,0.00156967415356264,31-40
monoMulti,3,0.00809464638432464,6.959558686484948e-4,31-40
monoMulti,4,0.00464432986460658,0.00125892018844286,31-40
monoMulti,5,0.00118506746861101,0.0020525970660313,31-40
monoMulti,6,0.00442815022779084,0.00766978117808143,31-40
nState,1,0.2786020330113409,0.0116801635406452,31-40
nState,2,0.4323059832789243,0.00534720636845889,31-40
nState,3,0.316772981916918,0.00363081970119122,31-40
nState,4,0.3176277742685147,0.0139227063957616,31-40
nState,5,0.7321392714853201,0.08607685172778849,31-40
nState,6,0.919187977554634,0.07058156569046159,31-40
Phase,1,0.5372773751104029,0.00958731877650147,31-40
Phase,2,0.8086541550474026,0.00652071630286922,31-40
Phase,3,0.9281511532714534,0.0013857139817599,31-40
Phase,4,0.9456908538402709,0.0065779746324293,31-40
Phase,5,0.9961641696243064,0.00664385309991635,31-40
Phase,6,0.9999999999999998,0,31-40
monoMulti,1,0.2778093263935272,0.0096626178522891,41-50
monoMulti,2,0.03304619502074448,0.00206342815174618,41-50
monoMulti,3,0.00630157266030519,5.409825083747217e-4,41-50
monoMulti,4,0.00428911776740393,0.00177299017113132,41-50
monoMulti,5,0.00131607766849616,0.00227951338854213,41-50
monoMulti,6,0,0,41-50
nState,1,0.2778093263935272,0.0096626178522891,41-50
nState,2,0.4472902852324754,0.00400743215423718,41-50
nState,3,0.3184327874506549,0.00982188054577401,41-50
nState,4,0.31084271005032044,0.00907954646774945,41-50
nState,5,0.7328060084471807,0.03484297026622183,41-50
nState,6,0.9234053485205818,0.07284713482008048,41-50
Phase,1,0.5438164972367316,0.01684224961925659,41-50
Phase,2,0.8117307959458591,0.0048705844743821,41-50
Phase,3,0.9321750929651416,0.00255966949087078,41-50
Phase,4,0.952564068387518,0.00172743968668123,41-50
Phase,5,1,2.603703785810335e-16,41-50
Phase,6,1,0,41-50
monoMulti,1,0.2694860770108669,0.00821193364453598,51-60
monoMulti,2,0.03011672999630299,0.00154735792899371,51-60
monoMulti,3,0.00558355851500406,0.00119843100742013,51-60
monoMulti,4,0.00474927537850822,5.67192784293286e-4,51-60
