Phase,Freq.x,Freq.y,Freq,Avg,Std,HillRange,nStates
-1,0.0174,0.0167,0.0139,0.016,0.0018520259177452134,1-10,2
0000,1e-4,2e-4,NA,NA,NA,1-10,1
0000-0003-0303,2e-4,3e-4,NA,NA,NA,1-10,3
0000-0103-0303,1e-4,1e-4,NA,NA,NA,1-10,3
0000-0200-0303,1e-4,1e-4,1e-4,1e-4,0,1-10,3
0000-0203-0300-0303,2e-4,1e-4,NA,NA,NA,1-10,4
0000-0300,1e-4,6e-4,4e-4,3.6666666666666667e-4,2.516611478423583e-4,1-10,2
0000-0300-0302,1e-4,NA,NA,NA,NA,1-10,3
0000-0300-0303,9e-4,5e-4,8e-4,7.333333333333333e-4,2.0816659994661328e-4,1-10,3
0001-0003-0301-0303,2e-4,2e-4,1e-4,1.666666666666667e-4,5.773502691896258e-5,1-10,4
0001-0101-0303,1e-4,NA,1e-4,NA,NA,1-10,3
0001-0201,1e-4,NA,NA,NA,NA,1-10,2
0001-0203-0301-0303,1e-4,NA,NA,NA,NA,1-10,4
0001-0301,3e-4,2e-4,2e-4,2.3333333333333333e-4,5.773502691896256e-5,1-10,2
0001-0301-0303,0.0019,0.0019,0.002,0.0019333333333333333,5.7735026918962605e-5,1-10,3
0002-0010,6e-4,1e-4,4e-4,3.6666666666666667e-4,2.516611478423583e-4,1-10,2
0002-0010-0210-0300-0302,1e-4,NA,NA,NA,NA,1-10,5
0002-0010-0210-0302,1e-4,NA,NA,NA,NA,1-10,4
0002-0010-0300-0302,0.002,0.0015,0.0014,0.0016333333333333334,3.2145502536643183e-4,1-10,4
0002-0010-0302,3e-4,1e-4,4e-4,2.666666666666667e-4,1.5275252316519468e-4,1-10,3
0003-0010-0110-0300-0303,1e-4,NA,NA,NA,NA,1-10,5
0003-0010-0300-0303,4e-4,2e-4,6e-4,3.9999999999999996e-4,1.9999999999999998e-4,1-10,4
0003-0010-0303,0.0022,0.0033,0.0034,0.0029666666666666665,6.658328118479391e-4,1-10,3
0003-0011-0211-0303,1e-4,NA,NA,NA,NA,1-10,4
0003-0011-0301-0303,1e-4,1e-4,1e-4,1e-4,0,1-10,4
0003-0011-0303-0311,1e-4,NA,NA,NA,NA,1-10,4
0003-0303,3e-4,4e-4,4e-4,3.6666666666666667e-4,5.7735026918962605e-5,1-10,2
0010,0.012,0.0102,0.0123,0.0115,0.0011357816691600544,1-10,1
0010-0011,0.0018,0.0022,0.0019,0.001966666666666667,2.0816659994661336e-4,1-10,2
0010-0011-0100-0101-0300-0301,1e-4,2e-4,1e-4,1.3333333333333334e-4,5.773502691896258e-5,1-10,6
0010-0011-0110-0111-0300-0301,1e-4,1e-4,2e-4,1.3333333333333334e-4,5.773502691896258e-5,1-10,6
0010-0011-0210-0211,1e-4,1e-4,NA,NA,NA,1-10,4
0010-0011-0210-0211-0300-0301,2e-4,1e-4,1e-4,1.3333333333333334e-4,5.773502691896258e-5,1-10,6
0010-0011-0300-0301,0.0016,0.002,0.0018,0.0018,1.9999999999999998e-4,1-10,4
0010-0011-0310-0311,1e-4,2e-4,NA,NA,NA,1-10,4
0010-0012,6e-4,3e-4,3e-4,3.9999999999999996e-4,1.7320508075688773e-4,1-10,2
0010-0012-0100-0102-0300-0302,2e-4,2e-4,NA,NA,NA,1-10,6
0010-0012-0100-0300-0302,2e-4,NA,NA,NA,NA,1-10,5
0010-0012-0102-0210-0302,1e-4,NA,NA,NA,NA,1-10,5
0010-0012-0102-0300-0302,1e-4,3e-4,NA,NA,NA,1-10,5
0010-0012-0102-0302,3e-4,2e-4,1e-4,1.9999999999999998e-4,9.999999999999999e-5,1-10,4
0010-0012-0110-0300-0302,1e-4,NA,NA,NA,NA,1-10,5
0010-0012-0112,1e-4,NA,NA,NA,NA,1-10,3
0010-0012-0112-0302,1e-4,NA,NA,NA,NA,1-10,4
0010-0012-0200-0202,1e-4,NA,NA,NA,NA,1-10,4
0010-0012-0200-0302,1e-4,NA,NA,NA,NA,1-10,4
0010-0012-0202-0302,1e-4,NA,1e-4,NA,NA,1-10,4
0010-0012-0210-0300-0302,1e-4,NA,NA,NA,NA,1-10,5
0010-0012-0212,1e-4,NA,NA,NA,NA,1-10,3
0010-0012-0212-0300-0302,1e-4,1e-4,NA,NA,NA,1-10,5
0010-0012-0212-0302,2e-4,2e-4,NA,NA,NA,1-10,4
0010-0012-0300-0302,0.0018,0.0018,0.002,0.0018666666666666666,1.1547005383792521e-4,1-10,4
0010-0012-0302,0.0012,9e-4,0.001,0.0010333333333333334,1.5275252316519463e-4,1-10,3
0010-0012-0310-0312,1e-4,NA,NA,NA,NA,1-10,4
0010-0012-0312,6e-4,6e-4,7e-4,6.333333333333333e-4,5.7735026918962605e-5,1-10,3
0010-0013,2e-4,3e-4,3e-4,2.666666666666667e-4,5.773502691896256e-5,1-10,2
0010-0013-0100-0300-0303,1e-4,3e-4,1e-4,1.6666666666666666e-4,1.1547005383792513e-4,1-10,5
0010-0013-0103-0303,6e-4,4e-4,8e-4,6.000000000000001e-4,2e-4,1-10,4
0010-0013-0110-0300-0303,1e-4,1e-4,3e-4,1.6666666666666666e-4,1.1547005383792513e-4,1-10,5
0010-0013-0110-0303,2e-4,4e-4,1e-4,2.3333333333333333e-4,1.5275252316519468e-4,1-10,4
0010-0013-0113-0200-0303,1e-4,NA,NA,NA,NA,1-10,5
0010-0013-0113-0300-0303,1e-4,2e-4,NA,NA,NA,1-10,5
