Phase,Freq.x,Freq.y,Freq,Avg,Std,HillRange,nStates
-1,0.0066,0.0059,0.0094,0.0073,0.0018520259177452138,2-11,2
0000-0003-0303,1e-4,NA,1e-4,NA,NA,2-11,3
0000-0200-0303,1e-4,1e-4,NA,NA,NA,2-11,3
0000-0300,3e-4,1e-4,NA,NA,NA,2-11,2
0000-0300-0303,8e-4,5e-4,5e-4,6.000000000000001e-4,1.7320508075688773e-4,2-11,3
0001,2e-4,1e-4,NA,NA,NA,2-11,1
0001-0003-0303,1e-4,1e-4,2e-4,1.3333333333333334e-4,5.773502691896258e-5,2-11,3
0001-0101-0303,2e-4,2e-4,1e-4,1.666666666666667e-4,5.773502691896258e-5,2-11,3
0001-0301-0303,8e-4,8e-4,5e-4,7e-4,1.7320508075688773e-4,2-11,3
0002-0010,3e-4,1e-4,1e-4,1.6666666666666666e-4,1.1547005383792513e-4,2-11,2
0002-0010-0200-0202,1e-4,NA,NA,NA,NA,2-11,4
0002-0010-0202,1e-4,NA,1e-4,NA,NA,2-11,3
0002-0010-0300-0302,0.0016,0.0011,7e-4,0.0011333333333333334,4.509249752822895e-4,2-11,4
0002-0010-0302,1e-4,1e-4,3e-4,1.6666666666666666e-4,1.1547005383792513e-4,2-11,3
0003-0010-0300-0303,4e-4,2e-4,5e-4,3.6666666666666667e-4,1.5275252316519468e-4,2-11,4
0003-0010-0303,0.0014,0.0017,0.0012,0.0014333333333333333,2.5166114784235834e-4,2-11,3
0010,0.0071,0.0103,0.0086,0.008666666666666666,0.0016010413278030437,2-11,1
0010-0011,0.0014,0.0013,0.0022,0.0016333333333333334,4.932882862316248e-4,2-11,2
0010-0011-0110-0111,1e-4,NA,1e-4,NA,NA,2-11,4
0010-0011-0110-0111-0300-0301,2e-4,2e-4,1e-4,1.666666666666667e-4,5.773502691896258e-5,2-11,6
0010-0011-0300-0301,0.0013,0.001,0.0015,0.0012666666666666666,2.5166114784235834e-4,2-11,4
0010-0011-0310-0311,2e-4,1e-4,NA,NA,NA,2-11,4
0010-0012,2e-4,3e-4,3e-4,2.666666666666667e-4,5.773502691896256e-5,2-11,2
0010-0012-0100-0200-0302,1e-4,NA,NA,NA,NA,2-11,5
0010-0012-0102-0302,1e-4,NA,NA,NA,NA,2-11,4
0010-0012-0112,1e-4,NA,1e-4,NA,NA,2-11,3
0010-0012-0202-0302,1e-4,NA,NA,NA,NA,2-11,4
0010-0012-0300-0302,0.0015,0.0017,0.0012,0.0014666666666666667,2.5166114784235834e-4,2-11,4
0010-0012-0302,0.0014,0.0011,7e-4,0.0010666666666666667,3.511884584284246e-4,2-11,3
0010-0012-0312,4e-4,3e-4,7e-4,4.6666666666666666e-4,2.0816659994661328e-4,2-11,3
0010-0013,3e-4,4e-4,1e-4,2.666666666666667e-4,1.5275252316519468e-4,2-11,2
0010-0013-0100-0300-0303,1e-4,1e-4,2e-4,1.3333333333333334e-4,5.773502691896258e-5,2-11,5
0010-0013-0103-0300-0303,1e-4,1e-4,2e-4,1.3333333333333334e-4,5.773502691896258e-5,2-11,5
0010-0013-0103-0303,3e-4,3e-4,1e-4,2.3333333333333333e-4,1.1547005383792513e-4,2-11,4
0010-0013-0110-0300-0303,3e-4,NA,2e-4,NA,NA,2-11,5
0010-0013-0110-0303,1e-4,4e-4,4e-4,3.0000000000000003e-4,1.7320508075688773e-4,2-11,4
0010-0013-0113,1e-4,1e-4,NA,NA,NA,2-11,3
0010-0013-0113-0300-0303,1e-4,NA,NA,NA,NA,2-11,5
0010-0013-0113-0303,6e-4,NA,4e-4,NA,NA,2-11,4
0010-0013-0200-0303,1e-4,NA,1e-4,NA,NA,2-11,4
0010-0013-0203-0303,3e-4,1e-4,3e-4,2.3333333333333333e-4,1.1547005383792513e-4,2-11,4
0010-0013-0210-0303,2e-4,1e-4,1e-4,1.3333333333333334e-4,5.773502691896258e-5,2-11,4
0010-0013-0213,1e-4,2e-4,2e-4,1.666666666666667e-4,5.773502691896258e-5,2-11,3
