Phase,Freq.x,Freq.y,Freq,Avg,Std,HillRange,nStates
00,0.0037,0.004,0.0046,0.0041,4.582575694955839e-4,1-10,1
00-10,9e-4,0.0013,0.0015,0.0012333333333333332,3.0550504633038936e-4,1-10,2
00-20,0.0786,0.0824,0.0754,0.0788,0.0035042830935870495,1-10,2
01,0.0966,0.095,0.0913,0.09430000000000001,0.0027184554438136363,1-10,1
01-10,3e-4,1e-4,4e-4,2.666666666666667e-4,1.5275252316519468e-4,1-10,2
01-10-20,0.0792,0.0817,0.0743,0.0784,0.0037643060449437382,1-10,3
01-11,0.0125,0.0086,0.0103,0.010466666666666668,0.0019553345834749957,1-10,2
01-11-20,0.0792,0.0816,0.0792,0.08,0.0013856406460551014,1-10,3
01-20,0.5646,0.5622,0.5807,0.5691666666666667,0.010059986746180785,1-10,2
01-21,0.0155,0.0138,0.0128,0.014033333333333333,0.0013650396819628843,1-10,2
10,1e-4,2e-4,1e-4,1.3333333333333334e-4,5.773502691896258e-5,1-10,1
10-20,0.0141,0.0156,0.0156,0.015099999999999999,8.660254037844384e-4,1-10,2
11,8e-4,6e-4,3e-4,5.666666666666667e-4,2.5166114784235834e-4,1-10,1
11-20,0.0013,0.0021,0.0017,0.0017,3.9999999999999996e-4,1-10,2
11-21,5e-4,8e-4,6e-4,6.333333333333333e-4,1.5275252316519468e-4,1-10,2
20,0.0511,0.0484,0.0501,0.04986666666666666,0.0013650396819628852,1-10,1
21,0.001,0.0016,0.0011,0.0012333333333333335,3.2145502536643183e-4,1-10,1
00,7e-4,8e-4,6e-4,7e-4,1.0000000000000005e-4,11-20,1
00-10,3e-4,1e-4,2e-4,1.9999999999999998e-4,9.999999999999999e-5,11-20,2
00-20,0.0298,0.0311,0.0308,0.030566666666666666,6.806859285554043e-4,11-20,2
01,0.0845,0.0887,0.086,0.0864,0.0021283796653792752,11-20,1
01-10-20,0.095,0.0893,0.0914,0.0919,0.002882707061079914,11-20,3
01-11,0.0171,0.0183,0.0174,0.0176,6.244997998398399e-4,11-20,2
01-11-20,0.089,0.09,0.0928,0.0906,0.00196977156035922,11-20,3
01-20,0.5492,0.5458,0.5486,0.5478666666666666,0.0018147543451755238,11-20,2
01-21,0.0413,0.0414,0.0416,0.041433333333333336,1.5275252316519224e-4,11-20,2
10,1e-4,NA,NA,NA,NA,11-20,1
10-20,0.0133,0.0128,0.0114,0.0125,9.848857801796102e-4,11-20,2
11,0.001,4e-4,9e-4,7.666666666666667e-4,3.2145502536643183e-4,11-20,1
11-20,0.0025,0.0026,0.0028,0.0026333333333333334,1.5275252316519465e-4,11-20,2
11-21,0.0027,0.0031,0.003,0.0029333333333333334,2.0816659994661317e-4,11-20,2
20,0.0688,0.0707,0.0683,0.06926666666666667,0.001266227994214838,11-20,1
21,0.0047,0.0047,0.0041,0.0045000000000000005,3.4641016151377535e-4,11-20,1
01-10,NA,2e-4,1e-4,NA,NA,11-20,2
00,3e-4,2e-4,2e-4,2.3333333333333333e-4,5.773502691896256e-5,21-30,1
00-10,1e-4,3e-4,1e-4,1.6666666666666666e-4,1.1547005383792513e-4,21-30,2
00-20,0.0231,0.0231,0.0233,0.023166666666666665,1.1547005383792646e-4,21-30,2
01,0.0962,0.0907,0.0912,0.0927,0.0030413812651491046,21-30,1
01-10,1e-4,1e-4,2e-4,1.3333333333333334e-4,5.773502691896258e-5,21-30,2
01-10-20,0.0911,0.0898,0.0939,0.0916,0.0020952326839756927,21-30,3
01-11,0.0169,0.0188,0.0211,0.018933333333333333,0.0021031722072463155,21-30,2
01-11-20,0.0911,0.0865,0.0875,0.08836666666666666,0.0024193663082165444,21-30,3
01-20,0.5323,0.5479,0.539,0.5397333333333334,0.007825811991949065,21-30,2
01-21,0.0523,0.0489,0.0493,0.050166666666666665,0.0018583146486355147,21-30,2
10-20,0.0098,0.0077,0.0087,0.008733333333333333,0.0010503967504392484,21-30,2
11,6e-4,9e-4,0.0012,9e-4,3e-4,21-30,1
11-20,0.0023,0.0025,0.0028,0.002533333333333333,2.5166114784235834e-4,21-30,2
11-21,0.0026,0.0022,0.0033,0.0027,5.567764362830022e-4,21-30,2
