Phase,Freq.x,Freq.y,Freq,Avg,Std,HillRange,nStates
00,0.0196,0.0178,0.0195,0.018966666666666666,0.0010115993936995677,1,1
00-10,0.0077,0.0068,0.0061,0.006866666666666667,8.020806277010642e-4,1,2
00-20,0.1473,0.1486,0.1416,0.14583333333333334,0.0037233497463081983,1,2
01,0.1432,0.1391,0.1496,0.14396666666666666,0.0052918175831498,1,1
01-10,3e-4,4e-4,5e-4,4e-4,1.0000000000000002e-4,1,2
01-10-20,0.0462,0.0459,0.0439,0.04533333333333334,0.001250333288900736,1,3
01-11,0.0056,0.0055,0.0038,0.004966666666666666,0.001011599393699568,1,2
01-11-20,0.0481,0.0447,0.0456,0.04613333333333333,0.0017616280348965077,1,3
01-20,0.5333,0.539,0.5431,0.5384666666666666,0.004921720566360254,1,2
01-21,0.0031,0.0035,0.0023,0.0029666666666666665,6.110100926607787e-4,1,2
10,4e-4,5e-4,5e-4,4.6666666666666666e-4,5.773502691896257e-5,1,1
10-20,0.0138,0.0151,0.0124,0.013766666666666667,0.0013503086067019401,1,2
11,NA,2e-4,1e-4,NA,NA,1,1
11-20,6e-4,0.001,0.0013,9.666666666666667e-4,3.511884584284246e-4,1,2
11-21,2e-4,1e-4,4e-4,2.3333333333333333e-4,1.5275252316519468e-4,1,2
20,0.0303,0.0317,0.029,0.030333333333333334,0.0013503086067019384,1,1
21,3e-4,1e-4,3e-4,2.3333333333333333e-4,1.1547005383792513e-4,1,1
00,0.0148,0.0117,0.0103,0.012266666666666667,0.0023028967265887835,1-3,1
00-10,0.0047,0.0039,0.0048,0.0044666666666666665,4.932882862316247e-4,1-3,2
00-20,0.1266,0.1228,0.1175,0.12229999999999999,0.004570557952810575,1-3,2
01,0.1283,0.1302,0.1286,0.12903333333333333,0.0010214368964029793,1-3,1
01-10,5e-4,6e-4,2e-4,4.333333333333333e-4,2.0816659994661325e-4,1-3,2
01-10-20,0.0551,0.0542,0.0554,0.0549,6.244997998398404e-4,1-3,3
01-11,0.0056,0.0052,0.0066,0.0058,7.21110255092798e-4,1-3,2
01-11-20,0.0518,0.0612,0.0558,0.056266666666666666,0.004717343885422529,1-3,3
01-20,0.5542,0.5511,0.5627,0.556,0.00600583050043869,1-3,2
01-21,0.0051,0.0047,0.0053,0.005033333333333333,3.055050463303893e-4,1-3,2
10-20,0.0162,0.0164,0.0156,0.016066666666666667,4.1633319989322736e-4,1-3,2
11,4e-4,1e-4,3e-4,2.666666666666667e-4,1.5275252316519468e-4,1-3,1
11-20,0.0013,0.0012,0.0019,0.0014666666666666667,3.785938897200183e-4,1-3,2
11-21,2e-4,NA,2e-4,NA,NA,1-3,2
20,0.0344,0.0362,0.0345,0.03503333333333333,0.0010115993936995688,1-3,1
21,8e-4,4e-4,3e-4,5e-4,2.645751311064591e-4,1-3,1
10,NA,1e-4,NA,NA,NA,1-3,1
00,0.0073,0.0086,0.0075,0.0078,7.000000000000001e-4,2-3,1
00-10,0.0026,0.0037,0.0034,0.0032333333333333333,5.686240703077328e-4,2-3,2
00-20,0.1118,0.1125,0.1106,0.11163333333333333,9.609023536933038e-4,2-3,2
01,0.1161,0.1196,0.1168,0.1175,0.001852025917745214,2-3,1
01-10,5e-4,3e-4,5e-4,4.333333333333333e-4,1.1547005383792517e-4,2-3,2
01-10-20,0.0635,0.0634,0.0662,0.06436666666666667,0.0015885003409925114,2-3,3
01-11,0.0061,0.0065,0.0061,0.006233333333333334,2.309401076758499e-4,2-3,2
01-11-20,0.0627,0.0651,0.066,0.0646,0.0017058722109231969,2-3,3
01-20,0.5629,0.56,0.5624,0.5617666666666666,0.0015502687938977538,2-3,2
01-21,0.0079,0.0079,0.007,0.007600000000000001,5.196152422706636e-4,2-3,2
10,1e-4,5e-4,NA,NA,NA,2-3,1
10-20,0.0158,0.0135,0.0143,0.014533333333333334,0.001167618659209134,2-3,2
11,2e-4,1e-4,4e-4,2.3333333333333333e-4,1.5275252316519468e-4,2-3,1
11-20,0.0012,0.0011,0.0016,0.0013,2.645751311064591e-4,2-3,2
11-21,3e-4,5e-4,4e-4,4e-4,1.0000000000000002e-4,2-3,2
20,0.0405,0.036,0.0362,0.037566666666666665,0.002542308662089113,2-3,1
21,5e-4,7e-4,6e-4,6e-4,9.999999999999999e-5,2-3,1
00,0.0052,0.0065,0.0075,0.0063999999999999994,0.0011532562594670796,2-4,1
00-10,0.0025,0.0029,0.002,0.0024666666666666665,4.509249752822893e-4,2-4,2
00-20,0.1033,0.0958,0.0976,0.0989,0.00391535439009038,2-4,2
01,0.1065,0.1075,0.1104,0.10813333333333333,0.0020256686138984663,2-4,1
01-10,5e-4,7e-4,5e-4,5.666666666666667e-4,1.1547005383792514e-4,2-4,2
01-10-20,0.0675,0.0678,0.0719,0.06906666666666667,0.0024583192089989744,2-4,3
01-11,0.0068,0.0066,0.0079,0.0071,7.000000000000005e-4,2-4,2
01-11-20,0.0644,0.067,0.072,0.0678,0.0038626415831655905,2-4,3
01-20,0.5763,0.5761,0.5576,0.57,0.010739180601889517,2-4,2
01-21,0.008,0.0099,0.009,0.008966666666666666,9.504384952922171e-4,2-4,2
