Phase,RACIPE,DSGRN,JSD,Parameter,nState
00,3.076923076923077e-4,0,0.031849037026764795,Phase,2
00-01-20,1.5384615384615385e-4,0,0.031849037026764795,Phase,2
00-10,1.5384615384615385e-4,1.5384615384615385e-4,0.031849037026764795,Phase,2
00-10-20,1.5384615384615385e-4,0,0.031849037026764795,Phase,2
00-20,0.02923076923076923,0.034,0.031849037026764795,Phase,2
01,0.013076923076923076,0,0.031849037026764795,Phase,2
01-10-20,1.5384615384615385e-4,0,0.031849037026764795,Phase,2
01-11,0.015846153846153847,0.029076923076923077,0.031849037026764795,Phase,2
01-11-20,3.076923076923077e-4,0,0.031849037026764795,Phase,2
01-11-21,0.0024615384615384616,0,0.031849037026764795,Phase,2
01-20,0.810923076923077,0.8376923076923077,0.031849037026764795,Phase,2
01-20-21,0.008615384615384615,0,0.031849037026764795,Phase,2
01-21,0.068,0.07246153846153847,0.031849037026764795,Phase,2
10-11-20,6.153846153846154e-4,0,0.031849037026764795,Phase,2
10-20,0.009846153846153846,0.018153846153846152,0.031849037026764795,Phase,2
11,0.004153846153846154,0,0.031849037026764795,Phase,2
11-20,0.0043076923076923075,0.0043076923076923075,0.031849037026764795,Phase,2
11-21,0.003384615384615385,0.004153846153846154,0.031849037026764795,Phase,2
20,0.025538461538461538,0,0.031849037026764795,Phase,2
20-21,1.5384615384615385e-4,0,0.031849037026764795,Phase,2
21,0.0026153846153846153,0,0.031849037026764795,Phase,2
Monostable,0.04569230769230769,0,0.023231496749656005,monoMulti,2
Multistable,0.9543076923076923,1,0.023231496749656005,monoMulti,2
1,0.04569230769230769,0,0.02970515724160668,nState,2
2,0.9418461538461539,1,0.02970515724160668,nState,2
3,0.012461538461538461,0,0.02970515724160668,nState,2
01-10-20,0.2924634420697413,0.5061867266591676,0.23501508465192839,Phase,3
01-11-20,0.30989876265466815,0.4938132733408324,0.23501508465192839,Phase,3
01-20,0.34870641169853767,0,0.23501508465192839,Phase,3
10-20,0.0011248593925759281,0,0.23501508465192839,Phase,3
11-20,0.0421822272215973,0,0.23501508465192839,Phase,3
20,0.00562429696287964,0,0.23501508465192839,Phase,3
Monostable,0.00562429696287964,0,0.0028178691216626563,monoMulti,3
Multistable,0.9943757030371203,1,0.0028178691216626563,monoMulti,3
1,0.00562429696287964,0,0.23478358617272294,nState,3
2,0.39201349831271093,0,0.23478358617272294,nState,3
3,0.6023622047244095,1,0.23478358617272294,nState,3
00,0.0017421602787456446,0.0017421602787456446,0.02352376755762331,Phase,1
01,0.5075493612078978,0.5481997677119629,0.02352376755762331,Phase,1
01-11,5.807200929152149e-4,0,0.02352376755762331,Phase,1
01-21,0.04006968641114982,0,0.02352376755762331,Phase,1
10,5.807200929152149e-4,5.807200929152149e-4,0.02352376755762331,Phase,1
11,0.005226480836236934,0.005807200929152149,0.02352376755762331,Phase,1
11-20,0.0029036004645760743,0,0.02352376755762331,Phase,1
11-21,5.807200929152149e-4,0,0.02352376755762331,Phase,1
20,0.40185830429732866,0.4065040650406504,0.02352376755762331,Phase,1
20-21,0.0017421602787456446,0,0.02352376755762331,Phase,1
21,0.03716608594657375,0.03716608594657375,0.02352376755762331,Phase,1
Monostable,0.9541231126596981,1,0.023326943127365274,monoMulti,1
Multistable,0.04587688734030197,0,0.023326943127365274,monoMulti,1
1,0.9541231126596981,1,0.023326943127365274,nState,1
2,0.04587688734030197,0,0.023326943127365274,nState,1
