0.002,11.140
0.001,118.922
0.167,68.629
0.050,13.255
0.012,75.657
0.022,115.779
5.559,58.756	47.335,1.880
66.587,0.051	0.019,4.741
0.001,156.225
0.001,42.024
2.334,64.522	195.094,0.841
3.018,1.713	135.140,1.713	0.033,43.776
0.004,273.546
201.230,0.408
3.806,52.124	52.943,2.096
111.297,5.351	0.029,105.986
0.028,71.066
101.727,0.768	0.185,40.705	10.786,40.705
100.523,6.361	1.009,217.859
98.953,11.024	0.101,130.261
6.528,15.084	125.577,0.208
145.002,2.576	0.024,112.905
0.133,355.549
74.343,13.919	0.010,93.607
105.233,3.646	0.031,98.410	1.240,98.410
1.011,9.207	94.061,0.363
1.409,21.792	105.817,0.290
0.003,211.908
99.302,1.906	0.119,97.617
2.472,52.754	216.406,0.972
50.538,0.914	0.016,77.074
1.605,4.541	140.798,4.541	0.100,87.676
0.009,71.418
122.265,7.505
111.134,7.256	0.118,118.631	5.700,118.631
5.403,30.983	390.791,30.983	0.097,100.908
89.866,5.506	0.042,163.671
46.086,1.093	0.007,91.214
90.032,4.496	0.048,362.690	2.577,362.690
53.159,3.333	0.177,174.084
1.313,4.515	95.732,0.089
45.513,0.866	0.367,77.016
0.428,15.876	16.022,15.876
76.935,1.006	0.071,64.960
59.631,6.546	0.152,243.622
15.251,0.487	0.004,18.914
99.750,46.376
156.048,1.183	0.193,111.190
57.154,8.430	0.029,584.748
0.002,89.150
292.991,2.881	0.092,82.204
3.553,9.824
164.611,1.577	0.086,148.315
184.470,1.289	0.050,34.010
111.081,1.753	0.042,116.830
73.945,3.124	0.017,188.948
477.457,34.653	0.121,129.542
142.550,4.373	0.056,142.034
0.038,335.854
53.440,3.697	0.048,255.353
3.116,0.378	243.399,0.378
155.635,1.659	0.018,148.889
110.551,3.999	0.060,166.280
23.275,0.459	559.781,0.459	0.296,28.700
44.601,1.460	0.136,106.678
99.096,5.335	0.162,264.721
150.149,3.299	0.052,70.921
51.459,2.514	0.013,158.234
93.732,1.136	0.033,61.120
1.156,16.756	0.026,556.150
281.329,3.445	0.035,125.360
8.031,6.135	301.066,6.135	1.795,332.137
81.678,0.933	0.046,66.901
0.002,93.672
5.821,2.437	60.810,2.437	0.234,195.134
4.848,36.601	97.445,0.694
484.053,0.629	0.137,58.116
2.076,3.226	122.152,0.442
45.289,3.483	0.007,260.812
0.002,179.621
166.729,8.732	0.023,232.952
89.706,0.746	0.011,43.718
198.423,2.519	0.128,167.125
101.279,1.913	0.028,107.677
113.128,1.155	0.037,100.691
80.968,1.185	0.011,116.782
82.913,2.052	0.032,121.502
125.910,0.756	0.569,55.064
87.479,11.565	0.016,110.871
0.962,32.245	49.458,0.551
0.022,141.984
0.009,63.900
189.694,1.952	0.076,68.404
0.043,700.096
178.677,2.309	0.049,227.138
4.281,10.739	121.605,0.194
104.991,6.168	0.222,141.619
387.038,3.198	0.067,168.784
0.464,42.804	33.856,0.627
0.002,457.428
136.276,0.873	0.025,79.703
50.197,1.594	0.127,120.450
0.725,30.638	70.523,0.367
926.861,1.588	0.242,101.148
79.716,2.604	0.017,186.960
0.005,28.063
270.408,3.000	0.154,203.897	4.705,203.897
0.890,53.482	22.668,2.958
1.157,18.657	103.202,0.789
3.703,0.139	129.578,0.139
121.111,1.179	0.071,87.159
55.137,1.886	0.015,86.894
2.454,42.881	50.460,1.381
109.219,1.179	0.018,86.983
39.243,1.542	0.021,122.298
32.392,4.291	0.006,408.381
1.708,9.461	91.148,0.223
317.491,2.171	0.352,88.370
66.223,0.965	0.032,58.613
220.161,6.077	0.032,154.043
327.762,4.275	0.446,263.241
140.685,1.134	0.047,107.487
88.318,3.110	0.017,81.273
29.811,8.669	0.016,337.001
86.571,7.993	0.014,220.263
0.002,46.108
8.639,1.381	47.417,1.381	0.229,125.843
6.241,51.762	331.272,9.329
129.076,7.558	0.331,146.819
113.660,0.825	0.023,52.511
8.682,1.382	96.312,1.382
204.912,3.667	0.087,279.036	6.457,279.036
66.213,5.363	0.021,178.409
160.168,1.854	0.114,142.088
37.333,12.706	0.007,164.209
28.127,1.405	0.145,64.393
52.224,7.092	0.011,329.429
0.989,32.915	37.939,0.807
79.594,1.727	0.069,150.814
389.871,20.046	0.450,157.426	4.070,157.426
113.192,0.753	0.038,61.585
38.391,8.096	0.020,76.192
142.080,1.924	0.031,105.989
217.055,1.462	0.601,40.844
68.655,8.846	0.087,22.372
4.506,2.015	273.970,2.015
0.033,73.909
0.512,54.647	50.097,0.556
24.186,0.234	0.014,17.749
149.843,8.681	0.130,229.966
0.001,254.663
113.587,0.686	0.015,63.025
90.759,2.359	0.059,82.648	3.429,82.648
117.899,2.266	0.036,174.291
3.521,18.432	229.115,0.254
251.353,0.357	0.164,16.549
0.036,154.076
0.015,59.455
91.127,1.373	0.016,90.129
0.044,315.491
106.347,21.411	0.072,220.973
156.963,2.120	0.162,112.545	11.673,112.545
154.515,6.688	0.030,167.759
531.038,0.470	0.273,21.710	19.507,21.710
116.275,1.451	0.043,64.362
2.685,9.516
28.315,14.069	385.445,14.069	2.390,440.566
0.446,50.557
403.116,0.205	0.344,18.842	10.273,18.842
1.615,8.771	59.181,0.183
0.021,109.256
0.621,6.752	56.441,0.103
32.903,1.402	0.007,79.189
127.822,2.590	0.057,132.887
7.371,21.689
1.850,44.516	105.468,0.527
126.658,10.979	0.258,615.292
84.863,2.176	0.018,66.562
350.949,8.360	0.358,712.246	9.894,712.246
93.891,2.233	0.061,80.739
0.031,48.464
413.388,1.209	0.331,51.631
