0.013,81.809
0.059,114.803
0.018,103.536
2.344,99.733
0.015,99.733
17.943,1.471	0.009,80.544
1.013,12.148	88.647,0.650
0.017,87.627
0.426,14.969	35.825,0.164
0.309,75.190	28.184,0.812
2.523,34.150	34.825,1.710
94.024,3.530	0.025,65.170
3.964,1.773	216.231,1.773	0.055,136.080
0.001,107.474
1.446,0.544	88.371,0.544
66.346,2.866	0.037,165.344
185.253,1.682	0.028,64.971
97.225,7.356	0.035,92.796
6.926,71.698	195.085,1.059
0.807,8.657	32.098,8.657
143.224,1.288
0.720,441.326
90.390,8.791	0.065,93.261
50.347,1.072	0.107,78.638
32.282,14.102	0.005,272.394
0.006,220.058
160.828,1.848	0.027,151.722
128.638,1.623	0.316,124.712
0.358,34.150	34.825,0.470
3.882,5.008	131.245,1.128
307.097,1.136
0.146,346.635
44.312,1.672	0.015,94.566
15.941,1.539	0.004,76.106
0.009,76.822
438.670,2.338	0.862,94.518
0.002,147.527
200.609,8.386	1.902,169.935
71.088,1.579	0.034,109.181
0.868,19.685	20.853,19.685
1.340,12.372	101.468,0.136
77.544,5.628	0.234,98.817
371.952,1.047	0.124,92.018	5.984,92.018
328.242,0.936
58.076,0.839	0.025,69.846
2.138,21.051	150.268,0.257
114.338,4.916	0.017,295.387
80.954,0.835	0.010,77.192
477.601,1.181	2.085,111.909
33.812,6.749	0.031,137.030
66.711,15.108	0.054,103.645
3.686,17.095	314.168,0.454
133.014,6.268	0.076,109.125
104.513,8.070	0.045,35.375
0.493,20.149	27.208,0.221
116.160,0.726	0.113,58.275
6.110,27.337	270.592,0.354
141.089,0.159
76.518,0.849	0.047,70.015
0.773,18.319	15.405,18.319
107.138,2.451	0.897,141.687
0.001,156.379
141.838,3.903	0.050,56.642
119.951,1.174	0.096,86.444
101.720,0.931	0.059,91.857
136.034,13.290	0.150,315.943	13.766,315.943
824.396,3.429	0.278,91.172	9.662,91.172
739.126,4.536
3.866,0.323	59.738,0.323	0.103,27.692
427.885,17.302
0.070,442.144
59.484,3.218	0.026,208.141
2.692,42.787	131.229,1.364
34.084,2.185	0.006,119.745
605.191,1.735
176.566,1.330	0.033,106.800
206.255,0.781	0.288,72.942
36.017,2.228	0.004,160.531
748.676,6.118	1.104,193.395
484.856,3.723	0.172,243.133
0.002,98.119
157.342,1.384	0.106,104.054
230.953,8.485	0.088,770.386
388.444,0.763
0.010,194.468
116.299,4.999	0.203,149.439
96.891,8.389	0.035,432.701
0.603,61.195	53.489,0.909
106.097,1.538	0.059,142.720
0.051,129.669
79.769,1.813	0.250,65.248
0.478,37.452
0.005,71.999
75.353,3.338	0.029,74.835
418.592,6.799	0.279,138.983	26.622,138.983
1.208,6.229	85.862,0.073
1.715,11.786
0.015,84.098
1.031,6.500	79.141,0.102
0.002,18.362
35.444,0.666	0.164,61.868
20.982,2.699	178.309,2.699	0.221,103.062
127.469,0.311	0.033,29.256
151.898,4.443	0.072,80.943
2.351,11.785	76.527,0.121
1.059,50.440	80.702,0.811
0.111,32.095
1.695,22.728	103.276,0.230
104.811,0.988	0.151,92.074
108.247,4.525	0.157,235.405	6.460,235.405
138.148,11.797	0.079,308.202
1.200,0.981	98.446,0.981	0.013,69.471
0.019,136.830
94.354,1.078	0.014,59.801
85.164,2.707	0.140,39.936
3.653,7.179	101.200,7.179	0.043,61.961
0.007,148.425
84.376,2.337	0.059,122.125
371.810,5.902
0.017,105.942
61.440,2.731	0.064,213.152	2.894,213.152
0.008,346.410
121.238,4.680	0.024,198.540
0.808,274.930
138.151,2.765	0.088,159.619	4.253,159.619
31.945,1.181	0.031,63.611	2.117,63.611
0.364,42.475	24.396,0.489
4.801,23.130	167.661,0.692
11.280,1.026	386.425,1.026	0.207,102.352
139.575,4.701	0.140,51.730
1.104,12.896	13.592,12.896
135.815,10.285	0.078,751.094	3.873,751.094
87.172,6.087	0.059,497.607
417.005,1.828	0.546,62.070
49.894,8.273	0.021,106.178
0.831,2.216	62.723,2.216	0.013,208.763
5.429,49.651	49.934,0.673
167.164,2.622	0.114,106.882
271.173,1.104	0.848,89.345
212.381,3.975	2.206,86.256
42.352,6.819	0.039,126.624
107.030,0.870	0.027,53.414
54.752,11.999	0.038,337.731
0.018,247.318
191.181,7.317	0.052,133.156
63.963,0.606	0.055,52.951
0.004,157.041
88.025,1.257	0.020,64.184
77.758,3.317	0.583,119.662
1.725,39.131	76.405,0.824
108.281,1.446	0.072,129.307
0.162,208.773
125.099,9.551	0.023,460.266
12.970,0.086	352.597,0.086	0.193,5.763
0.043,161.885
2.640,11.847	147.439,11.847	0.048,64.281
0.019,115.325
263.876,1.144	0.095,70.527
0.191,49.531
0.082,284.750
110.520,4.913	0.023,125.877
2.422,3.217	69.319,3.217	0.025,155.605
2.677,22.847	219.477,2.288
8.967,2.891	0.002,200.583
178.464,4.704	0.071,181.808
0.828,45.957	62.849,0.760
6.831,4.730	152.266,4.730	0.078,50.982
0.002,243.733
28.018,31.278	325.553,0.466
116.571,3.097	0.071,109.180
0.293,25.807	19.384,25.807
1.738,2.642	165.904,0.167
23.286,8.130	0.028,53.760
66.927,1.136	0.007,102.308
32.361,1.971	0.006,112.789
174.314,5.268	0.199,180.029
207.446,0.712	0.054,35.317
479.977,2.388	0.113,184.877
6.030,10.658	418.076,0.112
0.001,115.502
1.759,38.625	114.338,0.783
459.497,4.955	1.752,144.664
1.115,0.941	86.005,0.941
135.955,0.563	1.176,44.612
441.544,2.503	0.454,58.409
62.557,8.016	0.044,265.310
0.004,103.512
110.966,1.324	0.242,86.214
1.432,16.497	57.518,0.170
323.906,5.208	0.064,148.425
0.003,111.111
35.047,1.936	0.011,157.381
403.487,5.484	0.228,113.353	22.695,113.353
236.501,1.383	1.127,98.123
0.143,313.707
0.011,305.298
44.294,1.606	0.008,68.562
1.289,36.104	85.738,0.718
145.665,2.539	0.126,210.352
7.887,2.630	474.498,2.630	0.284,190.495
0.021,312.398
0.050,231.202
64.098,3.394	0.022,279.124
92.469,2.148	0.338,133.294
120.444,0.792	0.033,24.951
69.002,1.466	0.059,61.878
3.378,56.846	74.054,30.979
13.496,6.932	341.929,6.932	0.486,132.872
72.995,1.675	0.811,59.548
13.653,5.766	51.648,5.766	0.209,386.414
10.104,19.016	292.395,19.016	0.263,134.909
0.529,22.414	21.111,0.268
98.704,1.362	0.358,18.650
63.889,0.661	0.013,46.286
100.897,8.725	0.411,200.138
0.025,324.238
0.004,150.610
89.553,0.895	0.160,68.258
2.176,12.425	198.177,0.223
134.128,7.897	0.025,222.393
0.002,98.606
229.514,1.532	0.064,73.112	5.273,73.112
68.403,1.976	0.042,180.036
11.140,30.828	103.706,0.343
63.102,1.608	0.054,80.635
9.870,1.717	328.863,1.717	0.227,150.240
91.807,2.003	0.068,187.954
51.490,2.972	0.011,83.501
7.968,35.906	208.112,0.518
6.595,12.716	91.048,12.716	0.237,355.376
0.606,0.673	51.063,0.673
4.609,47.137	131.997,1.250
266.344,0.206	0.296,20.065
0.372,52.662
72.146,7.345	0.031,147.176
56.525,0.913	0.182,52.346
220.166,4.712	0.054,79.990
0.070,403.910
121.756,12.182	0.060,401.797	3.279,401.797
0.272,23.118	13.497,23.118
291.008,2.477	0.098,134.719
91.305,9.001	0.084,391.859
102.678,0.866	0.013,13.107
1.301,36.568	90.784,0.448
2.733,1.890	218.559,0.032
46.600,5.555	0.033,200.015
116.126,0.867	0.024,73.237
216.228,2.081
0.001,140.947
3.977,3.617	65.574,0.135
48.250,11.808	0.082,448.841
738.307,4.339	0.443,402.854
5.757,24.489	555.270,0.255
99.506,2.748	0.012,94.961
0.055,167.850
0.103,24.085
240.444,6.515	0.048,337.228
104.618,1.137	0.032,74.310
109.589,3.695	0.704,164.353
0.933,1.487	67.087,1.487
71.232,1.466	0.018,119.529
0.041,251.409
216.447,0.347	0.709,24.311	17.487,24.311
0.330,9.585	13.134,9.585
89.583,3.640	0.076,169.136
87.836,4.691	0.043,316.617	1.984,316.617
2.421,27.559	207.025,3.574
12.240,0.561	68.224,0.561	0.200,30.008
83.261,0.463
0.942,70.779	79.333,1.085
111.428,0.893	0.026,78.002
78.353,0.499	0.026,41.171
73.848,13.540	0.073,254.931
0.292,2.501	25.831,2.501
3.755,7.389	242.852,0.096
7.055,4.892	175.836,4.892	0.072,157.122
0.125,653.123
19.973,4.547	0.091,83.153
0.118,178.740
10.157,0.038	163.689,0.038
1.327,18.946	77.010,2.171
155.778,2.266	0.255,57.498
65.227,1.177	0.066,60.328
43.580,2.172	0.014,205.817
35.148,2.488	0.010,138.867
3.388,40.446	138.605,3.188
258.939,4.076	0.122,206.256
31.790,5.278	0.259,250.810
37.475,1.931	0.018,158.848
35.587,4.156	0.340,98.840
118.975,3.124	0.037,280.907
148.024,2.238	1.148,124.511	13.251,124.511
2.034,21.461	187.877,0.443
0.662,13.037	63.859,0.331
174.500,1.273	0.087,49.237
60.484,39.171	0.023,880.701
121.373,1.877	0.037,130.438
188.585,0.801	0.032,74.558
0.008,112.773
2.009,71.134	194.826,4.140
826.081,0.396
78.259,0.636	0.047,47.862
0.036,224.207
232.383,3.700	0.186,135.269	12.106,135.269
63.139,4.152	0.016,177.401
0.001,81.919
167.732,1.151	0.084,92.286
128.589,0.882	0.027,77.392
103.095,1.244	0.070,74.450
0.054,94.298
62.923,3.628	2.955,289.752
64.483,8.734	0.035,579.670
22.716,2.148	229.760,2.148
191.059,8.081	0.043,90.902
47.984,1.559	0.022,90.954
166.185,6.929	0.201,293.943
2.485,7.635	75.554,0.116
0.008,136.596
13.553,3.298	68.868,3.298	0.439,232.110
13.372,1.615	122.148,1.615	0.427,71.384
69.471,24.403	1.145,197.621	19.755,197.621
0.064,272.842	4.534,272.842
86.613,0.115	0.017,10.961
351.458,3.040	0.246,71.135
75.856,9.573	0.513,662.999
115.151,1.782	0.235,91.700
127.674,0.515	0.169,46.115
128.414,4.581	0.050,144.936
2.388,14.370	238.268,0.671
71.527,3.832	0.099,65.828
106.232,3.144	0.022,136.533
61.046,7.016	0.029,462.162
65.767,2.821	0.020,131.585
0.069,370.310
339.284,0.813	0.770,35.232
61.579,8.264	0.129,74.909
29.802,4.599	0.009,215.773
26.213,6.107	0.019,215.049
0.165,229.777
72.999,1.812	0.022,170.734
83.577,0.681	0.150,67.064
73.693,13.270	0.027,58.881
613.816,34.261	1.218,287.503
6.143,57.846	237.835,6.317
