0.096,18.863
0.015,50.298
75.688,1.842	0.160,103.734
1.182,2.218	117.692,2.218	0.013,116.951
4.161,29.435	99.494,0.369
0.251,40.862	24.086,0.737
16.861,1.701	0.048,117.159
18.250,1.125
4.861,23.314	174.955,0.293
83.132,1.147	0.040,77.615
4.889,3.773	160.452,3.773	0.122,146.434
90.285,0.594	0.019,56.706
2.463,50.700	113.419,1.409
1.375,2.719	69.527,2.719	0.034,84.051
86.950,1.540
117.839,0.722	0.062,23.752
29.970,1.423	0.033,136.600
45.418,0.964	0.024,44.237
0.003,74.581
0.010,28.281
0.003,99.296
62.954,2.696	0.056,149.339
198.251,1.774	0.090,114.552	2.635,114.552
0.020,263.687
0.007,161.190
193.409,1.547	0.163,50.566
131.730,7.117	0.283,195.467
0.055,14.623
276.125,0.543	0.136,53.435
62.422,3.967	0.229,143.674
61.787,0.316
154.848,0.976
0.055,11.923
108.862,15.254	0.050,70.144	4.080,70.144
8.022,1.947	342.660,1.947	0.380,79.818
2.247,0.818	146.797,0.818
0.790,16.775	59.194,0.363
1.397,21.373	79.039,7.737
25.866,8.819	0.005,107.758
47.344,1.522	0.024,116.757
5.678,0.917	138.096,0.917	0.245,88.023
96.187,1.547	0.073,143.580
5.665,29.185	229.935,1.922
76.877,2.619	0.076,77.949
104.118,0.682	0.014,63.738
91.232,5.137	0.106,372.627
1.115,0.370	34.396,0.370
269.728,0.253	0.092,18.097
165.071,0.354	0.203,24.589
126.173,0.651	0.081,30.102
56.154,0.793	0.056,23.604
12.885,1.503	147.998,1.503	0.206,123.635
58.371,6.674	0.105,433.301
0.002,179.596
43.104,8.882	0.110,308.228
0.029,15.822
1.494,9.011	106.662,0.133
98.149,1.555	1.520,84.527
97.094,2.032	0.041,174.680
0.651,18.276	33.021,0.237
84.591,10.286	0.076,108.492
336.144,0.869	0.085,34.424
366.858,1.174
146.898,0.532	0.098,38.622
5.169,19.820	104.232,0.340
131.119,3.558	0.019,340.375
92.779,7.922	0.083,88.285
168.762,3.443	0.946,174.106
4.716,1.568	236.089,0.078
329.048,3.017	0.143,48.658
97.953,33.493	0.046,303.587
1.334,44.307	29.760,0.570
53.455,5.607	0.021,19.918
16.167,2.359	0.071,75.212
0.014,46.277
76.446,0.851	0.074,68.454
96.670,1.219	0.295,87.750
66.633,5.564	0.020,48.188
2.397,367.813	52.940,3.827
178.606,1.270	0.027,97.795
115.144,0.185
212.535,2.219	0.059,151.182
32.869,2.316	0.022,205.827
0.077,23.618
31.346,3.832	0.005,162.862
274.480,1.664	0.031,61.598
0.948,18.274	25.786,8.197
3.742,0.893	258.721,0.893
43.969,2.231	0.006,187.671
34.420,9.972	0.012,288.965
406.544,9.422	0.091,312.972
0.027,63.090
78.245,3.019	0.031,152.856
340.053,0.832	0.068,62.522	5.931,62.522
0.036,33.278
33.012,11.815	0.007,234.018
111.619,9.460	0.074,516.389
115.379,0.922	0.020,77.034
0.023,215.501
6.604,0.493	187.157,0.493
645.631,0.971	2.350,62.687
56.801,2.932	0.011,75.004
5.401,3.568	122.774,3.568	0.078,40.012
0.492,4.315	47.923,0.050
424.856,2.420	0.321,70.495
6.903,12.912	279.021,12.912	0.085,240.073
0.006,268.612
0.301,2.768	29.652,1.089
71.537,9.388	0.016,390.180
0.049,149.397
77.593,0.852	0.018,41.873
201.995,1.925	0.067,162.318
25.590,2.872	0.004,39.904
420.980,1.028	0.598,83.415
576.372,1.260	0.935,97.458
0.067,87.011
0.805,3.195	77.592,3.195
30.108,1.042	0.128,66.918
133.609,1.498	0.191,82.687
1.760,41.040	162.965,0.648
0.014,230.145
1.059,3.980	104.995,0.051
2.521,37.305	105.320,1.591
148.144,0.961	0.022,50.255
0.221,96.842
19.478,3.290	0.027,135.494
1.519,17.383	102.603,0.264
75.163,1.147	0.018,88.712
41.015,3.971	0.056,322.718
112.677,3.789	0.162,322.288
0.357,59.216
0.235,198.891	21.432,81.151
0.196,38.297	7.433,38.297
0.017,148.104
57.032,7.983	0.100,151.504	4.352,151.504
0.168,583.622
387.301,5.278	0.130,184.820
28.320,1.368	0.006,104.695
126.320,0.766	0.078,69.395
67.299,17.676	2.818,121.478
97.862,2.240	0.074,73.124	5.189,73.124
96.721,2.803	0.353,153.075
155.162,3.439	0.418,44.689
44.678,7.949	0.021,79.882
14.341,0.239	182.300,0.239
0.013,53.923
95.006,1.092	0.039,27.529
52.570,5.966	0.043,59.818
0.026,69.803
134.909,6.191	1.957,369.564
373.316,1.288	0.367,70.252
41.073,0.950	0.028,86.658
65.786,5.437	0.098,349.254
66.355,1.463	0.047,66.319
0.085,140.872
444.806,32.140	0.085,238.500
32.838,1.976	0.044,150.297
253.916,2.713	0.079,97.905
0.009,35.454
227.628,0.710	0.065,66.756
37.550,3.040	0.039,124.157
27.136,4.839	0.062,98.358
117.365,0.845	0.033,80.960
5.910,0.558	174.825,0.558	0.137,47.290
105.457,10.713	0.036,128.450
120.135,1.353	0.228,103.352
52.891,0.106	0.093,6.165	1.638,6.165
2.706,9.375	113.658,0.116
62.516,3.775	0.019,215.004
0.120,114.073
150.249,7.628	0.165,130.091
298.692,5.979	0.275,579.181	4.307,579.181
177.211,0.880	0.035,39.588	3.482,39.588
1.161,2.436	65.981,2.436	0.018,239.302
28.425,0.533	0.007,52.620
53.342,5.388	0.101,92.876
129.950,1.260
203.203,16.051	0.702,150.965
90.587,1.604	0.031,89.613
7.082,0.726	684.394,0.726	0.079,18.795
3.257,1.722	103.910,1.722	0.141,74.128
5.048,16.616	243.463,16.616	0.052,93.228
0.118,17.539
56.310,0.983	0.023,74.168
106.705,1.966	0.036,191.540
122.008,1.521	0.064,85.668
12.849,3.568	848.363,3.568	0.183,128.144
87.703,0.206	0.012,18.153
585.480,2.630	0.074,50.864
0.068,137.781
133.093,3.854	0.106,288.758
0.395,7.830	28.479,0.120
28.856,0.877	0.004,37.710
62.875,1.358	0.010,105.259
380.704,0.908	0.169,58.652
3.666,6.308	362.394,0.739
217.197,0.178
1.938,24.425	60.531,0.550
12.503,2.003	109.136,2.003	0.136,109.715
119.096,1.206	0.068,88.138
89.236,0.760	0.080,65.394
78.547,3.434	0.833,205.849
85.502,1.483	0.033,116.737
118.791,2.162	0.040,215.606
150.194,0.840	0.124,36.068
0.695,3.191	25.999,3.191
215.510,6.765	0.031,301.662	3.005,301.662
4.807,25.515	152.742,0.376
351.106,0.160	10.843,12.104
144.162,0.269
145.886,2.426
43.308,3.581	0.039,223.721
2.444,1.627	144.628,0.018
27.264,1.800	0.088,95.894
36.028,4.288	0.005,199.643
111.632,0.700	0.866,53.212
166.447,2.853	0.112,259.322
87.221,0.411
7.807,1.713	129.140,1.713	0.161,154.325
91.160,3.286	0.249,160.699
162.049,17.647	0.106,229.171
1.019,23.193	76.411,2.279
10.149,2.606	33.838,2.606	0.190,118.371
38.017,1.772	0.020,75.054
0.866,6.002	61.530,0.102
195.423,1.934	0.045,157.307
70.213,0.895	0.052,72.612
6.999,2.321	543.106,2.321	0.242,81.834
2.878,13.257	129.435,0.167
22.987,19.863	0.049,114.459
129.340,5.721	0.018,235.593
118.778,0.833	0.022,25.753
0.776,18.649	70.009,0.235
89.600,1.323	0.018,38.899	1.587,38.899
130.682,1.820	0.065,39.987
5.322,10.055	30.228,10.055	2.249,280.376
2.559,0.057	134.911,0.057
4.396,1.267	275.889,1.267	0.047,64.478
34.017,3.292	0.008,108.197
90.695,21.933	0.041,61.224
133.911,2.901	0.098,124.032
132.674,0.678	0.064,49.989
1.387,38.152	122.131,0.481
90.876,1.372	0.326,135.233	5.610,135.233
0.166,663.536	4.528,663.536
24.140,3.530	0.036,274.008
106.780,0.922	0.076,57.909
157.303,1.064	0.078,71.734
0.082,131.894
122.422,0.713	0.020,58.088
234.722,6.234	0.474,94.254	6.333,94.254
64.591,2.412	0.260,188.586
40.674,2.421	0.031,176.631
48.128,1.839	0.017,130.447
102.108,1.232	0.124,72.092
96.735,3.860	0.064,144.985
70.498,1.277	0.015,98.309
0.001,23.732
278.921,19.922	0.396,288.680
30.051,0.779	0.024,41.721
165.098,5.129	0.036,112.031
111.104,1.541	0.065,108.918	2.839,108.918
50.327,12.276	0.054,49.539
0.096,132.255
23.181,8.445	0.009,404.403
19.961,1.329	0.003,117.586
0.005,156.115
159.056,1.240	0.118,111.354	3.200,111.354
53.779,1.123	0.032,80.473
26.317,1.598	0.004,32.596
74.345,1.767	0.098,70.110
87.642,0.504	0.024,39.443
