0.001,81.230
37.826,1.259	0.007,104.513
45.995,19.255	0.028,41.730	0.631,41.730
116.702,0.627	0.164,35.764
0.003,47.637
17.169,1.289	0.007,65.597
29.225,1.219	0.039,44.033
97.692,0.219
104.513,1.079	0.107,89.581
76.583,1.375	0.079,114.128
115.106,1.741	0.118,37.826
0.005,136.284
111.649,4.205	0.030,37.826
123.112,0.620	0.027,20.329
1.095,1.009	107.146,1.009	0.019,88.708
36.082,4.210	0.019,151.418
132.586,0.221
2.806,0.569	114.046,0.569	0.064,53.343
0.022,6.506
0.005,78.707
109.611,2.670	1.853,115.450
1.720,1.508	142.778,1.508	0.022,96.642
15.511,1.079	0.006,53.368
3.056,0.097	141.050,0.097
15.070,4.499	0.003,204.375
65.684,2.795	0.271,221.722
202.860,10.537	0.054,132.860	4.052,132.860
118.779,1.542	0.024,124.350
1.500,0.858	92.414,0.858	0.018,52.848
9.322,0.497	0.007,32.111
2.868,1.586	101.277,1.586	0.035,134.517
0.067,99.235
179.674,1.507	0.059,89.604
232.822,0.053
2.034,0.103	92.588,0.103
254.915,2.678	0.316,143.793
0.193,115.989	3.459,69.553
122.099,0.556
0.020,92.322	1.538,92.322
16.673,1.707	0.039,36.640
9.134,1.509	0.014,124.221
86.361,1.330	0.018,99.366
116.199,1.212	0.092,78.269
1.480,1.460	140.908,1.460	0.164,28.832
124.797,2.031	0.074,124.502
0.133,236.296	1.054,7.764
0.021,63.205
151.466,0.558
121.719,1.028	0.470,64.107
142.298,0.829	0.042,34.935
29.674,2.074	0.015,70.011
124.474,0.499	0.722,40.043
93.027,2.653	0.121,37.434	1.306,37.434
3.930,1.078	269.759,1.078	0.073,97.259
61.162,0.057
96.845,0.186
386.026,0.504	0.098,47.371
82.605,1.377	0.199,83.494
23.684,1.439	0.019,114.162	1.431,114.162
484.167,3.751	0.052,92.359
0.015,430.449
289.391,1.103	0.377,39.468
50.919,1.130	0.007,111.828
107.116,20.037	0.025,227.454
134.875,1.072	0.160,78.536
25.761,5.124	0.011,66.550
203.354,0.109
78.140,0.496	0.025,40.808	2.352,40.808
47.711,1.313	0.012,100.612
46.593,1.863	0.022,70.191
184.335,6.430	0.122,106.413	2.016,106.413
62.049,0.241
101.216,2.585	0.025,20.682
259.577,8.360	0.158,147.611
34.114,3.082	0.069,109.186	0.738,109.186
1.598,2.696	72.710,2.696
37.154,0.772	0.016,53.795
332.442,2.944	0.060,104.971	3.773,104.971
153.498,1.072	0.051,33.255
37.634,0.453	0.093,26.089
281.555,0.310	0.125,24.660
0.724,1.484	46.661,1.484	0.007,70.079
1.752,14.892	147.178,0.177
167.195,0.362	0.046,24.605
87.473,0.153	0.027,11.870
164.760,6.325	0.044,265.037
12.836,4.518	0.005,346.738
1.460,8.146	131.112,0.192
140.418,3.560	3.261,59.876
26.355,1.119	0.237,103.771
0.270,2.403	25.851,0.044
3.238,0.123	107.057,0.123	0.055,11.003
272.176,0.741
0.001,85.126
70.920,0.765	0.019,34.291
36.497,0.889	0.010,73.616
154.190,1.655	0.122,110.641
0.006,528.950	0.550,528.950
511.373,0.976	0.659,67.428
23.273,1.181	0.009,52.007	0.355,52.007
0.004,91.518
112.292,1.201	0.049,45.261
44.658,0.606	0.055,51.302	2.922,51.302
0.102,365.903	7.736,161.149
266.749,4.864	0.058,88.376
7.782,7.245	0.003,239.719
0.667,8.777	27.374,0.214
138.368,0.756	0.415,67.089
1.926,0.322	48.026,0.322	0.042,21.666
0.968,22.140	44.739,1.781
0.005,231.825
72.984,0.385	0.010,33.653
80.902,1.121	0.168,33.086
90.569,1.380	0.109,102.559
95.650,0.978	0.071,87.018
599.853,2.509	0.154,234.574
0.118,680.430	6.570,32.637
264.402,0.649	0.444,32.701
48.132,4.285	0.048,173.572
130.198,7.315	0.033,77.938	2.059,77.938
0.051,113.675	5.102,24.057
120.950,10.418	0.141,86.917
121.670,6.629	0.049,199.732
0.378,10.055	34.806,0.171
216.519,4.046	0.070,332.894
86.628,1.584
240.504,5.688	0.069,196.424
289.946,3.380
177.086,1.068	0.208,102.318
81.619,0.689	0.043,40.296	1.573,40.296
40.837,1.268	0.032,117.917
130.469,0.973	0.130,8.136	2.046,8.136
2.974,1.305	126.635,1.305	0.048,79.741
0.494,258.275
237.072,0.905	0.111,77.751
125.457,3.937	0.148,316.247
238.200,1.224
122.388,8.465	0.336,67.254	3.452,67.254
2.243,6.772	0.004,515.571
175.057,3.186
8.058,2.805	0.002,82.861
317.175,2.990	0.066,271.139
0.592,9.751	50.493,9.751	0.012,44.510
0.027,613.454	1.723,53.388
0.008,227.328
258.151,3.582	0.128,93.535
68.440,1.474	0.102,105.299
158.466,5.018	0.025,234.687
60.244,2.891	0.045,45.669
94.906,2.191	0.017,163.690	1.714,163.690
59.482,0.818	0.022,46.486
52.271,16.086
33.371,3.065	0.072,114.496
1.457,1.635	137.808,1.635	0.028,43.898
6.848,2.467	0.004,142.844
283.721,7.655	0.125,54.581
0.027,144.156
95.609,5.879	0.070,107.761
2.573,2.774	112.112,2.774	0.039,226.873
345.143,6.768	0.864,163.517
29.728,5.801	0.005,61.670
40.876,2.215	0.014,129.172
19.217,0.195	0.003,14.135
25.508,2.525	0.009,82.256
93.918,2.278
0.437,11.011	42.803,11.011	0.010,777.251
119.571,0.544
225.061,2.573	0.088,114.808
65.023,5.047	0.033,92.013	1.170,92.013
566.274,5.821	0.424,166.852
96.187,1.247	1.247,47.597
20.779,0.362	0.026,34.182	1.358,34.182
62.364,4.093	0.106,98.226
82.723,0.721	0.023,46.026	1.055,46.026
1.300,5.484	44.309,0.556
131.752,0.738	0.087,44.620	4.767,44.620
0.005,51.319
0.395,1.296	29.831,1.296	0.004,48.511
316.195,1.686
316.191,0.903	0.092,61.980
39.665,2.261	0.221,58.223
15.106,1.841	0.023,38.108
0.024,552.510
22.491,0.509	0.015,33.368
59.408,0.467	0.054,14.509
64.810,0.531	0.552,49.609	2.033,49.609
0.029,188.970
2.923,1.039	17.911,1.039	0.041,77.090
275.311,0.060
245.756,2.329	0.040,216.663
222.918,0.955	0.051,86.176
245.756,9.227
28.659,1.036	0.004,51.974
23.691,1.989	0.042,175.866
0.022,292.357	2.117,55.667
583.641,3.824
59.205,1.225	0.108,73.354	2.042,73.354
60.292,1.301	0.041,119.411	1.028,119.411
543.928,1.323	0.091,69.500
85.417,0.384	0.546,19.492
153.549,1.245	0.240,87.153
0.018,385.281
29.026,1.695	0.010,132.821
96.282,1.196	0.095,87.584
25.682,4.341	0.094,227.766
115.017,2.348	0.275,86.932
137.000,1.037	0.083,39.676
53.601,0.739	0.014,69.778
78.530,2.844	0.015,46.068
169.972,1.567	0.018,24.125
105.361,3.530	0.015,121.937	1.502,121.937
0.005,455.080
143.549,2.582	0.061,121.656
134.183,0.992	0.114,84.975
1.631,5.094	84.054,0.066
143.579,2.544	0.179,137.524
0.085,212.971	8.488,21.456
266.372,1.006	0.038,61.763
7.111,0.408	0.004,23.403
0.025,241.648
3.850,0.233	238.789,0.233	0.046,12.185
0.024,78.323	2.115,3.141
195.692,1.089	0.109,107.410
337.791,1.206
2.028,3.408	60.484,3.408	0.251,124.625
98.043,5.908	0.091,358.064
97.225,2.153	0.040,186.984
5.495,6.288	0.001,432.111
1.245,2.200	83.428,2.200	0.013,95.537
110.999,0.079
258.350,10.857
0.015,35.237
0.225,792.011	17.759,17.065
214.186,2.592	0.236,197.725
0.040,7.775
964.496,1.213
0.009,165.222
133.916,2.100	0.192,50.774
1.641,11.013	98.858,11.013	1.327,106.344
82.557,1.699	0.013,100.930
0.353,0.677	24.707,0.677	0.009,49.485
91.274,5.558	0.012,504.234
190.795,3.269	0.430,153.659
2.518,0.448	77.649,0.448	0.036,25.897
0.703,106.913	1.642,6.067
65.483,1.904
125.389,0.956	0.026,54.818
188.157,3.821	0.337,136.412	2.560,136.412
107.774,0.856
216.936,2.695	0.212,149.093	3.348,149.093
130.088,0.643	0.018,63.400
263.360,4.477	0.088,94.694
387.956,0.619
25.746,0.206	0.010,17.545
144.805,1.017
0.633,3.389	47.149,0.035
0.014,193.492
261.159,3.304	0.055,238.273
4.766,4.713	0.012,222.236
27.662,0.240	0.008,14.565
0.002,155.974
15.861,0.525	0.006,32.748
62.470,0.979	0.034,90.745
99.802,0.714	0.087,39.598
182.028,1.371	0.143,133.052
121.415,4.001	1.337,54.330
2.637,2.336	39.167,2.336	0.051,23.516
133.888,3.193	0.028,132.009
1.004,5.425	36.777,5.425	0.039,143.215
135.466,1.711	0.092,117.894
