1.811,13.132	77.734,13.132	0.030,121.661
45.977,0.298
53.030,1.032	0.017,84.275
0.006,49.005
37.294,0.153	0.030,14.331
18.454,4.656	0.005,79.583
15.022,21.817	0.012,126.592
120.821,1.712	1.503,143.755
100.945,0.538	0.557,45.293
108.213,0.942	0.017,78.975
25.040,1.218	0.063,112.884
25.040,1.409	0.004,112.884
108.293,3.445	0.854,302.971
185.029,4.356
34.864,1.529	0.006,91.346
127.132,0.222
62.936,2.669	0.016,112.210
0.323,89.644	3.964,89.644
55.308,2.574	0.292,227.547
154.620,9.777	0.045,115.875
67.766,0.979	0.019,75.357
156.787,3.153	0.027,82.661
34.159,1.953	0.011,148.452
1.911,5.358	112.934,5.358	0.026,134.609
297.491,1.430	0.082,127.777
1.553,0.598	109.348,0.598	0.018,58.892
17.970,2.385	0.003,70.514
32.453,3.231	0.065,196.323
121.833,1.285	0.048,54.029
0.643,5.994	50.187,0.073
60.185,2.662	0.032,18.903	1.126,18.903
57.094,11.569	0.013,145.031
1.460,4.234	50.199,4.234	0.015,164.512
221.082,3.560	0.798,298.144
154.468,1.058	0.039,92.292
30.696,6.129	0.044,391.304
55.758,6.537	0.023,36.110
26.603,1.013	0.004,91.043
60.839,4.790	0.152,215.324
58.360,0.720	0.018,61.061
19.236,1.684	0.011,133.402
133.658,1.875	0.062,114.825	4.608,114.825
48.270,1.358	0.009,28.172
97.524,0.529	0.135,37.304	4.234,37.304
218.295,0.804	0.044,45.704	3.410,45.704
32.008,4.175	0.019,163.067
93.160,0.252	0.042,22.006
201.663,0.459	0.360,32.378
0.044,88.894
261.208,11.471	0.178,120.317
1.779,1.249	115.170,0.054
52.227,2.490	0.056,95.148
118.419,1.557	0.023,130.753
131.277,0.417	0.048,35.408
56.047,7.220	0.028,47.330
410.497,1.569
21.827,1.170	0.002,82.719
121.706,0.836	0.019,65.681
2.294,9.026	101.709,9.026	0.029,116.979
0.605,14.413	12.730,0.941
15.424,2.579	0.015,196.710
343.956,1.035	0.219,74.645
49.520,2.289	0.048,181.425
161.499,2.751	0.213,194.269
61.117,0.394	0.211,9.776
37.914,2.513	0.035,223.814	1.103,223.814
0.110,13.360
2.745,0.726	59.951,0.726	0.046,63.842
337.462,1.171
268.232,0.802	0.114,35.417
88.983,2.892	1.562,282.251
3.945,1.143	251.042,1.143	0.572,80.557
1.321,0.415	110.683,0.415	0.043,25.792
112.099,1.252	0.016,113.156	1.479,113.156
104.913,1.223	0.035,121.825
33.705,1.000	0.011,90.883
164.624,1.844	0.078,87.944
73.563,11.013	0.016,600.109
109.666,0.579	0.106,32.707
105.546,3.818	0.029,201.271
127.848,4.822	0.028,138.699
29.443,14.054	0.050,289.334
332.369,10.025	0.171,504.585
145.335,0.355	0.059,14.866
204.945,1.662	1.446,79.039
0.278,29.836	18.401,17.466
95.252,0.112	0.014,7.075
95.742,3.793	0.012,113.737
308.670,1.442	0.855,69.471
13.079,3.862	0.003,108.786
23.463,28.514	0.004,90.179
10.288,0.595	0.009,54.685
87.745,0.062
131.918,4.638	0.031,262.415	1.667,262.415
344.660,21.856	0.138,633.940	3.997,633.940
41.299,1.966	0.005,27.471
31.296,4.572	0.034,276.547
85.558,4.485	0.010,73.978
45.381,2.706	0.026,68.477
0.727,24.550	50.277,0.365
103.850,1.264	0.026,85.127
108.436,2.546	0.422,214.152	7.277,214.152
26.707,4.903	0.122,164.610
753.569,18.138
5.064,1.813	181.641,1.813	0.070,91.398
8.389,4.277	0.014,298.926
176.470,3.057	0.057,158.017
148.134,0.913	0.955,79.964
69.724,0.479	0.083,28.549
147.253,1.866	0.664,34.748
25.555,21.349	0.008,119.463
31.714,1.256	0.029,113.384
0.214,136.857	19.030,4.675
0.051,306.680
73.250,8.647	0.009,284.948	0.745,284.948
2.701,1.040	229.115,1.040
138.405,0.998	0.029,78.001
4.440,7.053	165.134,7.053	0.172,462.591
17.193,1.026	0.004,63.967
21.374,1.404
1.145,14.310	93.013,0.362
94.763,0.046	0.128,3.637
4.016,142.626	12.492,10.769
31.123,1.513	0.013,111.208
92.873,1.056	0.012,59.009
