72.541,13.017	0.041,71.763
38.590,0.859	0.029,80.857
18.028,1.116	0.021,52.202
0.403,67.630
106.357,1.602	0.708,79.528
50.973,0.643	0.037,63.149	1.528,63.149
0.045,60.957
62.584,10.207	0.012,124.712
26.366,1.496	0.019,73.130
1.118,14.830	76.546,0.187
136.499,1.050	0.318,96.722
0.020,153.643
96.279,7.417
13.666,2.125	0.003,152.547
156.052,5.653	0.031,113.720
128.329,0.328	0.056,15.755
0.867,13.789	51.647,0.356
18.611,0.467	0.265,41.931
8.849,2.213	0.004,165.869
1.507,22.188	76.583,0.235
83.319,2.463	0.162,110.599
322.217,3.367	0.417,97.831
46.244,1.412	0.007,109.039
94.216,7.178	0.024,200.862
69.824,6.795	0.014,82.796
1.568,52.176	104.063,0.589
14.912,0.534	115.666,0.534
312.842,0.742	0.136,47.622
256.796,1.017	0.372,57.853
44.045,0.729	0.011,69.125
98.883,3.596	0.786,82.045
0.008,65.182
284.386,1.345	0.412,76.546
0.004,98.313
21.566,3.029	0.024,228.137
311.656,1.653	0.032,79.300	3.142,79.300
80.606,3.127	0.050,306.975
139.704,0.888	0.033,72.083
163.465,7.045	0.031,173.165
11.724,1.597	0.002,118.777
128.150,0.551	0.018,52.120
84.222,0.917	0.013,82.888
0.032,97.311
394.358,0.217
117.449,5.134	0.024,309.177
176.969,8.185	0.096,99.341
1.728,23.459	89.420,0.348
14.638,1.823	0.115,72.081
0.003,72.081
10.132,0.596	121.431,0.596	0.180,44.496
93.258,3.648	0.043,89.383
99.016,0.347	0.062,25.421	5.496,25.421
79.970,1.956	1.001,132.050
88.785,1.296	0.779,120.121
70.375,2.296	0.021,105.341
0.235,6.373
172.610,3.542	0.102,348.991
285.524,9.151	0.117,135.013
135.894,2.016	0.036,69.697
45.119,0.481	0.063,37.272
39.248,3.642	0.062,157.738	5.531,157.738
0.493,102.047	9.675,102.047
93.993,3.098	0.026,131.250
372.004,2.989	0.079,123.706
12.985,1.330	338.986,1.330	0.271,128.329
0.003,195.222
128.353,1.950
0.904,14.648	77.049,0.200
250.091,1.693	0.530,76.119	14.100,76.119
0.040,73.290
97.237,0.875	0.045,33.471
0.038,70.024
0.848,46.350	62.021,0.731
223.388,0.899	0.049,50.880
0.665,43.395	46.925,0.690
116.830,3.301	0.102,45.004
507.328,0.822	0.089,35.848
0.036,227.252
485.947,1.525
0.012,58.643
225.340,3.748	0.093,163.790
249.904,1.374	0.054,55.276
17.277,0.566	0.009,52.118
2.658,22.406	191.888,0.730
152.928,14.124	0.074,85.843
548.482,3.757
180.244,9.180	0.124,90.873	3.136,90.873
116.794,3.337	1.262,135.881
0.010,721.090
136.280,8.130	0.119,92.200	9.699,92.200
137.008,3.801	0.706,264.964
11.863,2.152	65.961,2.152	0.169,150.754
411.247,2.023	0.279,143.845
0.004,173.702
113.094,1.261	0.656,92.427
1.840,2.696	54.105,2.696	0.199,59.793
159.491,2.856	0.135,140.943
0.954,36.967	70.302,0.926
758.118,1.292	0.307,15.618
79.776,2.429	0.515,161.044
3.277,1.716	201.221,0.085
100.477,1.818	0.113,69.456
78.784,4.285	0.024,90.765
0.012,306.682
42.665,1.415	0.036,60.295
1.083,3.829	88.757,0.132
0.008,83.374
150.430,0.806	0.114,75.637
48.583,1.490	0.025,114.754	2.381,114.754
64.143,0.024
0.280,18.099	24.578,0.378
134.217,6.096	0.232,196.397
97.699,1.099	0.110,100.631
29.950,11.564	0.155,103.054
34.350,1.449	0.093,129.345
466.563,2.752	0.092,125.084
89.988,3.079	0.092,92.758
104.107,1.051
278.800,2.354	0.091,62.707
287.580,3.559	0.290,245.077
367.320,0.972	0.148,25.958	6.046,25.958
36.363,0.825	0.031,74.062
2.774,2.639	109.991,2.639	0.088,186.751
6.734,0.026	222.651,0.026
22.768,1.371	0.026,102.337
416.390,5.458	0.375,106.170	5.715,106.170
60.380,5.617	0.027,283.450
3.098,43.558	126.914,0.836
124.029,0.796	0.073,73.548
12.210,1.479	612.764,1.479	0.279,105.452
721.090,2.857
1.378,16.150	101.278,0.177
1.738,47.361	166.732,0.915
442.158,3.097	0.405,149.218
1.517,35.942	94.631,0.434
0.009,52.224
210.125,3.506	0.053,251.580	2.489,251.580
59.588,1.262	0.167,48.076	0.692,48.076
186.751,1.158	0.028,102.892	2.375,102.892
26.301,7.293	0.101,103.348
181.441,3.572	0.032,222.592
0.038,288.223
0.397,255.319
80.944,0.473	2.756,18.953
1.249,4.120	112.227,0.069
4.080,0.749	80.471,0.749	0.041,64.214
44.356,6.850	0.018,640.657
56.546,6.115	0.045,275.233
101.532,6.444	0.019,601.870
0.011,90.573
835.940,0.113
85.865,1.295	0.870,76.585
0.619,3.733	46.057,0.071
0.345,35.069	25.797,1.127
106.203,1.399	0.064,90.539
0.402,21.262	19.944,1.004
59.140,0.455	0.015,18.597
0.001,58.473
347.117,2.161	0.055,71.789
8.254,0.350	501.009,0.350
14.747,23.094	0.006,235.227
355.940,30.292	0.128,146.259
2.356,20.176	190.370,2.783
57.386,12.336	0.019,195.757
155.560,1.318	0.103,129.049
254.375,2.215	0.095,43.297
0.037,382.978
67.974,5.053	0.008,98.369
43.684,3.698	1.135,98.406
0.006,19.632
62.107,3.731	0.075,245.951
0.046,240.136
3.878,3.324	87.023,3.324	0.259,61.025
5.983,2.403	264.162,2.403	0.252,221.730
121.399,15.552	0.032,98.515	2.090,98.515
144.793,0.768	0.166,26.745	5.584,26.745
0.044,219.273
128.818,1.055	0.108,73.915	5.498,73.915
0.017,138.146
0.107,76.962	3.390,76.962
106.369,1.822	0.024,126.115
12.004,10.631	106.759,10.631	0.158,535.792
7.470,33.518	223.829,1.608
35.371,0.414	0.006,12.279
98.257,2.073	0.098,84.479
290.121,4.984	0.275,451.905	5.503,451.905
72.750,1.302	0.031,51.479
5.819,19.120	228.817,19.120	0.080,128.227
1.299,20.343	96.617,0.411
1.595,40.355	123.943,1.339
0.031,287.288
2.709,3.286	102.794,3.286	0.121,111.894
179.539,1.502	1.295,132.820
65.904,10.069	0.052,135.458
0.966,18.319	12.842,18.319
6.833,18.575	23.521,18.575	0.186,225.477
185.781,1.709	0.024,104.041
62.624,11.338	0.015,558.180
