parIndex,nStates,Phase,State,DSGRNPhase,nStatesRAC,basin,A,B,basinDiscret
1,2,01-20,01,01-20,2,0.954,-7.429289,4.912598,0.954
1,2,01-20,20,01-20,2,0.046,5.197829,-1.242952,0.046
2,2,01-20,20,01-20,2,0.394,4.866808,-1.82437,0.394
2,2,01-20,01,01-20,2,0.606,-5.811982,3.706213,0.606
3,2,01-20,01,01-20,2,0.613,-4.481154,6.665051,0.613
3,2,01-20,20,01-20,2,0.387,6.019529,0.14023,0.387
4,2,01-20,20,01-11-20,2,0.471,6.549164,-3.421754,0.471
4,2,01-20,01,01-11-20,2,0.529,-5.483857,2.441095,0.529
5,2,01-20,20,01-20,2,0.578,7.079709,-1.697826,0.578
5,2,01-20,01,01-20,2,0.422,-4.884061,4.779179,0.422
6,3,01-11-20,01,01-11-20,3,0.295,-5.992474,5.654615,0.295
6,3,01-11-20,20,01-11-20,3,0.607,5.715376,-0.299606,0.607
6,3,01-11-20,11,01-11-20,3,0.098,0.535954,5.654615,0.098
7,2,01-20,20,01-20,2,0.47,5.911305,0.884373,0.47
7,2,01-20,01,01-20,2,0.53,-3.046998,6.275052,0.53
8,2,01-20,01,01-11-20,2,0.019,-3.57034,4.192589,0.019
8,2,01-20,20,01-11-20,2,0.981,6.899489,-2.269349,0.981
9,3,01-10-20,20,01-10-20,3,0.276,6.620683,2.555838,0.276
9,3,01-10-20,01,01-10-20,3,0.617,-5.836072,7.08411,0.617
9,3,01-10-20,10,01-10-20,3,0.107,0.636947,2.556446,0.107
10,2,00-20,00,00-20,2,0.759,0.139912,2.611375,0.759
10,2,00-20,20,00-20,2,0.241,4.804026,-3.119652,0.241
11,2,01-20,20,01-20,2,0.031,2.602454,2.772851,0.031
11,2,01-20,01,01-20,2,0.969,-9.901975,6.674621,0.969
12,2,01-20,20,01-20,2,0.805,5.083784,0.476661,0.805
12,2,01-20,01,01-20,2,0.195,-1.351215,4.552879,0.195
13,2,10-20,10,10-20,2,0.414,0.041699,1.096215,0.414
13,2,10-20,20,10-20,2,0.586,6.250104,1.096215,0.586
14,1,01,01,01,1,1,-5.851099,7.228113,1
15,3,01-11-20,01,01-11-20,3,0.397,-4.097066,6.676768,0.397
15,3,01-11-20,20,01-11-20,3,0.561,6.447451,0.148197,0.561
15,3,01-11-20,11,01-11-20,3,0.042,1.082311,6.227919,0.042
16,2,01-20,20,01-20,2,0.007,2.63011,1.9625,0.007
16,2,01-20,01,01-20,2,0.993,-5.032488,6.81201,0.993
17,2,01-20,20,01-10-20,2,0.276,5.902947,0.932709,0.276
17,2,01-20,01,01-10-20,2,0.724,-4.899177,6.9900080000000004,0.724
18,2,01-20,01,01-20,2,0.154,-2.283898,5.767394,0.154
18,2,01-20,20,01-20,2,0.846,7.224046,-0.707542,0.846
19,1,20,20,20,1,1,4.826266,-3.955121,1
20,1,01,01,01,1,1,-4.186139,7.485134,1
21,1,20,20,01-20,1,1,6.810948,0.827455,1
22,2,01-20,20,01-20,2,0.954,6.810948,0.574808,0.954
22,2,01-20,01,01-20,2,0.046,-3.467667,5.724801,0.046
23,3,01-11-20,20,01-11-20,3,0.236,6.562129,2.169791,0.236
23,3,01-11-20,11,01-11-20,3,0.38,0.90966,8.019675,0.38
23,3,01-11-20,01,01-11-20,3,0.384,-4.230125,8.019675,0.384
24,2,01-20,20,01-20,2,0.615,6.724487,2.209761,0.615
24,2,01-20,01,01-20,2,0.385,-3.868668,7.772878,0.385
25,2,01-20,20,01-20,2,0.572,7.312089,0.729039,0.572
25,2,01-20,01,01-20,2,0.428,-4.395906,6.683257,0.428
26,3,01-11-20,01,01-11-20,3,0.429,-6.296829,6.379956,0.429
26,3,01-11-20,11,01-11-20,3,0.042,0.324416,6.379952,0.042
26,3,01-11-20,20,01-11-20,3,0.529,6.519262,-0.18414,0.529
27,2,01-21,21,01-21,2,0.627,0.819418,1.701396,0.627
27,2,01-21,01,01-21,2,0.373,-4.576251,6.737942,0.373
28,1,20,20,20,1,1,7.799348,-4.222559,1
29,2,01-20,20,01-20,2,0.487,5.942284,-1.513827,0.487
29,2,01-20,01,01-20,2,0.513,-6.440574,4.433207,0.513
30,2,01-20,01,01-20,2,0.434,-3.02468,4.472112,0.434
30,2,01-20,20,01-20,2,0.566,7.046381,-1.593645,0.566
31,1,01,01,01,1,1,-6.399246,8.013177,1
32,2,01-20,20,01-10-20,2,0.601,7.93302,1.477589,0.601
32,2,01-20,01,01-10-20,2,0.399,-1.844828,7.345316,0.399
33,2,01-20,01,01-10-20,2,0.382,-2.891313,6.034102,0.382
33,2,01-20,20,01-10-20,2,0.618,6.437512,-0.200921,0.618
34,1,01,01,01,1,1,-5.412684,7.646924,1
35,1,01,01,01,1,1,-7.140001,7.936888,1
36,1,01,01,01,1,1,-7.908055,7.573798,1
37,2,01-20,01,01-20,2,0.077,0.523065,6.703975,0.077
37,2,01-20,20,01-20,2,0.923,8.206701,1.280201,0.923
38,3,01-11-20,20,01-11-20,3,0.648,6.861684,0.794321,0.648
38,3,01-11-20,01,01-11-20,3,0.062,-3.688991,6.918406,0.062
38,3,01-11-20,11,01-11-20,3,0.29,0.27928,6.918406,0.29
39,2,11-20,20,11-20,2,0.834,7.304389,1.631854,0.834
39,2,11-20,11,11-20,2,0.166,1.234913,5.451468,0.166
40,1,20,20,20,1,1,7.380602,1.869088,1
41,2,01-20,20,01-20,2,0.165,4.167371,0.570177,0.165
41,2,01-20,01,01-20,2,0.835,-7.913545,6.619537,0.835
42,2,01-20,01,01-20,2,0.399,-4.620664,8.435859,0.399
42,2,01-20,20,01-20,2,0.601,8.071788,2.859871,0.601
43,3,01-10-20,01,01-10-20,3,0.331,-4.955647,5.665419,0.331
43,3,01-10-20,20,01-10-20,3,0.402,6.314757,-0.822575,0.402
43,3,01-10-20,10,01-10-20,3,0.267,0.679461,-0.822574,0.267
44,2,01-20,20,01-20,2,0.003,2.238551,3.879655,0.003
44,2,01-20,01,01-20,2,0.997,-7.920252,6.773913,0.997
45,2,01-20,01,01-20,2,0.101,-2.309626,7.181388,0.101
45,2,01-20,20,01-20,2,0.899,6.111624,0.546413,0.899
46,2,01-20,01,01-20,2,0.512,-3.157718,5.669139,0.512
46,2,01-20,20,01-20,2,0.488,7.102701,0.577028,0.488
47,1,21,21,21,1,1,4.743746,4.992106,1
48,2,01-20,01,01-20,2,0.791,-6.498914,3.207873,0.791
48,2,01-20,20,01-20,2,0.209,3.869499,-1.662679,0.209
49,2,01-20,20,01-10-20,2,0.948,6.508754,-3.612634,0.948
49,2,01-20,01,01-10-20,2,0.052,-5.020254,2.737866,0.052
50,2,01-20,20,01-20,2,0.23,5.360716,1.631223,0.23
50,2,01-20,01,01-20,2,0.77,-6.53805,6.695276,0.77
51,2,01-20,20,01-20,2,0.143,4.280308,1.583912,0.143
51,2,01-20,01,01-20,2,0.857,-6.718504,6.049274,0.857
52,3,01-10-20,01,01-10-20,3,0.233,-0.278641,8.448682,0.233
52,3,01-10-20,20,01-10-20,3,0.708,7.268228,3.02569,0.708
52,3,01-10-20,10,01-10-20,3,0.059,1.276707,3.025691,0.059
53,2,01-20,01,01-20,2,0.689,-5.191052,4.449499,0.689
53,2,01-20,20,01-20,2,0.311,5.869689,-1.61322,0.311
54,2,01-20,01,01-10-20,2,0.429,-6.123512,5.383938,0.429
54,2,01-20,20,01-10-20,2,0.571,6.917841,-0.75914,0.571
55,2,01-20,01,01-20,2,0.123,-3.236507,7.316115,0.123
55,2,01-20,20,01-20,2,0.877,7.423639,1.282735,0.877
56,2,01-20,01,01-20,2,0.653,-5.034839,6.459976,0.653
56,2,01-20,20,01-20,2,0.347,6.402728,0.031695,0.347
57,2,01-20,01,01-20,2,0.292,-3.203672,7.203673,0.292
57,2,01-20,20,01-20,2,0.708,6.868359,0.888057,0.708
58,2,01-20,01,01-20,2,0.432,-3.775764,6.583006,0.432
58,2,01-20,20,01-20,2,0.568,7.975392,2.761428,0.568
59,3,01-11-20,20,01-11-20,3,0.56,6.45007,2.0616,0.56
59,3,01-11-20,11,01-11-20,3,0.386,1.026989,8.45873,0.386
59,3,01-11-20,01,01-11-20,3,0.054,-4.764935,8.460845,0.054
60,2,01-20,20,01-20,2,0.524,4.66995,0.932329,0.524
60,2,01-20,01,01-20,2,0.476,-0.500567,7.129163,0.476
61,2,01-20,20,01-20,2,0.721,7.468327,-0.038706,0.721
61,2,01-20,01,01-20,2,0.279,-2.474687,6.211845,0.279
62,1,20,20,00-20,1,1,6.030985,-3.520075,1
63,3,01-10-20,10,01-10-20,3,0.043,-0.163796,0.025075,0.043
63,3,01-10-20,20,01-10-20,3,0.314,5.919984,-0.041176,0.314
63,3,01-10-20,01,01-10-20,3,0.643,-6.501441,6.334574,0.643
64,2,01-20,01,01-20,2,0.264,-2.754114,4.302423,0.264
64,2,01-20,20,01-20,2,0.736,8.460845,-2.096823,0.736
65,2,01-20,01,01-20,2,0.104,-0.17727299999999999,3.560894,0.104
65,2,01-20,20,01-20,2,0.896,6.52062,-1.623791,0.896
66,3,01-10-20,10,01-10-20,3,0.127,0.46014,-1.940082,0.127
66,3,01-10-20,01,01-10-20,3,0.415,-4.459065,3.997986,0.415
66,3,01-10-20,20,01-10-20,3,0.458,6.427115,-1.940087,0.458
67,2,01-20,20,01-20,2,0.403,7.277754,1.152653,0.403
67,2,01-20,01,01-20,2,0.597,-4.614124,7.289797,0.597
68,2,01-20,01,01-20,2,0.696,-3.403145,5.851297,0.696
68,2,01-20,20,01-20,2,0.304,6.876104,0.485909,0.304
69,2,11-20,20,01-11-20,2,0.596,4.23486,0.507006,0.596
69,2,11-20,11,01-11-20,2,0.404,-2.342114,6.02671,0.404
70,2,01-20,01,01-20,2,0.255,-3.158705,6.167419,0.255
70,2,01-20,20,01-20,2,0.745,7.974346,-0.158028,0.745
71,2,01-20,01,01-20,2,0.81,-4.598066,7.587019,0.81
71,2,01-20,20,01-20,2,0.19,6.087062,1.106028,0.19
72,2,01-20,20,01-20,2,0.622,7.386752,0.936987,0.622
72,2,01-20,01,01-20,2,0.378,-1.567382,6.804444,0.378
73,2,01-20,20,01-10-20,2,0.772,6.670069,-1.562796,0.772
73,2,01-20,01,01-10-20,2,0.228,-1.193533,4.426984,0.228
74,2,01-20,20,01-10-20,2,0.421,3.885495,1.281422,0.421
74,2,01-20,01,01-10-20,2,0.579,-3.302512,7.855631,0.579
75,2,01-20,01,01-20,2,0.459,-5.328802,6.473304,0.459
75,2,01-20,20,01-20,2,0.541,6.83981,-0.13393,0.541
76,1,01,01,01,1,1,-4.628181,7.825279,1
77,1,01,01,01,1,1,-4.964693,8.830881,1
78,3,01-10-20,10,01-10-20,3,0.128,1.278826,-1.851073,0.128
78,3,01-10-20,01,01-10-20,3,0.431,-4.700423,4.00335,0.431
78,3,01-10-20,20,01-10-20,3,0.441,6.834953,-1.851073,0.441
79,2,01-20,01,01-10-20,2,0.883,-5.414253,6.541434,0.883
79,2,01-20,20,01-10-20,2,0.117,3.683308,1.069963,0.117
80,1,21,21,01-21,1,1,4.159072,1.640754,1
81,2,01-20,01,01-20,2,0.284,-2.571089,6.125509,0.284
81,2,01-20,20,01-20,2,0.716,6.8974780000000004,-0.510083,0.716
82,2,01-20,20,01-20,2,0.71,7.40627,3.901477,0.71
82,2,01-20,01,01-20,2,0.29,-2.772816,9.252404,0.29
83,2,01-20,01,01-20,2,0.977,-6.415802,7.391765,0.977
83,2,01-20,20,01-20,2,0.023,3.492456,0.864501,0.023
84,2,01-20,20,01-20,2,0.825,7.850095,-0.803393,0.825
84,2,01-20,01,01-20,2,0.175,-1.926608,4.057851,0.175
85,2,01-20,20,01-20,2,0.715,7.224447,0.006275,0.715
85,2,01-20,01,01-20,2,0.285,-2.651566,6.449905,0.285
86,3,01-10-20,20,01-10-20,3,0.494,6.394881,-2.122126,0.494
86,3,01-10-20,01,01-10-20,3,0.029,-2.670157,4.46658,0.029
86,3,01-10-20,10,01-10-20,3,0.477,1.082691,-2.122126,0.477
87,2,01-20,20,01-20,2,0.901,8.067774,1.677344,0.901
87,2,01-20,01,01-20,2,0.099,-0.160241,6.497369,0.099
88,2,01-20,20,01-20,2,0.858,7.876013,2.187147,0.858
88,2,01-20,01,01-20,2,0.142,-1.039495,6.066361,0.142
89,1,20,20,20,1,1,7.581229,-3.857978,1
90,2,01-20,01,01-20,2,0.68,-6.63834,6.48595,0.68
90,2,01-20,20,01-20,2,0.32,5.963566,0.485821,0.32
91,3,01-11-21,01,01-11,3,0.306,-3.856477,8.659092,0.306
91,3,01-11-21,11,01-11,3,0.651,1.107001,8.65909,0.651
91,3,01-11-21,21,01-11,3,0.043,6.111699,4.198134,0.043
92,1,20,20,20,1,1,6.754349,-0.060433,1
93,2,01-21,01,01-21,2,0.389,-2.759112,8.147,0.389
93,2,01-21,21,01-21,2,0.611,3.20931,2.862535,0.611
94,2,01-20,20,01-20,2,0.655,7.245893,0.362789,0.655
94,2,01-20,01,01-20,2,0.345,-3.37813,6.532694,0.345
95,1,21,21,21,1,1,5.649524,1.763948,1
96,2,01-20,01,01-20,2,0.684,-5.790766,6.587243,0.684
96,2,01-20,20,01-20,2,0.316,6.643622,1.888041,0.316
97,2,01-20,20,01-20,2,0.711,7.201982,-1.873476,0.711
97,2,01-20,01,01-20,2,0.289,-2.488538,3.953957,0.289
98,2,01-20,01,01-20,2,0.467,-4.808046,3.556444,0.467
98,2,01-20,20,01-20,2,0.533,7.721855,-1.69469,0.533
99,2,01-20,01,01-20,2,0.631,-4.941122,7.2338190000000004,0.631
99,2,01-20,20,01-20,2,0.369,6.699866,0.814257,0.369
100,2,01-20,01,01-11-20,2,0.882,-6.554229,6.342859,0.882
100,2,01-20,20,01-11-20,2,0.118,3.114902,1.829902,0.118
101,1,01,01,01,1,1,-2.282195,8.234801,1
102,3,01-10-20,01,01-10-20,3,0.404,-5.521614,6.163675,0.404
102,3,01-10-20,20,01-10-20,3,0.361,5.206326,0.271933,0.361
102,3,01-10-20,10,01-10-20,3,0.235,-1.383364,0.30049,0.235
103,2,01-20,01,01-20,2,0.743,-3.224004,6.241966,0.743
103,2,01-20,20,01-20,2,0.257,6.78503,0.272459,0.257
104,1,20,20,20,1,1,8.594033,1.678537,1
105,2,01-20,01,01-20,2,0.264,-1.245732,8.019119,0.264
105,2,01-20,20,01-20,2,0.736,6.957387,2.623932,0.736
106,2,01-20,01,01-20,2,0.817,-5.411238,7.676464,0.817
106,2,01-20,20,01-20,2,0.183,5.076517,2.830647,0.183
107,2,01-20,20,01-20,2,0.435,5.393109,1.704706,0.435
107,2,01-20,01,01-20,2,0.565,-3.374182,8.199469,0.565
108,2,01-20,01,01-20,2,0.557,-4.738627,4.189031,0.557
