0.001,89.155
136.882,0.813	0.032,47.139	1.845,47.139
7.989,7.860	0.004,68.332
0.078,3.880	5.653,0.140
9.142,0.478	0.001,20.732
45.987,2.880	0.190,104.251	1.747,104.251
0.653,13.588	52.165,1.467
50.733,4.007	0.019,44.039
107.161,0.638	0.012,34.597
77.979,0.054
32.684,1.011	0.008,49.541
97.537,0.345	0.051,26.095	1.155,26.095
70.986,1.821	0.047,108.644
5.209,2.442	0.005,123.184
67.746,0.622
56.654,1.132	0.007,39.533
127.036,0.667	0.032,32.684
0.752,1.991	70.971,1.991	0.009,189.915
181.636,0.939	0.111,90.085
43.561,0.132	0.012,10.434
43.561,0.756	0.007,10.821
150.277,0.612	0.031,43.625
144.289,2.725	0.029,181.636
1.718,11.466	113.350,11.466	0.022,142.725
82.005,5.469	0.030,297.706
212.385,0.172
188.996,3.248	0.412,88.484
24.088,1.456	0.004,69.580
235.816,6.676	0.191,142.107
70.285,1.029	0.022,73.286
86.729,2.459	0.132,173.202
78.271,0.061
2.026,6.025	192.698,6.025	0.051,339.083
128.622,5.286	0.119,276.872
0.143,77.825	3.701,1.356
90.926,6.569	0.029,144.740	1.767,144.740
29.877,10.125	0.021,159.476	1.897,159.476
71.093,5.661	0.029,384.154
91.465,1.373	0.058,115.010
0.010,78.639
0.013,247.768
281.334,0.984	0.326,87.257
91.465,1.587	0.012,115.010
91.465,2.649	0.025,115.010
19.541,6.307	0.109,294.809	1.615,294.809
33.231,2.099	0.014,177.630	0.464,177.630
310.723,1.769	0.251,169.937
4.433,1.107	0.003,86.813
121.394,2.655	0.127,79.572	1.483,79.572
56.191,2.336	0.017,201.312	0.614,201.312
129.183,0.739	0.593,28.682
105.810,0.631	0.138,53.289	1.680,53.289
0.016,145.475
38.945,0.094
201.340,5.402	0.104,305.943
11.860,3.334	0.123,120.682
0.512,3.164	48.503,0.248
205.451,1.520	0.041,88.838
115.627,1.303	0.272,79.134	2.153,79.134
69.014,2.897	0.019,85.635	1.321,85.635
81.565,1.162	0.044,71.593	2.204,71.593
0.268,10.171	16.999,0.152
340.105,5.386	0.254,247.351
41.586,1.073	0.024,91.561
473.450,1.477	0.089,39.001
12.441,7.816	0.006,393.349
142.023,5.861	1.956,301.528
0.011,79.127
36.303,1.031	0.015,56.495	0.775,56.495
173.619,5.249	0.032,117.340
0.010,658.972	0.383,658.972
206.833,0.829	0.043,48.074	2.992,48.074
44.595,1.603	0.008,46.954
0.005,120.648
140.230,1.892	0.053,125.393
181.730,1.900	0.050,114.463
143.637,2.886	0.148,111.004
180.422,1.415	0.145,86.353
39.858,2.485	0.012,66.463	0.633,66.463
32.232,2.395	0.006,84.923
0.000,58.284
150.551,0.159
107.442,0.975	0.026,51.663
21.787,2.101	0.012,55.071
318.588,6.210	0.042,492.988
0.125,3.458	5.685,0.173
0.026,70.228	1.674,70.228
213.250,2.845	0.875,171.347
27.536,2.387	0.017,129.128
99.392,3.157	0.272,220.989	3.153,220.989
131.459,0.261
0.047,90.184
109.373,0.073
0.593,4.461	32.874,0.074
8.483,0.505	0.032,46.533
0.945,1.100	34.091,0.017
108.262,0.900	0.051,43.378	3.630,43.378
90.202,0.712	0.067,43.460	2.495,43.460
0.001,18.203
45.797,3.093	0.007,136.590
181.846,0.930	0.509,86.760
116.541,0.931	0.348,82.039
105.252,0.091	0.045,6.150
9.665,0.660	0.001,51.095
38.614,1.654	0.005,67.262
19.982,15.201	0.003,308.587
0.088,85.144	5.198,2.201
157.661,1.032	0.061,51.055
16.930,10.398	0.006,491.777
355.053,0.659	0.039,54.476	3.580,54.476
135.539,3.773	0.015,280.011	1.425,280.011
182.956,1.700	0.066,156.292	2.665,156.292
102.160,0.421	0.059,17.962
286.391,14.725
31.318,5.467	0.008,391.753
48.052,7.638
522.299,0.281
87.018,1.488	0.060,55.987
1.626,0.710	86.561,0.710	0.041,55.261
133.727,0.198	0.046,5.993
1.347,0.214	107.183,0.214
42.803,11.080	0.012,630.531
252.375,0.345	0.051,24.386
139.333,2.323	0.052,46.983
1.133,287.504	24.647,3.602
66.959,0.962	0.027,87.384	2.580,87.384
121.293,0.399	0.091,17.801
89.188,3.755	0.010,302.349
74.633,0.640	0.095,31.100	3.598,31.100
