0.000,38.934
84.191,1.136	0.011,98.545
17.015,0.539	0.006,46.755
0.010,95.450
22.148,1.831	0.011,99.545
127.994,1.668	0.042,56.117
117.693,0.234
93.628,0.485	0.954,33.292
38.934,1.905	0.113,154.190
36.970,10.087	0.007,118.029
131.916,2.217	0.016,49.815
85.991,3.856	0.020,61.146
0.001,96.115
44.881,0.789	0.006,28.875
134.219,9.658	0.116,150.760
50.454,1.285	0.091,83.617
131.914,1.687	0.118,135.983
11.184,1.392	0.003,96.249
94.309,1.610	0.049,77.778
9.736,9.736	112.179,0.102
52.609,1.348	0.017,42.305
3.854,5.289	271.277,5.289	0.041,93.021
93.234,0.608	0.016,40.742
137.693,7.262	0.032,202.247
0.107,80.322
19.883,0.374	0.003,25.067
62.331,3.552	0.097,258.037
281.903,2.448	0.075,72.024
112.517,1.482	0.098,107.351
2.420,3.335	154.793,3.335	0.044,55.236
133.637,11.828	0.016,332.635
0.006,123.902
2.209,0.536	129.467,0.536	0.519,39.888
0.035,82.370
461.943,1.019	0.279,74.721
2.714,24.902	239.442,2.534
64.879,0.388	0.025,38.301
105.647,0.762	0.114,58.615
83.919,6.044	0.073,55.500
51.293,0.453	0.010,42.179
31.007,1.528	0.008,92.913
9.987,4.523	373.070,4.523
89.372,0.762	0.047,27.108
39.249,0.203	0.056,16.001
3.789,1.344	138.629,1.344	0.446,68.403
230.740,0.940	0.048,80.127
20.284,2.609	0.305,195.602
18.257,4.232	0.014,289.851
158.423,16.284	0.020,230.866	1.812,230.866
6.491,4.280	54.572,4.280	0.090,58.865
40.259,1.447	0.025,66.613
74.319,3.032	0.089,149.895	0.810,149.895
48.096,14.989	0.237,157.552
197.841,2.377	0.098,103.130
138.776,0.776	0.551,77.170	6.961,77.170
3.414,8.155	136.244,8.155	0.077,475.058
199.807,0.510	0.049,34.876	2.092,34.876
72.218,0.927	0.009,87.355
7.644,1.900	130.385,1.900	0.150,119.403
0.010,178.371
161.531,5.325	0.061,462.973	5.710,462.973
0.011,61.557
168.171,1.267	0.082,97.411
120.126,3.037	0.039,232.757
65.281,5.060	0.009,489.519
1.818,5.715	154.190,5.715	0.025,530.075
145.137,3.432	0.019,247.582
382.392,0.231	0.291,23.081	8.116,23.081
405.112,0.442	0.476,41.313
43.816,3.547	0.030,209.404
80.171,2.443	0.301,172.958
84.354,1.368	0.067,52.916
395.682,0.323	0.373,32.218
0.172,195.458	6.038,195.458
134.124,2.466	0.161,80.937	4.078,80.937
10.106,0.410	0.002,40.886
0.053,36.150	5.331,3.350
1.386,4.969	84.413,0.182
336.889,2.191	0.141,34.557
187.833,5.853	0.077,252.808	4.878,252.808
394.097,3.645	0.046,77.413
233.359,1.782	0.398,100.609
3.271,0.160	212.441,0.160
0.126,2.480	5.055,2.480
0.006,241.061
59.594,3.667	0.008,85.064
89.737,2.426	0.064,122.071
0.533,10.873	42.128,2.868
1.670,21.041	106.415,0.773
20.375,1.271	0.056,37.038	1.990,37.038
112.860,0.504	0.028,31.292
0.834,2.289	70.256,2.289	0.010,223.615
0.094,34.104	9.142,3.534
124.793,0.289	0.136,22.793
34.329,1.654	0.009,113.021
98.315,1.441	0.043,99.288
132.010,4.166	0.033,134.997
0.014,513.653
0.717,19.862	59.692,5.043
79.204,7.835	0.012,679.959
7.541,8.483	228.288,8.483	0.215,133.886
89.019,2.940	0.385,84.344
13.806,1.840	0.149,72.758
0.724,19.769	15.285,0.202
0.952,24.131	94.575,0.503
102.407,0.695	0.026,63.583
0.033,79.087
178.163,1.151	0.464,62.485
40.161,2.928	0.016,192.768
65.410,10.169	0.045,207.912
252.018,1.040
51.747,8.075	0.087,602.109
550.467,0.837
129.744,2.797	0.019,83.443
6.642,3.966	74.429,3.966	0.304,274.993
117.645,1.121	0.329,104.174
594.327,0.609
3.452,2.247	112.537,2.247	0.046,90.058
2.662,8.302	193.902,4.294
301.756,1.399	0.040,39.014
0.242,215.971	12.003,136.528
140.425,0.971	0.308,86.390
6.888,2.129	61.935,2.129	0.083,48.202
36.673,3.432	0.078,199.578
37.210,0.111	0.021,10.049
124.142,0.661	0.029,26.889
110.134,7.061	2.802,184.893
6.666,2.965	475.961,2.965
99.767,3.556	0.096,118.429
22.850,2.227	0.009,146.288
291.636,1.274	0.045,106.755	3.326,106.755
0.129,500.495	7.194,500.495
40.326,0.723	0.022,39.033
485.809,0.647	0.099,45.166	7.974,45.166
280.545,1.509	2.013,85.914
1.061,0.946	40.484,0.946	0.015,70.597
84.090,5.270	0.061,32.734
0.213,294.982
143.048,3.368	0.081,132.357
11.082,6.623	0.002,189.057
173.684,7.868	0.034,394.740
72.827,21.854	0.020,176.291
88.278,3.730	0.062,81.533
1.124,12.835	47.858,0.293
298.801,1.236	1.830,83.158	10.463,83.158
0.834,2.854	53.378,2.854	0.015,164.144
78.868,3.700	0.011,105.922
11.497,0.399	0.012,36.263
83.700,1.286	0.011,108.262
27.982,0.876	0.266,67.845
82.431,10.204	0.025,370.340
3.779,14.396	117.626,0.283
81.710,0.657	0.040,45.058
56.085,1.853	0.011,76.997
197.788,3.783	0.085,342.653
134.294,21.538	0.043,80.057
268.481,0.172
211.626,3.299	0.093,144.401	6.202,144.401
272.622,5.686	0.083,59.404
0.023,286.138
3.281,1.000	210.624,1.000	0.038,65.947
84.922,2.025	6.248,140.591
