1.267,0.659	53.152,0.659	0.018,50.897
0.889,10.061	46.803,0.211
59.875,1.244	0.023,31.263
86.243,0.651	0.023,59.993
35.922,0.807	0.012,80.651
12.410,2.871	0.002,152.408
101.113,1.155	0.023,105.446
85.370,4.188	0.015,140.302
0.013,101.522
47.895,1.530	0.006,132.550
1.508,16.234	72.125,0.625
128.586,0.493	0.057,44.334
111.170,2.081	0.134,84.758
101.207,1.140	0.021,81.212
162.121,1.053	0.210,70.838
148.684,2.405	0.116,116.860
51.888,0.169	0.016,16.611
146.541,4.679	0.018,100.023
48.399,2.021	0.010,80.992	0.571,80.992
91.499,1.494	0.034,133.051
1.695,2.378	93.027,2.378	0.022,167.779
0.016,94.314
19.389,3.327	0.012,97.495	0.922,97.495
7.818,0.967	0.001,64.569
90.208,1.834	0.010,128.406
97.374,0.849	0.278,73.959	2.881,73.959
86.251,3.499	0.014,93.073
0.119,223.357	2.470,10.680
1.296,1.772	87.306,1.772	0.017,97.830
1.663,3.084	87.577,3.084	0.067,283.661
132.442,0.080
65.332,2.459	0.011,82.720	0.788,82.720
0.052,85.131	2.254,9.154
124.631,2.635	0.045,227.112
74.699,0.268	0.020,25.872
111.573,1.368	0.113,70.715
0.023,146.081
242.490,0.337	0.073,28.938
72.776,0.973	0.776,92.121
67.442,1.054	0.127,69.656
0.643,282.428	18.406,196.188
155.813,0.828	0.084,57.380
2.133,2.621	127.307,2.621	0.276,127.747
46.475,0.306	0.058,22.437
287.939,6.008	0.078,106.368
19.017,0.125
105.582,0.471	0.026,24.267
20.369,3.243	0.005,47.535
316.546,3.717	0.077,72.125
0.101,315.320
195.906,0.678	0.039,54.662
72.036,2.654	0.010,107.982
34.909,1.873	0.071,153.446	0.948,153.446
8.056,0.888	0.011,63.103
127.592,0.332	0.027,32.301
111.800,2.352
8.449,4.676	0.001,235.300
0.007,231.360
0.065,44.487
3.859,0.638	131.194,0.638	0.292,51.079
115.319,1.515	0.156,96.181
95.272,2.123	0.240,67.897
91.154,3.718	0.022,178.222
296.802,1.654	0.130,154.263
0.021,297.955	1.350,297.955
91.579,1.493	0.088,55.754
0.002,435.762
