Phase,RACIPE,DSGRN,JSD,Parameter,nState
00,0.00193596425912137,0,0.0641782707189095,Phase,2
00-10,5.956813104988831e-4,0.0011913626209977663,0.0641782707189095,Phase,2
00-20,0.050335070737155624,0.07237527922561429,0.0641782707189095,Phase,2
01,0.026209977661950858,0,0.0641782707189095,Phase,2
01-10,1.489203276247208e-4,1.489203276247208e-4,0.0641782707189095,Phase,2
01-11,0.011913626209977662,0.02323157110945644,0.0641782707189095,Phase,2
01-11-20,0.0010424422933730455,0,0.0641782707189095,Phase,2
01-11-21,0.002680565897244974,0,0.0641782707189095,Phase,2
01-20,0.7795979151154132,0.8363365599404319,0.0641782707189095,Phase,2
01-20-21,0.00580789277736411,0,0.0641782707189095,Phase,2
01-21,0.03261355174981385,0.040655249441548774,0.0641782707189095,Phase,2
10,1.489203276247208e-4,0,0.0641782707189095,Phase,2
10-11-20,1.489203276247208e-4,0,0.0641782707189095,Phase,2
10-20,0.006701414743112435,0.021891288160833952,0.0641782707189095,Phase,2
11,0.001340282948622487,0,0.0641782707189095,Phase,2
11-20,0.0035740878629932984,0.003276247207743857,0.0641782707189095,Phase,2
11-21,2.978406552494416e-4,8.935219657483246e-4,0.0641782707189095,Phase,2
20,0.07058823529411765,0,0.0641782707189095,Phase,2
20-21,1.489203276247208e-4,0,0.0641782707189095,Phase,2
21,0.004169769173492182,0,0.0641782707189095,Phase,2
Monostable,0.10439314966492927,0,0.05427115400942576,monoMulti,2
Multistable,0.8956068503350707,1,0.05427115400942576,monoMulti,2
1,0.10439314966492927,0,0.059526605581997356,nState,2
2,0.8859270290394639,1,0.059526605581997356,nState,2
3,0.00967982129560685,0,0.059526605581997356,nState,2
00,0.0045871559633027525,0.0045871559633027525,0.044298703526413546,Phase,1
01,0.481651376146789,0.5596330275229358,0.044298703526413546,Phase,1
01-11,6.55307994757536e-4,0,0.044298703526413546,Phase,1
01-11-21,0.001965923984272608,0,0.044298703526413546,Phase,1
01-21,0.07470511140235911,0,0.044298703526413546,Phase,1
11,0.003931847968545216,0.00655307994757536,0.044298703526413546,Phase,1
11-20,0.003931847968545216,0,0.044298703526413546,Phase,1
11-21,0.002621231979030144,0,0.044298703526413546,Phase,1
20,0.41022280471821754,0.41415465268676277,0.044298703526413546,Phase,1
21,0.015727391874180863,0.01507208387942333,0.044298703526413546,Phase,1
Monostable,0.9161205766710354,1,0.043264484383822674,monoMulti,1
Multistable,0.08387942332896461,0,0.043264484383822674,monoMulti,1
1,0.9161205766710354,1,0.043264484383822674,nState,1
2,0.08191349934469201,0,0.043264484383822674,nState,1
3,0.001965923984272608,0,0.043264484383822674,nState,1
01,5.685048322910744e-4,0,0.44893545262821183,Phase,3
01-10-20,0.1318931210915293,0.5207504263786242,0.44893545262821183,Phase,3
01-11-20,0.22001137009664581,0.47924957362137577,0.44893545262821183,Phase,3
01-20,0.5679363274587834,0,0.44893545262821183,Phase,3
01-20-21,5.685048322910744e-4,0,0.44893545262821183,Phase,3
10-20,0.0045480386583285955,0,0.44893545262821183,Phase,3
11-20,0.039795338260375214,0,0.44893545262821183,Phase,3
20,0.03467879476975554,0,0.44893545262821183,Phase,3
Monostable,0.03524729960204662,0,0.017851726884631075,monoMulti,3
Multistable,0.9647527003979534,1,0.017851726884631075,monoMulti,3
1,0.03524729960204662,0,0.44029862919778606,nState,3
2,0.6122797043774872,0,0.44029862919778606,nState,3
3,0.35247299602046617,1,0.44029862919778606,nState,3
