2.462,0.738	59.514,0.738	0.113,34.860
11.408,0.363	0.003,23.900
48.147,0.296	0.008,22.720
0.001,57.837
64.481,2.017	0.040,66.872
0.076,102.874	6.483,1.567
56.838,1.093	0.032,97.172
19.699,1.715	0.007,77.465
0.104,3.021	7.864,0.042
5.500,1.614	0.004,159.918	0.112,159.918
159.631,0.047
53.039,0.113	0.019,8.583	0.921,8.583
52.379,4.151	0.007,111.810
51.412,3.018	0.150,32.957
0.021,163.923
0.032,31.532	1.532,31.532
2.538,6.532	161.812,0.580
44.183,0.290
0.285,1.254	24.561,1.254	0.003,123.734
82.997,4.432	0.019,37.924
17.877,3.105	0.006,139.183
163.693,5.502	0.077,151.426
76.260,0.708	0.251,57.986	3.458,57.986
0.019,38.721
38.264,0.452	0.005,42.601
109.195,0.933	0.016,20.727
137.897,1.400	0.111,104.074
247.698,1.315	0.166,27.142
0.115,120.110	8.234,1.523
194.165,3.555	0.036,103.543
0.518,0.198	38.248,0.198	0.007,15.044
0.004,144.311
181.531,8.287	0.197,139.591
87.248,1.985	0.241,59.514
0.239,4.083	20.716,0.087
0.010,237.788	0.914,237.788
47.189,1.124	0.047,62.617
131.621,6.799	0.038,78.429	3.297,78.429
276.360,12.421	0.062,110.882
284.281,1.996	0.122,168.556
0.014,112.709	0.993,112.709
111.435,2.044	0.202,109.294
217.233,3.791	0.150,97.420
52.686,0.943	0.022,69.900
0.002,189.226
0.097,381.412	3.873,19.639
18.408,1.810	0.018,75.588
43.150,0.213	0.024,12.011
50.889,0.278	0.018,27.095
79.145,9.680	0.052,229.529
11.639,0.115
102.139,7.679
32.565,2.334	0.021,219.184
44.663,0.768	0.007,39.432
161.304,1.295	0.158,83.587
54.650,4.324	0.098,117.749
31.623,1.220	0.014,18.761
20.519,0.373	0.007,26.357
56.561,3.214	0.015,146.394
0.007,58.081
105.071,1.915	0.183,53.565
92.763,5.473	0.321,230.804
203.941,7.107	0.049,339.530	3.505,339.530
1.773,2.880	149.115,2.880	0.022,220.554
193.789,4.473	0.215,190.886	2.301,190.886
0.474,4.320	4.629,4.320
121.577,0.354	0.848,12.224
617.308,3.140	0.535,61.171
0.032,381.412	2.468,4.210
12.442,0.228	0.003,8.860
161.557,0.034
119.917,0.166
24.914,11.394	0.123,442.676
402.919,0.819	0.087,76.357
0.583,13.238	49.341,13.238	0.013,531.927
0.015,80.714	0.356,80.714
109.567,1.999	0.077,46.646
75.331,1.023	0.010,101.027
