parIndex,nStates,Phase,State,DSGRNPhase,nStatesRAC,basin,A,B,basinDiscret
1,2,01-20,01,01-20,2,0.688,-7.228993,3.872465,0.688
1,2,01-20,20,01-20,2,0.312,4.663584,-2.623547,0.312
2,3,01-10-20,10,01-10-20,3,0.581,-0.715352,-0.793114,0.581
2,3,01-10-20,20,01-10-20,3,0.326,5.513363,-0.793114,0.326
2,3,01-10-20,01,01-10-20,3,0.093,-6.328997,5.295651,0.093
3,2,01-20,20,01-20,2,0.154,5.787948,-0.058296,0.154
3,2,01-20,01,01-20,2,0.846,-4.896965,6.556213,0.846
4,2,00-20,00,00-20,2,0.488,0.648454,1.682145,0.488
4,2,00-20,20,00-20,2,0.512,6.036634,-4.741812,0.512
5,2,01-20,20,01-20,2,0.92,6.428716,0.502092,0.92
5,2,01-20,01,01-20,2,0.08,-1.462832,6.508047,0.08
6,1,20,20,20,1,1,7.203896,-2.030398,1
7,2,01-11,01,01-11,2,0.407,-3.60797,7.231353,0.407
7,2,01-11,11,01-11,2,0.593,0.672979,7.231353,0.593
8,2,01-20,20,01-20,2,0.403,5.31364,0.050081,0.403
8,2,01-20,01,01-20,2,0.597,-3.491135,6.67154,0.597
9,2,01-20,20,01-20,2,0.101,5.768225,1.713313,0.101
9,2,01-20,01,01-20,2,0.899,-6.381759,6.080294,0.899
10,2,01-20,20,01-20,2,0.839,4.712852,-1.014985,0.839
10,2,01-20,01,01-20,2,0.161,-4.975854,5.059833,0.161
11,2,01-20,01,01-20,2,0.042,-3.76777,5.652519,0.042
11,2,01-20,20,01-20,2,0.958,7.19188,-0.576937,0.958
12,1,01,01,01,1,1,-2.8431670000000002,6.722414,1
13,1,01,01,01,1,1,-5.896713,7.097151,1
14,2,01-20,01,01-20,2,0.545,-4.902493,6.805724,0.545
14,2,01-20,20,01-20,2,0.455,7.15656,1.919376,0.455
15,2,01-20,20,01-20,2,0.115,4.917735,1.933344,0.115
15,2,01-20,01,01-20,2,0.885,-6.559678,7.58868,0.885
16,3,01-11-20,20,01-11-20,3,0.788,7.411019,-1.627207,0.788
16,3,01-11-20,01,01-11-20,3,0.072,-2.507655,4.447617,0.072
16,3,01-11-20,11,01-11-20,3,0.14,0.824251,4.447617,0.14
17,2,01-20,20,01-20,2,0.173,5.059833,1.422838,0.173
17,2,01-20,01,01-20,2,0.827,-7.369892,6.606072,0.827
18,3,01-10-20,10,01-10-20,3,0.012,1.359713,1.828148,0.012
18,3,01-10-20,01,01-10-20,3,0.556,-4.780609,4.757721,0.556
18,3,01-10-20,20,01-10-20,3,0.432,6.658142,0.07262,0.432
19,3,01-10-20,20,01-10-20,3,0.544,6.170846,1.306268,0.544
19,3,01-10-20,01,01-10-20,3,0.4,-2.236296,7.066504,0.4
19,3,01-10-20,10,01-10-20,3,0.056,0.590382,1.633607,0.056
