0.216,89.679
0.002,70.981
0.003,65.270
111.618,2.645	0.169,132.425
73.679,1.701	0.049,96.954
0.189,3.861	18.263,0.055
61.720,1.136	0.009,79.358
0.260,47.468
78.536,0.564	0.687,53.839
0.071,133.252	2.341,1.802
86.904,5.311	0.134,133.534
0.807,3.043	62.072,3.043	0.033,86.024
132.549,1.197	0.098,81.766
149.930,0.033
56.024,0.575	0.061,56.761
93.695,1.153	0.060,51.641	2.415,51.641
0.021,139.421
0.102,46.849	5.846,11.910
142.283,1.576	0.131,131.180
152.766,1.435	0.129,109.603
239.714,1.245
0.340,0.278	22.067,0.278	0.013,25.315
1.644,0.120	22.080,0.120	0.019,11.830
82.281,2.368	0.147,150.955
128.384,1.772	0.652,64.748
279.686,1.843	0.068,79.768
22.453,0.608	0.004,31.730
61.360,4.759	0.018,66.590
163.307,4.600	0.159,102.795
2.127,3.490	154.523,3.490	0.122,192.948
1.452,0.883	96.419,0.883	0.021,84.605
169.569,3.536	0.065,111.670
125.795,8.071	0.042,116.789
51.956,2.021	0.050,185.406	0.638,185.406
95.012,1.460	0.050,100.758
32.182,4.305
0.058,34.506	5.411,18.383
67.961,2.482	0.015,158.245
10.094,17.146
195.400,1.997	0.098,170.257
105.092,2.869	0.370,80.480
100.989,3.729	0.060,188.078
95.183,0.725	0.095,72.027	1.020,72.027
209.871,0.550
216.192,5.510	0.072,231.429
84.715,1.930	0.042,117.046
220.553,0.647	0.029,21.314
59.082,0.126
83.887,8.885	0.545,322.387
2.168,14.804	145.307,0.307
117.004,0.955	0.754,70.080
105.108,1.110	0.046,84.403
0.077,212.906	5.581,5.332
171.812,0.611	0.065,28.196	2.006,28.196
184.872,4.753	0.029,152.910
366.033,2.212	0.190,191.965
165.775,0.204	0.021,15.625
234.932,1.126	0.120,44.207
78.529,1.432	0.172,51.794
0.355,317.882	10.560,13.718
48.230,1.011	0.012,87.497
31.929,3.737	0.005,115.674
49.059,5.121	0.012,32.393
107.836,1.861	0.121,52.447
119.260,1.548	0.258,65.698
1.946,8.195	137.113,8.195
228.624,1.208	0.080,100.183
0.142,126.023
93.608,1.524
53.157,4.086	0.013,185.270
95.706,0.943	0.032,55.435
39.380,1.044	0.006,47.709
90.359,0.575	0.035,38.936	1.831,38.936
0.335,3.827	0.021,91.423
21.502,1.253	0.028,122.857
234.300,8.423	0.080,191.027
1.571,0.733	59.109,0.733	0.021,45.297
49.729,2.358	0.185,135.582
93.644,0.092
22.783,1.267	0.008,43.674
0.003,41.478
0.142,85.385	9.608,2.283
2.703,0.210	59.206,0.210	0.056,17.190
3.027,7.441	157.225,7.441	0.045,29.167
0.002,44.252
41.660,11.624	0.006,350.740
0.018,33.200
72.093,1.350
116.599,1.176	0.016,23.036	1.251,23.036
0.000,30.225
66.892,0.649	0.023,61.867
0.007,93.284
0.015,650.283
7.445,5.544	0.133,44.469
56.439,4.101	0.008,342.810
102.080,0.862	0.482,53.149
2.983,1.583	148.920,1.583	0.609,113.800
0.004,597.452
309.807,1.400	0.163,96.602
120.991,3.927	0.013,124.323
75.212,1.009	0.105,62.858
206.840,1.870	0.121,134.604
285.764,0.361	0.062,32.095
98.839,0.708	0.066,58.131
164.822,14.208	0.018,65.835
321.688,1.022	0.150,91.636
153.631,2.107	1.741,174.757
123.734,3.589	0.064,329.175
2.294,1.449	106.504,1.449	0.051,105.375
91.568,3.659	0.018,195.778
