parIndex,nStates,Phase,DSGRNPhase,nStatesRAC,basin,A,B,State
1,2,01-10,01-10,2,69,0.398128,6.483034,01
1,2,01-10,01-10,2,31,6.564399,0.952344,10
2,1,01,01,1,100,1.682668,6.510349,01
3,1,01,01,1,100,1.75014,4.919587,01
4,1,10,10,1,100,6.550313,-0.116548,10
5,1,10,10,1,100,6.702539,1.255793,10
6,2,01-10,01-10,2,94,0.446492,6.614639,01
6,2,01-10,01-10,2,6,5.851842,0.464803,10
7,2,01-10,01-10,2,85,7.079147,1.18889,10
7,2,01-10,01-10,2,15,1.915755,6.617995,01
8,1,10,10,1,100,5.701242,1.069143,10
9,2,01-10,01-10,2,52,5.59759,2.21865,10
9,2,01-10,01-10,2,48,-0.446162,6.566938,01
10,1,01,01,1,100,1.713248,6.622685,01
11,2,01-10,01-10,2,96,-0.311595,7.441241,01
11,2,01-10,01-10,2,4,4.955112,3.843843,10
12,1,10,10,1,100,6.421912,4.361683,10
13,2,01-10,01-10,2,82,8.541762,0.325545,10
13,2,01-10,01-10,2,18,1.961001,6.471885,01
14,2,01-10,01-10,2,57,6.89167,-0.994857,10
14,2,01-10,01-10,2,43,0.313812,4.747896,01
15,2,10-11,10,2,76,5.555941,3.661002,10
15,2,10-11,10,2,24,2.470791,6.107141,11
16,1,01,01,1,100,-0.385394,6.152475,01
17,2,01-10,01-10,2,42,6.89712,1.505147,10
17,2,01-10,01-10,2,58,0.627211,7.657387,01
18,2,01-10,01-10,2,31,1.805343,6.124904,01
18,2,01-10,01-10,2,69,7.506509,1.127053,10
19,2,01-10,01-10,2,68,-1.168532,7.429483,01
19,2,01-10,01-10,2,32,5.421614,2.850939,10
20,1,10,10,1,100,7.61677,-3.10084,10
21,2,01-10,01-10,2,53,7.562886,2.173,10
21,2,01-10,01-10,2,47,1.487936,7.391401,01
22,1,01,01,1,100,-3.560982,5.687092,01
23,2,01-10,01-10,2,54,0.50784,6.579192,01
23,2,01-10,01-10,2,46,6.4986,-0.019718,10
24,2,01-10,01-10,2,93,6.521762,-1.144544,10
24,2,01-10,01-10,2,7,-0.035249,4.314636,01
25,1,10,10,1,100,8.053978,0.532225,10
26,1,01,01,1,100,-1.186534,7.321419,01
27,2,01-10,01-10,2,96,-1.120457,6.216024,01
27,2,01-10,01-10,2,4,5.195317,2.392255,10
28,1,10,01-10,1,100,8.518651,-2.34816,10
29,2,01-10,01-10,2,81,3.308027,8.002771,01
29,2,01-10,01-10,2,19,5.917769,1.525862,10
