89.887,0.599
0.067,99.025
76.346,0.331
78.168,1.144	5.424,42.306
29.682,0.762	1.306,32.021
62.324,1.982	1.173,80.093
96.301,2.530	2.122,101.820
124.061,2.723	1.337,76.180
148.098,9.945	1.711,64.737
107.870,12.748	2.030,131.415
130.393,0.328
99.167,1.795
64.963,0.376
62.995,0.926	2.021,78.474
0.291,148.578
73.727,2.384	1.077,66.160
83.309,0.292
82.245,8.187	2.582,93.133
0.614,173.548
128.391,2.124	1.767,177.075
85.049,0.879	4.385,53.807
37.090,6.252	0.845,216.953
237.246,1.933	3.014,101.098
109.820,0.905	1.172,47.595
125.369,2.440	1.734,112.722
0.622,166.543
88.840,1.613	1.772,90.877
0.219,63.200
55.482,5.007	0.736,117.704
2.181,194.135
0.622,166.543
24.448,2.015	0.265,152.495
35.122,14.118	2.352,148.096
84.613,1.253	2.516,112.700
38.610,0.539	0.499,52.584
194.530,1.879	4.969,161.299
147.068,1.532	6.107,98.503
59.576,2.510	1.631,97.234
92.984,1.525	2.507,47.658
29.947,3.072	3.014,59.576
0.316,59.576
21.088,1.445	1.255,101.342
0.120,16.713
13.715,0.620
57.433,1.273	11.754,50.506
21.266,0.634	0.908,61.981
12.202,5.507	0.790,52.395
28.368,0.953	0.850,19.399
184.468,3.012	4.382,238.566
172.989,2.788	4.057,105.988
126.129,5.496
47.902,1.121
37.950,0.733	1.030,58.024
24.526,2.638	0.706,124.228
8.496,0.275	0.104,22.900
97.753,3.132	1.508,72.217
56.711,4.012	0.959,375.283
216.793,5.397	3.050,22.481
69.837,7.004	4.662,171.526
50.201,2.623	1.322,28.178
134.094,1.123	1.611,93.888
1.017,266.423
80.796,0.778	0.900,43.434
37.863,4.775	0.471,129.575
89.809,2.413	7.602,217.700
103.247,0.109
222.506,8.085
95.291,2.074
44.374,0.647	0.457,35.586
6.766,137.559
36.790,1.491	3.435,25.023
77.576,0.162	1.454,14.927
261.031,0.407	3.737,29.627
392.431,0.989
54.197,11.669	0.665,105.316
146.232,2.045	1.858,123.049
1.546,239.656
0.037,139.754
33.045,1.787	0.436,33.250
0.451,31.090
18.996,2.049	0.232,83.519
46.968,5.912	4.800,117.463
47.965,1.795	0.534,126.142
7.037,587.450
157.170,1.903	3.578,71.325
127.149,1.625	2.407,155.573
127.526,1.307	1.291,85.820
3.050,214.155
754.049,3.740
61.550,1.227	3.548,95.372
36.646,0.390	0.454,33.929
124.814,2.284
220.228,7.818	2.351,299.469
110.650,1.850	1.523,177.550
43.512,5.756	9.201,485.450
0.173,153.461
150.686,0.359	1.559,22.317
194.029,18.816	4.235,44.053
158.545,10.925	2.859,590.993
46.544,3.660	0.603,203.959
520.739,1.770
0.122,66.294
22.734,0.654	0.239,43.861
321.630,0.972	3.494,91.174
8.627,18.057
3.840,59.123
120.384,3.198	10.438,95.085
0.166,94.447
306.675,1.132
243.794,7.303
1.110,123.028
35.357,1.495	1.716,109.551
0.453,555.844
280.006,0.484	6.732,41.163
1.568,193.899
3.720,23.344
22.700,9.288	0.710,74.792
150.756,0.752	4.157,65.857
15.640,31.582
512.156,2.528	5.214,163.428
85.871,1.014	1.944,24.936
111.234,2.795	1.403,116.236
44.394,8.878	1.634,470.795
384.876,0.870	6.584,83.839
35.592,0.321	2.342,31.264
114.400,0.261
96.804,1.522	7.049,63.071
77.185,0.100
94.118,2.164	2.410,94.312
0.970,78.666
116.539,1.493	1.335,52.998
58.109,1.929	1.360,31.093
5.277,59.383
87.951,1.811
124.377,0.108	1.251,7.735
39.097,0.388
0.606,127.191
121.747,0.570	1.293,47.426
115.693,1.296	3.086,109.563
139.966,0.501	3.632,27.506
105.045,7.614	2.870,159.132
83.403,2.029	3.787,118.387
186.310,0.388	10.736,23.180
23.838,4.102	0.820,226.076
161.660,3.459
24.852,0.392	0.254,32.800
131.748,3.114	1.746,126.999
121.241,4.230
372.916,1.769
7.042,0.474	0.184,32.820
36.240,0.433	0.368,35.294
81.393,2.388
97.614,0.638	1.098,54.660
13.906,3.418	0.182,119.571
12.069,125.435
315.594,4.981	3.401,81.529
24.144,4.207	0.377,126.040
208.305,6.636
113.934,0.363
63.465,2.017	0.635,169.044
3.984,124.277
153.966,0.503
104.278,0.471	4.031,20.773
110.421,0.398	3.761,16.492
1.922,122.238
231.279,2.203	2.752,49.325
31.005,3.370
125.383,2.612	3.707,235.685
329.557,0.871
139.014,4.691
150.026,0.841	10.770,68.834
253.046,3.214	11.890,305.343
32.687,3.205	0.347,241.694
62.784,0.036
62.784,0.036
111.401,2.770	6.161,128.566
1.200,53.361
34.110,0.901	0.365,65.716
47.365,2.193	0.524,117.835
33.006,0.103
