Phase,RACIPE,DSGRN,JSD,Parameter,nState
00,4.940711462450593e-4,0,0.1651381971783168,Phase,2
00-10,1.6469038208168644e-4,0,0.1651381971783168,Phase,2
01,0.15859683794466403,0,0.1651381971783168,Phase,2
01-10,0.7063570487483531,1,0.1651381971783168,Phase,2
01-11,0.00032938076416337287,0,0.1651381971783168,Phase,2
10,0.13389328063241107,0,0.1651381971783168,Phase,2
10-11,1.6469038208168644e-4,0,0.1651381971783168,Phase,2
Monostable,0.29298418972332013,0,0.1647192064179534,monoMulti,2
Multistable,0.7070158102766798,1,0.1647192064179534,monoMulti,2
1,0.29298418972332013,0,0.1647192064179534,nState,2
2,0.7070158102766798,1,0.1647192064179534,nState,2
00,0.04404276985743381,0.043279022403258656,0.013492416858510325,Phase,1
00-10,2.545824847250509e-4,0,0.013492416858510325,Phase,1
01,0.48065173116089616,0.49516293279022405,0.013492416858510325,Phase,1
01-11,0.0134928716904277,0,0.013492416858510325,Phase,1
10,0.4231160896130346,0.43890020366598775,0.013492416858510325,Phase,1
10-11,0.012729124236252547,0,0.013492416858510325,Phase,1
11,0.02571283095723014,0.02265784114052953,0.013492416858510325,Phase,1
Monostable,0.9735234215885947,1,0.01336640686975395,monoMulti,1
Multistable,0.026476578411405296,0,0.01336640686975395,monoMulti,1
1,0.9735234215885947,1,0.01336640686975395,nState,1
2,0.026476578411405296,0,0.01336640686975395,nState,1
