0.706,240.825
174.622,1.162	2.065,92.803
1.414,68.716
121.707,0.605	1.608,36.978
63.076,5.766	0.767,65.477
65.053,0.709	0.656,46.018
0.427,71.589
111.395,1.839	2.787,114.507
101.231,0.977	2.608,85.704
124.130,1.610	2.271,28.520
60.724,0.705	0.617,65.265
34.260,15.315
172.822,2.993
69.304,1.273	0.707,121.301
172.542,0.949	3.528,85.392
251.201,0.849
92.390,2.580	1.430,61.081
28.743,1.761	0.738,152.485
33.636,2.167	0.533,198.699
120.801,5.443	2.047,149.789
0.704,174.622
55.699,1.298	1.700,75.749
272.258,0.837	19.974,55.021
126.540,1.857	3.529,60.324
13.335,6.156
80.517,7.053	2.781,126.656
174.726,3.610	3.364,264.699
171.280,0.300
0.194,42.257
42.294,0.113
0.727,133.214
62.193,32.184	1.475,54.018
110.668,2.938	2.011,89.998
5.433,131.818
47.323,8.242
73.129,1.727	0.786,145.176
4.193,73.299
156.645,9.066	1.891,92.642
140.874,0.250
96.771,1.690	1.188,139.515
1.586,80.612
41.147,1.135	1.369,100.339
215.862,1.509	6.548,50.855
153.615,1.964	2.026,145.305
74.433,1.680	2.458,110.814
66.536,0.375	12.762,25.379
0.496,318.109
383.719,0.982	7.649,36.919
119.813,1.262	3.299,117.692
378.637,5.185	3.859,92.568
58.434,0.898	1.339,80.041
5.777,19.981
92.609,5.456	2.582,177.186
0.300,100.214
72.186,0.882
11.993,190.091
50.899,1.204	0.648,97.058
0.856,97.426
354.682,0.832	35.168,55.810
201.139,1.723	13.578,71.811
85.356,5.610	0.977,63.824
70.823,7.847	0.711,94.557
109.879,1.549	2.841,46.671
190.589,2.159	3.246,215.008
83.446,1.248	0.842,93.444
450.656,6.511	11.650,91.945
99.428,1.411	2.245,116.290
139.256,0.401
72.915,0.035
81.756,3.933	0.902,108.779
63.237,1.745
123.724,2.121	2.489,70.203
1.948,76.928
0.263,99.928
34.123,0.023
8.145,14.528
114.997,4.010	7.493,91.654
0.358,18.156
40.694,11.131	0.594,148.970
2.999,42.362
144.021,11.226	1.597,240.942
0.186,142.379
158.511,9.613	13.740,32.833
35.756,2.335	0.626,92.087
6.585,95.994
494.151,4.577
1.523,240.073
0.728,112.215
191.979,2.562	2.044,161.765
0.151,40.038
0.688,37.325
162.764,11.116	20.845,66.175
0.187,106.164
85.696,1.404	11.312,130.078
125.001,1.223	3.247,92.281
0.574,65.238
237.422,1.553
204.886,0.661
37.405,1.702	0.808,55.571
32.339,2.630	0.490,74.717
148.946,4.697	1.590,321.110
164.182,0.710	2.042,28.237
