98.149,2.475	1.048,87.672
2.845,5.511
0.229,92.985
118.948,6.872	3.125,58.841
63.550,2.892	1.114,99.959
80.507,0.170	3.030,4.555
30.508,0.452	0.318,25.695
31.996,2.469	0.711,85.546
20.188,0.588	0.235,58.168
0.092,26.499
0.240,87.817
25.231,2.046	0.707,114.690
156.461,0.680
5.894,150.627
1.209,167.415
77.291,1.361	1.407,133.558
114.526,2.707	1.202,106.880
86.708,6.080	1.170,163.538
108.923,5.701
72.261,3.770	2.906,161.697
147.427,5.358	2.746,224.863
79.329,15.129	1.009,110.865
13.619,2.670	0.384,230.921
52.445,0.114
117.995,0.638
5.233,68.179
74.089,1.256
0.173,80.072
89.467,3.368	5.306,166.885
105.868,8.353	1.489,73.720
141.027,3.364	1.887,105.918
79.287,0.128	3.293,10.345
136.585,2.151	4.108,82.299
246.333,1.075
49.719,3.689	0.502,80.119
89.701,3.222	2.409,90.072
49.590,0.660	0.633,61.683
155.798,0.185
29.056,0.988	0.613,32.197
147.983,0.800	9.661,25.694
86.433,2.215	1.715,148.170
41.178,3.115	0.432,223.396
89.140,1.744	0.941,62.852
0.225,59.586
52.585,1.518	2.050,50.412
23.209,0.558	1.503,51.238
112.273,2.784	1.858,113.378
149.787,1.578	1.613,55.910
1.564,116.442
425.101,2.173	4.461,85.828
134.413,3.073	2.244,76.461
128.041,1.507	5.446,88.400
0.143,141.316
102.920,0.437	1.683,41.965
85.616,3.509	1.301,213.195
495.072,7.824	5.914,68.868
0.225,98.117
0.295,83.519
24.061,0.452	0.953,33.059
26.771,12.481	0.324,148.484
189.628,1.034	3.942,49.766
18.796,8.903
240.831,8.307	3.925,195.312
259.958,1.387
33.721,1.908	0.506,163.216
155.498,0.986	1.660,32.674
223.105,2.156	4.182,60.418
173.196,3.990	6.762,86.378
6.982,1.838	0.095,87.116
18.023,1.652	0.735,139.390
478.182,1.858	5.275,128.085
71.637,1.003	3.297,72.923
165.680,0.825	5.388,67.908
83.279,0.113	1.652,10.874
23.500,2.376	0.509,165.826
1.455,429.144
2.495,146.694
71.536,2.350	1.991,132.454
44.810,1.029	1.465,75.315
5.154,90.496
69.837,0.742	1.216,60.663
3.668,260.239
11.863,8.507	0.159,43.788
76.953,2.689
2.413,332.418
42.519,0.550	4.327,35.498
145.918,0.336
42.897,3.297	1.127,83.044
126.403,3.591	1.310,192.914
109.134,1.011	1.390,79.471
0.496,105.718
152.821,1.866	1.594,68.050
257.525,1.097	5.225,101.454
0.459,271.574
0.442,254.516
2.775,521.656
34.429,0.331	0.544,31.534
20.341,0.080
170.295,0.419	3.664,32.032
64.814,1.861	1.636,71.738
35.785,1.725	0.388,36.337
86.333,1.725	1.483,53.013
34.078,0.030
1.178,105.357
502.137,1.034	5.662,50.070
93.731,1.126	1.873,86.639
167.028,1.539
70.516,3.064	1.577,144.226
115.220,0.357	1.184,19.788
74.153,0.820	1.892,72.585
155.847,1.685	1.786,153.441
1.349,210.914
150.214,2.655	2.486,149.323
175.988,3.640	5.412,125.167
92.662,0.725	1.017,34.618
31.239,8.798	0.360,818.839
48.820,77.907
139.231,1.333	1.408,118.400
3.341,95.370
73.031,2.576	4.369,217.197
0.339,75.469
605.193,2.413
0.916,228.788
49.437,2.699	0.619,142.274
125.250,1.641	1.596,118.212
421.744,1.247	6.510,95.947
59.983,2.048	1.183,126.472
11.847,5.830	0.283,222.002
0.366,14.152
101.194,0.908	1.160,72.674
288.452,1.366
157.512,1.635	2.343,63.604
217.453,1.058	6.337,59.772
68.661,9.395	1.544,66.689
5.044,26.472
15.980,1.951	0.164,130.314
156.407,2.190	2.007,41.854
68.218,3.370	1.147,222.701
249.980,2.714	2.583,85.617
8.043,275.025
166.990,0.781	3.810,66.950
68.646,2.062	6.255,133.734
184.892,4.327
254.595,9.528	4.381,146.360
82.284,0.210
149.755,1.734	7.773,114.710
58.085,3.686	0.621,99.589
421.725,1.495	4.622,95.706
264.037,19.234	2.900,158.542
126.494,19.323	4.261,224.947
19.863,0.994	0.575,87.446
6.128,116.356
0.151,93.389
415.157,2.239	7.786,138.628
163.749,0.404	1.984,24.622
65.057,2.373	1.131,26.012
43.867,2.720	0.971,83.838
155.498,0.656	2.393,56.874
164.613,0.301	1.665,14.724
164.613,0.171	2.609,14.724
129.862,0.966	1.658,91.924
14.531,2.537	0.581,101.912
327.261,1.557	3.857,54.709
12.834,5.618
7.269,357.097
1.395,534.678
1.031,537.694
0.632,476.666
80.023,1.430
357.848,0.373	17.456,22.167
168.602,2.979	1.785,297.205
89.832,2.186	1.264,138.331
268.216,1.236	5.248,107.786
18.106,2.730	1.995,38.807
512.053,1.773	14.299,147.659
226.332,7.365	2.527,148.628
47.401,0.678	2.737,13.212
1.631,18.573
160.502,1.045	5.506,98.899
0.733,163.424
28.430,0.455	2.582,13.685
131.597,0.870
95.390,5.003
214.910,2.524	15.334,104.030
89.359,0.811	0.990,55.953
267.644,2.004	3.622,92.361
60.037,0.798	0.992,54.442
92.234,8.193	5.822,53.185
0.180,94.396
0.865,261.368
146.815,2.641	1.597,89.548
33.897,1.840	1.242,118.563
7.465,21.049
29.907,1.511	0.753,57.264
266.947,1.477
108.956,0.014
67.811,0.796	0.731,64.602
60.966,0.940	0.617,51.172
84.657,2.875	9.198,187.238
985.365,0.043
126.072,0.918	1.961,39.755
168.983,4.041	1.980,62.305
0.066,43.279
22.897,0.851	1.095,68.116
141.730,0.736	2.334,71.427
576.609,1.092
118.179,1.327
3.715,163.422
121.265,1.716	8.163,35.064
1.119,410.333
76.685,1.193	1.412,88.576
81.031,0.117
63.458,1.234	0.829,100.565
34.622,2.145	0.373,174.172
23.160,0.287	1.049,27.510
0.824,128.007
359.514,0.477
145.604,4.295
218.888,1.550	3.252,111.288
1.930,227.031
7.514,65.230
166.381,3.168	2.575,202.003
565.425,0.175
15.005,8.413	0.304,86.128
202.051,6.606	2.436,49.621
0.214,54.570
0.258,82.615
99.996,6.395
162.563,4.476	2.507,297.817
0.211,60.979
319.160,0.585
303.888,4.037
41.229,0.931	1.737,29.348
10.132,0.475	0.331,5.686
67.611,1.318	0.749,39.677
1.438,99.258
110.501,1.540	1.461,97.803
1.309,97.554
156.814,0.206
69.398,2.360	1.794,67.168
12.154,699.998
83.836,9.009	2.817,577.080
324.437,0.241	3.281,21.744
52.771,0.424	0.665,33.630
46.132,2.613	1.800,42.865
146.026,0.488	2.225,20.283
0.303,116.926
4.841,0.884
43.156,5.135	0.465,262.230
65.901,0.788	6.317,76.045
15.625,3.258
126.405,3.503	1.465,92.475
273.391,2.433	3.633,170.881
103.978,1.527	1.694,106.862
148.472,1.446	2.057,79.662
92.060,10.077	1.465,269.573
49.382,0.041
135.353,0.310	1.488,28.746
77.554,5.244	2.961,168.353
25.179,0.377	0.319,24.934
388.687,0.788	4.130,75.813
93.236,5.151	1.300,39.010
3.709,166.374
