129.134,1.355
95.100,2.335
83.165,0.587	2.257,52.175
69.269,0.038
143.165,0.187
1.767,32.678
51.679,10.175	5.850,113.710
35.671,0.206
108.161,0.815	2.970,49.163
1.445,103.216
89.943,0.899
100.317,2.464	1.165,127.934
1.672,101.638
65.157,2.617	0.653,167.571
48.086,3.646	0.531,118.756
130.012,2.480	4.289,122.622
0.072,154.335
0.130,117.446
71.317,0.945	0.805,72.422
1.179,55.447
6.482,113.267
80.849,1.655	1.999,149.892
91.482,3.731	3.538,92.619
61.851,2.001	0.804,91.168
0.256,16.515
146.860,6.096
78.197,0.425	0.854,36.057
20.495,0.841	0.454,54.414
67.518,0.714	4.515,61.288
37.382,6.600	0.900,71.426
144.418,10.736	7.118,73.473
68.015,7.766	1.814,30.499
31.983,1.452	0.588,121.039
186.728,1.940	4.729,155.064
1.767,100.196
98.385,0.284	2.318,26.758
261.167,1.094
95.364,4.668	2.175,81.337
46.128,1.494	0.565,148.670
27.672,0.660	0.314,64.160
32.560,0.681	1.438,59.987
1.321,374.923
185.807,4.424	3.328,157.665
84.913,4.108	3.061,199.996
96.154,7.418	2.180,125.643
20.834,1.338	0.878,120.229
338.824,2.092	4.464,199.955
0.143,364.005
0.070,33.578
47.002,0.689	0.642,51.945
55.886,0.939	0.854,48.341
138.782,7.629	7.964,419.376
27.968,8.403	0.588,653.282
80.996,1.409	3.512,29.743
224.965,3.207
176.046,0.593	4.514,53.890
222.895,0.110
1.179,179.813
122.699,0.826	1.341,74.462
115.189,2.701	1.215,148.260
5.070,193.480
194.748,0.060
1.678,75.316
449.286,2.680
17.156,4.545
78.237,6.056	2.801,187.351
5.177,247.615
295.529,0.854	12.708,78.197
0.844,102.723
28.239,0.091	0.617,8.888
35.066,1.442
72.221,4.353
83.162,1.473	8.439,58.660
4.761,270.650
109.678,0.976	2.285,83.827
0.069,94.234
112.350,0.574	1.177,28.812
48.201,0.074
85.268,6.821	0.996,600.662
0.800,61.350
18.540,0.174	0.201,16.551
119.599,0.795	2.227,75.785
0.043,17.486
103.567,3.565	16.081,165.907
571.559,1.812
177.491,0.112	3.275,10.612
25.032,1.883	0.457,102.251
67.939,4.832	2.439,108.255
85.652,2.626	1.284,260.764
4.709,87.001
66.914,7.124	3.249,623.260
0.020,95.287
112.655,1.948	3.964,84.720
3.086,2.184
91.500,1.333	1.523,111.983
167.919,0.453	3.391,14.290
164.839,1.647	3.688,137.995
7.947,0.031	0.100,3.105
99.196,1.215	1.030,93.494
312.296,7.972	4.933,508.435
101.189,0.820
29.931,2.882	0.389,214.998
143.328,2.984	6.176,221.168
85.036,0.213	1.590,18.211
52.078,8.627	3.834,159.742
26.588,1.371
34.415,1.207	0.437,71.249
144.942,1.315	4.225,68.683
148.033,2.425	2.152,104.299
99.435,1.462	1.087,70.317
101.604,0.620	1.835,48.564
96.611,1.734	2.060,20.394
70.914,1.726	1.418,161.151
73.402,3.294	1.684,266.524
105.537,0.457	1.525,42.986
79.518,2.492	0.806,179.557
27.508,1.158	1.617,84.548
49.788,2.215	0.979,119.599
147.565,0.921	23.144,69.301
185.791,6.223	5.000,136.360
154.682,10.799	5.910,36.552
415.294,6.962	18.269,143.574
152.387,1.855
206.076,8.114	2.236,150.769
0.123,71.010
0.137,117.183
125.541,0.379
581.938,5.818
205.533,0.931	2.380,62.860
429.800,5.605	4.822,246.859
207.448,2.899	2.184,259.683
99.263,7.176	1.639,141.147
41.375,2.900	0.639,231.191
108.082,8.005	9.280,57.058
140.735,3.027	1.536,103.569
27.158,1.946	0.421,129.141
25.053,2.508	0.437,62.431
118.804,0.141	2.051,10.960
28.672,0.887	0.411,61.406
105.578,6.269	1.068,277.099
72.940,3.428	0.830,85.846
41.159,0.774	0.422,36.816
22.049,189.914
911.443,2.524
322.590,1.412
65.156,0.442	1.568,21.785
3.226,250.078
222.118,1.004
0.028,261.825
106.447,0.903	1.165,72.559
58.920,3.578	0.903,149.737
168.065,6.349	2.180,215.287
0.178,98.435
71.577,0.114
0.057,91.007
426.647,1.066
57.198,0.617	1.264,35.307
27.013,0.206	1.874,13.881
355.445,5.031
1.695,452.880
261.552,0.430
143.118,3.505	3.203,113.291
154.265,1.450
49.341,0.282	10.886,15.118
678.114,1.675	15.610,83.943
213.289,0.208
142.984,1.470	3.274,108.788
120.717,1.882
36.696,2.869	0.881,212.016
80.070,1.132
110.753,1.313
2.774,542.619
0.052,185.307
283.350,0.156
198.453,2.229	2.105,131.114
150.143,2.638	2.060,114.852
3.457,187.766
403.858,0.218	5.676,21.503
182.054,0.950
70.616,0.404	5.118,17.348
292.840,0.322	4.260,28.458
61.479,7.682	0.651,129.297
18.387,2.352	0.264,145.147
0.244,128.985
90.253,1.281	1.658,77.630
370.260,0.937
79.154,3.881	2.471,184.231
3.654,215.183
34.140,23.907
44.547,5.111	2.296,53.951
160.187,11.130	4.239,562.765
