93.737,0.104
0.257,65.097
36.030,0.682	0.909,44.854
74.961,1.357	1.001,108.499
62.081,1.089
48.760,1.360
62.094,0.999	0.888,69.795
42.490,1.427	1.094,51.558
84.089,0.673	10.365,66.486
128.195,1.267	8.788,115.563
149.121,0.421
71.338,1.231	1.186,26.090
55.370,1.669	0.578,99.317
0.138,90.943
66.961,0.923	3.986,22.228
120.654,1.376	1.659,89.674
154.467,1.974	2.907,91.953
19.982,1.029	0.426,14.889
134.024,0.622
49.763,1.759	0.719,13.680
119.467,3.839	1.643,250.253
98.789,3.827	2.358,40.441
0.189,72.083
48.059,1.337	0.597,102.938
227.821,2.528
37.460,4.422	0.442,222.736
52.769,1.148	0.565,113.552
41.618,0.296	1.483,27.612
387.723,2.976	6.751,207.047
25.901,2.644	0.449,108.652
105.388,0.807	1.071,70.612
73.041,4.669	1.172,248.088
35.891,1.411	0.843,114.765
140.221,0.367	8.624,17.387
17.903,4.191	0.194,317.900
2.896,165.294
9.059,2.878
102.655,2.226	1.231,79.903
146.400,10.306
2.267,285.921
188.967,4.980	3.910,277.256
40.037,3.449	3.052,280.007
126.022,0.617	1.960,17.167
2.046,109.972
91.954,0.472
130.471,1.167
168.590,2.509	2.810,212.158
103.775,8.562	16.348,67.690
2.489,21.726
67.669,0.249	5.335,14.528
0.267,25.667
71.480,1.289
255.527,1.118
85.354,1.229	1.900,105.843
99.901,0.682	2.289,59.926
83.682,0.606	2.484,50.310
3.139,79.932
92.566,0.934	1.621,80.895
125.996,0.725	3.272,45.670
63.636,1.073	0.911,91.109
0.476,291.260
66.376,1.445	4.672,138.145
28.342,5.322	0.649,467.519
27.612,2.648	0.984,247.269
2.262,69.279
285.975,9.721
28.037,4.279	2.090,247.078
41.859,7.372	0.447,135.136
42.729,0.250	0.580,19.898
0.634,72.491
79.381,2.102	4.471,98.507
77.665,1.515	1.499,24.997
185.309,3.782
59.672,0.399	1.140,29.953
569.967,1.293	7.253,120.325
10.472,170.225
24.593,2.544	2.055,247.269
273.236,0.072
153.070,0.110	7.392,10.852
107.217,5.310	2.202,266.555
541.976,7.396
204.452,0.126
2.025,674.571
39.970,1.120	0.422,88.512
57.917,1.059	1.271,34.359
99.072,3.542	1.001,71.508
25.566,0.356
87.005,0.289	1.065,26.234
685.958,0.907	12.438,55.990
49.975,13.532	1.856,568.694
0.341,80.731
41.843,0.370	0.711,25.356
115.497,1.215	1.705,65.903
253.650,1.435	3.967,71.917
58.009,2.961	1.774,152.919
146.422,9.262	1.872,122.718
0.084,97.941
195.502,2.675	2.364,38.978
66.473,1.162	4.362,104.653
99.652,0.619	1.388,45.045
132.052,3.571
1.603,8.963
0.822,53.796
133.988,0.717	1.396,41.126
90.177,1.330	3.097,63.545
6.912,536.213
11.951,2.386	0.555,103.060
143.023,0.222
108.906,1.888	2.362,136.063
108.906,1.888	2.362,136.063
92.658,1.172	1.510,59.277
93.674,3.502	4.966,68.517
119.299,1.066	4.486,101.307
33.314,2.342	0.463,157.827
110.385,0.325
66.700,2.944	1.276,146.403
73.249,1.538	0.873,113.960
188.055,0.702	2.299,68.801
121.791,0.494	5.411,45.749
5.787,15.804	0.187,255.789
33.989,3.146	0.382,164.685
139.276,0.332	2.287,22.200
714.009,0.551
113.294,3.080	2.172,195.093
129.992,0.309	6.989,29.267
185.704,0.496	2.159,17.028
535.142,0.059
207.749,2.632	7.759,108.500
99.759,0.353	2.813,29.586
37.769,1.059	0.379,77.415
84.278,2.774	1.510,238.074
369.978,1.843
15.905,0.725	0.197,43.795
29.822,0.867	0.580,38.045
36.475,0.224	0.654,19.102
241.728,0.113
6.358,35.545
43.806,1.609	0.566,75.106
127.911,1.419	9.381,122.960
0.528,247.190
321.802,2.451	5.300,148.447
233.294,3.706	8.368,94.344
1.964,64.461
18.816,0.580
1.065,369.836
0.558,171.677
63.927,4.292	0.867,376.707
35.016,1.107	3.392,47.146
0.148,367.889
46.070,0.368	0.612,36.090
27.963,5.743	0.451,163.348
0.210,124.736
0.259,209.399
33.709,0.918	0.578,35.942
224.985,1.501	3.085,52.291
2.531,91.745
94.087,0.015
65.314,0.629	0.915,26.344
91.892,13.403	3.518,711.396
198.298,3.250	12.243,119.001
54.890,5.017
0.102,103.383
35.853,1.021	2.073,61.197
23.818,0.587	3.104,35.966
2.505,21.418
83.387,3.268	3.826,198.141
83.805,0.518	1.108,41.088
5.412,215.233
36.596,1.837	0.539,64.294
232.961,0.024
19.382,2.584	0.693,39.098
1.589,439.042
46.821,1.041	0.577,87.116
0.190,53.031
353.312,1.903	4.498,87.277
39.396,0.202	0.533,16.604
53.384,3.320	2.149,196.317
0.200,271.559
26.863,4.008	0.352,74.896
81.554,1.629	0.832,89.586
61.397,1.164	4.349,65.283
99.708,0.444	2.239,42.585
218.057,1.838	2.791,87.655
154.408,2.948	9.310,120.725
253.280,0.081
2.240,444.907
311.097,7.357	4.091,44.619
33.465,1.503	0.707,69.578
566.871,2.219	7.594,78.224
1.815,174.961
77.625,3.325	1.505,141.269
89.584,0.061	0.997,5.713
96.973,2.292	8.375,47.603
0.936,130.709
74.400,14.601	2.882,179.010
0.931,178.201
182.323,2.848	3.622,221.585
112.260,14.818	3.251,744.434
49.993,0.458	1.075,27.059
43.418,3.678	0.506,104.082
115.267,1.534	2.160,79.316
0.290,10.541
149.881,2.446	4.752,120.862
1.048,148.158
20.998,3.002
0.048,64.467
77.027,5.520	11.456,302.292
14.565,316.419
189.885,2.121
0.942,92.077
37.586,3.119	0.548,145.856
125.424,0.110
50.101,2.030	0.761,194.812
1.210,651.231
77.592,1.813	2.116,145.616
136.762,1.205	3.966,34.702
1.360,323.153
158.215,0.797	1.872,57.209
4.229,17.694
243.397,1.455	2.913,115.660
0.162,259.402
6.383,817.930
111.333,0.406	2.149,35.009
195.309,4.845	2.083,407.887
62.935,0.321	1.465,15.841
0.060,84.038
62.935,0.266	0.655,15.841
194.479,1.951
0.021,114.699
174.494,3.665	2.462,169.890
69.461,0.634
40.072,21.480
59.118,0.233	1.551,7.212
57.415,2.266
168.836,3.811	4.791,88.689
7.246,231.271
145.401,5.435	9.297,101.228
79.646,2.462	11.299,241.282
1.304,223.129
119.426,0.279	1.519,11.164
141.947,3.396	1.704,59.222
850.130,1.703	8.880,79.376
150.151,2.207	1.838,214.955
3.577,21.620
92.455,4.741	1.264,75.323
107.368,3.764	10.432,330.286
121.587,1.293	1.406,129.256
157.755,5.279
356.800,0.946
167.814,1.830	3.031,66.876
334.467,2.581
56.105,5.758	0.616,206.923
43.967,0.456	1.469,37.322
48.801,0.337	0.748,23.204
170.018,7.762	2.266,81.903
62.720,0.699	0.759,59.149
62.836,3.368	10.617,267.849
526.717,0.278
83.437,2.145	1.058,51.521
17.094,3.870	0.724,30.379
2.126,18.853
346.568,2.831	6.474,56.061
51.103,5.409	0.661,205.825
25.540,2.029
367.574,2.207	4.046,24.044
293.453,1.836	3.117,142.695
381.880,1.087
231.816,1.134	3.617,100.609
206.944,0.099
134.081,3.502	1.494,153.468
4.721,7.710	0.060,71.837
139.665,4.595	2.603,57.370
0.386,71.799
129.210,1.727	7.571,66.233
41.327,2.919
97.681,0.237
5.468,190.534
0.922,281.192
46.314,1.886	0.956,121.049
496.902,0.248
390.899,5.699	24.986,111.139
40.190,5.227
95.773,5.586	1.189,66.336
297.869,1.446
154.133,6.111	3.937,50.539
0.121,91.691
49.682,3.060
145.267,1.030	4.101,55.607
54.562,1.133	0.548,56.166
46.762,1.112	4.737,82.136
209.379,0.771	2.739,40.409
332.839,0.117
205.236,1.428	2.600,100.363
0.410,849.838
47.136,2.186	1.336,200.230
99.109,1.658	1.280,147.987
29.362,5.243	1.291,90.493
87.434,0.687	1.217,46.150
330.533,2.390	7.966,216.998
1.017,334.539
1.608,421.383
0.094,120.132
216.330,2.366	4.045,86.804
27.773,0.545	0.676,26.703
142.755,1.903	2.475,45.362
66.141,1.062	0.694,56.909
279.889,3.146
77.171,1.389	1.662,114.708
29.180,6.553	0.722,317.507
1.122,128.151
0.688,204.394
35.420,1.408	0.380,91.760
32.345,1.761	1.463,136.494
89.717,1.327	4.326,75.211
37.993,2.732	0.927,32.395
95.999,0.376	1.049,37.252
38.101,1.821	0.494,95.234
0.145,15.614
235.637,2.335	4.308,44.523
1.119,44.063
297.827,1.575	4.461,79.980
545.771,3.473
1.290,441.766
436.681,0.787	4.856,55.082
302.248,1.047	4.238,75.492
260.831,4.372	19.614,340.905
67.678,2.238	0.728,95.548
70.636,1.394	2.310,86.318
69.979,1.581	0.898,106.378
21.564,2.573	0.277,148.566
11.352,1.492	0.235,96.371
103.411,1.160	1.190,101.366
237.917,1.498	2.917,98.590
130.329,0.083
45.742,2.450
24.744,19.361
121.078,1.418	1.267,139.736
70.499,3.650	1.703,282.361
54.205,8.718	0.953,134.051
31.002,2.141	0.586,117.327
0.577,206.836
112.584,1.370
206.038,0.755	4.489,72.303
145.995,2.127	1.507,145.219
0.622,109.970
242.724,3.261	2.754,152.933
204.179,7.303	8.874,32.426
64.748,7.590
103.589,0.918	1.472,26.675
9.214,0.666	0.101,58.060
84.708,2.647	1.474,146.053
113.907,4.229	1.755,39.795
80.487,0.374
325.570,0.989
242.870,15.376
0.398,135.012
11.653,197.311
56.075,0.871	1.902,66.449
149.934,4.323
0.535,272.876
66.936,2.267	1.375,192.241
0.173,67.946
142.950,2.446	12.673,204.794
88.739,1.635	1.553,93.242
53.943,4.683	1.919,197.309
1.312,188.381
157.736,1.176	2.188,99.585
102.661,1.517	1.227,62.388
82.896,0.216	1.255,10.123
66.218,7.826
94.325,0.839	1.423,77.894
37.865,3.674	0.480,345.528
93.409,0.271	2.615,21.122
12.481,229.994
95.614,1.117	4.998,60.051
236.712,1.397	4.822,53.683
562.486,1.555
221.834,5.568
54.761,2.091	1.861,130.863
187.531,2.715	9.729,265.883
78.757,4.831	1.000,168.545
100.156,4.921	2.894,351.205
190.371,3.036	2.069,100.603
218.902,1.574	2.721,135.293
138.629,0.802	1.598,46.449
461.826,6.908
75.664,11.964
107.573,1.894	1.494,79.157
63.066,0.755	0.642,42.969
59.548,2.481	2.695,219.648
57.173,3.231	1.869,307.678
163.629,15.727	9.092,555.382
145.752,2.198
106.125,1.099	1.204,55.229
136.592,1.043	7.147,52.948
24.483,0.285	0.512,23.933
122.866,2.156	1.347,59.401
97.374,6.920	0.987,528.184
0.295,35.686
98.321,5.359	1.485,380.996
70.439,2.185
42.877,0.365	0.482,29.243
254.208,1.142	6.158,28.247
3.392,47.587
0.658,342.579
0.141,120.468
145.758,3.814	1.974,103.736
109.952,4.176	1.153,135.642
75.144,7.790	1.073,387.967
259.902,1.673	4.932,104.547
49.529,1.682	0.752,79.211
83.265,2.844	1.004,203.986
142.341,1.048	3.460,48.804
22.696,11.632	1.220,544.156
0.050,65.632
59.924,0.819	1.757,49.343
40.735,3.358	0.607,92.617
56.981,7.443	9.289,602.448
2.666,148.508
57.132,1.106	0.667,99.348
170.967,1.163	3.847,70.871
1.898,293.361
45.137,1.938	0.906,49.503
40.322,0.466
94.799,1.174	1.332,33.400
2.400,121.519
0.308,71.073
0.440,486.994
378.822,1.099	4.123,61.856
151.959,2.806	5.033,106.598
89.470,0.856	0.909,71.888
49.258,0.101	3.359,9.748
9.685,1.230	0.156,99.865
352.297,6.902	6.233,105.398
50.085,0.593	0.788,18.120
8.599,6.284
27.262,0.932	0.804,63.298
43.247,1.536	6.159,139.078
28.240,0.069
157.922,0.517	6.171,44.315
45.290,4.590	0.839,219.115
82.529,0.933	3.987,64.434
88.331,3.839	2.972,333.772
26.762,0.111
167.569,2.812	12.486,86.925
253.078,1.798	3.689,51.901
2.061,121.485
176.474,3.246	2.542,177.707
0.377,98.097
74.000,4.065	1.338,95.981
81.215,0.035
161.507,2.152
26.843,1.570
164.662,1.155	2.057,34.065
34.192,3.858	0.379,51.246
4.355,101.815
121.169,4.289
152.056,4.408	2.737,182.685
103.446,0.119
85.775,0.520	0.989,38.076
18.323,3.152	0.188,162.207
129.027,2.598
84.101,2.322	11.626,116.836
293.907,1.189
32.690,0.152
16.845,1.147	0.222,86.490
75.007,1.897	8.829,112.419
1.618,111.192
286.005,0.476	6.314,42.544
74.542,0.848	0.962,70.386
170.474,0.377	7.028,33.651
143.626,0.745	7.392,58.653
1.104,112.298
76.530,1.950
0.299,62.000
117.706,32.494
263.442,1.616	12.404,140.573
72.654,0.238
52.640,2.470	0.820,59.064
75.415,1.439	2.844,75.671
182.274,0.316	13.070,21.713
205.555,1.644	2.827,19.948
107.801,4.660
1.351,289.635
1.508,184.713
87.492,1.057	0.910,27.842
107.641,4.662	1.309,141.326
19.403,0.026
2.448,2.640
1.239,227.474
74.586,0.469	1.286,18.657
59.541,1.401	0.596,131.111
2.448,2.640
129.788,0.050
58.393,0.128
159.095,5.745
134.215,3.097	3.412,233.507
71.598,0.787	1.253,39.742
291.447,8.670
1.024,341.964
99.708,2.390	7.861,122.096
326.704,1.065	5.681,46.796
1.279,15.950
78.836,0.109
90.311,0.296	1.197,22.851
125.326,0.899	3.244,44.246
115.155,7.603
109.542,0.467	2.203,42.572
91.560,2.597	2.752,148.238
0.189,53.628
505.707,0.237
160.375,3.020	2.394,156.378
41.717,2.169	0.515,100.034
121.050,0.176	2.031,10.989
100.998,1.140	5.294,29.664
308.229,2.413	6.178,99.108
16.703,3.650	1.489,204.373
101.350,1.147	1.443,102.325
0.451,92.876
201.273,0.596	4.751,14.897
24.304,22.231
16.023,78.441
121.090,4.570	1.278,291.343
37.457,4.830	0.473,155.331
25.745,0.140
42.619,0.069	0.967,3.995
117.408,1.029	1.473,72.900
74.232,0.885	1.014,63.894
108.295,3.138
55.414,6.128	0.839,138.425
8.731,2.450
37.543,0.261	0.440,3.591
54.048,17.428	1.305,112.058
190.785,1.321	2.806,97.789
119.540,0.471	3.015,35.380
52.505,2.872	0.847,104.348
39.967,57.915
0.166,29.661
85.755,2.774	1.015,46.171
21.553,0.676	0.654,28.262
88.878,1.646
132.349,16.877	5.175,426.891
1.117,102.012
1.082,247.473
256.949,4.409	7.712,92.970
92.984,0.825	1.418,48.992
124.048,9.679	1.864,99.712
10.961,0.921	0.115,23.622
285.006,2.319
34.410,0.089
104.931,1.249	8.090,64.360
0.254,257.510
195.396,7.079
85.622,5.419	0.938,152.280
40.236,0.848	0.621,58.324
0.055,119.484
28.809,0.250
116.742,5.456	7.634,134.007
1.568,148.382
100.968,3.647	2.488,35.417
359.893,0.895	4.027,38.054
60.970,0.066
252.741,0.809	4.125,78.655
35.189,0.154
2.792,735.089
76.024,1.815	2.520,78.138
92.704,0.186	1.088,13.720
47.947,2.187	0.592,40.038
92.036,2.836	0.961,151.899
59.579,1.811	1.069,165.206
0.681,81.859
0.494,144.812
0.047,265.023
777.764,3.218
110.266,0.467	3.389,37.607
164.519,1.910
101.483,0.884	1.320,50.846
23.710,1.028	0.333,33.017
14.527,0.556	0.244,54.606
27.325,5.046	0.703,220.107
39.330,3.112	2.605,285.519
29.982,10.528	0.336,381.835
299.942,9.792	3.774,116.211
109.372,4.946	1.191,54.763
106.998,0.620
168.304,3.057	4.496,77.533
448.642,0.931	6.569,81.774
80.197,1.145	0.851,93.255
2.150,371.458
65.916,1.334	1.096,85.346
120.866,4.192	2.339,116.790
36.043,1.787	0.684,87.523
0.193,206.015
147.238,3.804	5.357,319.025
65.959,0.092
172.692,0.384	5.566,35.360
24.273,1.405	5.388,131.782
69.741,5.536	1.154,197.939
54.748,3.939
48.212,1.701	1.648,164.231
289.251,8.000	4.605,280.133
221.085,0.505	3.909,17.886
79.803,0.570
1.771,308.029
3.141,49.086
230.279,1.918	2.797,93.482
41.129,0.635	0.696,42.625
321.416,1.961
3.657,8.686
48.876,9.400	0.981,130.578
45.037,0.914	0.577,58.997
174.625,2.553	3.420,127.219
78.827,1.962	2.024,146.220
194.674,3.147	1.969,130.690
1.450,68.043
84.634,0.264	1.123,15.005
94.041,0.399	1.008,33.991
65.780,1.454	17.199,48.927
115.795,0.599	1.338,26.567
112.375,3.045	1.857,171.842
0.032,37.232
123.087,2.048	3.013,107.161
114.354,0.202
210.222,3.762	2.589,48.931
146.270,2.285
28.483,6.497	0.362,138.541
272.898,0.224
3.836,65.522
22.479,1.717	0.564,80.556
0.671,202.533
219.358,1.457	2.322,26.675
0.101,123.270
384.939,1.899	4.099,160.040
252.814,3.188	4.321,149.373
0.062,90.498
106.023,0.887
2.466,147.675
386.945,1.508
196.610,0.941	4.956,81.844
0.452,100.765
0.078,340.392
0.258,136.163
59.423,0.322	0.787,29.920
44.758,1.268	2.166,82.536
8.590,7.639	0.712,272.876
34.698,0.915	0.367,47.786
69.067,0.482	1.211,42.101
87.167,0.626	0.999,16.554
0.572,85.576
385.011,1.313	5.972,111.989
159.768,1.183	6.249,56.938
1.236,29.443
154.471,2.981	2.650,199.710
52.810,0.435	0.546,37.865
147.460,0.951	3.613,56.781
72.252,0.472	0.955,24.884
40.370,0.054	0.830,4.187
53.719,3.794	0.821,159.423
130.361,2.522	3.998,74.940
130.851,1.552	3.430,105.771
192.974,1.656	2.330,73.597
106.892,5.597	1.801,337.861
110.521,1.179	3.539,54.670
108.724,3.637	1.882,122.638
6.717,44.468
38.648,0.838	0.914,58.685
353.497,2.987	4.118,76.650
141.230,0.507	2.258,33.578
61.041,0.779
6.366,39.120
0.150,173.637
124.233,0.797	3.654,51.095
80.221,1.858	1.211,145.968
75.798,0.949	0.911,67.524
26.715,0.371
63.642,7.048	0.851,122.062
78.098,2.949
332.784,14.968
594.280,7.887
2.319,352.192
73.435,2.280	1.939,152.230
111.620,4.276
116.780,1.170
31.295,1.863	0.334,64.286
0.326,109.414
326.824,4.206	3.415,303.831
3.264,108.681
183.595,1.454	1.955,139.175
31.591,2.463	5.070,65.503
161.328,7.016	2.328,216.534
54.156,4.042
34.454,0.908	0.819,53.960
0.161,404.046
23.787,0.442	0.320,24.270
0.902,142.395
0.985,645.040
25.588,0.123
116.562,0.890
101.438,1.468	1.877,85.023
196.516,7.401
4.913,40.355
237.751,0.308
38.161,1.204	3.563,67.754
848.310,0.832	17.801,81.433
37.261,1.675	1.798,33.873
7.714,39.466
2.348,246.090
96.709,0.568	2.145,11.486
0.077,208.139
1.975,98.368
274.352,0.047
0.429,736.126
60.525,0.977	1.101,65.094
56.378,1.518	0.591,113.011
0.269,317.798
42.589,6.887	0.945,552.000
146.758,0.742	2.161,59.790
0.479,85.336
44.390,4.693	0.978,156.348
102.901,3.246	14.111,255.755
3.541,204.168
161.702,2.945	8.525,159.896
110.684,1.174	3.264,74.134
564.868,2.392
74.489,4.805	3.175,478.158
72.112,0.678	2.027,62.942
18.007,0.499	0.251,29.306
59.712,0.608	1.369,16.204
116.553,1.234	5.518,67.529
54.599,0.948	0.711,59.563
201.057,1.486	7.296,78.351
1.449,320.468
5.322,189.586
1.010,147.037
71.222,4.201	1.291,365.755
0.146,271.195
240.415,0.890	3.489,62.129
1.779,9.720
119.519,1.486	1.404,116.661
59.851,1.098	0.638,99.401
292.136,0.681
17.077,6.189	0.397,74.556
0.163,937.553
82.746,4.030	1.106,220.142
16.983,1.337	0.180,56.310
251.876,3.245
114.484,2.332	4.981,208.271
95.959,1.015	1.771,66.174
224.229,0.271	3.155,16.885
1.041,49.007
1.667,105.886
106.328,6.751	4.696,386.214
43.705,8.614
78.607,44.683
17.972,5.732	0.487,72.609
137.619,2.719	3.461,137.885
168.339,2.042	3.418,145.839
99.724,3.007	1.737,137.085
58.425,0.232
237.841,3.831	2.700,171.706
20.045,1.427	0.231,74.915
447.104,0.639	12.206,62.548
220.237,0.367	3.154,28.214
7.616,7.418
0.074,105.836
3.164,57.025
48.905,3.522	0.811,181.962
1.055,253.377
26.716,8.124
0.823,330.208
306.874,1.708	14.606,148.800
452.222,5.261
25.752,6.978
27.493,4.034	0.791,140.044
0.416,229.783
724.499,2.280
134.254,0.512	1.806,28.897
24.456,0.754	0.354,70.743
111.537,0.516	2.157,47.626
117.982,3.987	2.407,73.605
0.217,100.301
62.079,0.638	1.550,53.655
36.026,0.401	3.711,29.022
89.931,0.771	2.184,52.937
85.227,1.668	1.040,28.690
41.274,1.014	4.882,93.546
85.471,1.301	6.742,96.866
74.465,5.054	0.926,121.450
44.370,1.260	0.464,95.409
57.218,0.290	1.155,25.938
80.984,1.274	1.474,112.057
84.535,0.559	7.761,23.641
27.004,6.688	0.534,139.559
174.896,1.145	2.960,86.797
48.972,1.690
120.667,4.165	1.323,171.737
0.729,227.018
0.199,134.021
224.350,0.829	3.426,62.555
2.878,46.575
6.979,1.797	0.451,77.578
95.872,1.084
57.218,0.937	0.956,30.095
140.770,0.358
117.286,0.452	4.388,32.450
98.956,0.625	10.496,44.039
280.135,1.780	4.889,144.734
68.741,1.335	0.787,109.323
3.906,352.314
145.813,1.526	1.542,104.543
93.777,0.656
136.397,0.611	3.884,35.112
31.741,57.533
5.390,84.759
114.367,4.465	3.520,35.614
159.464,6.572
109.533,0.210
0.386,85.698
114.881,0.680	1.393,61.805
129.275,1.765	4.519,55.958
226.018,2.567	2.582,102.927
0.077,115.985
122.814,2.596	1.547,142.889
51.673,4.046	2.027,155.592
44.657,0.881	0.741,56.835
312.277,2.819	12.327,240.813
576.031,0.821	10.210,47.402
78.546,1.224	1.068,36.373
34.387,1.696	0.403,114.164
113.984,2.003
0.735,415.913
6.746,0.892
93.354,0.941	1.184,42.076
0.403,84.380
9.572,367.911
57.474,1.842	0.635,160.950
147.048,0.697	2.233,48.073
103.740,0.569	1.529,42.297
1.500,643.982
101.739,8.696	1.365,50.766
115.036,1.855	3.294,55.359
122.953,1.303
72.685,1.519	2.638,115.281
164.311,15.623	8.607,118.686
422.966,0.686	7.106,65.184
89.322,0.337
232.405,0.859	5.138,66.283
67.613,2.735	0.891,233.086
88.609,3.754	1.081,186.077
156.874,4.214
0.737,102.619
2.239,623.922
119.284,2.906	1.623,218.258
478.369,2.005	7.927,145.440
236.226,3.451	10.518,134.614
0.275,196.744
7.891,6.126
106.594,13.147	2.648,206.170
211.704,2.193
0.142,137.877
69.369,4.451
173.258,1.997	1.768,161.336
38.939,2.332	1.507,209.786
0.313,571.107
148.693,1.583	1.564,70.730
0.048,133.066
1.256,80.707
86.144,5.359	1.562,139.190
36.702,1.158	0.442,99.339
329.442,3.010	3.311,146.005
95.652,0.631	1.033,53.226
0.164,50.747
0.340,50.887
2.752,81.237
105.287,1.222	6.064,85.142
77.062,0.548	0.834,17.852
5.118,572.471
